date,Dif
2018-03-08,0
2018-03-09,0
2018-03-12,0
2018-03-13,1
2018-03-14,1
2018-03-15,1
2018-03-16,0
2018-03-19,1
2018-03-20,0
2018-03-21,1
2018-03-22,1
2018-03-23,1
2018-03-26,0
2018-03-27,1
2018-03-28,1
2018-03-29,0
2018-04-02,1
2018-04-03,1
2018-04-04,0
2018-04-05,0
2018-04-06,1
2018-04-09,1
2018-04-10,1
2018-04-11,0
2018-04-12,0
2018-04-13,1
2018-04-16,1
2018-04-17,0
2018-04-18,1
2018-04-19,0
