Timestamp,['211ca0c5-cda28b28 0062-WARNOCK ENGR BLDG Power Meter 316606 Real Energy In']
2017-12-14T00:00:00-07:00,928.5 kWh
2017-12-15T00:00:00-07:00,948 kWh
2017-12-16T00:00:00-07:00,750.75 kWh
2017-12-17T00:00:00-07:00,723 kWh
2017-12-18T00:00:00-07:00,827.75 kWh
2017-12-19T00:00:00-07:00,808 kWh
2017-12-20T00:00:00-07:00,814.75 kWh
2017-12-21T00:00:00-07:00,782 kWh
2017-12-22T00:00:00-07:00,753.5 kWh
2017-12-23T00:00:00-07:00,692.25 kWh
2017-12-24T00:00:00-07:00,698.25 kWh
2017-12-25T00:00:00-07:00,685.25 kWh
2017-12-26T00:00:00-07:00,690.5 kWh
2017-12-27T00:00:00-07:00,772 kWh
2017-12-28T00:00:00-07:00,775.75 kWh
2017-12-29T00:00:00-07:00,697.25 kWh
2017-12-30T00:00:00-07:00,679 kWh
2017-12-31T00:00:00-07:00,689.75 kWh
