Timestamp,['20d43261-c7dd7199 0043-NAVAL SCIENCE BLDG Power Meter 300093 Voltage A-B']
2017-10-19T00:00:00-06:00,212.80208333333334 V
2017-10-20T00:00:00-06:00,212.92708333333334 V
2017-10-21T00:00:00-06:00,213.05208333333334 V
2017-10-22T00:00:00-06:00,213.13541666666666 V
2017-10-23T00:00:00-06:00,212.92708333333334 V
2017-10-24T00:00:00-06:00,212.86458333333334 V
2017-10-25T00:00:00-06:00,212.90625 V
2017-10-26T00:00:00-06:00,213 V
2017-10-27T00:00:00-06:00,213.15625 V
2017-10-28T00:00:00-06:00,212.91666666666666 V
2017-10-29T00:00:00-06:00,213.20833333333334 V
2017-10-30T00:00:00-06:00,213.16666666666666 V
2017-10-31T00:00:00-06:00,213.10416666666666 V
2017-11-01T00:00:00-06:00,212.90625 V
2017-11-02T00:00:00-06:00,212.85416666666666 V
2017-11-03T00:00:00-06:00,212.90625 V
2017-11-04T00:00:00-06:00,212.96875 V
2017-11-05T00:00:00-06:00,212.95 V
2017-11-06T00:00:00-07:00,212.75 V
2017-11-07T00:00:00-07:00,212.92708333333334 V
2017-11-08T00:00:00-07:00,212.94791666666666 V
2017-11-09T00:00:00-07:00,213.02083333333334 V
2017-11-10T00:00:00-07:00,213.17708333333334 V
2017-11-11T00:00:00-07:00,212.91666666666666 V
2017-11-12T00:00:00-07:00,213.08333333333334 V
2017-11-13T00:00:00-07:00,213 V
2017-11-14T00:00:00-07:00,213.375 V
2017-11-15T00:00:00-07:00,213.07291666666666 V
2017-11-16T00:00:00-07:00,212.8125 V
2017-11-17T00:00:00-07:00,213.17708333333334 V
2017-11-18T00:00:00-07:00,213.35416666666666 V
2017-11-19T00:00:00-07:00,213.38541666666666 V
2017-11-20T00:00:00-07:00,213.16666666666666 V
2017-11-21T00:00:00-07:00,213.0625 V
2017-11-22T00:00:00-07:00,212.77083333333334 V
2017-11-23T00:00:00-07:00,213.30208333333334 V
2017-11-24T00:00:00-07:00,213.14583333333334 V
2017-11-25T00:00:00-07:00,213.0625 V
2017-11-26T00:00:00-07:00,213.19791666666666 V
2017-11-27T00:00:00-07:00,212.88541666666666 V
2017-11-28T00:00:00-07:00,213.09375 V
2017-11-29T00:00:00-07:00,213.1875 V
2017-11-30T00:00:00-07:00,213.23958333333334 V
2017-12-01T00:00:00-07:00,212.88541666666666 V
2017-12-02T00:00:00-07:00,213.0625 V
2017-12-03T00:00:00-07:00,213.09375 V
2017-12-04T00:00:00-07:00,213.14583333333334 V
2017-12-05T00:00:00-07:00,212.875 V
2017-12-06T00:00:00-07:00,212.86458333333334 V
2017-12-07T00:00:00-07:00,212.69791666666666 V
2017-12-08T00:00:00-07:00,212.79166666666666 V
2017-12-09T00:00:00-07:00,213.19791666666666 V
2017-12-10T00:00:00-07:00,213.28125 V
2017-12-11T00:00:00-07:00,213.22916666666666 V
2017-12-12T00:00:00-07:00,212.83333333333334 V
2017-12-13T00:00:00-07:00,213.45833333333334 V
2017-12-14T00:00:00-07:00,213.08333333333334 V
2017-12-15T00:00:00-07:00,212.98958333333334 V
2017-12-16T00:00:00-07:00,213.13541666666666 V
2017-12-17T00:00:00-07:00,213.30208333333334 V
2017-12-18T00:00:00-07:00,213.41935483870967 V
2017-12-19T00:00:00-07:00,213 V
2017-12-20T00:00:00-07:00,213.01041666666666 V
2017-12-21T00:00:00-07:00,213.13541666666666 V
2017-12-22T00:00:00-07:00,213.23958333333334 V
2017-12-23T00:00:00-07:00,212.9375 V
2017-12-24T00:00:00-07:00,213.41666666666666 V
2017-12-25T00:00:00-07:00,213.21875 V
2017-12-26T00:00:00-07:00,213.29166666666666 V
2017-12-27T00:00:00-07:00,213.29166666666666 V
2017-12-28T00:00:00-07:00,213 V
2017-12-29T00:00:00-07:00,213.01041666666666 V
2017-12-30T00:00:00-07:00,212.91666666666666 V
2017-12-31T00:00:00-07:00,213.07291666666666 V
