Timestamp,['1cca74ce-2848d284 0062-WARNOCK ENGR BLDG Power Meter 316606 Volts BC']
2017-02-09T00:00:00-07:00,213.37083333333334 V
2017-02-10T00:00:00-07:00,213.59791666666666 V
2017-02-11T00:00:00-07:00,213.56944444444446 V
2017-02-12T00:00:00-07:00,213.39930555555554 V
2017-02-13T00:00:00-07:00,213.39583333333334 V
2017-02-14T00:00:00-07:00,213.43309859154928 V
2017-02-15T00:00:00-07:00,213.52777777777777 V
2017-02-16T00:00:00-07:00,213.45763888888888 V
2017-02-17T00:00:00-07:00,213.58055555555555 V
2017-02-18T00:00:00-07:00,213.58055555555555 V
2017-02-19T00:00:00-07:00,213.51388888888889 V
2017-02-20T00:00:00-07:00,213.35694444444445 V
2017-02-21T00:00:00-07:00,213.43194444444444 V
2017-02-22T00:00:00-07:00,213.2736111111111 V
2017-02-23T00:00:00-07:00,213.22222222222223 V
2017-02-24T00:00:00-07:00,213.1784776902887 V
2017-02-25T00:00:00-07:00,213.31666666666666 V
2017-02-26T00:00:00-07:00,213.61666666666667 V
2017-02-27T00:00:00-07:00,213.67777777777778 V
2017-02-28T00:00:00-07:00,213.30902777777777 V
2017-03-01T00:00:00-07:00,213.35763888888889 V
2017-03-02T00:00:00-07:00,213.46180555555554 V
2017-03-03T00:00:00-07:00,213.20069444444445 V
2017-03-04T00:00:00-07:00,213.20833333333334 V
2017-03-05T00:00:00-07:00,213.14166666666668 V
2017-03-06T00:00:00-07:00,213.13680555555555 V
2017-03-07T00:00:00-07:00,213.20347222222222 V
2017-03-08T00:00:00-07:00,213.3659722222222 V
2017-03-09T00:00:00-07:00,213.25 V
2017-03-10T00:00:00-07:00,213.25625 V
2017-03-11T00:00:00-07:00,213.41666666666666 V
2017-03-12T00:00:00-07:00,213.21884057971013 V
2017-03-13T00:00:00-06:00,213.47291666666666 V
2017-03-14T00:00:00-06:00,213.38819444444445 V
2017-03-15T00:00:00-06:00,212.98680555555555 V
2017-03-16T00:00:00-06:00,213.38888888888889 V
2017-03-17T00:00:00-06:00,213.11111111111111 V
2017-03-18T00:00:00-06:00,213.50694444444446 V
2017-03-19T00:00:00-06:00,213.26388888888889 V
2017-03-20T00:00:00-06:00,213.16666666666666 V
2017-03-21T00:00:00-06:00,213.14444444444445 V
2017-03-22T00:00:00-06:00,213.2236111111111 V
2017-03-23T00:00:00-06:00,213.23680555555555 V
2017-03-24T00:00:00-06:00,213.45694444444445 V
2017-03-25T00:00:00-06:00,213.51538461538462 V
2017-03-26T00:00:00-06:00,213.2097222222222 V
2017-03-27T00:00:00-06:00,213.29166666666666 V
2017-03-28T00:00:00-06:00,213.34027777777777 V
2017-03-29T00:00:00-06:00,213.26099158091674 V
2017-03-30T00:00:00-06:00,213.29121725731895 V
2017-03-31T00:00:00-06:00,213.43055555555554 V
2017-04-01T00:00:00-06:00,213.60416666666666 V
2017-04-02T00:00:00-06:00,213.48611111111111 V
2017-04-03T00:00:00-06:00,213.30416666666667 V
2017-04-04T00:00:00-06:00,213.35069444444446 V
2017-04-05T00:00:00-06:00,213.21527777777777 V
2017-04-06T00:00:00-06:00,213.03472222222223 V
2017-04-07T00:00:00-06:00,213.37291666666667 V
2017-04-08T00:00:00-06:00,213.50277777777777 V
2017-04-09T00:00:00-06:00,213.65277777777777 V
2017-04-10T00:00:00-06:00,213.4597222222222 V
2017-04-11T00:00:00-06:00,213.49652777777777 V
2017-04-12T00:00:00-06:00,213.29861111111111 V
2017-04-13T00:00:00-06:00,213.21527777777777 V
2017-04-14T00:00:00-06:00,213.47222222222223 V
2017-04-15T00:00:00-06:00,213.20555555555555 V
2017-04-16T00:00:00-06:00,213.68958333333333 V
2017-04-17T00:00:00-06:00,213.34027777777777 V
2017-04-18T00:00:00-06:00,213.26875 V
2017-04-19T00:00:00-06:00,213.12916666666666 V
2017-04-20T00:00:00-06:00,213.23333333333332 V
2017-04-21T00:00:00-06:00,212.93055555555554 V
2017-04-22T00:00:00-06:00,213.0888888888889 V
2017-04-23T00:00:00-06:00,213.11875 V
2017-04-24T00:00:00-06:00,213.41666666666666 V
2017-04-25T00:00:00-06:00,213.15208333333334 V
2017-04-26T00:00:00-06:00,213.07708333333332 V
2017-04-27T00:00:00-06:00,213.43680555555557 V
2017-04-28T00:00:00-06:00,213.17361111111111 V
2017-04-29T00:00:00-06:00,213.41666666666666 V
2017-04-30T00:00:00-06:00,213.13125 V
2017-05-01T00:00:00-06:00,213.17430555555555 V
2017-05-02T00:00:00-06:00,213.04861111111111 V
2017-05-03T00:00:00-06:00,213.18680555555557 V
2017-05-04T00:00:00-06:00,213.06805555555556 V
2017-05-05T00:00:00-06:00,213.19444444444446 V
2017-05-06T00:00:00-06:00,213.13541666666666 V
2017-05-07T00:00:00-06:00,213.1625 V
2017-05-08T00:00:00-06:00,213.18873239436618 V
2017-05-09T00:00:00-06:00,213.30069444444445 V
2017-05-10T00:00:00-06:00,213.17708333333334 V
2017-05-11T00:00:00-06:00,212.92708333333334 V
2017-05-12T00:00:00-06:00,213.31597222222223 V
2017-05-13T00:00:00-06:00,213.49305555555554 V
2017-05-14T00:00:00-06:00,212.98611111111111 V
2017-05-15T00:00:00-06:00,213.17083333333332 V
2017-05-16T00:00:00-06:00,213.46363636363637 V
2017-05-17T00:00:00-06:00,213.50694444444446 V
2017-05-18T00:00:00-06:00,213.17013888888889 V
2017-05-19T00:00:00-06:00,213.59722222222223 V
2017-05-20T00:00:00-06:00,213.38333333333333 V
2017-05-21T00:00:00-06:00,213.3347222222222 V
2017-05-22T00:00:00-06:00,213.42916666666667 V
2017-05-23T00:00:00-06:00,213.35347222222222 V
2017-05-24T00:00:00-06:00,213.32083333333333 V
2017-05-25T00:00:00-06:00,213.33263888888888 V
2017-05-26T00:00:00-06:00,213.33263888888888 V
2017-05-27T00:00:00-06:00,213.33402777777778 V
2017-05-28T00:00:00-06:00,213.34722222222223 V
2017-05-29T00:00:00-06:00,213.29930555555555 V
2017-05-30T00:00:00-06:00,213.40972222222223 V
2017-05-31T00:00:00-06:00,213.32708333333332 V
2017-06-01T00:00:00-06:00,213.53402777777777 V
2017-06-02T00:00:00-06:00,213.27083333333334 V
2017-06-03T00:00:00-06:00,213.3347222222222 V
2017-06-04T00:00:00-06:00,213.22986111111112 V
2017-06-05T00:00:00-06:00,213.23402777777778 V
2017-06-06T00:00:00-06:00,213.3840277777778 V
