Timestamp,['1eb2a0f8-e614faf8 0074-BUSINESS CLASSROOM BLDG Power Meter (208V) Current A']
2017-04-29T00:00:00-06:00,4.6232503690217674 A
2017-04-30T00:00:00-06:00,4.555993755658467 A
2017-05-01T00:00:00-06:00,5.275645047426224 A
2017-05-02T00:00:00-06:00,5.343746329347293 A
2017-05-03T00:00:00-06:00,5.65724431971709 A
2017-05-04T00:00:00-06:00,5.612886339426041 A
2017-05-05T00:00:00-06:00,5.4785881489515305 A
2017-05-06T00:00:00-06:00,5.0409880975882215 A
2017-05-07T00:00:00-06:00,5.0378279735644655 A
2017-05-08T00:00:00-06:00,4.987708414594333 A
2017-05-09T00:00:00-06:00,4.752055262525876 A
2017-05-10T00:00:00-06:00,5.045418510834376 A
2017-05-11T00:00:00-06:00,4.876461322108905 A
2017-05-12T00:00:00-06:00,4.743966912229856 A
2017-05-13T00:00:00-06:00,4.1195723215738935 A
2017-05-14T00:00:00-06:00,4.11855333050092 A
2017-05-15T00:00:00-06:00,4.876217936476071 A
2017-05-16T00:00:00-06:00,4.813005328178406 A
2017-05-17T00:00:00-06:00,4.829594348867734 A
2017-05-18T00:00:00-06:00,4.784752209981282 A
2017-05-19T00:00:00-06:00,4.8252711196740465 A
2017-05-20T00:00:00-06:00,4.256798918048541 A
2017-05-21T00:00:00-06:00,4.261357247829437 A
2017-05-22T00:00:00-06:00,5.083443696300189 A
2017-05-23T00:00:00-06:00,5.058715686202049 A
2017-05-24T00:00:00-06:00,5.026126384735107 A
2017-05-25T00:00:00-06:00,4.572081580758095 A
2017-05-26T00:00:00-06:00,4.1406966497500735 A
2017-05-27T00:00:00-06:00,4.136812385759856 A
2017-05-28T00:00:00-06:00,4.136053918537341 A
2017-05-29T00:00:00-06:00,4.141271496812503 A
2017-05-30T00:00:00-06:00,4.955601325787996 A
2017-05-31T00:00:00-06:00,5.0999536216259 A
2017-06-01T00:00:00-06:00,5.177838156620662 A
2017-06-02T00:00:00-06:00,4.808640378216903 A
2017-06-03T00:00:00-06:00,3.8709405486782393 A
2017-06-04T00:00:00-06:00,3.875815160572529 A
2017-06-05T00:00:00-06:00,4.8211284553011255 A
2017-06-06T00:00:00-06:00,4.935710082451503 A
2017-06-07T00:00:00-06:00,4.8969176063934965 A
2017-06-08T00:00:00-06:00,4.844871466358502 A
2017-06-09T00:00:00-06:00,4.5473328307271 A
2017-06-10T00:00:00-06:00,3.798469310057791 A
2017-06-11T00:00:00-06:00,3.796167386074861 A
2017-06-12T00:00:00-06:00,4.860188193619251 A
2017-06-13T00:00:00-06:00,4.997874389092128 A
2017-06-14T00:00:00-06:00,4.889110108216603 A
2017-06-15T00:00:00-06:00,4.891437908013661 A
2017-06-16T00:00:00-06:00,4.81785153100888 A
2017-06-17T00:00:00-06:00,3.809503016372522 A
2017-06-18T00:00:00-06:00,3.809468780954679 A
2017-06-19T00:00:00-06:00,4.556647449731827 A
2017-06-20T00:00:00-06:00,4.745550672213237 A
2017-06-21T00:00:00-06:00,4.826365078488986 A
2017-06-22T00:00:00-06:00,4.912155196070671 A
2017-06-23T00:00:00-06:00,4.2165499988355135 A
2017-06-24T00:00:00-06:00,3.7873179440697036 A
2017-06-25T00:00:00-06:00,3.788929723203182 A
2017-06-26T00:00:00-06:00,4.806980041166146 A
