Timestamp,"['20c1f09a-868a1c21 0090-HUNTSMAN CNTR Power Meter 2 (301448) W-hours, Received']"
2017-09-25T00:00:00-06:00,5209.90625 kWh
2017-09-26T00:00:00-06:00,5302.9375 kWh
2017-09-27T00:00:00-06:00,5259.1875 kWh
2017-09-28T00:00:00-06:00,5310.59375 kWh
2017-09-29T00:00:00-06:00,5817.03125 kWh
2017-09-30T00:00:00-06:00,5939.8125 kWh
2017-10-01T00:00:00-06:00,4502.6875 kWh
2017-10-02T00:00:00-06:00,5588.46875 kWh
2017-10-03T00:00:00-06:00,5445.21875 kWh
2017-10-04T00:00:00-06:00,5484.8125 kWh
2017-10-05T00:00:00-06:00,5565.84375 kWh
2017-10-06T00:00:00-06:00,5722.4375 kWh
2017-10-07T00:00:00-06:00,5020.75 kWh
2017-10-08T00:00:00-06:00,5204.46875 kWh
2017-10-09T00:00:00-06:00,5629.1875 kWh
2017-10-10T00:00:00-06:00,5554.90625 kWh
2017-10-11T00:00:00-06:00,5522.9375 kWh
2017-10-12T00:00:00-06:00,5315.6875 kWh
2017-10-13T00:00:00-06:00,5789.25 kWh
2017-10-14T00:00:00-06:00,5712.21875 kWh
2017-10-15T00:00:00-06:00,6071.96875 kWh
2017-10-16T00:00:00-06:00,5824.625 kWh
2017-10-17T00:00:00-06:00,7440.4375 kWh
2017-10-18T00:00:00-06:00,6550.71875 kWh
2017-10-19T00:00:00-06:00,6184.65625 kWh
2017-10-20T00:00:00-06:00,6968.25 kWh
2017-10-21T00:00:00-06:00,6497.8125 kWh
2017-10-22T00:00:00-06:00,6213.71875 kWh
2017-10-23T00:00:00-06:00,5727.03125 kWh
2017-10-24T00:00:00-06:00,6010.40625 kWh
2017-10-25T00:00:00-06:00,5816.5625 kWh
2017-10-26T00:00:00-06:00,5660 kWh
2017-10-27T00:00:00-06:00,5857.375 kWh
2017-10-28T00:00:00-06:00,6208.25 kWh
2017-10-29T00:00:00-06:00,5177.375 kWh
2017-10-30T00:00:00-06:00,5906.875 kWh
2017-10-31T00:00:00-06:00,6025.9375 kWh
2017-11-01T00:00:00-06:00,6737.625 kWh
2017-11-02T00:00:00-06:00,6423.25 kWh
2017-11-03T00:00:00-06:00,5521.6875 kWh
2017-11-04T00:00:00-06:00,6234.875 kWh
2017-11-05T00:00:00-06:00,5713.3125 kWh
2017-11-06T00:00:00-07:00,5822.1875 kWh
2017-11-07T00:00:00-07:00,6107.875 kWh
2017-11-08T00:00:00-07:00,6209.5625 kWh
2017-11-09T00:00:00-07:00,6114.1875 kWh
2017-11-10T00:00:00-07:00,7728.6875 kWh
2017-11-11T00:00:00-07:00,6263.25 kWh
2017-11-12T00:00:00-07:00,6803.0625 kWh
2017-11-13T00:00:00-07:00,7506.8125 kWh
2017-11-14T00:00:00-07:00,5860.375 kWh
2017-11-15T00:00:00-07:00,6021.5625 kWh
2017-11-16T00:00:00-07:00,7403.5 kWh
2017-11-17T00:00:00-07:00,7169.75 kWh
2017-11-18T00:00:00-07:00,6889.75 kWh
2017-11-19T00:00:00-07:00,5961.8125 kWh
2017-11-20T00:00:00-07:00,6841.5625 kWh
2017-11-21T00:00:00-07:00,5838.6875 kWh
2017-11-22T00:00:00-07:00,5874.5625 kWh
2017-11-23T00:00:00-07:00,5624.0625 kWh
2017-11-24T00:00:00-07:00,7053.5625 kWh
2017-11-25T00:00:00-07:00,6052.6875 kWh
2017-11-26T00:00:00-07:00,5552.125 kWh
2017-11-27T00:00:00-07:00,6598 kWh
2017-11-28T00:00:00-07:00,6046.9375 kWh
2017-11-29T00:00:00-07:00,6440.25 kWh
2017-11-30T00:00:00-07:00,14309.75 kWh
2017-12-02T00:00:00-07:00,7654.625 kWh
2017-12-03T00:00:00-07:00,30077.0625 kWh
2017-12-08T00:00:00-07:00,83426.5625 kWh
2017-12-22T00:00:00-07:00,16691.1875 kWh
2017-12-25T00:00:00-07:00,5147.1875 kWh
2017-12-26T00:00:00-07:00,11450.5625 kWh
2017-12-28T00:00:00-07:00,28794.5 kWh
