Timestamp,['1cc971e5-cf18bf55 0051-STERLING SILL CNTR Power Meter Current A']
2017-04-28T00:00:00-06:00,57.38124998410543 A
2017-04-29T00:00:00-06:00,59.797916769981384 A
2017-04-30T00:00:00-06:00,60.9270832935969 A
2017-05-01T00:00:00-06:00,62.27499985694885 A
2017-05-02T00:00:00-06:00,59.89895856380463 A
2017-05-03T00:00:00-06:00,58.25624990463257 A
2017-05-04T00:00:00-06:00,60.13645819822947 A
2017-05-05T00:00:00-06:00,59.363541762034096 A
2017-05-06T00:00:00-06:00,54.81666656335195 A
2017-05-07T00:00:00-06:00,53.61562502384186 A
2017-05-08T00:00:00-06:00,60.68125013510386 A
2017-05-09T00:00:00-06:00,62.29895814259847 A
2017-05-10T00:00:00-06:00,62.682291547457375 A
2017-05-11T00:00:00-06:00,62.77083337306976 A
2017-05-12T00:00:00-06:00,60.44999980926514 A
2017-05-13T00:00:00-06:00,53.82916673024496 A
2017-05-14T00:00:00-06:00,52.51562511920929 A
2017-05-15T00:00:00-06:00,62.51458326975504 A
2017-05-16T00:00:00-06:00,64.30208357175191 A
2017-05-17T00:00:00-06:00,60.10312525431315 A
2017-05-18T00:00:00-06:00,58.28333330154419 A
2017-05-19T00:00:00-06:00,58.276041865348816 A
2017-05-20T00:00:00-06:00,53.469791531562805 A
2017-05-21T00:00:00-06:00,55.64687510331472 A
2017-05-22T00:00:00-06:00,60.01770834128062 A
2017-05-23T00:00:00-06:00,63.46874976158142 A
2017-05-24T00:00:00-06:00,63.22187530994415 A
2017-05-25T00:00:00-06:00,60.412499944368996 A
2017-05-26T00:00:00-06:00,66.70937514305115 A
2017-05-27T00:00:00-06:00,64.97083330154419 A
2017-05-28T00:00:00-06:00,67.10833338896434 A
2017-05-29T00:00:00-06:00,67.51770842075348 A
2017-05-30T00:00:00-06:00,67.50833324591319 A
2017-05-31T00:00:00-06:00,65.93645830949147 A
2017-06-01T00:00:00-06:00,63.80312474568685 A
2017-06-02T00:00:00-06:00,59.80104180177053 A
2017-06-03T00:00:00-06:00,54.99791653951009 A
2017-06-04T00:00:00-06:00,55.25312519073486 A
2017-06-05T00:00:00-06:00,64.00520849227905 A
2017-06-06T00:00:00-06:00,65.90312492847443 A
2017-06-07T00:00:00-06:00,65.51562496026357 A
2017-06-08T00:00:00-06:00,61.815625270207725 A
2017-06-09T00:00:00-06:00,58.348958134651184 A
2017-06-10T00:00:00-06:00,56.110416650772095 A
2017-06-11T00:00:00-06:00,56.33854138851166 A
2017-06-12T00:00:00-06:00,64.05729186534882 A
2017-06-13T00:00:00-06:00,65.46041639645894 A
2017-06-14T00:00:00-06:00,61.170833150545754 A
2017-06-15T00:00:00-06:00,62.94791682561239 A
2017-06-16T00:00:00-06:00,59.761458118756615 A
2017-06-17T00:00:00-06:00,55.061458349227905 A
2017-06-18T00:00:00-06:00,55.14270826180776 A
2017-06-19T00:00:00-06:00,62.465624968210854 A
2017-06-20T00:00:00-06:00,61.349999825159706 A
2017-06-21T00:00:00-06:00,65.08749989668529 A
2017-06-22T00:00:00-06:00,59.38125002384186 A
2017-06-23T00:00:00-06:00,59.33750001589457 A
2017-06-24T00:00:00-06:00,55.10937515894572 A
2017-06-25T00:00:00-06:00,55.50104161103567 A
2017-06-26T00:00:00-06:00,61.53749974568685 A
2017-06-27T00:00:00-06:00,65.59791668256123 A
2017-06-28T00:00:00-06:00,60.92916679382324 A
2017-06-29T00:00:00-06:00,63.05520828564962 A
2017-06-30T00:00:00-06:00,60.442708214124046 A
2017-07-01T00:00:00-06:00,55.945833365122475 A
2017-07-02T00:00:00-06:00,53.01354165871938 A
2017-07-03T00:00:00-06:00,59.66041680177053 A
2017-07-04T00:00:00-06:00,53.25729159514109 A
2017-07-05T00:00:00-06:00,62.57812496026357 A
2017-07-06T00:00:00-06:00,58.596874952316284 A
2017-07-07T00:00:00-06:00,59.21979145208994 A
2017-07-08T00:00:00-06:00,54.381250182787575 A
2017-07-09T00:00:00-06:00,54.74479158719381 A
2017-07-10T00:00:00-06:00,63.32187525431315 A
2017-07-11T00:00:00-06:00,61.59166661898295 A
2017-07-12T00:00:00-06:00,63.35625000794729 A
2017-07-13T00:00:00-06:00,60.67812490463257 A
2017-07-14T00:00:00-06:00,65.5822917620341 A
2017-07-15T00:00:00-06:00,55.040624936421715 A
2017-07-16T00:00:00-06:00,58.47916690508524 A
2017-07-17T00:00:00-06:00,59.51979148387909 A
2017-07-18T00:00:00-06:00,61.29687476158142 A
2017-07-19T00:00:00-06:00,58.85416638851166 A
2017-07-20T00:00:00-06:00,61.21145844459534 A
2017-07-21T00:00:00-06:00,57.73645830154419 A
2017-07-22T00:00:00-06:00,54.998958230018616 A
2017-07-23T00:00:00-06:00,53.39895828564962 A
2017-07-24T00:00:00-06:00,55.009375055631004 A
2017-07-25T00:00:00-06:00,65.1572916507721 A
2017-07-26T00:00:00-06:00,62.76145831743876 A
2017-07-27T00:00:00-06:00,65.43333327770233 A
2017-07-28T00:00:00-06:00,59.67395830154419 A
2017-07-29T00:00:00-06:00,57.31458326180776 A
2017-07-30T00:00:00-06:00,53.44375002384186 A
2017-07-31T00:00:00-06:00,65.98333315054576 A
2017-08-01T00:00:00-06:00,61.966666420300804 A
2017-08-02T00:00:00-06:00,63.765625 A
2017-08-03T00:00:00-06:00,62.47499998410543 A
2017-08-04T00:00:00-06:00,61.22527476719448 A
2017-08-05T00:00:00-06:00,53.80937500794729 A
2017-08-06T00:00:00-06:00,53.55729158719381 A
2017-08-07T00:00:00-06:00,66.50312467416127 A
2017-08-08T00:00:00-06:00,61.77395820617676 A
2017-08-09T00:00:00-06:00,64.84479133288066 A
2017-08-10T00:00:00-06:00,61.235106407327855 A
2017-08-11T00:00:00-06:00,61.628124952316284 A
2017-08-12T00:00:00-06:00,56.9895832935969 A
2017-08-13T00:00:00-06:00,54.58958339691162 A
2017-08-14T00:00:00-06:00,66.30625001589458 A
2017-08-15T00:00:00-06:00,67.66250006357829 A
2017-08-16T00:00:00-06:00,65.63020825386047 A
2017-08-17T00:00:00-06:00,64.66249982515971 A
2017-08-18T00:00:00-06:00,61.53854159514109 A
2017-08-19T00:00:00-06:00,56.90104182561239 A
2017-08-20T00:00:00-06:00,54.80833343664805 A
2017-08-21T00:00:00-06:00,63.700000166893005 A
2017-08-22T00:00:00-06:00,67.5791666507721 A
2017-08-23T00:00:00-06:00,66.90520850817363 A
2017-08-24T00:00:00-06:00,65.4364584684372 A
2017-08-25T00:00:00-06:00,61.94375010331472 A
2017-08-26T00:00:00-06:00,54.494791785875954 A
2017-08-27T00:00:00-06:00,55.26874987284342 A
2017-08-28T00:00:00-06:00,64.96956518422003 A
2017-08-29T00:00:00-06:00,65.62903209399151 A
2017-08-30T00:00:00-06:00,64.56666652361552 A
2017-08-31T00:00:00-06:00,65.43958314259847 A
2017-09-01T00:00:00-06:00,62.87083303928375 A
2017-09-02T00:00:00-06:00,55.97708320617676 A
2017-09-03T00:00:00-06:00,56.056250174840294 A
2017-09-04T00:00:00-06:00,57.17083326975504 A
2017-09-05T00:00:00-06:00,66.1770834128062 A
2017-09-06T00:00:00-06:00,67.29374996821086 A
2017-09-07T00:00:00-06:00,68.412500222524 A
2017-09-08T00:00:00-06:00,67.41684204904656 A
2017-09-09T00:00:00-06:00,57.76145843664805 A
2017-09-10T00:00:00-06:00,58.15937499205271 A
2017-09-11T00:00:00-06:00,68.33229192097981 A
2017-09-12T00:00:00-06:00,71.15208347638448 A
2017-09-13T00:00:00-06:00,66.4208333492279 A
2017-09-14T00:00:00-06:00,64.56666632493337 A
2017-09-15T00:00:00-06:00,69.38854169845581 A
2017-09-16T00:00:00-06:00,62.2833331823349 A
2017-09-17T00:00:00-06:00,62.49479158719381 A
2017-09-18T00:00:00-06:00,70.12916668256123 A
2017-09-19T00:00:00-06:00,69.43958290417989 A
2017-09-20T00:00:00-06:00,64.70729180177052 A
2017-09-21T00:00:00-06:00,65.49999976158142 A
