Timestamp,['1cac6e4c-0002e86a 0011-BROWNING BLDG Power Meter 311945 KW Total']
2017-04-23T00:00:00-06:00,55.714576721191406 kW
2017-04-24T00:00:00-06:00,72.02056121826172 kW
2017-04-25T00:00:00-06:00,73.42062377929688 kW
2017-04-26T00:00:00-06:00,72.34333038330078 kW
2017-04-27T00:00:00-06:00,79.54070281982422 kW
2017-04-28T00:00:00-06:00,74.06730651855469 kW
2017-04-29T00:00:00-06:00,62.54539489746094 kW
2017-04-30T00:00:00-06:00,57.43079376220703 kW
2017-05-01T00:00:00-06:00,85.24649047851562 kW
2017-05-02T00:00:00-06:00,76.71943664550781 kW
2017-05-03T00:00:00-06:00,83.12089538574219 kW
2017-05-04T00:00:00-06:00,78.10104370117188 kW
2017-05-05T00:00:00-06:00,100.20442962646484 kW
2017-05-06T00:00:00-06:00,56.401023864746094 kW
2017-05-07T00:00:00-06:00,86.51200103759766 kW
2017-05-08T00:00:00-06:00,87.88833618164062 kW
2017-05-09T00:00:00-06:00,70.91307067871094 kW
2017-05-10T00:00:00-06:00,74.71702575683594 kW
2017-05-11T00:00:00-06:00,103.0720443725586 kW
2017-05-12T00:00:00-06:00,105.05220031738281 kW
2017-05-13T00:00:00-06:00,88.25209045410156 kW
2017-05-14T00:00:00-06:00,55.885780334472656 kW
2017-05-15T00:00:00-06:00,81.0167236328125 kW
2017-05-16T00:00:00-06:00,111.19808959960938 kW
2017-05-17T00:00:00-06:00,78.40242767333984 kW
2017-05-18T00:00:00-06:00,79.71405029296875 kW
2017-05-19T00:00:00-06:00,74.90555572509766 kW
2017-05-20T00:00:00-06:00,98.9928207397461 kW
2017-05-21T00:00:00-06:00,59.486663818359375 kW
2017-05-22T00:00:00-06:00,76.45450592041016 kW
2017-05-23T00:00:00-06:00,81.41217803955078 kW
2017-05-24T00:00:00-06:00,110.21602630615234 kW
2017-05-25T00:00:00-06:00,103.14502716064453 kW
2017-05-26T00:00:00-06:00,102.32723236083984 kW
2017-05-27T00:00:00-06:00,62.454811096191406 kW
2017-05-28T00:00:00-06:00,57.8669548034668 kW
2017-05-29T00:00:00-06:00,58.14797592163086 kW
2017-05-30T00:00:00-06:00,81.64392852783203 kW
2017-05-31T00:00:00-06:00,72.35333251953125 kW
