Timestamp,['1da98333-ebc83065 0032-RICE-ECCLES STADIUM POWER METER (Main Stadium) 300075 Volts A-N']
2017-04-15T00:00:00-06:00,282.8635670344035 V
2017-04-16T00:00:00-06:00,283.96309121449787 V
2017-04-17T00:00:00-06:00,283.57465140024823 V
2017-04-18T00:00:00-06:00,283.4002413185694 V
2017-04-19T00:00:00-06:00,283.42825253804523 V
2017-04-20T00:00:00-06:00,283.4242645899455 V
2017-04-21T00:00:00-06:00,282.82796478271484 V
2017-04-22T00:00:00-06:00,282.3582941691081 V
2017-04-23T00:00:00-06:00,282.9137757619222 V
2017-04-24T00:00:00-06:00,283.33616320292157 V
2017-04-25T00:00:00-06:00,283.2388041814168 V
2017-04-26T00:00:00-06:00,283.23719151814777 V
2017-04-27T00:00:00-06:00,283.50950542249177 V
2017-04-28T00:00:00-06:00,283.2832195081209 V
2017-04-29T00:00:00-06:00,283.4741090138753 V
2017-04-30T00:00:00-06:00,283.10134919484454 V
2017-05-01T00:00:00-06:00,283.18664932250977 V
2017-05-02T00:00:00-06:00,283.0726906458537 V
2017-05-03T00:00:00-06:00,283.0867338180542 V
2017-05-04T00:00:00-06:00,283.1439867521587 V
2017-05-05T00:00:00-06:00,283.3319886525472 V
2017-05-06T00:00:00-06:00,283.04461034138996 V
2017-05-07T00:00:00-06:00,283.2178370157878 V
2017-05-08T00:00:00-06:00,283.1190877062209 V
2017-05-09T00:00:00-06:00,283.1763687936883 V
2017-05-10T00:00:00-06:00,283.18365637461346 V
2017-05-11T00:00:00-06:00,282.7899049123128 V
2017-05-12T00:00:00-06:00,283.30464394887287 V
2017-05-13T00:00:00-06:00,283.5464121500651 V
2017-05-14T00:00:00-06:00,283.0006980895996 V
2017-05-15T00:00:00-06:00,283.1604235967 V
2017-05-16T00:00:00-06:00,283.49724988435446 V
2017-05-17T00:00:00-06:00,283.61253356933594 V
2017-05-18T00:00:00-06:00,283.19871012369794 V
2017-05-19T00:00:00-06:00,283.57710552215576 V
2017-05-20T00:00:00-06:00,283.3255567550659 V
2017-05-21T00:00:00-06:00,283.1973403294881 V
2017-05-22T00:00:00-06:00,283.36445896599884 V
2017-05-23T00:00:00-06:00,283.05795733133954 V
2017-05-24T00:00:00-06:00,283.34073003133136 V
2017-05-25T00:00:00-06:00,283.58431847890216 V
2017-05-26T00:00:00-06:00,283.4365816116333 V
2017-05-27T00:00:00-06:00,283.4513295491536 V
2017-05-28T00:00:00-06:00,283.58168029785156 V
2017-05-29T00:00:00-06:00,283.5133186976115 V
2017-05-30T00:00:00-06:00,283.55922508239746 V
2017-05-31T00:00:00-06:00,283.1856921513875 V
2017-06-01T00:00:00-06:00,283.5821062723796 V
2017-06-02T00:00:00-06:00,283.2915302477385 V
2017-06-03T00:00:00-06:00,283.38547801971436 V
2017-06-04T00:00:00-06:00,283.2312644322713 V
2017-06-05T00:00:00-06:00,283.2808364232381 V
2017-06-06T00:00:00-06:00,283.2852363586426 V
2017-06-07T00:00:00-06:00,283.2254886627197 V
2017-06-08T00:00:00-06:00,283.5371379852295 V
2017-06-09T00:00:00-06:00,283.31633885701496 V
2017-06-10T00:00:00-06:00,283.28525193532306 V
2017-06-11T00:00:00-06:00,283.44625759124756 V
2017-06-12T00:00:00-06:00,283.58284759521484 V
2017-06-13T00:00:00-06:00,283.40155537923175 V
2017-06-14T00:00:00-06:00,283.03004964192706 V
2017-06-15T00:00:00-06:00,282.93207391103107 V
2017-06-16T00:00:00-06:00,282.7795686721802 V
2017-06-17T00:00:00-06:00,282.8192179997762 V
2017-06-18T00:00:00-06:00,282.77334531148273 V
2017-06-19T00:00:00-06:00,282.7153209050496 V
2017-06-20T00:00:00-06:00,282.94335142771405 V
2017-06-21T00:00:00-06:00,282.74141057332355 V
2017-06-22T00:00:00-06:00,282.9936939875285 V
2017-06-23T00:00:00-06:00,283.03744951883954 V
2017-06-24T00:00:00-06:00,282.47078704833984 V
2017-06-25T00:00:00-06:00,283.09443283081055 V
2017-06-26T00:00:00-06:00,282.89446417490643 V
2017-06-27T00:00:00-06:00,283.1631139119466 V
2017-06-28T00:00:00-06:00,283.0984773635864 V
2017-06-29T00:00:00-06:00,283.25860532124835 V
2017-06-30T00:00:00-06:00,283.1094315846761 V
2017-07-01T00:00:00-06:00,282.9023717244466 V
2017-07-02T00:00:00-06:00,283.18548583984375 V
2017-07-03T00:00:00-06:00,282.98217423756915 V
2017-07-04T00:00:00-06:00,283.4156211217244 V
2017-07-05T00:00:00-06:00,283.2270205815633 V
2017-07-06T00:00:00-06:00,283.32283782958984 V
2017-07-07T00:00:00-06:00,283.1330795288086 V
2017-07-08T00:00:00-06:00,283.0892028808594 V
2017-07-09T00:00:00-06:00,283.1523214975993 V
2017-07-10T00:00:00-06:00,283.22038237253827 V
2017-07-11T00:00:00-06:00,283.32729466756183 V
2017-07-12T00:00:00-06:00,283.21891434987384 V
2017-07-13T00:00:00-06:00,283.55752913157147 V
2017-07-14T00:00:00-06:00,283.2340415318807 V
2017-07-15T00:00:00-06:00,283.07194232940674 V
2017-07-16T00:00:00-06:00,283.0309365590413 V
2017-07-17T00:00:00-06:00,282.9905067606175 V
2017-07-18T00:00:00-06:00,283.05598799387616 V
2017-07-19T00:00:00-06:00,283.1735315322876 V
2017-07-20T00:00:00-06:00,283.1478583017985 V
2017-07-21T00:00:00-06:00,283.0029780069987 V
2017-07-22T00:00:00-06:00,282.9291755189287 V
2017-07-23T00:00:00-06:00,283.05774974823 V
2017-07-24T00:00:00-06:00,283.2396427790324 V
2017-07-25T00:00:00-06:00,283.14496485392254 V
2017-07-26T00:00:00-06:00,282.90760644276935 V
2017-07-27T00:00:00-06:00,283.23792870839435 V
2017-07-28T00:00:00-06:00,282.9300174713135 V
2017-07-29T00:00:00-06:00,282.9518686930339 V
2017-07-30T00:00:00-06:00,283.16396109263104 V
2017-07-31T00:00:00-06:00,283.1631940205892 V
2017-08-01T00:00:00-06:00,283.1532332102458 V
2017-08-02T00:00:00-06:00,282.81758721669513 V
2017-08-03T00:00:00-06:00,282.80469512939453 V
2017-08-04T00:00:00-06:00,282.81481316384304 V
2017-08-05T00:00:00-06:00,282.84355958302814 V
2017-08-06T00:00:00-06:00,282.8446346918742 V
2017-08-07T00:00:00-06:00,282.73983637491864 V
2017-08-08T00:00:00-06:00,282.94431591033936 V
2017-08-09T00:00:00-06:00,282.8697509765625 V
2017-08-10T00:00:00-06:00,282.9489142376444 V
2017-08-11T00:00:00-06:00,283.1009813944499 V
2017-08-12T00:00:00-06:00,282.96890926361084 V
2017-08-13T00:00:00-06:00,283.29581928253174 V
2017-08-14T00:00:00-06:00,283.16632652282715 V
2017-08-15T00:00:00-06:00,283.13073921203613 V
2017-08-16T00:00:00-06:00,282.8076009750366 V
2017-08-17T00:00:00-06:00,282.95580768585205 V
2017-08-18T00:00:00-06:00,283.06877358754474 V
2017-08-19T00:00:00-06:00,282.91869163513184 V
2017-08-20T00:00:00-06:00,283.2265952428182 V
2017-08-21T00:00:00-06:00,283.0489575068156 V
2017-08-22T00:00:00-06:00,282.9483273824056 V
2017-08-23T00:00:00-06:00,283.1782652537028 V
2017-08-24T00:00:00-06:00,283.0043074289958 V
2017-08-25T00:00:00-06:00,282.9287277857463 V
2017-08-26T00:00:00-06:00,282.62299251556396 V
2017-08-27T00:00:00-06:00,282.7481902440389 V
2017-08-28T00:00:00-06:00,282.997953935103 V
2017-08-29T00:00:00-06:00,282.99974466959634 V
2017-08-30T00:00:00-06:00,282.82738812764484 V
2017-08-31T00:00:00-06:00,282.1582104365031 V
2017-09-01T00:00:00-06:00,282.592222849528 V
2017-09-02T00:00:00-06:00,282.6330639521281 V
2017-09-03T00:00:00-06:00,282.8803014755249 V
2017-09-04T00:00:00-06:00,282.5588763554891 V
2017-09-05T00:00:00-06:00,282.66291491190594 V
2017-09-06T00:00:00-06:00,282.7863260904948 V
2017-09-07T00:00:00-06:00,282.77534643809 V
2017-09-08T00:00:00-06:00,283.0195965974227 V
2017-09-09T00:00:00-06:00,282.8407173156738 V
2017-09-10T00:00:00-06:00,282.89876397450763 V
2017-09-11T00:00:00-06:00,282.6520128250122 V
2017-09-12T00:00:00-06:00,283.03896617889404 V
