Timestamp,['1ee9af93-fc2b042a 0053-OLPIN UNION Power Meter (53-1) Current A']
2017-04-30T00:00:00-06:00,54.38230097293854 A
2017-05-01T00:00:00-06:00,59.37591143449148 A
2017-05-02T00:00:00-06:00,60.25170850753784 A
2017-05-03T00:00:00-06:00,60.09343481063843 A
2017-05-04T00:00:00-06:00,58.28245392666068 A
2017-05-05T00:00:00-06:00,105.20960521697998 A
2017-05-06T00:00:00-06:00,58.4825718528346 A
2017-05-07T00:00:00-06:00,51.35159699122111 A
2017-05-08T00:00:00-06:00,94.43417241949784 A
2017-05-09T00:00:00-06:00,98.19955817774722 A
2017-05-10T00:00:00-06:00,62.66999753316244 A
2017-05-11T00:00:00-06:00,94.31774282455444 A
2017-05-12T00:00:00-06:00,56.39601639906565 A
2017-05-13T00:00:00-06:00,49.25352462132772 A
2017-05-14T00:00:00-06:00,47.149513721466064 A
2017-05-15T00:00:00-06:00,51.80693572194953 A
2017-05-16T00:00:00-06:00,53.59891847769419 A
2017-05-17T00:00:00-06:00,57.05546951293945 A
2017-05-18T00:00:00-06:00,56.121165305689765 A
2017-05-19T00:00:00-06:00,56.85368605454763 A
2017-05-20T00:00:00-06:00,52.20675857861837 A
2017-05-21T00:00:00-06:00,48.14767611026764 A
2017-05-22T00:00:00-06:00,54.729544361432396 A
2017-05-23T00:00:00-06:00,87.56604965527852 A
2017-05-24T00:00:00-06:00,101.32585672537486 A
2017-05-25T00:00:00-06:00,99.72088189919789 A
2017-05-26T00:00:00-06:00,57.2698335647583 A
2017-05-27T00:00:00-06:00,49.70519653956095 A
2017-05-28T00:00:00-06:00,50.66384145046802 A
2017-05-29T00:00:00-06:00,51.967506090799965 A
2017-05-30T00:00:00-06:00,105.24282137552898 A
2017-05-31T00:00:00-06:00,105.85696736971538 A
2017-06-01T00:00:00-06:00,104.94229475657146 A
2017-06-02T00:00:00-06:00,103.62287084261577 A
2017-06-03T00:00:00-06:00,98.51763546466827 A
2017-06-04T00:00:00-06:00,97.56858440240224 A
2017-06-05T00:00:00-06:00,103.62625122070312 A
2017-06-06T00:00:00-06:00,106.06348439057668 A
2017-06-07T00:00:00-06:00,108.72158757845561 A
2017-06-08T00:00:00-06:00,108.91071665287018 A
2017-06-09T00:00:00-06:00,105.529265999794 A
2017-06-10T00:00:00-06:00,97.4343871275584 A
2017-06-11T00:00:00-06:00,96.08281262715657 A
2017-06-12T00:00:00-06:00,72.23670371373494 A
2017-06-13T00:00:00-06:00,57.16853137811025 A
2017-06-14T00:00:00-06:00,89.01275650660197 A
2017-06-15T00:00:00-06:00,104.09330495198567 A
2017-06-16T00:00:00-06:00,105.74733459949493 A
2017-06-17T00:00:00-06:00,98.72873973846436 A
2017-06-18T00:00:00-06:00,93.56046525637309 A
2017-06-19T00:00:00-06:00,99.54760344823201 A
2017-06-20T00:00:00-06:00,108.86670005321503 A
2017-06-21T00:00:00-06:00,109.49337391058604 A
