Timestamp,['1fa2474c-872f79df 0002-VOICE & OPERA CNTR Power Meter (301411) Current C']
2017-04-30T00:00:00-06:00,3.5081411885718503 A
2017-05-01T00:00:00-06:00,6.654657839486997 A
2017-05-02T00:00:00-06:00,9.767391335219145 A
2017-05-03T00:00:00-06:00,5.668129959454139 A
2017-05-04T00:00:00-06:00,6.074435231586297 A
2017-05-05T00:00:00-06:00,6.706147802372773 A
2017-05-06T00:00:00-06:00,2.4905704694489637 A
2017-05-07T00:00:00-06:00,2.5041693784296513 A
2017-05-08T00:00:00-06:00,5.316562219212453 A
2017-05-09T00:00:00-06:00,6.185739350815614 A
2017-05-10T00:00:00-06:00,5.938912569234769 A
2017-05-11T00:00:00-06:00,6.655568245798349 A
2017-05-12T00:00:00-06:00,7.307685952633619 A
2017-05-13T00:00:00-06:00,2.51650886485974 A
2017-05-14T00:00:00-06:00,2.2795345298945904 A
2017-05-15T00:00:00-06:00,5.452374177674453 A
2017-05-16T00:00:00-06:00,5.191927697509527 A
2017-05-17T00:00:00-06:00,5.198320840795835 A
2017-05-18T00:00:00-06:00,5.18808605397741 A
2017-05-19T00:00:00-06:00,5.96551317597429 A
2017-05-20T00:00:00-06:00,2.2961891976495585 A
2017-05-21T00:00:00-06:00,2.1708078272640705 A
2017-05-22T00:00:00-06:00,5.343585989127557 A
2017-05-23T00:00:00-06:00,6.325579956173897 A
2017-05-24T00:00:00-06:00,6.170988815526168 A
2017-05-25T00:00:00-06:00,5.248316341390212 A
2017-05-26T00:00:00-06:00,5.269046763579051 A
2017-05-27T00:00:00-06:00,2.1376475989818573 A
2017-05-28T00:00:00-06:00,2.023522660606786 A
2017-05-29T00:00:00-06:00,6.446659150222938 A
2017-05-30T00:00:00-06:00,7.208122787376245 A
2017-05-31T00:00:00-06:00,10.207229408125082 A
2017-06-01T00:00:00-06:00,10.6464740584294 A
2017-06-02T00:00:00-06:00,11.022119864821434 A
2017-06-03T00:00:00-06:00,6.9515737642844515 A
2017-06-04T00:00:00-06:00,6.7347757170597715 A
2017-06-05T00:00:00-06:00,11.528096536795298 A
2017-06-06T00:00:00-06:00,10.22933392971754 A
2017-06-07T00:00:00-06:00,10.572840947657824 A
2017-06-08T00:00:00-06:00,9.260599015901485 A
2017-06-09T00:00:00-06:00,9.25276537363728 A
2017-06-10T00:00:00-06:00,2.594021079414769 A
2017-06-11T00:00:00-06:00,2.6073289985458055 A
2017-06-12T00:00:00-06:00,5.932832994808753 A
2017-06-13T00:00:00-06:00,5.317066919058561 A
2017-06-14T00:00:00-06:00,6.397303345302741 A
2017-06-15T00:00:00-06:00,7.557070374488831 A
2017-06-16T00:00:00-06:00,8.187844706078371 A
2017-06-17T00:00:00-06:00,2.3111920952796936 A
2017-06-18T00:00:00-06:00,2.4603282722334066 A
2017-06-19T00:00:00-06:00,8.650102439026037 A
2017-06-20T00:00:00-06:00,10.060183121512333 A
2017-06-21T00:00:00-06:00,9.941273438433806 A
2017-06-22T00:00:00-06:00,8.558566560347876 A
2017-06-23T00:00:00-06:00,7.871964645882447 A
2017-06-24T00:00:00-06:00,6.475831236690283 A
2017-06-25T00:00:00-06:00,3.7738541401922703 A
2017-06-26T00:00:00-06:00,11.245773321638504 A
2017-06-27T00:00:00-06:00,10.597237097720305 A
2017-06-28T00:00:00-06:00,8.637958361456791 A
2017-06-29T00:00:00-06:00,7.861764806012313 A
2017-06-30T00:00:00-06:00,7.803506422787905 A
2017-07-01T00:00:00-06:00,2.6649978272616863 A
2017-07-02T00:00:00-06:00,3.8032737572987876 A
2017-07-03T00:00:00-06:00,11.724638481934866 A
2017-07-04T00:00:00-06:00,12.324552342295647 A
2017-07-05T00:00:00-06:00,12.659661372502645 A
2017-07-06T00:00:00-06:00,12.431842043995857 A
2017-07-07T00:00:00-06:00,12.59815202653408 A
2017-07-08T00:00:00-06:00,8.357598821322123 A
2017-07-09T00:00:00-06:00,8.709050392111143 A
2017-07-10T00:00:00-06:00,11.981247579058012 A
2017-07-11T00:00:00-06:00,11.078722700476646 A
2017-07-12T00:00:00-06:00,14.186085571845373 A
2017-07-13T00:00:00-06:00,11.51911058028539 A
2017-07-14T00:00:00-06:00,11.366459940870604 A
2017-07-15T00:00:00-06:00,7.420051430662473 A
2017-07-16T00:00:00-06:00,8.394063313802084 A
2017-07-17T00:00:00-06:00,11.967345952987671 A
2017-07-18T00:00:00-06:00,11.719584912061691 A
2017-07-19T00:00:00-06:00,14.797033245364824 A
2017-07-20T00:00:00-06:00,11.073616400361061 A
2017-07-21T00:00:00-06:00,15.935530379414558 A
2017-07-22T00:00:00-06:00,11.321135704716047 A
2017-07-23T00:00:00-06:00,7.593969677885373 A
2017-07-24T00:00:00-06:00,11.79805563390255 A
2017-07-25T00:00:00-06:00,10.104212611913681 A
2017-07-26T00:00:00-06:00,9.819010347127914 A
2017-07-27T00:00:00-06:00,10.078556304176649 A
2017-07-28T00:00:00-06:00,9.87490844229857 A
2017-07-29T00:00:00-06:00,6.101972182591756 A
2017-07-30T00:00:00-06:00,6.8605284839868546 A
2017-07-31T00:00:00-06:00,11.501877491672834 A
2017-08-01T00:00:00-06:00,11.48358911772569 A
2017-08-02T00:00:00-06:00,11.750153467059135 A
2017-08-03T00:00:00-06:00,16.229785420000553 A
2017-08-04T00:00:00-06:00,18.18650303699158 A
2017-08-05T00:00:00-06:00,11.297587233285109 A
2017-08-06T00:00:00-06:00,6.826719231903553 A
2017-08-07T00:00:00-06:00,15.1632980791231 A
2017-08-08T00:00:00-06:00,11.582052847991386 A
2017-08-09T00:00:00-06:00,13.284230356415113 A
2017-08-10T00:00:00-06:00,11.686457391749038 A
2017-08-11T00:00:00-06:00,15.602010052651167 A
2017-08-12T00:00:00-06:00,4.8417579134305315 A
2017-08-13T00:00:00-06:00,5.619506717969974 A
2017-08-14T00:00:00-06:00,12.843247330437103 A
2017-08-15T00:00:00-06:00,10.376890435814857 A
2017-08-16T00:00:00-06:00,11.937696989625692 A
2017-08-17T00:00:00-06:00,12.019861549139023 A
2017-08-18T00:00:00-06:00,15.085340912143389 A
2017-08-19T00:00:00-06:00,4.459466791401307 A
2017-08-20T00:00:00-06:00,6.22214874625206 A
2017-08-21T00:00:00-06:00,17.14339714869857 A
2017-08-22T00:00:00-06:00,13.835030253976583 A
2017-08-23T00:00:00-06:00,14.783405979474386 A
2017-08-24T00:00:00-06:00,12.629527119298777 A
2017-08-25T00:00:00-06:00,16.903655727704365 A
2017-08-26T00:00:00-06:00,4.301781481752793 A
2017-08-27T00:00:00-06:00,5.24651874601841 A
2017-08-28T00:00:00-06:00,23.131914123244908 A
2017-08-29T00:00:00-06:00,20.750763306053734 A
2017-08-30T00:00:00-06:00,18.222954663137596 A
2017-08-31T00:00:00-06:00,11.045997269451618 A
2017-09-01T00:00:00-06:00,14.601934107641378 A
2017-09-02T00:00:00-06:00,2.9844935523966947 A
2017-09-03T00:00:00-06:00,4.900786399841309 A
2017-09-04T00:00:00-06:00,14.748752022782961 A
2017-09-05T00:00:00-06:00,17.220324686417978 A
2017-09-06T00:00:00-06:00,17.744390905530828 A
2017-09-07T00:00:00-06:00,12.45083537697792 A
2017-09-08T00:00:00-06:00,14.803961425078542 A
2017-09-09T00:00:00-06:00,3.750904048482577 A
2017-09-10T00:00:00-06:00,1.9703771111865838 A
2017-09-11T00:00:00-06:00,15.761414140462875 A
2017-09-12T00:00:00-06:00,15.664716920504967 A
2017-09-13T00:00:00-06:00,11.935285511116186 A
2017-09-14T00:00:00-06:00,7.992481719702482 A
2017-09-15T00:00:00-06:00,11.356653125335773 A
2017-09-16T00:00:00-06:00,2.8554329747955003 A
2017-09-17T00:00:00-06:00,2.8308666286369166 A
2017-09-18T00:00:00-06:00,11.25382641951243 A
2017-09-19T00:00:00-06:00,11.207774272809425 A
2017-09-20T00:00:00-06:00,10.110950782895088 A
