Timestamp,['1cac6e7d-dd4161be 0011-BROWNING BLDG Power Meter 311945 Current B']
2017-03-28T00:00:00-06:00,140.8269123395284 A
2017-03-29T00:00:00-06:00,151.9254319250751 A
2017-03-30T00:00:00-06:00,150.6848715436017 A
2017-03-31T00:00:00-06:00,148.7084987481435 A
2017-04-01T00:00:00-06:00,118.03548287285699 A
2017-04-02T00:00:00-06:00,119.87339783244663 A
2017-04-03T00:00:00-06:00,146.13690490192838 A
2017-04-04T00:00:00-06:00,159.77785958184137 A
2017-04-05T00:00:00-06:00,157.71300846205818 A
2017-04-06T00:00:00-06:00,148.85351009898716 A
2017-04-07T00:00:00-06:00,139.7968377166324 A
2017-04-08T00:00:00-06:00,124.50483646922642 A
2017-04-09T00:00:00-06:00,122.96591554217868 A
2017-04-10T00:00:00-06:00,148.97005032433404 A
2017-04-11T00:00:00-06:00,153.32252078586154 A
2017-04-12T00:00:00-06:00,155.17073148091634 A
2017-04-13T00:00:00-06:00,159.78923539585537 A
2017-04-14T00:00:00-06:00,146.09807589319018 A
2017-04-15T00:00:00-06:00,134.29681918885973 A
2017-04-16T00:00:00-06:00,123.86836734877693 A
2017-04-17T00:00:00-06:00,147.13733993636237 A
2017-04-18T00:00:00-06:00,159.15942350493538 A
2017-04-19T00:00:00-06:00,150.073078722424 A
2017-04-20T00:00:00-06:00,144.2024830341339 A
2017-04-21T00:00:00-06:00,144.26133714781867 A
2017-04-22T00:00:00-06:00,120.05912893691603 A
2017-04-23T00:00:00-06:00,125.23993882073296 A
2017-04-24T00:00:00-06:00,136.94793143802218 A
2017-04-25T00:00:00-06:00,140.7784712049696 A
2017-04-26T00:00:00-06:00,134.19463664160835 A
2017-04-27T00:00:00-06:00,144.2133631070455 A
2017-04-28T00:00:00-06:00,148.1241614871555 A
2017-04-29T00:00:00-06:00,124.86650122536554 A
2017-04-30T00:00:00-06:00,122.77097199757894 A
2017-05-01T00:00:00-06:00,148.2800831052992 A
2017-05-02T00:00:00-06:00,146.21176877551608 A
2017-05-03T00:00:00-06:00,158.30690868695578 A
2017-05-04T00:00:00-06:00,153.99952046606276 A
2017-05-05T00:00:00-06:00,151.69442338128317 A
2017-05-06T00:00:00-06:00,127.75989966922336 A
2017-05-07T00:00:00-06:00,129.2659998204973 A
2017-05-08T00:00:00-06:00,143.33174679404812 A
2017-05-09T00:00:00-06:00,140.53093939887154 A
2017-05-10T00:00:00-06:00,144.0575745370653 A
2017-05-11T00:00:00-06:00,160.0760341750251 A
2017-05-12T00:00:00-06:00,154.54812228141185 A
2017-05-13T00:00:00-06:00,117.99084140459696 A
2017-05-14T00:00:00-06:00,111.7642250696818 A
2017-05-15T00:00:00-06:00,137.00817870563563 A
2017-05-16T00:00:00-06:00,141.75787910885282 A
2017-05-17T00:00:00-06:00,145.27587172190348 A
2017-05-18T00:00:00-06:00,144.83612630102368 A
2017-05-19T00:00:00-06:00,140.5582953506046 A
2017-05-20T00:00:00-06:00,128.20130802260505 A
2017-05-21T00:00:00-06:00,116.43095137808058 A
2017-05-22T00:00:00-06:00,132.25922009150187 A
2017-05-23T00:00:00-06:00,134.6625516043769 A
2017-05-24T00:00:00-06:00,136.61355328559875 A
2017-05-25T00:00:00-06:00,143.4480833954281 A
2017-05-26T00:00:00-06:00,134.8243174764845 A
2017-05-27T00:00:00-06:00,119.54932712448968 A
2017-05-28T00:00:00-06:00,113.90711015065511 A
2017-05-29T00:00:00-06:00,111.53160360654195 A
2017-05-30T00:00:00-06:00,137.79652263853285 A
2017-05-31T00:00:00-06:00,139.53740441004436 A
2017-06-01T00:00:00-06:00,135.81941702100966 A
2017-06-02T00:00:00-06:00,148.53862706290352 A
2017-06-03T00:00:00-06:00,120.91893869505988 A
2017-06-04T00:00:00-06:00,111.8810297701094 A
2017-06-05T00:00:00-06:00,129.85158133506775 A
2017-06-06T00:00:00-06:00,131.99556962649027 A
2017-06-07T00:00:00-06:00,140.7550097465515 A
2017-06-08T00:00:00-06:00,133.54482098155552 A
2017-06-09T00:00:00-06:00,132.8968970298767 A
2017-06-10T00:00:00-06:00,115.21699057155185 A
2017-06-11T00:00:00-06:00,129.97902614805434 A
2017-06-12T00:00:00-06:00,132.68068432278102 A
2017-06-13T00:00:00-06:00,132.71132041613262 A
2017-06-14T00:00:00-06:00,142.32401062117682 A
2017-06-15T00:00:00-06:00,148.39340998861525 A
2017-06-16T00:00:00-06:00,130.67631554073756 A
2017-06-17T00:00:00-06:00,112.9416603618198 A
2017-06-18T00:00:00-06:00,112.0519666618771 A
2017-06-19T00:00:00-06:00,124.57610982259115 A
2017-06-20T00:00:00-06:00,125.87493357658386 A
2017-06-21T00:00:00-06:00,133.97690263324313 A
2017-06-22T00:00:00-06:00,135.0287026034461 A
2017-06-23T00:00:00-06:00,144.53283802668253 A
2017-06-24T00:00:00-06:00,122.94013551076253 A
2017-06-25T00:00:00-06:00,109.98310135735406 A
2017-06-26T00:00:00-06:00,144.26586480670505 A
2017-06-27T00:00:00-06:00,139.8188567214542 A
2017-06-28T00:00:00-06:00,136.45254168510436 A
2017-06-29T00:00:00-06:00,131.92886301676432 A
2017-06-30T00:00:00-06:00,137.46699539290535 A
2017-07-01T00:00:00-06:00,124.76838803291321 A
2017-07-02T00:00:00-06:00,111.92242273224724 A
2017-07-03T00:00:00-06:00,129.46944053178035 A
2017-07-04T00:00:00-06:00,119.14183090527852 A
2017-07-05T00:00:00-06:00,136.9472175863054 A
2017-07-06T00:00:00-06:00,145.42065240012275 A
2017-07-07T00:00:00-06:00,131.86928933461508 A
2017-07-08T00:00:00-06:00,130.47673588858711 A
2017-07-09T00:00:00-06:00,125.01113469335768 A
2017-07-10T00:00:00-06:00,136.23915564219158 A
2017-07-11T00:00:00-06:00,139.97336557706197 A
2017-07-12T00:00:00-06:00,139.81596432261998 A
2017-07-13T00:00:00-06:00,136.55710201793246 A
2017-07-14T00:00:00-06:00,136.44794329007468 A
2017-07-15T00:00:00-06:00,119.74103228780959 A
2017-07-16T00:00:00-06:00,117.80856618881225 A
2017-07-17T00:00:00-06:00,131.51696493890552 A
2017-07-18T00:00:00-06:00,135.50461383395725 A
2017-07-19T00:00:00-06:00,141.7731532626682 A
2017-07-20T00:00:00-06:00,129.4770762019687 A
2017-07-21T00:00:00-06:00,136.04233881632487 A
2017-07-22T00:00:00-06:00,125.15426700909933 A
2017-07-23T00:00:00-06:00,121.60218042267694 A
2017-07-24T00:00:00-06:00,117.52572002940708 A
2017-07-25T00:00:00-06:00,145.9321197774675 A
2017-07-26T00:00:00-06:00,126.14747732480367 A
2017-07-27T00:00:00-06:00,138.99772318204245 A
2017-07-28T00:00:00-06:00,130.29040900336372 A
2017-07-29T00:00:00-06:00,110.58993675443861 A
2017-07-30T00:00:00-06:00,112.2247269683414 A
2017-07-31T00:00:00-06:00,133.85690421528287 A
2017-08-01T00:00:00-06:00,143.06907567448087 A
2017-08-02T00:00:00-06:00,150.27063903808593 A
2017-08-03T00:00:00-06:00,149.07586914168465 A
2017-08-04T00:00:00-06:00,146.00576589119723 A
2017-08-05T00:00:00-06:00,124.02070920202468 A
2017-08-06T00:00:00-06:00,117.97986710866293 A
2017-08-07T00:00:00-06:00,143.94340834617614 A
2017-08-08T00:00:00-06:00,161.41873972680833 A
2017-08-09T00:00:00-06:00,130.70682128270468 A
2017-08-10T00:00:00-06:00,153.2757269243822 A
2017-08-11T00:00:00-06:00,148.89460338486566 A
2017-08-12T00:00:00-06:00,123.88816196653578 A
2017-08-13T00:00:00-06:00,112.3203847249349 A
2017-08-14T00:00:00-06:00,131.97280580732559 A
2017-08-15T00:00:00-06:00,142.46540996347392 A
2017-08-16T00:00:00-06:00,138.93279751671685 A
2017-08-17T00:00:00-06:00,145.83297639422946 A
2017-08-18T00:00:00-06:00,147.6056249777476 A
2017-08-19T00:00:00-06:00,120.23046133783129 A
2017-08-20T00:00:00-06:00,113.1809759457906 A
2017-08-21T00:00:00-06:00,135.12551639344957 A
2017-08-22T00:00:00-06:00,151.4585732936859 A
2017-08-23T00:00:00-06:00,150.1608981874254 A
2017-08-24T00:00:00-06:00,169.4949456161923 A
2017-08-25T00:00:00-06:00,181.58646400239732 A
2017-08-26T00:00:00-06:00,132.01189493073358 A
2017-08-27T00:00:00-06:00,123.55827640957303 A
2017-08-28T00:00:00-06:00,183.8111998627151 A
2017-08-29T00:00:00-06:00,167.00195147277444 A
2017-08-30T00:00:00-06:00,143.14057949384053 A
2017-08-31T00:00:00-06:00,143.80730543136596 A
2017-09-01T00:00:00-06:00,152.06735927793716 A
2017-09-02T00:00:00-06:00,119.05197226206461 A
2017-09-03T00:00:00-06:00,123.9277538617452 A
