Timestamp,"['1cf8d718-7e1647ed 0064-MERRILL ENGINEERING BLDG Power Meter (300153, 064-801) Current B']"
2017-05-01T00:00:00-06:00,14.8133544921875 A
2017-05-02T00:00:00-06:00,14.904256184895834 A
2017-05-03T00:00:00-06:00,15.2589111328125 A
2017-05-04T00:00:00-06:00,15.95068359375 A
2017-05-05T00:00:00-06:00,16.723429361979168 A
2017-05-06T00:00:00-06:00,15.047566731770834 A
2017-05-07T00:00:00-06:00,14.821614583333334 A
2017-05-08T00:00:00-06:00,15.208901263297872 A
2017-05-09T00:00:00-06:00,16.005818684895832 A
2017-05-10T00:00:00-06:00,15.576375325520834 A
2017-05-11T00:00:00-06:00,16.144083658854168 A
2017-05-12T00:00:00-06:00,16.271158854166668 A
2017-05-13T00:00:00-06:00,12.679850260416666 A
2017-05-14T00:00:00-06:00,13.325113932291666 A
2017-05-15T00:00:00-06:00,14.401123046875 A
2017-05-16T00:00:00-06:00,14.017171223958334 A
2017-05-17T00:00:00-06:00,12.697998046875 A
2017-05-18T00:00:00-06:00,12.754231770833334 A
2017-05-19T00:00:00-06:00,13.203084309895834 A
2017-05-20T00:00:00-06:00,13.4625244140625 A
2017-05-21T00:00:00-06:00,13.342732747395834 A
2017-05-22T00:00:00-06:00,14.957438151041666 A
2017-05-23T00:00:00-06:00,16.011189778645832 A
2017-05-24T00:00:00-06:00,16.36767578125 A
2017-05-25T00:00:00-06:00,15.292154947916666 A
2017-05-26T00:00:00-06:00,14.0753173828125 A
2017-05-27T00:00:00-06:00,13.481038411458334 A
2017-05-28T00:00:00-06:00,14.163248697916666 A
2017-05-29T00:00:00-06:00,14.844767252604166 A
2017-05-30T00:00:00-06:00,16.354573567708332 A
2017-05-31T00:00:00-06:00,16.989054361979168 A
2017-06-01T00:00:00-06:00,16.482218424479168 A
2017-06-02T00:00:00-06:00,16.865478515625 A
2017-06-03T00:00:00-06:00,16.776285807291668 A
2017-06-04T00:00:00-06:00,16.932657877604168 A
2017-06-05T00:00:00-06:00,17.230428059895832 A
2017-06-06T00:00:00-06:00,17.886759440104168 A
2017-06-07T00:00:00-06:00,18.479248046875 A
2017-06-08T00:00:00-06:00,17.9971923828125 A
2017-06-09T00:00:00-06:00,17.352742513020832 A
2017-06-10T00:00:00-06:00,14.9656982421875 A
2017-06-11T00:00:00-06:00,16.207763671875 A
2017-06-12T00:00:00-06:00,15.1529541015625 A
2017-06-13T00:00:00-06:00,14.9737548828125 A
2017-06-14T00:00:00-06:00,16.1419677734375 A
2017-06-15T00:00:00-06:00,17.162272135416668 A
2017-06-16T00:00:00-06:00,17.616373697916668 A
2017-06-17T00:00:00-06:00,15.913614908854166 A
2017-06-18T00:00:00-06:00,16.057047526041668 A
2017-06-19T00:00:00-06:00,17.5302734375 A
2017-06-20T00:00:00-06:00,17.76953125 A
2017-06-21T00:00:00-06:00,16.388875325520832 A
2017-06-22T00:00:00-06:00,15.383504231770834 A
2017-06-23T00:00:00-06:00,15.059773763020834 A
2017-06-24T00:00:00-06:00,14.403564453125 A
2017-06-25T00:00:00-06:00,14.790201822916666 A
2017-06-26T00:00:00-06:00,16.871907552083332 A
2017-06-27T00:00:00-06:00,16.253011067708332 A
2017-06-28T00:00:00-06:00,15.6153564453125 A
2017-06-29T00:00:00-06:00,15.1956787109375 A
2017-06-30T00:00:00-06:00,15.010091145833334 A
2017-07-01T00:00:00-06:00,14.946329752604166 A
2017-07-02T00:00:00-06:00,15.154052734375 A
2017-07-03T00:00:00-06:00,16.590291341145832 A
2017-07-04T00:00:00-06:00,16.510701497395832 A
2017-07-05T00:00:00-06:00,17.370646158854168 A
2017-07-06T00:00:00-06:00,18.182291666666668 A
2017-07-07T00:00:00-06:00,18.4698486328125 A
2017-07-08T00:00:00-06:00,16.648518880208332 A
2017-07-09T00:00:00-06:00,15.7799072265625 A
2017-07-10T00:00:00-06:00,17.1434326171875 A
2017-07-11T00:00:00-06:00,16.7042236328125 A
2017-07-12T00:00:00-06:00,17.140299479166668 A
2017-07-13T00:00:00-06:00,16.920247395833332 A
2017-07-14T00:00:00-06:00,15.67236328125 A
2017-07-15T00:00:00-06:00,15.225626627604166 A
2017-07-16T00:00:00-06:00,15.142333984375 A
2017-07-17T00:00:00-06:00,15.849283854166666 A
2017-07-18T00:00:00-06:00,16.468790690104168 A
2017-07-19T00:00:00-06:00,16.670979817708332 A
2017-07-20T00:00:00-06:00,16.06494140625 A
2017-07-21T00:00:00-06:00,15.608194986979166 A
2017-07-22T00:00:00-06:00,14.525716145833334 A
2017-07-23T00:00:00-06:00,14.136678059895834 A
2017-07-24T00:00:00-06:00,14.705403645833334 A
2017-07-25T00:00:00-06:00,14.399576822916666 A
2017-07-26T00:00:00-06:00,14.88330078125 A
2017-07-27T00:00:00-06:00,14.724609375 A
2017-07-28T00:00:00-06:00,14.624348958333334 A
2017-07-29T00:00:00-06:00,13.922770182291666 A
2017-07-30T00:00:00-06:00,14.044189453125 A
2017-07-31T00:00:00-06:00,15.5634765625 A
2017-08-01T00:00:00-06:00,16.18115234375 A
2017-08-02T00:00:00-06:00,15.907755533854166 A
2017-08-03T00:00:00-06:00,17.014363606770832 A
2017-08-04T00:00:00-06:00,15.54274929775281 A
2017-08-05T00:00:00-06:00,14.729044596354166 A
2017-08-06T00:00:00-06:00,13.896525065104166 A
2017-08-07T00:00:00-06:00,14.3875732421875 A
2017-08-08T00:00:00-06:00,14.360880533854166 A
2017-08-09T00:00:00-06:00,14.617472330729166 A
2017-08-10T00:00:00-06:00,14.353494623655914 A
2017-08-11T00:00:00-06:00,15.146728515625 A
2017-08-12T00:00:00-06:00,14.640869140625 A
2017-08-13T00:00:00-06:00,13.968546549479166 A
2017-08-14T00:00:00-06:00,13.784952799479166 A
2017-08-15T00:00:00-06:00,13.057047526041666 A
2017-08-16T00:00:00-06:00,13.9468994140625 A
2017-08-17T00:00:00-06:00,14.459879557291666 A
2017-08-18T00:00:00-06:00,14.600016276041666 A
2017-08-19T00:00:00-06:00,13.932373046875 A
2017-08-20T00:00:00-06:00,13.927978515625 A
2017-08-21T00:00:00-06:00,15.004923502604166 A
2017-08-22T00:00:00-06:00,14.91162109375 A
2017-08-23T00:00:00-06:00,14.8487548828125 A
2017-08-24T00:00:00-06:00,15.091389973958334 A
2017-08-25T00:00:00-06:00,15.326619466145834 A
2017-08-26T00:00:00-06:00,14.427897135416666 A
2017-08-27T00:00:00-06:00,13.850626627604166 A
2017-08-28T00:00:00-06:00,15.576852176966293 A
2017-08-29T00:00:00-06:00,16.27287326388889 A
2017-08-30T00:00:00-06:00,15.486287434895834 A
2017-08-31T00:00:00-06:00,14.563517252604166 A
2017-09-01T00:00:00-06:00,14.925618489583334 A
2017-09-02T00:00:00-06:00,14.1650390625 A
2017-09-03T00:00:00-06:00,14.392903645833334 A
2017-09-04T00:00:00-06:00,14.727294921875 A
2017-09-05T00:00:00-06:00,15.849934895833334 A
2017-09-06T00:00:00-06:00,16.372314453125 A
2017-09-07T00:00:00-06:00,16.137980143229168 A
2017-09-08T00:00:00-06:00,15.717591002747254 A
2017-09-09T00:00:00-06:00,13.948079427083334 A
2017-09-10T00:00:00-06:00,14.4195556640625 A
2017-09-11T00:00:00-06:00,15.8009033203125 A
2017-09-12T00:00:00-06:00,15.754842122395834 A
2017-09-13T00:00:00-06:00,16.218221028645832 A
2017-09-14T00:00:00-06:00,15.08837890625 A
2017-09-15T00:00:00-06:00,13.8099365234375 A
2017-09-16T00:00:00-06:00,12.518107096354166 A
2017-09-17T00:00:00-06:00,13.020182291666666 A
2017-09-18T00:00:00-06:00,15.400716145833334 A
2017-09-19T00:00:00-06:00,14.048095703125 A
2017-09-20T00:00:00-06:00,13.842692057291666 A
2017-09-21T00:00:00-06:00,13.115519205729166 A
2017-09-22T00:00:00-06:00,12.678548177083334 A
2017-09-23T00:00:00-06:00,11.814493815104166 A
2017-09-24T00:00:00-06:00,11.846598307291666 A
2017-09-25T00:00:00-06:00,13.6888427734375 A
2017-09-26T00:00:00-06:00,14.534871419270834 A
2017-09-27T00:00:00-06:00,15.216756184895834 A
2017-09-28T00:00:00-06:00,15.260701497395834 A
2017-09-29T00:00:00-06:00,15.3948974609375 A
2017-09-30T00:00:00-06:00,14.095133463541666 A
2017-10-01T00:00:00-06:00,13.031494140625 A
2017-10-02T00:00:00-06:00,13.3695068359375 A
2017-10-03T00:00:00-06:00,13.808634440104166 A
2017-10-04T00:00:00-06:00,14.3681640625 A
2017-10-05T00:00:00-06:00,14.198323567708334 A
2017-10-06T00:00:00-06:00,14.071370442708334 A
2017-10-07T00:00:00-06:00,13.568644205729166 A
2017-10-08T00:00:00-06:00,12.422322591145834 A
2017-10-09T00:00:00-06:00,13.233846028645834 A
2017-10-10T00:00:00-06:00,13.626546223958334 A
2017-10-11T00:00:00-06:00,14.2852783203125 A
2017-10-12T00:00:00-06:00,13.395548502604166 A
2017-10-13T00:00:00-06:00,13.571695963541666 A
2017-10-14T00:00:00-06:00,12.470499674479166 A
2017-10-15T00:00:00-06:00,12.607706705729166 A
2017-10-16T00:00:00-06:00,13.984537760416666 A
2017-10-17T00:00:00-06:00,14.522705078125 A
2017-10-18T00:00:00-06:00,14.181640625 A
2017-10-19T00:00:00-06:00,14.720662434895834 A
2017-10-20T00:00:00-06:00,13.9110107421875 A
2017-10-21T00:00:00-06:00,11.952473958333334 A
2017-10-22T00:00:00-06:00,12.909423828125 A
2017-10-23T00:00:00-06:00,13.861165364583334 A
2017-10-24T00:00:00-06:00,13.921183268229166 A
2017-10-25T00:00:00-06:00,13.9007568359375 A
2017-10-26T00:00:00-06:00,14.027303059895834 A
2017-10-27T00:00:00-06:00,13.531046549479166 A
2017-10-28T00:00:00-06:00,12.767822265625 A
2017-10-29T00:00:00-06:00,12.513427734375 A
2017-10-30T00:00:00-06:00,12.66552734375 A
2017-10-31T00:00:00-06:00,13.351847330729166 A
2017-11-01T00:00:00-06:00,14.492879231770834 A
2017-11-02T00:00:00-06:00,14.571451822916666 A
2017-11-03T00:00:00-06:00,14.250569661458334 A
2017-11-04T00:00:00-06:00,12.694580078125 A
2017-11-05T00:00:00-06:00,12.1886328125 A
2017-11-06T00:00:00-07:00,13.67822265625 A
2017-11-07T00:00:00-07:00,13.705851236979166 A
2017-11-08T00:00:00-07:00,13.959147135416666 A
2017-11-09T00:00:00-07:00,14.288004557291666 A
2017-11-10T00:00:00-07:00,13.899820963541666 A
2017-11-11T00:00:00-07:00,12.860188802083334 A
2017-11-12T00:00:00-07:00,12.615030924479166 A
2017-11-13T00:00:00-07:00,13.946858723958334 A
2017-11-14T00:00:00-07:00,14.131795247395834 A
2017-11-15T00:00:00-07:00,14.127604166666666 A
2017-11-16T00:00:00-07:00,15.258992513020834 A
2017-11-17T00:00:00-07:00,13.658976236979166 A
2017-11-18T00:00:00-07:00,12.5487060546875 A
2017-11-19T00:00:00-07:00,12.431396484375 A
2017-11-20T00:00:00-07:00,13.605712890625 A
2017-11-21T00:00:00-07:00,14.130533854166666 A
2017-11-22T00:00:00-07:00,14.1607666015625 A
2017-11-23T00:00:00-07:00,13.4669189453125 A
2017-11-24T00:00:00-07:00,13.32177734375 A
2017-11-25T00:00:00-07:00,12.950276692708334 A
2017-11-26T00:00:00-07:00,13.284749348958334 A
2017-11-27T00:00:00-07:00,14.323689778645834 A
2017-11-28T00:00:00-07:00,13.529093424479166 A
2017-11-29T00:00:00-07:00,13.683919270833334 A
2017-11-30T00:00:00-07:00,13.677775065104166 A
2017-12-01T00:00:00-07:00,13.625935872395834 A
2017-12-02T00:00:00-07:00,12.82861328125 A
2017-12-03T00:00:00-07:00,13.021647135416666 A
2017-12-04T00:00:00-07:00,13.614583333333334 A
2017-12-05T00:00:00-07:00,13.829793294270834 A
2017-12-06T00:00:00-07:00,13.868611653645834 A
2017-12-07T00:00:00-07:00,13.570475260416666 A
2017-12-08T00:00:00-07:00,13.714640299479166 A
2017-12-09T00:00:00-07:00,12.7613525390625 A
2017-12-10T00:00:00-07:00,12.15673828125 A
2017-12-11T00:00:00-07:00,13.2081298828125 A
2017-12-12T00:00:00-07:00,13.206624348958334 A
2017-12-13T00:00:00-07:00,13.2174072265625 A
2017-12-14T00:00:00-07:00,12.407185872395834 A
2017-12-15T00:00:00-07:00,11.45166015625 A
2017-12-16T00:00:00-07:00,10.617472330729166 A
2017-12-17T00:00:00-07:00,10.684855143229166 A
2017-12-18T00:00:00-07:00,12.789018609550562 A
2017-12-19T00:00:00-07:00,13.526692708333334 A
2017-12-20T00:00:00-07:00,13.525105794270834 A
2017-12-21T00:00:00-07:00,12.87646484375 A
2017-12-22T00:00:00-07:00,12.814982096354166 A
2017-12-23T00:00:00-07:00,12.202596028645834 A
2017-12-24T00:00:00-07:00,11.660970052083334 A
2017-12-25T00:00:00-07:00,11.513875325520834 A
2017-12-26T00:00:00-07:00,11.702067057291666 A
2017-12-27T00:00:00-07:00,12.308878580729166 A
2017-12-28T00:00:00-07:00,12.933512369791666 A
2017-12-29T00:00:00-07:00,13.101765950520834 A
2017-12-30T00:00:00-07:00,12.846150716145834 A
2017-12-31T00:00:00-07:00,12.2950439453125 A
