Timestamp,['1cdb9c4b-022f896d 0086-MARRIOTT LIBRARY Power Meter 2 KW Total']
2017-06-13T00:00:00-06:00,502.8873291015625 kW
2017-06-14T00:00:00-06:00,508.92926025390625 kW
2017-06-15T00:00:00-06:00,508.66162109375 kW
2017-06-16T00:00:00-06:00,516.3720703125 kW
2017-06-17T00:00:00-06:00,347.4393615722656 kW
2017-06-18T00:00:00-06:00,331.5552062988281 kW
2017-06-19T00:00:00-06:00,509.741943359375 kW
2017-06-20T00:00:00-06:00,538.358154296875 kW
2017-06-21T00:00:00-06:00,507.668701171875 kW
2017-06-22T00:00:00-06:00,503.3185729980469 kW
2017-06-23T00:00:00-06:00,496.8440856933594 kW
2017-06-24T00:00:00-06:00,449.87872314453125 kW
2017-06-25T00:00:00-06:00,422.78118896484375 kW
2017-06-26T00:00:00-06:00,503.7112731933594 kW
2017-06-27T00:00:00-06:00,514.25537109375 kW
2017-06-28T00:00:00-06:00,498.4988098144531 kW
2017-06-29T00:00:00-06:00,551.7230834960938 kW
2017-06-30T00:00:00-06:00,567.1828002929688 kW
2017-07-01T00:00:00-06:00,347.3840026855469 kW
2017-07-02T00:00:00-06:00,328.69482421875 kW
2017-07-03T00:00:00-06:00,483.01171875 kW
2017-07-04T00:00:00-06:00,202.89332580566406 kW
2017-07-05T00:00:00-06:00,384.7980651855469 kW
2017-07-06T00:00:00-06:00,495.9783935546875 kW
2017-07-07T00:00:00-06:00,482.2668151855469 kW
2017-07-08T00:00:00-06:00,349.4151611328125 kW
2017-07-09T00:00:00-06:00,331.030517578125 kW
2017-07-10T00:00:00-06:00,505.19366455078125 kW
2017-07-11T00:00:00-06:00,497.0314025878906 kW
2017-07-12T00:00:00-06:00,476.2622375488281 kW
2017-07-13T00:00:00-06:00,386.4339904785156 kW
2017-07-14T00:00:00-06:00,379.9796142578125 kW
2017-07-15T00:00:00-06:00,350.1389465332031 kW
2017-07-16T00:00:00-06:00,318.1041564941406 kW
2017-07-17T00:00:00-06:00,379.6207580566406 kW
2017-07-18T00:00:00-06:00,380.16412353515625 kW
2017-07-19T00:00:00-06:00,372.184326171875 kW
2017-07-20T00:00:00-06:00,382.28594970703125 kW
2017-07-21T00:00:00-06:00,372.5802917480469 kW
2017-07-22T00:00:00-06:00,336.813232421875 kW
2017-07-23T00:00:00-06:00,187.9053955078125 kW
2017-07-24T00:00:00-06:00,185.83518981933594 kW
2017-07-25T00:00:00-06:00,384.6552734375 kW
2017-07-26T00:00:00-06:00,382.30072021484375 kW
2017-07-27T00:00:00-06:00,375.6473693847656 kW
2017-07-28T00:00:00-06:00,387.5104064941406 kW
2017-07-29T00:00:00-06:00,333.55419921875 kW
2017-07-30T00:00:00-06:00,321.5440673828125 kW
2017-07-31T00:00:00-06:00,387.6650085449219 kW
2017-08-01T00:00:00-06:00,374.6674499511719 kW
2017-08-02T00:00:00-06:00,384.9868469238281 kW
2017-08-03T00:00:00-06:00,379.1076354980469 kW
2017-08-04T00:00:00-06:00,378.8070373535156 kW
2017-08-05T00:00:00-06:00,327.0884704589844 kW
2017-08-06T00:00:00-06:00,191.84475708007812 kW
2017-08-07T00:00:00-06:00,376.8856506347656 kW
2017-08-08T00:00:00-06:00,377.83306884765625 kW
2017-08-09T00:00:00-06:00,388.4639892578125 kW
2017-08-10T00:00:00-06:00,377.069091796875 kW
2017-08-11T00:00:00-06:00,384.7717590332031 kW
2017-08-12T00:00:00-06:00,324.5131530761719 kW
2017-08-13T00:00:00-06:00,194.2794647216797 kW
2017-08-14T00:00:00-06:00,390.2119140625 kW
2017-08-15T00:00:00-06:00,387.9028015136719 kW
2017-08-16T00:00:00-06:00,382.0606384277344 kW
2017-08-17T00:00:00-06:00,383.302978515625 kW
2017-08-18T00:00:00-06:00,387.9964904785156 kW
2017-08-19T00:00:00-06:00,349.7048034667969 kW
2017-08-20T00:00:00-06:00,329.2494201660156 kW
2017-08-21T00:00:00-06:00,404.0346984863281 kW
2017-08-22T00:00:00-06:00,424.46221923828125 kW
2017-08-23T00:00:00-06:00,406.2064514160156 kW
2017-08-24T00:00:00-06:00,393.854248046875 kW
2017-08-25T00:00:00-06:00,382.4710388183594 kW
2017-08-26T00:00:00-06:00,331.8863220214844 kW
2017-08-27T00:00:00-06:00,438.38751220703125 kW
2017-08-28T00:00:00-06:00,420.0017395019531 kW
2017-08-29T00:00:00-06:00,399.863525390625 kW
2017-08-30T00:00:00-06:00,422.1524353027344 kW
2017-08-31T00:00:00-06:00,443.83758544921875 kW
2017-09-01T00:00:00-06:00,402.0563049316406 kW
2017-09-02T00:00:00-06:00,337.3384094238281 kW
2017-09-03T00:00:00-06:00,329.1092529296875 kW
2017-09-04T00:00:00-06:00,198.04193115234375 kW
2017-09-05T00:00:00-06:00,405.73516845703125 kW
2017-09-06T00:00:00-06:00,396.937744140625 kW
2017-09-07T00:00:00-06:00,407.1915283203125 kW
2017-09-08T00:00:00-06:00,401.6118469238281 kW
2017-09-09T00:00:00-06:00,343.54095458984375 kW
2017-09-10T00:00:00-06:00,345.9623718261719 kW
2017-09-11T00:00:00-06:00,416.1526184082031 kW
2017-09-12T00:00:00-06:00,407.5011901855469 kW
2017-09-13T00:00:00-06:00,396.0844421386719 kW
2017-09-14T00:00:00-06:00,411.17657470703125 kW
2017-09-15T00:00:00-06:00,399.70654296875 kW
2017-09-16T00:00:00-06:00,350.2594299316406 kW
2017-09-17T00:00:00-06:00,344.0889892578125 kW
2017-09-18T00:00:00-06:00,405.504150390625 kW
2017-09-19T00:00:00-06:00,397.2723693847656 kW
2017-09-20T00:00:00-06:00,398.0487976074219 kW
2017-09-21T00:00:00-06:00,405.4955139160156 kW
2017-09-22T00:00:00-06:00,394.5603332519531 kW
2017-09-23T00:00:00-06:00,353.0513000488281 kW
