Timestamp,['1e8432c6-134002a1 0110-ECCLES STUDENT LIFE CNTR Power Meter (HLM2) Energy delivered']
2017-05-06T00:00:00-06:00,470.375 kWh
2017-05-07T00:00:00-06:00,450.46875 kWh
2017-05-08T00:00:00-06:00,414.25 kWh
2017-05-09T00:00:00-06:00,408.53125 kWh
2017-05-10T00:00:00-06:00,407.21875 kWh
2017-05-11T00:00:00-06:00,407.6875 kWh
2017-05-12T00:00:00-06:00,411.3125 kWh
2017-05-13T00:00:00-06:00,382.59375 kWh
2017-05-14T00:00:00-06:00,390.84375 kWh
2017-05-15T00:00:00-06:00,388.40625 kWh
2017-05-16T00:00:00-06:00,379.5625 kWh
2017-05-17T00:00:00-06:00,349.25 kWh
2017-05-18T00:00:00-06:00,352.53125 kWh
2017-05-19T00:00:00-06:00,373.65625 kWh
2017-05-20T00:00:00-06:00,387.28125 kWh
2017-05-21T00:00:00-06:00,389.34375 kWh
2017-05-22T00:00:00-06:00,400.25 kWh
2017-05-23T00:00:00-06:00,400.6875 kWh
2017-05-24T00:00:00-06:00,396.625 kWh
2017-05-25T00:00:00-06:00,380.125 kWh
2017-05-26T00:00:00-06:00,374.28125 kWh
2017-05-27T00:00:00-06:00,378.125 kWh
2017-05-28T00:00:00-06:00,378 kWh
2017-05-29T00:00:00-06:00,388.40625 kWh
2017-05-30T00:00:00-06:00,397.625 kWh
2017-05-31T00:00:00-06:00,400.1875 kWh
2017-06-01T00:00:00-06:00,392.75 kWh
2017-06-02T00:00:00-06:00,377.90625 kWh
2017-06-03T00:00:00-06:00,402.59375 kWh
2017-06-04T00:00:00-06:00,400.5 kWh
2017-06-05T00:00:00-06:00,390.90625 kWh
2017-06-06T00:00:00-06:00,401.90625 kWh
2017-06-07T00:00:00-06:00,403.6875 kWh
2017-06-08T00:00:00-06:00,420.625 kWh
2017-06-09T00:00:00-06:00,421.875 kWh
2017-06-10T00:00:00-06:00,371.0625 kWh
2017-06-11T00:00:00-06:00,364.4375 kWh
2017-06-12T00:00:00-06:00,358.875 kWh
2017-06-13T00:00:00-06:00,351.4375 kWh
2017-06-14T00:00:00-06:00,361.9375 kWh
2017-06-15T00:00:00-06:00,374.5625 kWh
2017-06-16T00:00:00-06:00,375.5 kWh
2017-06-17T00:00:00-06:00,370.40625 kWh
2017-06-18T00:00:00-06:00,369.03125 kWh
2017-06-19T00:00:00-06:00,378.40625 kWh
2017-06-20T00:00:00-06:00,414.71875 kWh
2017-06-21T00:00:00-06:00,427.09375 kWh
2017-06-22T00:00:00-06:00,451.59375 kWh
2017-06-23T00:00:00-06:00,442.875 kWh
2017-06-24T00:00:00-06:00,431.6875 kWh
2017-06-25T00:00:00-06:00,459.75 kWh
2017-06-26T00:00:00-06:00,458.625 kWh
2017-06-27T00:00:00-06:00,457.40625 kWh
2017-06-28T00:00:00-06:00,459.375 kWh
2017-06-29T00:00:00-06:00,459.71875 kWh
2017-06-30T00:00:00-06:00,457.75 kWh
2017-07-01T00:00:00-06:00,452.6875 kWh
2017-07-02T00:00:00-06:00,458.8125 kWh
2017-07-03T00:00:00-06:00,461.25 kWh
2017-07-04T00:00:00-06:00,466.1875 kWh
2017-07-05T00:00:00-06:00,477.90625 kWh
2017-07-06T00:00:00-06:00,423.15625 kWh
2017-07-07T00:00:00-06:00,412.9375 kWh
2017-07-08T00:00:00-06:00,399.28125 kWh
2017-07-09T00:00:00-06:00,378.625 kWh
2017-07-10T00:00:00-06:00,370.59375 kWh
2017-07-11T00:00:00-06:00,359.5625 kWh
2017-07-12T00:00:00-06:00,366.0625 kWh
2017-07-13T00:00:00-06:00,371.46875 kWh
2017-07-14T00:00:00-06:00,369.1875 kWh
2017-07-15T00:00:00-06:00,375.375 kWh
2017-07-16T00:00:00-06:00,381.90625 kWh
2017-07-17T00:00:00-06:00,360.5 kWh
2017-07-18T00:00:00-06:00,369.75 kWh
2017-07-19T00:00:00-06:00,344.5625 kWh
2017-07-20T00:00:00-06:00,331 kWh
2017-07-21T00:00:00-06:00,352.3125 kWh
2017-07-22T00:00:00-06:00,365.5 kWh
2017-07-23T00:00:00-06:00,375.6875 kWh
2017-07-24T00:00:00-06:00,374.9375 kWh
2017-07-25T00:00:00-06:00,329.5 kWh
2017-07-26T00:00:00-06:00,334.0625 kWh
2017-07-27T00:00:00-06:00,348.15625 kWh
2017-07-28T00:00:00-06:00,358.9375 kWh
2017-07-29T00:00:00-06:00,355.34375 kWh
2017-07-30T00:00:00-06:00,363.53125 kWh
2017-07-31T00:00:00-06:00,384.84375 kWh
2017-08-01T00:00:00-06:00,394 kWh
2017-08-02T00:00:00-06:00,389.875 kWh
2017-08-03T00:00:00-06:00,396.0625 kWh
2017-08-04T00:00:00-06:00,366.3125 kWh
2017-08-05T00:00:00-06:00,364.1875 kWh
2017-08-06T00:00:00-06:00,369.4375 kWh
2017-08-07T00:00:00-06:00,370.90625 kWh
2017-08-08T00:00:00-06:00,362.09375 kWh
2017-08-09T00:00:00-06:00,352.28125 kWh
2017-08-10T00:00:00-06:00,354.96875 kWh
2017-08-11T00:00:00-06:00,369.28125 kWh
2017-08-12T00:00:00-06:00,378.46875 kWh
2017-08-13T00:00:00-06:00,357.40625 kWh
2017-08-14T00:00:00-06:00,337.03125 kWh
2017-08-15T00:00:00-06:00,356.25 kWh
2017-08-16T00:00:00-06:00,380.28125 kWh
2017-08-17T00:00:00-06:00,395.71875 kWh
2017-08-18T00:00:00-06:00,434 kWh
2017-08-19T00:00:00-06:00,445.90625 kWh
2017-08-20T00:00:00-06:00,439.6875 kWh
2017-08-21T00:00:00-06:00,405.34375 kWh
2017-08-22T00:00:00-06:00,364.53125 kWh
