Timestamp,['1da98315-ccdea701 0032-RICE-ECCLES STADIUM POWER METER (Main Stadium) 300075 Current A']
2017-03-19T00:00:00-06:00,92.24737405776978 A
2017-03-20T00:00:00-06:00,93.80487950642903 A
2017-03-21T00:00:00-06:00,93.51356760660808 A
2017-03-22T00:00:00-06:00,96.59261619166324 A
2017-03-23T00:00:00-06:00,99.7846167087555 A
2017-03-24T00:00:00-06:00,99.25840663909912 A
2017-03-25T00:00:00-06:00,158.61109104562314 A
2017-03-26T00:00:00-06:00,94.76539619763692 A
2017-03-27T00:00:00-06:00,98.5834215482076 A
2017-03-28T00:00:00-06:00,102.2533864180247 A
2017-03-29T00:00:00-06:00,101.79850906795926 A
2017-03-30T00:00:00-06:00,111.2028510353782 A
2017-03-31T00:00:00-06:00,158.44272573788962 A
2017-04-01T00:00:00-06:00,108.55202269554138 A
2017-04-02T00:00:00-06:00,105.43753469366776 A
2017-04-03T00:00:00-06:00,106.99693814913432 A
2017-04-04T00:00:00-06:00,109.0972425142924 A
2017-04-05T00:00:00-06:00,108.57040121200237 A
2017-04-06T00:00:00-06:00,109.38612039883931 A
2017-04-07T00:00:00-06:00,107.17937676111858 A
2017-04-08T00:00:00-06:00,108.9955202738444 A
2017-04-09T00:00:00-06:00,103.46713256835938 A
2017-04-10T00:00:00-06:00,106.51172637939453 A
2017-04-11T00:00:00-06:00,145.31544200579324 A
2017-04-12T00:00:00-06:00,110.97316630681355 A
2017-04-13T00:00:00-06:00,111.19149994850159 A
2017-04-14T00:00:00-06:00,142.17902636528015 A
2017-04-15T00:00:00-06:00,272.17959785461426 A
2017-04-16T00:00:00-06:00,111.33507776260376 A
2017-04-17T00:00:00-06:00,127.11619933446248 A
2017-04-18T00:00:00-06:00,141.5606489284064 A
2017-04-19T00:00:00-06:00,113.75953912734985 A
2017-04-20T00:00:00-06:00,124.84098267555237 A
2017-04-21T00:00:00-06:00,276.41096806526184 A
2017-04-22T00:00:00-06:00,388.64316670099896 A
2017-04-23T00:00:00-06:00,287.0283997853597 A
2017-04-24T00:00:00-06:00,137.28447365760803 A
2017-04-25T00:00:00-06:00,140.36549393335977 A
2017-04-26T00:00:00-06:00,113.43622422218323 A
2017-04-27T00:00:00-06:00,114.87193418803967 A
2017-04-28T00:00:00-06:00,114.08026701274672 A
2017-04-29T00:00:00-06:00,116.93080933888753 A
2017-04-30T00:00:00-06:00,114.73200869560242 A
2017-05-01T00:00:00-06:00,114.80955441792806 A
2017-05-02T00:00:00-06:00,115.91836675008138 A
2017-05-03T00:00:00-06:00,116.34192832310994 A
2017-05-04T00:00:00-06:00,117.13831867418791 A
