Timestamp,['1ef46870-c3f749eb 0070-QUINNEY COLLEGE OF LAW Power Meter 313199 Current C']
2017-04-30T00:00:00-06:00,84.03825575113297 A
2017-05-01T00:00:00-06:00,108.14728585879008 A
2017-05-02T00:00:00-06:00,112.73836596806844 A
2017-05-03T00:00:00-06:00,105.29574052492778 A
2017-05-04T00:00:00-06:00,107.20957799752553 A
2017-05-05T00:00:00-06:00,114.01905739307404 A
2017-05-06T00:00:00-06:00,89.3460746606191 A
2017-05-07T00:00:00-06:00,61.69746525088946 A
2017-05-08T00:00:00-06:00,115.83293668429057 A
2017-05-09T00:00:00-06:00,98.5279733935992 A
2017-05-10T00:00:00-06:00,116.89191786448161 A
2017-05-11T00:00:00-06:00,105.9805639187495 A
2017-05-12T00:00:00-06:00,108.12161950270335 A
2017-05-13T00:00:00-06:00,82.01681985457738 A
2017-05-14T00:00:00-06:00,72.46871122717857 A
2017-05-15T00:00:00-06:00,108.0623049736023 A
2017-05-16T00:00:00-06:00,115.36932269732158 A
2017-05-17T00:00:00-06:00,138.16665891806284 A
2017-05-18T00:00:00-06:00,141.60082523028055 A
2017-05-19T00:00:00-06:00,115.41926904519399 A
2017-05-20T00:00:00-06:00,66.89125387370586 A
2017-05-21T00:00:00-06:00,62.54351923863093 A
2017-05-22T00:00:00-06:00,101.69347882270813 A
2017-05-23T00:00:00-06:00,107.88939646879832 A
2017-05-24T00:00:00-06:00,126.12135434150696 A
2017-05-25T00:00:00-06:00,116.40960919857025 A
2017-05-26T00:00:00-06:00,111.04857762654622 A
2017-05-27T00:00:00-06:00,70.91842057307561 A
2017-05-28T00:00:00-06:00,64.56851676106453 A
2017-05-29T00:00:00-06:00,94.30150971810023 A
2017-05-30T00:00:00-06:00,108.63820564746857 A
2017-05-31T00:00:00-06:00,108.410831173261 A
2017-06-01T00:00:00-06:00,133.13998262087503 A
2017-06-02T00:00:00-06:00,101.84320863087972 A
2017-06-03T00:00:00-06:00,79.05500840147336 A
2017-06-04T00:00:00-06:00,68.08035416404407 A
2017-06-05T00:00:00-06:00,111.39631978670756 A
2017-06-06T00:00:00-06:00,117.00157912572224 A
2017-06-07T00:00:00-06:00,113.48033873240153 A
2017-06-08T00:00:00-06:00,109.78704011440277 A
2017-06-09T00:00:00-06:00,108.21506094932556 A
2017-06-10T00:00:00-06:00,77.82089724143346 A
2017-06-11T00:00:00-06:00,64.00955171386401 A
2017-06-12T00:00:00-06:00,121.03783822059631 A
2017-06-13T00:00:00-06:00,121.79828089475632 A
2017-06-14T00:00:00-06:00,99.18647726376851 A
2017-06-15T00:00:00-06:00,105.13544809818268 A
2017-06-16T00:00:00-06:00,103.21407024065654 A
2017-06-17T00:00:00-06:00,77.25725029905637 A
2017-06-18T00:00:00-06:00,59.67081711689631 A
2017-06-19T00:00:00-06:00,111.4494503736496 A
2017-06-20T00:00:00-06:00,113.90835173924764 A
2017-06-21T00:00:00-06:00,110.32633284727733 A
2017-06-22T00:00:00-06:00,105.59368312358856 A
2017-06-23T00:00:00-06:00,103.94482501347859 A
2017-06-24T00:00:00-06:00,74.59280478954315 A
2017-06-25T00:00:00-06:00,58.74142696460088 A
2017-06-26T00:00:00-06:00,123.05322170257568 A
2017-06-27T00:00:00-06:00,112.00701173146565 A
2017-06-28T00:00:00-06:00,105.08981323242188 A
2017-06-29T00:00:00-06:00,110.04688243071239 A
2017-06-30T00:00:00-06:00,104.6951835155487 A
2017-07-01T00:00:00-06:00,77.954519033432 A
2017-07-02T00:00:00-06:00,57.75879241029421 A
2017-07-03T00:00:00-06:00,116.30382402737935 A
2017-07-04T00:00:00-06:00,109.57812050978343 A
2017-07-05T00:00:00-06:00,116.99932678540547 A
2017-07-06T00:00:00-06:00,116.45280579725902 A
2017-07-07T00:00:00-06:00,113.1186181306839 A
2017-07-08T00:00:00-06:00,84.18660116195679 A
2017-07-09T00:00:00-06:00,60.72610820333163 A
2017-07-10T00:00:00-06:00,129.9023128350576 A
2017-07-11T00:00:00-06:00,129.21388475100198 A
2017-07-12T00:00:00-06:00,124.13649308681488 A
2017-07-13T00:00:00-06:00,119.86188975969951 A
2017-07-14T00:00:00-06:00,119.4306180079778 A
2017-07-15T00:00:00-06:00,81.52731429537137 A
2017-07-16T00:00:00-06:00,55.56045876940092 A
2017-07-17T00:00:00-06:00,130.6354112625122 A
2017-07-18T00:00:00-06:00,122.0924992163976 A
2017-07-19T00:00:00-06:00,140.66143401463827 A
2017-07-20T00:00:00-06:00,131.09685293833414 A
2017-07-21T00:00:00-06:00,112.24451271692912 A
2017-07-22T00:00:00-06:00,85.74555601676305 A
2017-07-23T00:00:00-06:00,60.37038759390513 A
2017-07-24T00:00:00-06:00,117.46873227755229 A
2017-07-25T00:00:00-06:00,125.82490793863933 A
2017-07-26T00:00:00-06:00,115.51343063513438 A
2017-07-27T00:00:00-06:00,116.50056878725688 A
2017-07-28T00:00:00-06:00,123.06700710455577 A
2017-07-29T00:00:00-06:00,78.68797929088275 A
2017-07-30T00:00:00-06:00,59.57343576351801 A
2017-07-31T00:00:00-06:00,114.68470823764801 A
2017-08-01T00:00:00-06:00,114.57231577237447 A
2017-08-02T00:00:00-06:00,116.62520241737366 A
2017-08-03T00:00:00-06:00,114.97630484898885 A
2017-08-04T00:00:00-06:00,120.32152066911969 A
2017-08-05T00:00:00-06:00,85.5766550997893 A
2017-08-06T00:00:00-06:00,64.28370638688405 A
2017-08-07T00:00:00-06:00,126.28533844153087 A
2017-08-08T00:00:00-06:00,121.6943831841151 A
2017-08-09T00:00:00-06:00,122.6704768339793 A
2017-08-10T00:00:00-06:00,114.30617466378719 A
2017-08-11T00:00:00-06:00,116.22887349128723 A
2017-08-12T00:00:00-06:00,80.19428071379662 A
2017-08-13T00:00:00-06:00,64.55065908034642 A
2017-08-14T00:00:00-06:00,132.51276803016663 A
2017-08-15T00:00:00-06:00,111.3798485994339 A
2017-08-16T00:00:00-06:00,120.58016391595204 A
2017-08-17T00:00:00-06:00,112.61230715115865 A
2017-08-18T00:00:00-06:00,109.40811411539714 A
2017-08-19T00:00:00-06:00,79.97832236687343 A
2017-08-20T00:00:00-06:00,61.42246523499489 A
2017-08-21T00:00:00-06:00,120.17554795742035 A
2017-08-22T00:00:00-06:00,130.47756711641946 A
2017-08-23T00:00:00-06:00,129.57282614707947 A
2017-08-24T00:00:00-06:00,117.1249753634135 A
2017-08-25T00:00:00-06:00,123.17626361052196 A
2017-08-26T00:00:00-06:00,85.09067964553833 A
2017-08-27T00:00:00-06:00,59.645736783742905 A
2017-08-28T00:00:00-06:00,127.11546284219493 A
2017-08-29T00:00:00-06:00,128.24491742862168 A
2017-08-30T00:00:00-06:00,131.61633928616843 A
2017-08-31T00:00:00-06:00,136.11568729082742 A
2017-09-01T00:00:00-06:00,119.05119860172272 A
2017-09-02T00:00:00-06:00,84.54173907637596 A
2017-09-03T00:00:00-06:00,62.54982890078896 A
2017-09-04T00:00:00-06:00,117.00284588336945 A
2017-09-05T00:00:00-06:00,129.69650022188821 A
2017-09-06T00:00:00-06:00,137.7920221487681 A
2017-09-07T00:00:00-06:00,140.7399718761444 A
2017-09-08T00:00:00-06:00,137.98576319217682 A
2017-09-09T00:00:00-06:00,108.54016554355621 A
2017-09-10T00:00:00-06:00,64.73066927989323 A
2017-09-11T00:00:00-06:00,132.89265704154968 A
2017-09-12T00:00:00-06:00,134.5009580453237 A
2017-09-13T00:00:00-06:00,141.36555671691895 A
2017-09-14T00:00:00-06:00,153.4159236351649 A
2017-09-15T00:00:00-06:00,139.11952702204385 A
2017-09-16T00:00:00-06:00,87.39614794651668 A
2017-09-17T00:00:00-06:00,67.3893807331721 A
2017-09-18T00:00:00-06:00,131.54865900675455 A
2017-09-19T00:00:00-06:00,138.30123496055603 A
2017-09-20T00:00:00-06:00,128.4749759833018 A
2017-09-21T00:00:00-06:00,136.71471305688223 A
2017-09-22T00:00:00-06:00,149.8696227868398 A
