Timestamp,['1daaa907-598e9e34 0037-ARCHITECTURE BLDG Power Meter (301159) Current C']
2017-04-30T00:00:00-06:00,30.6630832751592 A
2017-05-01T00:00:00-06:00,38.068042516708374 A
2017-05-02T00:00:00-06:00,36.05390886465708 A
2017-05-03T00:00:00-06:00,31.08695324261983 A
2017-05-04T00:00:00-06:00,28.79911345243454 A
2017-05-05T00:00:00-06:00,28.515424112478893 A
2017-05-06T00:00:00-06:00,26.317602940609582 A
2017-05-07T00:00:00-06:00,23.852469940980274 A
2017-05-08T00:00:00-06:00,24.637669157474598 A
2017-05-09T00:00:00-06:00,19.997003376483917 A
2017-05-10T00:00:00-06:00,20.16042008002599 A
2017-05-11T00:00:00-06:00,22.908496638139088 A
2017-05-12T00:00:00-06:00,19.148604094982147 A
2017-05-13T00:00:00-06:00,17.399416079123814 A
2017-05-14T00:00:00-06:00,18.248794982830685 A
2017-05-15T00:00:00-06:00,21.750301500161488 A
2017-05-16T00:00:00-06:00,21.484565953413647 A
2017-05-17T00:00:00-06:00,22.774740008303993 A
2017-05-18T00:00:00-06:00,22.87138522664706 A
2017-05-19T00:00:00-06:00,20.6804682413737 A
2017-05-20T00:00:00-06:00,19.149043291807175 A
2017-05-21T00:00:00-06:00,19.608073314030964 A
2017-05-22T00:00:00-06:00,21.860257665316265 A
2017-05-23T00:00:00-06:00,23.99256553252538 A
2017-05-24T00:00:00-06:00,22.601238876581192 A
2017-05-25T00:00:00-06:00,18.938741544882458 A
2017-05-26T00:00:00-06:00,20.475382794936497 A
2017-05-27T00:00:00-06:00,17.179208268721897 A
2017-05-28T00:00:00-06:00,16.93034953872363 A
2017-05-29T00:00:00-06:00,17.392004648844402 A
2017-05-30T00:00:00-06:00,24.114565779765446 A
2017-05-31T00:00:00-06:00,22.554375857114792 A
2017-06-01T00:00:00-06:00,22.623397688070934 A
2017-06-02T00:00:00-06:00,22.966317067543667 A
2017-06-03T00:00:00-06:00,19.670835645575274 A
2017-06-04T00:00:00-06:00,17.839338819185894 A
2017-06-05T00:00:00-06:00,22.940364966789883 A
2017-06-06T00:00:00-06:00,21.93706468741099 A
2017-06-07T00:00:00-06:00,21.77084406216939 A
2017-06-08T00:00:00-06:00,25.27964327732722 A
2017-06-09T00:00:00-06:00,19.558417111635208 A
2017-06-10T00:00:00-06:00,18.739831397930782 A
2017-06-11T00:00:00-06:00,16.94151810805003 A
2017-06-12T00:00:00-06:00,21.777305096387863 A
2017-06-13T00:00:00-06:00,23.678868224223454 A
2017-06-14T00:00:00-06:00,24.585089087486267 A
2017-06-15T00:00:00-06:00,26.144272526105244 A
