Timestamp,['1cdbb6d7-3343edad 0087-THATCHER BLDG Power Meter (301204) Current C']
2017-10-09T00:00:00-06:00,268.46257134639853 A
2017-10-10T00:00:00-06:00,276.2427227948163 A
2017-10-11T00:00:00-06:00,266.7333305676778 A
2017-10-12T00:00:00-06:00,265.00375986099243 A
2017-10-13T00:00:00-06:00,267.4712739643298 A
2017-10-14T00:00:00-06:00,240.44264443715414 A
2017-10-15T00:00:00-06:00,239.33702437082925 A
2017-10-16T00:00:00-06:00,268.58633772532147 A
2017-10-17T00:00:00-06:00,259.2443593343099 A
2017-10-18T00:00:00-06:00,259.6481448809306 A
2017-10-19T00:00:00-06:00,253.59778626759848 A
2017-10-20T00:00:00-06:00,245.36137231191 A
2017-10-21T00:00:00-06:00,238.19178899129233 A
2017-10-22T00:00:00-06:00,235.479820728302 A
2017-10-23T00:00:00-06:00,258.794132232666 A
2017-10-24T00:00:00-06:00,268.13264989852905 A
2017-10-25T00:00:00-06:00,277.2941910425822 A
2017-10-26T00:00:00-06:00,271.9672088623047 A
2017-10-27T00:00:00-06:00,259.29754336675006 A
2017-10-28T00:00:00-06:00,238.23497692743936 A
2017-10-29T00:00:00-06:00,240.97039683659872 A
2017-10-30T00:00:00-06:00,269.7520577112834 A
2017-10-31T00:00:00-06:00,273.6395190556844 A
2017-11-01T00:00:00-06:00,278.1132351557414 A
2017-11-02T00:00:00-06:00,268.4564793904622 A
2017-11-03T00:00:00-06:00,267.6031568811295 A
2017-11-04T00:00:00-06:00,250.61011664072672 A
2017-11-05T00:00:00-06:00,255.34589920043945 A
2017-11-06T00:00:00-07:00,271.69137414296466 A
2017-11-07T00:00:00-07:00,272.7236394882202 A
2017-11-08T00:00:00-07:00,281.52426195144653 A
2017-11-09T00:00:00-07:00,267.7845411300659 A
2017-11-10T00:00:00-07:00,267.26953013737995 A
2017-11-11T00:00:00-07:00,239.7691648801168 A
2017-11-12T00:00:00-07:00,234.7285040219625 A
2017-11-13T00:00:00-07:00,253.760635693868 A
2017-11-14T00:00:00-07:00,267.29247458775836 A
2017-11-15T00:00:00-07:00,266.0031752586365 A
2017-11-16T00:00:00-07:00,264.91433970133465 A
2017-11-17T00:00:00-07:00,260.99469566345215 A
2017-11-18T00:00:00-07:00,224.82767041524252 A
2017-11-19T00:00:00-07:00,198.16031821568808 A
2017-11-20T00:00:00-07:00,210.94444513320923 A
2017-11-21T00:00:00-07:00,208.72949091593424 A
2017-11-22T00:00:00-07:00,198.76855278015137 A
2017-11-23T00:00:00-07:00,212.28513940175375 A
2017-11-24T00:00:00-07:00,211.9410940806071 A
2017-11-25T00:00:00-07:00,212.55595191319784 A
2017-11-26T00:00:00-07:00,214.9286551475525 A
2017-11-27T00:00:00-07:00,237.7764170964559 A
2017-11-28T00:00:00-07:00,247.6364320119222 A
2017-11-29T00:00:00-07:00,254.1022736231486 A
2017-11-30T00:00:00-07:00,248.4214299519857 A
2017-12-01T00:00:00-07:00,247.34752162297568 A
2017-12-02T00:00:00-07:00,220.2378896077474 A
2017-12-03T00:00:00-07:00,217.63907146453857 A
2017-12-04T00:00:00-07:00,252.7313969930013 A
2017-12-05T00:00:00-07:00,249.0861441294352 A
2017-12-06T00:00:00-07:00,246.78240585327148 A
2017-12-07T00:00:00-07:00,254.28227027257284 A
2017-12-08T00:00:00-07:00,243.00564018885294 A
2017-12-09T00:00:00-07:00,226.14127731323242 A
2017-12-10T00:00:00-07:00,231.34385792414346 A
