Timestamp,['1cd3e2b9-88e49ed8 0049-LANGUAGE & COMMUNICATION BLDG Power Meter Current C']
2017-10-20T00:00:00-06:00,156.89479446411133 A
2017-10-21T00:00:00-06:00,137.39375376701355 A
2017-10-22T00:00:00-06:00,137.9697948296865 A
2017-10-23T00:00:00-06:00,161.6864619255066 A
2017-10-24T00:00:00-06:00,161.76979486147562 A
2017-10-25T00:00:00-06:00,162.46947680021586 A
2017-10-26T00:00:00-06:00,158.07916927337646 A
2017-10-27T00:00:00-06:00,153.22396127382913 A
2017-10-28T00:00:00-06:00,136.0489604473114 A
2017-10-29T00:00:00-06:00,138.89896019299826 A
2017-10-30T00:00:00-06:00,156.08125321070352 A
2017-10-31T00:00:00-06:00,144.1614615122477 A
2017-11-01T00:00:00-06:00,157.28333640098572 A
2017-11-02T00:00:00-06:00,168.50312797228494 A
2017-11-03T00:00:00-06:00,155.8083368142446 A
2017-11-04T00:00:00-06:00,134.91458566983542 A
2017-11-05T00:00:00-06:00,134.522003326416 A
2017-11-06T00:00:00-07:00,152.38646070162454 A
2017-11-07T00:00:00-07:00,155.09687741597494 A
2017-11-08T00:00:00-07:00,154.57500203450522 A
2017-11-09T00:00:00-07:00,158.75833582878113 A
2017-11-10T00:00:00-07:00,150.73958659172058 A
2017-11-11T00:00:00-07:00,137.47708670298258 A
2017-11-12T00:00:00-07:00,138.51562801996866 A
2017-11-13T00:00:00-07:00,156.62396049499512 A
2017-11-14T00:00:00-07:00,155.97604473431906 A
2017-11-15T00:00:00-07:00,153.58021132151285 A
2017-11-16T00:00:00-07:00,160.60104537010193 A
2017-11-17T00:00:00-07:00,150.10625314712524 A
2017-11-18T00:00:00-07:00,142.34896167119345 A
2017-11-19T00:00:00-07:00,140.1447947025299 A
2017-11-20T00:00:00-07:00,158.64375257492065 A
2017-11-21T00:00:00-07:00,159.411461353302 A
2017-11-22T00:00:00-07:00,155.5177116394043 A
2017-11-23T00:00:00-07:00,139.60312827428183 A
2017-11-24T00:00:00-07:00,140.21562830607095 A
2017-11-25T00:00:00-07:00,135.9572945435842 A
2017-11-26T00:00:00-07:00,136.1541694800059 A
2017-11-27T00:00:00-07:00,161.10208598772684 A
2017-11-28T00:00:00-07:00,156.67708643277487 A
2017-11-29T00:00:00-07:00,159.93021138509116 A
2017-11-30T00:00:00-07:00,160.24062792460123 A
2017-12-01T00:00:00-07:00,152.31146176656088 A
2017-12-02T00:00:00-07:00,137.79167048136392 A
2017-12-03T00:00:00-07:00,137.21354500452676 A
2017-12-04T00:00:00-07:00,156.8906273841858 A
2017-12-05T00:00:00-07:00,161.78021240234375 A
2017-12-06T00:00:00-07:00,158.66666968663534 A
2017-12-07T00:00:00-07:00,159.83021100362143 A
2017-12-08T00:00:00-07:00,157.7791692415873 A
2017-12-09T00:00:00-07:00,144.22917000452676 A
2017-12-10T00:00:00-07:00,143.79896100362143 A
