Timestamp,"['1cf8d784-eca0eb23 0064-MERRILL ENGINEERING BLDG Power Meter (300154, 064-802) Current A']"
2017-05-01T00:00:00-06:00,7.3978271484375 A
2017-05-02T00:00:00-06:00,7.203409830729167 A
2017-05-03T00:00:00-06:00,7.269449869791667 A
2017-05-04T00:00:00-06:00,7.481770833333333 A
2017-05-05T00:00:00-06:00,7.200764973958333 A
2017-05-06T00:00:00-06:00,6.766899671052632 A
2017-05-07T00:00:00-06:00,6.856486002604167 A
2017-05-08T00:00:00-06:00,7.434009308510638 A
2017-05-09T00:00:00-06:00,7.393025716145833 A
2017-05-10T00:00:00-06:00,7.639200846354167 A
2017-05-11T00:00:00-06:00,8.0443115234375 A
2017-05-12T00:00:00-06:00,7.583658854166667 A
2017-05-13T00:00:00-06:00,6.888590494791667 A
2017-05-14T00:00:00-06:00,6.754638671875 A
2017-05-15T00:00:00-06:00,7.61181640625 A
2017-05-16T00:00:00-06:00,7.495157877604167 A
2017-05-17T00:00:00-06:00,7.605875651041667 A
2017-05-18T00:00:00-06:00,7.5302734375 A
2017-05-19T00:00:00-06:00,7.317057291666667 A
2017-05-20T00:00:00-06:00,6.792765299479167 A
2017-05-21T00:00:00-06:00,6.758260091145833 A
2017-05-22T00:00:00-06:00,7.813761393229167 A
2017-05-23T00:00:00-06:00,7.5125732421875 A
2017-05-24T00:00:00-06:00,7.411539713541667 A
2017-05-25T00:00:00-06:00,7.472412109375 A
2017-05-26T00:00:00-06:00,7.246663411458333 A
2017-05-27T00:00:00-06:00,6.795857747395833 A
2017-05-28T00:00:00-06:00,6.690666118421053 A
2017-05-29T00:00:00-06:00,6.992268880208333 A
2017-05-30T00:00:00-06:00,7.550008138020833 A
2017-05-31T00:00:00-06:00,7.643717447916667 A
2017-06-01T00:00:00-06:00,7.8306884765625 A
2017-06-02T00:00:00-06:00,7.701212565104167 A
2017-06-03T00:00:00-06:00,7.09619140625 A
2017-06-04T00:00:00-06:00,6.961385091145833 A
2017-06-05T00:00:00-06:00,7.807657877604167 A
2017-06-06T00:00:00-06:00,8.116658528645834 A
2017-06-07T00:00:00-06:00,7.708048502604167 A
2017-06-08T00:00:00-06:00,7.6231689453125 A
2017-06-09T00:00:00-06:00,7.616617838541667 A
2017-06-10T00:00:00-06:00,7.023478190104167 A
2017-06-11T00:00:00-06:00,7.11767578125 A
2017-06-12T00:00:00-06:00,7.907185872395833 A
2017-06-13T00:00:00-06:00,7.990071614583333 A
2017-06-14T00:00:00-06:00,8.012369791666666 A
2017-06-15T00:00:00-06:00,7.9918212890625 A
2017-06-16T00:00:00-06:00,7.806396484375 A
2017-06-17T00:00:00-06:00,7.043741861979167 A
2017-06-18T00:00:00-06:00,6.94873046875 A
2017-06-19T00:00:00-06:00,8.104817708333334 A
2017-06-20T00:00:00-06:00,7.734619140625 A
2017-06-21T00:00:00-06:00,7.636189778645833 A
2017-06-22T00:00:00-06:00,7.6014404296875 A
2017-06-23T00:00:00-06:00,7.7674560546875 A
2017-06-24T00:00:00-06:00,7.111124674479167 A
2017-06-25T00:00:00-06:00,6.995442708333333 A
2017-06-26T00:00:00-06:00,8.02064144736842 A
2017-06-27T00:00:00-06:00,7.6151123046875 A
2017-06-28T00:00:00-06:00,7.623128255208333 A
2017-06-29T00:00:00-06:00,7.722005208333333 A
2017-06-30T00:00:00-06:00,7.674275716145833 A
2017-07-01T00:00:00-06:00,7.1842041015625 A
2017-07-02T00:00:00-06:00,7.301432291666667 A
2017-07-03T00:00:00-06:00,7.736328125 A
2017-07-04T00:00:00-06:00,7.3524169921875 A
2017-07-05T00:00:00-06:00,7.881795247395833 A
2017-07-06T00:00:00-06:00,7.80615234375 A
2017-07-07T00:00:00-06:00,7.76318359375 A
2017-07-08T00:00:00-06:00,7.264241536458333 A
2017-07-09T00:00:00-06:00,7.278605143229167 A
2017-07-10T00:00:00-06:00,8.0679931640625 A
2017-07-11T00:00:00-06:00,8.125651041666666 A
2017-07-12T00:00:00-06:00,8.071533203125 A
2017-07-13T00:00:00-06:00,8.027425130208334 A
2017-07-14T00:00:00-06:00,7.71630859375 A
2017-07-15T00:00:00-06:00,6.998860677083333 A
2017-07-16T00:00:00-06:00,6.990966796875 A
2017-07-17T00:00:00-06:00,7.768310546875 A
2017-07-18T00:00:00-06:00,7.776082356770833 A
2017-07-19T00:00:00-06:00,7.554158528645833 A
2017-07-20T00:00:00-06:00,7.552164713541667 A
2017-07-21T00:00:00-06:00,7.426920572916667 A
2017-07-22T00:00:00-06:00,6.8267822265625 A
2017-07-23T00:00:00-06:00,6.859822591145833 A
2017-07-24T00:00:00-06:00,7.016520182291667 A
2017-07-25T00:00:00-06:00,7.469441731770833 A
2017-07-26T00:00:00-06:00,7.541015625 A
2017-07-27T00:00:00-06:00,7.474324544270833 A
2017-07-28T00:00:00-06:00,7.2568359375 A
2017-07-29T00:00:00-06:00,6.577311197916667 A
2017-07-30T00:00:00-06:00,6.624959309895833 A
2017-07-31T00:00:00-06:00,7.3486328125 A
2017-08-01T00:00:00-06:00,7.622599283854167 A
2017-08-02T00:00:00-06:00,7.557576497395833 A
2017-08-03T00:00:00-06:00,7.490315755208333 A
2017-08-04T00:00:00-06:00,7.241710069444444 A
2017-08-05T00:00:00-06:00,6.628702799479167 A
2017-08-06T00:00:00-06:00,6.491292317708333 A
2017-08-07T00:00:00-06:00,7.222371419270833 A
2017-08-08T00:00:00-06:00,7.217325846354167 A
2017-08-09T00:00:00-06:00,7.2008056640625 A
2017-08-10T00:00:00-06:00,7.129458220108695 A
2017-08-11T00:00:00-06:00,7.188557942708333 A
2017-08-12T00:00:00-06:00,6.68603515625 A
2017-08-13T00:00:00-06:00,6.563486842105263 A
2017-08-14T00:00:00-06:00,7.128011067708333 A
2017-08-15T00:00:00-06:00,7.1728515625 A
2017-08-16T00:00:00-06:00,7.2030029296875 A
2017-08-17T00:00:00-06:00,7.224405924479167 A
2017-08-18T00:00:00-06:00,7.5235595703125 A
2017-08-19T00:00:00-06:00,7.027262369791667 A
2017-08-20T00:00:00-06:00,6.877726236979167 A
2017-08-21T00:00:00-06:00,7.271077473958333 A
2017-08-22T00:00:00-06:00,7.650227864583333 A
2017-08-23T00:00:00-06:00,7.570149739583333 A
2017-08-24T00:00:00-06:00,7.724161783854167 A
2017-08-25T00:00:00-06:00,7.971232096354167 A
2017-08-26T00:00:00-06:00,6.855509440104167 A
2017-08-27T00:00:00-06:00,6.817097981770833 A
2017-08-28T00:00:00-06:00,7.726869733146067 A
2017-08-29T00:00:00-06:00,8.034157986111111 A
2017-08-30T00:00:00-06:00,7.845906575520833 A
2017-08-31T00:00:00-06:00,7.6649169921875 A
2017-09-01T00:00:00-06:00,7.6280517578125 A
2017-09-02T00:00:00-06:00,6.819661458333333 A
2017-09-03T00:00:00-06:00,6.7862548828125 A
2017-09-04T00:00:00-06:00,7.015787760416667 A
2017-09-05T00:00:00-06:00,8.073445638020834 A
2017-09-06T00:00:00-06:00,7.956291118421053 A
2017-09-07T00:00:00-06:00,7.773640950520833 A
2017-09-08T00:00:00-06:00,7.776876698369565 A
2017-09-09T00:00:00-06:00,6.7606201171875 A
2017-09-10T00:00:00-06:00,6.7034912109375 A
