Timestamp,['1f4f36d1-fd726ca4 Power Meter (LV) 316609 Real Energy In']
2017-05-15T00:00:00-06:00,4152 kWh
2017-05-16T00:00:00-06:00,4276 kWh
2017-05-17T00:00:00-06:00,4246 kWh
2017-05-18T00:00:00-06:00,4216 kWh
2017-05-19T00:00:00-06:00,3966 kWh
2017-05-20T00:00:00-06:00,3576 kWh
2017-05-21T00:00:00-06:00,3770 kWh
2017-05-22T00:00:00-06:00,4270 kWh
2017-05-23T00:00:00-06:00,4372 kWh
2017-05-24T00:00:00-06:00,4320 kWh
2017-05-25T00:00:00-06:00,4328 kWh
2017-05-26T00:00:00-06:00,4096 kWh
2017-05-27T00:00:00-06:00,3686 kWh
2017-05-28T00:00:00-06:00,3652 kWh
2017-05-29T00:00:00-06:00,3756 kWh
2017-05-30T00:00:00-06:00,4138 kWh
2017-05-31T00:00:00-06:00,4278 kWh
2017-06-01T00:00:00-06:00,4222 kWh
2017-06-02T00:00:00-06:00,4052 kWh
2017-06-03T00:00:00-06:00,3696 kWh
2017-06-04T00:00:00-06:00,3588 kWh
2017-06-05T00:00:00-06:00,4102 kWh
2017-06-06T00:00:00-06:00,4328 kWh
2017-06-07T00:00:00-06:00,4268 kWh
2017-06-08T00:00:00-06:00,4374 kWh
2017-06-09T00:00:00-06:00,4152 kWh
2017-06-10T00:00:00-06:00,3680 kWh
2017-06-11T00:00:00-06:00,3672 kWh
2017-06-12T00:00:00-06:00,4158 kWh
2017-06-13T00:00:00-06:00,4378 kWh
2017-06-14T00:00:00-06:00,4362 kWh
2017-06-15T00:00:00-06:00,4262 kWh
2017-06-16T00:00:00-06:00,4244 kWh
2017-06-17T00:00:00-06:00,3756 kWh
2017-06-18T00:00:00-06:00,3714 kWh
2017-06-19T00:00:00-06:00,4188 kWh
2017-06-20T00:00:00-06:00,4256 kWh
2017-06-21T00:00:00-06:00,4182 kWh
2017-06-22T00:00:00-06:00,4310 kWh
2017-06-23T00:00:00-06:00,4174 kWh
2017-06-24T00:00:00-06:00,3732 kWh
2017-06-25T00:00:00-06:00,3712 kWh
2017-06-26T00:00:00-06:00,4126 kWh
2017-06-27T00:00:00-06:00,4184 kWh
2017-06-28T00:00:00-06:00,4224 kWh
2017-06-29T00:00:00-06:00,4208 kWh
2017-06-30T00:00:00-06:00,4162 kWh
2017-07-01T00:00:00-06:00,3700 kWh
2017-07-02T00:00:00-06:00,3616 kWh
2017-07-03T00:00:00-06:00,4006 kWh
2017-07-04T00:00:00-06:00,3702 kWh
2017-07-05T00:00:00-06:00,4136 kWh
2017-07-06T00:00:00-06:00,4188 kWh
2017-07-07T00:00:00-06:00,4110 kWh
2017-07-08T00:00:00-06:00,3696 kWh
2017-07-09T00:00:00-06:00,3552 kWh
2017-07-10T00:00:00-06:00,4036 kWh
2017-07-11T00:00:00-06:00,4296 kWh
2017-07-12T00:00:00-06:00,4288 kWh
2017-07-13T00:00:00-06:00,4176 kWh
2017-07-14T00:00:00-06:00,4068 kWh
2017-07-15T00:00:00-06:00,3702 kWh
2017-07-16T00:00:00-06:00,3640 kWh
2017-07-17T00:00:00-06:00,4092 kWh
2017-07-18T00:00:00-06:00,4184 kWh
2017-07-19T00:00:00-06:00,4148 kWh
2017-07-20T00:00:00-06:00,4178 kWh
2017-07-21T00:00:00-06:00,4080 kWh
2017-07-22T00:00:00-06:00,3658 kWh
2017-07-23T00:00:00-06:00,3548 kWh
2017-07-24T00:00:00-06:00,3748 kWh
2017-07-25T00:00:00-06:00,4406 kWh
2017-07-26T00:00:00-06:00,4482 kWh
2017-07-27T00:00:00-06:00,4276 kWh
2017-07-28T00:00:00-06:00,4176 kWh
2017-07-29T00:00:00-06:00,3704 kWh
2017-07-30T00:00:00-06:00,3766 kWh
2017-07-31T00:00:00-06:00,4132 kWh
2017-08-01T00:00:00-06:00,4196 kWh
2017-08-02T00:00:00-06:00,4174 kWh
2017-08-03T00:00:00-06:00,4106 kWh
2017-08-04T00:00:00-06:00,4000 kWh
2017-08-05T00:00:00-06:00,3496 kWh
2017-08-06T00:00:00-06:00,3496 kWh
2017-08-07T00:00:00-06:00,3928 kWh
2017-08-08T00:00:00-06:00,3956 kWh
2017-08-09T00:00:00-06:00,4054 kWh
2017-08-10T00:00:00-06:00,3962 kWh
2017-08-11T00:00:00-06:00,3834 kWh
2017-08-12T00:00:00-06:00,3536 kWh
2017-08-13T00:00:00-06:00,3484 kWh
2017-08-14T00:00:00-06:00,3948 kWh
2017-08-15T00:00:00-06:00,4026 kWh
2017-08-16T00:00:00-06:00,4108 kWh
2017-08-17T00:00:00-06:00,4008 kWh
2017-08-18T00:00:00-06:00,4036 kWh
2017-08-19T00:00:00-06:00,3624 kWh
2017-08-20T00:00:00-06:00,3582 kWh
2017-08-21T00:00:00-06:00,4004 kWh
2017-08-22T00:00:00-06:00,3972 kWh
2017-08-23T00:00:00-06:00,3950 kWh
2017-08-24T00:00:00-06:00,3850 kWh
2017-08-25T00:00:00-06:00,3968 kWh
2017-08-26T00:00:00-06:00,3596 kWh
2017-08-27T00:00:00-06:00,3520 kWh
2017-08-28T00:00:00-06:00,4328 kWh
2017-08-29T00:00:00-06:00,4062 kWh
2017-08-30T00:00:00-06:00,4244 kWh
2017-08-31T00:00:00-06:00,4142 kWh
2017-09-01T00:00:00-06:00,4046 kWh
2017-09-02T00:00:00-06:00,3496 kWh
2017-09-03T00:00:00-06:00,3398 kWh
2017-09-04T00:00:00-06:00,3486 kWh
2017-09-05T00:00:00-06:00,4040 kWh
2017-09-06T00:00:00-06:00,4018 kWh
2017-09-07T00:00:00-06:00,4086 kWh
2017-09-08T00:00:00-06:00,3962 kWh
2017-09-09T00:00:00-06:00,3454 kWh
2017-09-10T00:00:00-06:00,3330 kWh
2017-09-11T00:00:00-06:00,3998 kWh
2017-09-12T00:00:00-06:00,4184 kWh
2017-09-13T00:00:00-06:00,4212 kWh
2017-09-14T00:00:00-06:00,4188 kWh
2017-09-15T00:00:00-06:00,4132 kWh
2017-09-16T00:00:00-06:00,3606 kWh
2017-09-17T00:00:00-06:00,3500 kWh
2017-09-18T00:00:00-06:00,4148 kWh
2017-09-19T00:00:00-06:00,4294 kWh
2017-09-20T00:00:00-06:00,4246 kWh
2017-09-21T00:00:00-06:00,4342 kWh
2017-09-22T00:00:00-06:00,4224 kWh
2017-09-23T00:00:00-06:00,3728 kWh
2017-09-24T00:00:00-06:00,3818 kWh
2017-09-25T00:00:00-06:00,4460 kWh
2017-09-26T00:00:00-06:00,4442 kWh
2017-09-27T00:00:00-06:00,4384 kWh
2017-09-28T00:00:00-06:00,4330 kWh
2017-09-29T00:00:00-06:00,4270 kWh
2017-09-30T00:00:00-06:00,3792 kWh
2017-10-01T00:00:00-06:00,3692 kWh
2017-10-02T00:00:00-06:00,4300 kWh
2017-10-03T00:00:00-06:00,4462 kWh
2017-10-04T00:00:00-06:00,4370 kWh
2017-10-05T00:00:00-06:00,4424 kWh
2017-10-06T00:00:00-06:00,4292 kWh
2017-10-07T00:00:00-06:00,3764 kWh
2017-10-08T00:00:00-06:00,3648 kWh
2017-10-09T00:00:00-06:00,4182 kWh
2017-10-10T00:00:00-06:00,4190 kWh
2017-10-11T00:00:00-06:00,4148 kWh
2017-10-12T00:00:00-06:00,4192 kWh
2017-10-13T00:00:00-06:00,4164 kWh
2017-10-14T00:00:00-06:00,3866 kWh
2017-10-15T00:00:00-06:00,3784 kWh
2017-10-16T00:00:00-06:00,4430 kWh
2017-10-17T00:00:00-06:00,4574 kWh
2017-10-18T00:00:00-06:00,4560 kWh
2017-10-19T00:00:00-06:00,4468 kWh
2017-10-20T00:00:00-06:00,4328 kWh
2017-10-21T00:00:00-06:00,3862 kWh
2017-10-22T00:00:00-06:00,3836 kWh
2017-10-23T00:00:00-06:00,4416 kWh
2017-10-24T00:00:00-06:00,4562 kWh
2017-10-25T00:00:00-06:00,4582 kWh
2017-10-26T00:00:00-06:00,4630 kWh
2017-10-27T00:00:00-06:00,4348 kWh
2017-10-28T00:00:00-06:00,3760 kWh
2017-10-29T00:00:00-06:00,3700 kWh
2017-10-30T00:00:00-06:00,4422 kWh
2017-10-31T00:00:00-06:00,4266 kWh
2017-11-01T00:00:00-06:00,4558 kWh
2017-11-02T00:00:00-06:00,4432 kWh
2017-11-03T00:00:00-06:00,4266 kWh
2017-11-04T00:00:00-06:00,3750 kWh
2017-11-05T00:00:00-06:00,3868 kWh
2017-11-06T00:00:00-07:00,4406 kWh
2017-11-07T00:00:00-07:00,4586 kWh
2017-11-08T00:00:00-07:00,4606 kWh
2017-11-09T00:00:00-07:00,4620 kWh
2017-11-10T00:00:00-07:00,4460 kWh
2017-11-11T00:00:00-07:00,3888 kWh
2017-11-12T00:00:00-07:00,3784 kWh
2017-11-13T00:00:00-07:00,4462 kWh
2017-11-14T00:00:00-07:00,4538 kWh
2017-11-15T00:00:00-07:00,4518 kWh
2017-11-16T00:00:00-07:00,4554 kWh
2017-11-17T00:00:00-07:00,4534 kWh
2017-11-18T00:00:00-07:00,3928 kWh
2017-11-19T00:00:00-07:00,3838 kWh
2017-11-20T00:00:00-07:00,4500 kWh
2017-11-21T00:00:00-07:00,4450 kWh
2017-11-22T00:00:00-07:00,4250 kWh
2017-11-23T00:00:00-07:00,3580 kWh
2017-11-24T00:00:00-07:00,3594 kWh
2017-11-25T00:00:00-07:00,3552 kWh
2017-11-26T00:00:00-07:00,3578 kWh
2017-11-27T00:00:00-07:00,4292 kWh
2017-11-28T00:00:00-07:00,4338 kWh
2017-11-29T00:00:00-07:00,4428 kWh
2017-11-30T00:00:00-07:00,4468 kWh
2017-12-01T00:00:00-07:00,4298 kWh
2017-12-02T00:00:00-07:00,3754 kWh
2017-12-03T00:00:00-07:00,3728 kWh
2017-12-04T00:00:00-07:00,4280 kWh
2017-12-05T00:00:00-07:00,4442 kWh
2017-12-06T00:00:00-07:00,4472 kWh
2017-12-07T00:00:00-07:00,4372 kWh
2017-12-08T00:00:00-07:00,4198 kWh
2017-12-09T00:00:00-07:00,3786 kWh
2017-12-10T00:00:00-07:00,3682 kWh
2017-12-11T00:00:00-07:00,4218 kWh
2017-12-12T00:00:00-07:00,4250 kWh
2017-12-13T00:00:00-07:00,4290 kWh
2017-12-14T00:00:00-07:00,4252 kWh
2017-12-15T00:00:00-07:00,4096 kWh
2017-12-16T00:00:00-07:00,3704 kWh
2017-12-17T00:00:00-07:00,3672 kWh
2017-12-18T00:00:00-07:00,4148 kWh
2017-12-19T00:00:00-07:00,4206 kWh
2017-12-20T00:00:00-07:00,4080 kWh
2017-12-21T00:00:00-07:00,4134 kWh
2017-12-22T00:00:00-07:00,4022 kWh
2017-12-23T00:00:00-07:00,3634 kWh
2017-12-24T00:00:00-07:00,3636 kWh
2017-12-25T00:00:00-07:00,3620 kWh
2017-12-26T00:00:00-07:00,3692 kWh
2017-12-27T00:00:00-07:00,3764 kWh
2017-12-28T00:00:00-07:00,3896 kWh
2017-12-29T00:00:00-07:00,3726 kWh
2017-12-30T00:00:00-07:00,3600 kWh
2017-12-31T00:00:00-07:00,3584 kWh
