Timestamp,['1cac61bb-b416a597 0009-WIDTSOE BLDG Power Meter 1(300028) Current A']
2017-04-27T00:00:00-06:00,38.77486840091931 A
2017-04-28T00:00:00-06:00,40.3533573525412 A
2017-04-29T00:00:00-06:00,35.844423276715716 A
2017-04-30T00:00:00-06:00,35.43728530668117 A
2017-05-01T00:00:00-06:00,43.31967585591332 A
2017-05-02T00:00:00-06:00,46.50650986850051 A
2017-05-03T00:00:00-06:00,61.93450848340146 A
2017-05-04T00:00:00-06:00,56.64455821346998 A
2017-05-05T00:00:00-06:00,112.3569941817223 A
2017-05-06T00:00:00-06:00,113.7285270772837 A
2017-05-07T00:00:00-06:00,97.42363931797979 A
2017-05-08T00:00:00-06:00,63.767016414944216 A
2017-05-09T00:00:00-06:00,73.0679606910744 A
2017-05-10T00:00:00-06:00,89.657869922787 A
2017-05-11T00:00:00-06:00,102.27756641720991 A
2017-05-12T00:00:00-06:00,108.2817449981913 A
2017-05-13T00:00:00-06:00,27.437265899814474 A
2017-05-14T00:00:00-06:00,71.46433741324601 A
2017-05-15T00:00:00-06:00,51.89925230126775 A
2017-05-16T00:00:00-06:00,29.42848380193272 A
2017-05-17T00:00:00-06:00,31.107979528689654 A
2017-05-18T00:00:00-06:00,28.644430985932566 A
2017-05-19T00:00:00-06:00,28.071871665259078 A
2017-05-20T00:00:00-06:00,81.34034631039177 A
2017-05-21T00:00:00-06:00,64.05032263595187 A
2017-05-22T00:00:00-06:00,74.73413260092583 A
2017-05-23T00:00:00-06:00,95.14064290743633 A
2017-05-24T00:00:00-06:00,104.89838526321486 A
2017-05-25T00:00:00-06:00,76.18521826335362 A
2017-05-26T00:00:00-06:00,50.05095907220902 A
2017-05-27T00:00:00-06:00,82.34377855842159 A
2017-05-28T00:00:00-06:00,103.54525432531901 A
2017-05-29T00:00:00-06:00,117.6193955225506 A
2017-05-30T00:00:00-06:00,145.0746957346057 A
2017-05-31T00:00:00-06:00,155.16028274336495 A
2017-06-01T00:00:00-06:00,114.11862348754109 A
2017-06-02T00:00:00-06:00,101.22088802351418 A
2017-06-03T00:00:00-06:00,92.79189445126441 A
2017-06-04T00:00:00-06:00,95.4728535921647 A
2017-06-05T00:00:00-06:00,113.45667152544517 A
2017-06-06T00:00:00-06:00,111.30352509312944 A
2017-06-07T00:00:00-06:00,131.31457080339132 A
2017-06-08T00:00:00-06:00,117.81669648282829 A
2017-06-09T00:00:00-06:00,97.54543985948494 A
2017-06-10T00:00:00-06:00,108.74302539718435 A
2017-06-11T00:00:00-06:00,108.0161756066715 A
2017-06-12T00:00:00-06:00,91.84403398925183 A
2017-06-13T00:00:00-06:00,63.66713621791473 A
2017-06-14T00:00:00-06:00,107.04386263373945 A
2017-06-15T00:00:00-06:00,152.94776557279715 A
2017-06-16T00:00:00-06:00,118.09389183137945 A
2017-06-17T00:00:00-06:00,102.09833953024327 A
2017-06-18T00:00:00-06:00,99.09307158606195 A
2017-06-19T00:00:00-06:00,151.1766104058691 A
2017-06-20T00:00:00-06:00,181.71062574275703 A
2017-06-21T00:00:00-06:00,119.47335695404253 A
2017-06-22T00:00:00-06:00,127.04638776178764 A
2017-06-23T00:00:00-06:00,110.03726876906958 A
2017-06-24T00:00:00-06:00,98.6634848773131 A
2017-06-25T00:00:00-06:00,98.97026186415988 A
2017-06-26T00:00:00-06:00,108.68557132938044 A
2017-06-27T00:00:00-06:00,129.61822528223837 A
2017-06-28T00:00:00-06:00,127.87085858020154 A
2017-06-29T00:00:00-06:00,128.90348235420558 A
2017-06-30T00:00:00-06:00,125.55917491469272 A
2017-07-01T00:00:00-06:00,123.58675267146184 A
2017-07-02T00:00:00-06:00,124.00198753843917 A
2017-07-03T00:00:00-06:00,130.6482424736023 A
2017-07-04T00:00:00-06:00,134.49048058191934 A
2017-07-05T00:00:00-06:00,139.98040143648782 A
2017-07-06T00:00:00-06:00,136.83550861317624 A
2017-07-07T00:00:00-06:00,146.88755554376647 A
2017-07-08T00:00:00-06:00,183.93925285339355 A
2017-07-09T00:00:00-06:00,186.392273318383 A
2017-07-10T00:00:00-06:00,178.54262349691734 A
2017-07-11T00:00:00-06:00,125.9843600960665 A
2017-07-12T00:00:00-06:00,127.05377205649575 A
2017-07-13T00:00:00-06:00,128.48984062808682 A
2017-07-14T00:00:00-06:00,148.41997678780263 A
2017-07-15T00:00:00-06:00,108.64078081916361 A
2017-07-16T00:00:00-06:00,116.54315814343127 A
2017-07-17T00:00:00-06:00,130.29460031336004 A
2017-07-18T00:00:00-06:00,130.02336931776728 A
2017-07-19T00:00:00-06:00,126.96403189765083 A
2017-07-20T00:00:00-06:00,124.2951254337392 A
2017-07-21T00:00:00-06:00,124.58463498379322 A
2017-07-22T00:00:00-06:00,110.24104782630657 A
2017-07-23T00:00:00-06:00,109.37365904721347 A
2017-07-24T00:00:00-06:00,129.4997354863764 A
2017-07-25T00:00:00-06:00,119.71001619037828 A
2017-07-26T00:00:00-06:00,122.49702835083008 A
2017-07-27T00:00:00-06:00,118.43591237068176 A
2017-07-28T00:00:00-06:00,114.85489022731781 A
2017-07-29T00:00:00-06:00,108.50636384752062 A
2017-07-30T00:00:00-06:00,107.53049493872601 A
2017-07-31T00:00:00-06:00,131.71753717778805 A
2017-08-01T00:00:00-06:00,128.87397514690053 A
2017-08-02T00:00:00-06:00,126.61113640280331 A
2017-08-03T00:00:00-06:00,127.12502106753263 A
2017-08-04T00:00:00-06:00,123.9092498601869 A
2017-08-05T00:00:00-06:00,109.69913960551168 A
2017-08-06T00:00:00-06:00,106.64562115139431 A
2017-08-07T00:00:00-06:00,122.81935756809109 A
2017-08-08T00:00:00-06:00,125.62943619948167 A
2017-08-09T00:00:00-06:00,153.66074955717048 A
2017-08-10T00:00:00-06:00,194.3053237186389 A
2017-08-11T00:00:00-06:00,201.5241405652917 A
2017-08-12T00:00:00-06:00,186.35404157136617 A
2017-08-13T00:00:00-06:00,187.60730658637152 A
2017-08-14T00:00:00-06:00,198.4650036801574 A
2017-08-15T00:00:00-06:00,178.51489354227925 A
2017-08-16T00:00:00-06:00,182.61087983783924 A
2017-08-17T00:00:00-06:00,183.4060783185457 A
2017-08-18T00:00:00-06:00,120.9328289826711 A
2017-08-19T00:00:00-06:00,114.58249053955078 A
2017-08-20T00:00:00-06:00,112.42486884004326 A
2017-08-21T00:00:00-06:00,147.14041162306262 A
2017-08-22T00:00:00-06:00,130.74008530836838 A
2017-08-23T00:00:00-06:00,149.8281159294976 A
2017-08-24T00:00:00-06:00,133.47999085575702 A
2017-08-25T00:00:00-06:00,160.60429628160264 A
2017-08-26T00:00:00-06:00,118.86022624750247 A
2017-08-27T00:00:00-06:00,117.4158331129286 A
2017-08-28T00:00:00-06:00,149.93979581945084 A
2017-08-29T00:00:00-06:00,135.42439085642496 A
2017-08-30T00:00:00-06:00,140.59877601036658 A
2017-08-31T00:00:00-06:00,130.47401480622344 A
2017-09-01T00:00:00-06:00,104.0902909345405 A
2017-09-02T00:00:00-06:00,94.53591573107373 A
2017-09-03T00:00:00-06:00,97.6191526081251 A
2017-09-04T00:00:00-06:00,98.5812997189197 A
2017-09-05T00:00:00-06:00,109.7077347299327 A
2017-09-06T00:00:00-06:00,112.90978701571201 A
2017-09-07T00:00:00-06:00,137.7768567876613 A
2017-09-08T00:00:00-06:00,148.133812851376 A
2017-09-09T00:00:00-06:00,118.34397536135734 A
2017-09-10T00:00:00-06:00,168.6190375884374 A
2017-09-11T00:00:00-06:00,185.33006743974582 A
2017-09-12T00:00:00-06:00,179.86315012480082 A
2017-09-13T00:00:00-06:00,168.73097672992282 A
2017-09-14T00:00:00-06:00,159.78786874854046 A
2017-09-15T00:00:00-06:00,39.49617796358855 A
2017-09-16T00:00:00-06:00,51.313155446733745 A
2017-09-17T00:00:00-06:00,67.83718102628535 A
2017-09-18T00:00:00-06:00,126.34153861777727 A
2017-09-19T00:00:00-06:00,40.35734544017098 A
2017-09-20T00:00:00-06:00,96.136558318406 A
2017-09-21T00:00:00-06:00,37.82339455286662 A
2017-09-22T00:00:00-06:00,33.74250179926555 A
2017-09-23T00:00:00-06:00,23.464813506349604 A
2017-09-24T00:00:00-06:00,21.049046705057332 A
2017-09-25T00:00:00-06:00,35.46202220700004 A
2017-09-26T00:00:00-06:00,34.806450833214654 A
2017-09-27T00:00:00-06:00,71.69885052916824 A
2017-09-28T00:00:00-06:00,66.21769522572612 A
2017-09-29T00:00:00-06:00,94.98219012199564 A
2017-09-30T00:00:00-06:00,57.27121984958649 A
2017-10-01T00:00:00-06:00,22.690301726261776 A
2017-10-02T00:00:00-06:00,34.116891046365105 A
2017-10-03T00:00:00-06:00,31.436933000882465 A
2017-10-04T00:00:00-06:00,34.877930879592896 A
2017-10-05T00:00:00-06:00,35.84517489422809 A
2017-10-06T00:00:00-06:00,35.020609042861246 A
2017-10-07T00:00:00-06:00,74.87868414141916 A
2017-10-08T00:00:00-06:00,24.632591342926027 A
2017-10-09T00:00:00-06:00,32.05477257432609 A
2017-10-10T00:00:00-06:00,32.736787900819884 A
2017-10-11T00:00:00-06:00,74.13920154778853 A
2017-10-12T00:00:00-06:00,32.73801086165688 A
2017-10-13T00:00:00-06:00,28.989106939194052 A
2017-10-14T00:00:00-06:00,23.05334028704413 A
2017-10-15T00:00:00-06:00,22.550266058548637 A
2017-10-16T00:00:00-06:00,37.664680877428374 A
2017-10-17T00:00:00-06:00,48.199907011144305 A
2017-10-18T00:00:00-06:00,55.91656528348508 A
2017-10-19T00:00:00-06:00,94.64101272382234 A
2017-10-20T00:00:00-06:00,63.24584399212848 A
2017-10-21T00:00:00-06:00,23.139032565222845 A
2017-10-22T00:00:00-06:00,54.21819953918457 A
2017-10-23T00:00:00-06:00,33.488510598527625 A
2017-10-24T00:00:00-06:00,33.30758450156764 A
2017-10-25T00:00:00-06:00,46.296973319763836 A
2017-10-26T00:00:00-06:00,37.69740308460436 A
2017-10-27T00:00:00-06:00,33.71443306772333 A
2017-10-28T00:00:00-06:00,25.592565382680586 A
2017-10-29T00:00:00-06:00,51.35246868567033 A
2017-10-30T00:00:00-06:00,33.28595803646331 A
2017-10-31T00:00:00-06:00,30.145478785723107 A
2017-11-01T00:00:00-06:00,69.31973024931821 A
2017-11-02T00:00:00-06:00,81.12856495657633 A
2017-11-03T00:00:00-06:00,43.5514489809672 A
2017-11-04T00:00:00-06:00,23.228484015994603 A
2017-11-05T00:00:00-06:00,21.78860145029814 A
2017-11-06T00:00:00-07:00,34.223326587677 A
2017-11-07T00:00:00-07:00,31.655117496029362 A
