Timestamp,['1f7d6d1e-497ce2d8 0372-KENNECOTT MECH ENG BLDG Power Meter 300345 Energy Consumption']
2017-05-14T00:00:00-06:00,2917 kWh
2017-05-15T00:00:00-06:00,3599 kWh
2017-05-16T00:00:00-06:00,3472 kWh
2017-05-17T00:00:00-06:00,3610 kWh
2017-05-18T00:00:00-06:00,3538 kWh
2017-05-19T00:00:00-06:00,3359 kWh
2017-05-20T00:00:00-06:00,3243 kWh
2017-05-21T00:00:00-06:00,3080 kWh
2017-05-22T00:00:00-06:00,3998 kWh
2017-05-23T00:00:00-06:00,4488 kWh
2017-05-24T00:00:00-06:00,4930 kWh
2017-05-25T00:00:00-06:00,4006 kWh
2017-05-26T00:00:00-06:00,3644 kWh
2017-05-27T00:00:00-06:00,3365 kWh
2017-05-28T00:00:00-06:00,3806 kWh
2017-05-29T00:00:00-06:00,4279 kWh
2017-05-30T00:00:00-06:00,5227 kWh
2017-05-31T00:00:00-06:00,5277 kWh
2017-06-01T00:00:00-06:00,5033 kWh
2017-06-02T00:00:00-06:00,4801 kWh
2017-06-03T00:00:00-06:00,4645 kWh
2017-06-04T00:00:00-06:00,4993 kWh
2017-06-05T00:00:00-06:00,5307 kWh
2017-06-06T00:00:00-06:00,5409 kWh
2017-06-07T00:00:00-06:00,5738 kWh
2017-06-08T00:00:00-06:00,5654 kWh
2017-06-09T00:00:00-06:00,5005 kWh
2017-06-10T00:00:00-06:00,3939 kWh
2017-06-11T00:00:00-06:00,4469 kWh
2017-06-12T00:00:00-06:00,4205 kWh
2017-06-13T00:00:00-06:00,3849 kWh
2017-06-14T00:00:00-06:00,4524 kWh
2017-06-15T00:00:00-06:00,5286 kWh
2017-06-16T00:00:00-06:00,5517 kWh
2017-06-17T00:00:00-06:00,4624 kWh
2017-06-18T00:00:00-06:00,4508 kWh
2017-06-19T00:00:00-06:00,5432 kWh
2017-06-20T00:00:00-06:00,5768 kWh
2017-06-21T00:00:00-06:00,5643 kWh
2017-06-22T00:00:00-06:00,5244 kWh
2017-06-23T00:00:00-06:00,4970 kWh
2017-06-24T00:00:00-06:00,4674 kWh
2017-06-25T00:00:00-06:00,4903 kWh
2017-06-26T00:00:00-06:00,5698 kWh
2017-06-27T00:00:00-06:00,5585 kWh
2017-06-28T00:00:00-06:00,5005 kWh
2017-06-29T00:00:00-06:00,4802 kWh
2017-06-30T00:00:00-06:00,5137 kWh
2017-07-01T00:00:00-06:00,4825 kWh
2017-07-02T00:00:00-06:00,5019 kWh
2017-07-03T00:00:00-06:00,5612 kWh
2017-07-04T00:00:00-06:00,5318 kWh
2017-07-05T00:00:00-06:00,6000 kWh
2017-07-06T00:00:00-06:00,5962 kWh
2017-07-07T00:00:00-06:00,5935 kWh
2017-07-08T00:00:00-06:00,5492 kWh
2017-07-09T00:00:00-06:00,5377 kWh
2017-07-10T00:00:00-06:00,5839 kWh
2017-07-11T00:00:00-06:00,5714 kWh
2017-07-12T00:00:00-06:00,5625 kWh
2017-07-13T00:00:00-06:00,5682 kWh
2017-07-14T00:00:00-06:00,5510 kWh
2017-07-15T00:00:00-06:00,5199 kWh
2017-07-16T00:00:00-06:00,5243 kWh
2017-07-17T00:00:00-06:00,5691 kWh
2017-07-18T00:00:00-06:00,5796 kWh
2017-07-19T00:00:00-06:00,5798 kWh
2017-07-20T00:00:00-06:00,5829 kWh
2017-07-21T00:00:00-06:00,5740 kWh
2017-07-22T00:00:00-06:00,5260 kWh
2017-07-23T00:00:00-06:00,5083 kWh
2017-07-24T00:00:00-06:00,5278 kWh
2017-07-25T00:00:00-06:00,5435 kWh
2017-07-26T00:00:00-06:00,5527 kWh
2017-07-27T00:00:00-06:00,5453 kWh
2017-07-28T00:00:00-06:00,5303 kWh
2017-07-29T00:00:00-06:00,4929 kWh
2017-07-30T00:00:00-06:00,5051 kWh
2017-07-31T00:00:00-06:00,5857 kWh
2017-08-01T00:00:00-06:00,6015 kWh
2017-08-02T00:00:00-06:00,5836 kWh
2017-08-03T00:00:00-06:00,5882 kWh
2017-08-04T00:00:00-06:00,5568 kWh
2017-08-05T00:00:00-06:00,5036 kWh
2017-08-06T00:00:00-06:00,4820 kWh
2017-08-07T00:00:00-06:00,5191 kWh
2017-08-08T00:00:00-06:00,5118 kWh
2017-08-09T00:00:00-06:00,5175 kWh
2017-08-10T00:00:00-06:00,5165 kWh
2017-08-11T00:00:00-06:00,5421 kWh
2017-08-12T00:00:00-06:00,4950 kWh
2017-08-13T00:00:00-06:00,4915 kWh
2017-08-14T00:00:00-06:00,5109 kWh
2017-08-15T00:00:00-06:00,4872 kWh
2017-08-16T00:00:00-06:00,4943 kWh
2017-08-17T00:00:00-06:00,5205 kWh
2017-08-18T00:00:00-06:00,5408 kWh
2017-08-19T00:00:00-06:00,5007 kWh
2017-08-20T00:00:00-06:00,5137 kWh
2017-08-21T00:00:00-06:00,5739 kWh
2017-08-22T00:00:00-06:00,5840 kWh
2017-08-23T00:00:00-06:00,5293 kWh
2017-08-24T00:00:00-06:00,4173 kWh
2017-08-25T00:00:00-06:00,5616 kWh
2017-08-26T00:00:00-06:00,5591 kWh
2017-08-27T00:00:00-06:00,5413 kWh
2017-08-28T00:00:00-06:00,6245 kWh
2017-08-29T00:00:00-06:00,5993 kWh
2017-08-30T00:00:00-06:00,6219 kWh
2017-08-31T00:00:00-06:00,5309 kWh
2017-09-01T00:00:00-06:00,5469 kWh
2017-09-02T00:00:00-06:00,4711 kWh
2017-09-03T00:00:00-06:00,4827 kWh
2017-09-04T00:00:00-06:00,4811 kWh
2017-09-05T00:00:00-06:00,5490 kWh
2017-09-06T00:00:00-06:00,5996 kWh
2017-09-07T00:00:00-06:00,5811 kWh
2017-09-08T00:00:00-06:00,5681 kWh
2017-09-09T00:00:00-06:00,4876 kWh
2017-09-10T00:00:00-06:00,4833 kWh
2017-09-11T00:00:00-06:00,5221 kWh
