Timestamp,['1cc3ffcf-2e82f53d 0008-EMERY BLDG Power Meter 300026 KW']
2017-10-16T00:00:00-06:00,53.75999450683594 kW
2017-10-17T00:00:00-06:00,54.14399719238281 kW
2017-10-18T00:00:00-06:00,54.33599853515625 kW
2017-10-19T00:00:00-06:00,55.45599365234375 kW
2017-10-20T00:00:00-06:00,53.5679931640625 kW
2017-10-21T00:00:00-06:00,27.007999420166016 kW
2017-10-22T00:00:00-06:00,27.231998443603516 kW
2017-10-23T00:00:00-06:00,52.831993103027344 kW
2017-10-24T00:00:00-06:00,57.183998107910156 kW
2017-10-25T00:00:00-06:00,52.831993103027344 kW
2017-10-26T00:00:00-06:00,47.32799530029297 kW
2017-10-27T00:00:00-06:00,53.343994140625 kW
2017-10-28T00:00:00-06:00,27.167999267578125 kW
2017-10-29T00:00:00-06:00,28.57599639892578 kW
2017-10-30T00:00:00-06:00,60.76799774169922 kW
2017-10-31T00:00:00-06:00,40.12799835205078 kW
2017-11-01T00:00:00-06:00,50.271995544433594 kW
2017-11-02T00:00:00-06:00,54.36799621582031 kW
2017-11-03T00:00:00-06:00,49.79199981689453 kW
2017-11-04T00:00:00-06:00,27.711997985839844 kW
2017-11-05T00:00:00-06:00,28.479999542236328 kW
2017-11-06T00:00:00-07:00,48.89599609375 kW
2017-11-07T00:00:00-07:00,51.58399963378906 kW
2017-11-08T00:00:00-07:00,49.75999450683594 kW
2017-11-09T00:00:00-07:00,51.58399963378906 kW
2017-11-10T00:00:00-07:00,54.43199920654297 kW
2017-11-11T00:00:00-07:00,35.45599365234375 kW
2017-11-12T00:00:00-07:00,34.68799591064453 kW
2017-11-13T00:00:00-07:00,55.03999328613281 kW
2017-11-14T00:00:00-07:00,55.42399597167969 kW
2017-11-15T00:00:00-07:00,57.279998779296875 kW
2017-11-16T00:00:00-07:00,53.951995849609375 kW
2017-11-17T00:00:00-07:00,58.01599884033203 kW
2017-11-18T00:00:00-07:00,29.215999603271484 kW
2017-11-19T00:00:00-07:00,41.183998107910156 kW
2017-11-20T00:00:00-07:00,46.271995544433594 kW
2017-11-21T00:00:00-07:00,58.81599426269531 kW
2017-11-22T00:00:00-07:00,47.19999694824219 kW
2017-11-23T00:00:00-07:00,29.151996612548828 kW
2017-11-24T00:00:00-07:00,29.311996459960938 kW
2017-11-25T00:00:00-07:00,29.119998931884766 kW
2017-11-26T00:00:00-07:00,29.023998260498047 kW
2017-11-27T00:00:00-07:00,51.711997985839844 kW
2017-11-28T00:00:00-07:00,52.511993408203125 kW
2017-11-29T00:00:00-07:00,53.375999450683594 kW
2017-11-30T00:00:00-07:00,50.943992614746094 kW
2017-12-01T00:00:00-07:00,43.487998962402344 kW
2017-12-02T00:00:00-07:00,32.19199752807617 kW
2017-12-03T00:00:00-07:00,29.983997344970703 kW
2017-12-04T00:00:00-07:00,50.81599426269531 kW
2017-12-05T00:00:00-07:00,52.99199676513672 kW
2017-12-06T00:00:00-07:00,54.20799255371094 kW
2017-12-07T00:00:00-07:00,51.87199401855469 kW
2017-12-08T00:00:00-07:00,40.86399841308594 kW
2017-12-09T00:00:00-07:00,26.591999053955078 kW
2017-12-10T00:00:00-07:00,26.33599853515625 kW
2017-12-11T00:00:00-07:00,37.21599578857422 kW
2017-12-12T00:00:00-07:00,49.503997802734375 kW
2017-12-13T00:00:00-07:00,49.631996154785156 kW
2017-12-14T00:00:00-07:00,38.495994567871094 kW
2017-12-15T00:00:00-07:00,43.19999694824219 kW
2017-12-16T00:00:00-07:00,25.183998107910156 kW
2017-12-17T00:00:00-07:00,25.151996612548828 kW
2017-12-18T00:00:00-07:00,37.503997802734375 kW
2017-12-19T00:00:00-07:00,37.88799285888672 kW
2017-12-20T00:00:00-07:00,35.35999298095703 kW
2017-12-21T00:00:00-07:00,45.631996154785156 kW
2017-12-22T00:00:00-07:00,47.03999328613281 kW
2017-12-23T00:00:00-07:00,27.551998138427734 kW
2017-12-24T00:00:00-07:00,26.65599822998047 kW
2017-12-25T00:00:00-07:00,28.35199737548828 kW
2017-12-26T00:00:00-07:00,26.975997924804688 kW
2017-12-27T00:00:00-07:00,35.03999328613281 kW
2017-12-28T00:00:00-07:00,39.80799865722656 kW
2017-12-29T00:00:00-07:00,33.31199645996094 kW
2017-12-30T00:00:00-07:00,31.167999267578125 kW
2017-12-31T00:00:00-07:00,26.591999053955078 kW
