Timestamp,['1cf8d7b8-b07543b7 0064-MERRILL ENGINEERING BLDG Power Meter (powerlogic) 316608 KWH Received']
2017-04-22T00:00:00-06:00,30378.666666666668 Wh
2017-04-23T00:00:00-06:00,29920 Wh
2017-04-24T00:00:00-06:00,29493.333333333332 Wh
2017-04-25T00:00:00-06:00,29546.666666666668 Wh
2017-04-26T00:00:00-06:00,29877.333333333332 Wh
2017-04-27T00:00:00-06:00,29834.666666666668 Wh
2017-04-28T00:00:00-06:00,30208 Wh
2017-04-29T00:00:00-06:00,30453.333333333332 Wh
2017-04-30T00:00:00-06:00,30922.666666666668 Wh
2017-05-01T00:00:00-06:00,30858.666666666668 Wh
2017-05-02T00:00:00-06:00,30282.666666666668 Wh
2017-05-03T00:00:00-06:00,30666.666666666668 Wh
2017-05-04T00:00:00-06:00,30496 Wh
2017-05-05T00:00:00-06:00,30624 Wh
2017-05-06T00:00:00-06:00,30645.333333333332 Wh
2017-05-07T00:00:00-06:00,30538.666666666668 Wh
2017-05-08T00:00:00-06:00,31079.489361702126 Wh
2017-05-09T00:00:00-06:00,30453.333333333332 Wh
2017-05-10T00:00:00-06:00,30037.333333333332 Wh
2017-05-11T00:00:00-06:00,30048 Wh
2017-05-12T00:00:00-06:00,29642.666666666668 Wh
2017-05-13T00:00:00-06:00,30176 Wh
2017-05-14T00:00:00-06:00,30592 Wh
2017-05-15T00:00:00-06:00,30752 Wh
2017-05-16T00:00:00-06:00,30602.666666666668 Wh
2017-05-17T00:00:00-06:00,30346.666666666668 Wh
2017-05-18T00:00:00-06:00,30677.333333333332 Wh
2017-05-19T00:00:00-06:00,31232 Wh
2017-05-20T00:00:00-06:00,31082.666666666668 Wh
2017-05-21T00:00:00-06:00,31232 Wh
2017-05-22T00:00:00-06:00,31285.333333333332 Wh
2017-05-23T00:00:00-06:00,31050.666666666668 Wh
2017-05-24T00:00:00-06:00,30922.666666666668 Wh
2017-05-25T00:00:00-06:00,30805.333333333332 Wh
2017-05-26T00:00:00-06:00,30698.666666666668 Wh
2017-05-27T00:00:00-06:00,30421.333333333332 Wh
2017-05-28T00:00:00-06:00,30688 Wh
2017-05-29T00:00:00-06:00,30848 Wh
2017-05-30T00:00:00-06:00,30816 Wh
2017-05-31T00:00:00-06:00,30784 Wh
2017-06-01T00:00:00-06:00,30720 Wh
2017-06-02T00:00:00-06:00,30709.333333333332 Wh
2017-06-03T00:00:00-06:00,30698.666666666668 Wh
2017-06-04T00:00:00-06:00,30720 Wh
2017-06-05T00:00:00-06:00,30634.666666666668 Wh
2017-06-06T00:00:00-06:00,31733.333333333332 Wh
2017-06-07T00:00:00-06:00,31050.666666666668 Wh
2017-06-08T00:00:00-06:00,30165.333333333332 Wh
