Timestamp,['1cca749f-c914c14e 0062-WARNOCK ENGR BLDG Power Meter 316606 Volts CN']
2017-05-03T00:00:00-06:00,123.02777777777777 V
2017-05-04T00:00:00-06:00,122.99166666666666 V
2017-05-05T00:00:00-06:00,123.03611111111111 V
2017-05-06T00:00:00-06:00,123.04166666666667 V
2017-05-07T00:00:00-06:00,122.98402777777778 V
2017-05-08T00:00:00-06:00,123.01267605633802 V
2017-05-09T00:00:00-06:00,123.01319444444445 V
2017-05-10T00:00:00-06:00,122.98611111111111 V
2017-05-11T00:00:00-06:00,122.89930555555556 V
2017-05-12T00:00:00-06:00,123.07986111111111 V
2017-05-13T00:00:00-06:00,123.19791666666667 V
2017-05-14T00:00:00-06:00,123.00277777777778 V
2017-05-15T00:00:00-06:00,122.9625 V
2017-05-16T00:00:00-06:00,123.11888111888112 V
2017-05-17T00:00:00-06:00,123.13888888888889 V
2017-05-18T00:00:00-06:00,122.94444444444444 V
2017-05-19T00:00:00-06:00,123.07638888888889 V
2017-05-20T00:00:00-06:00,123.15277777777777 V
2017-05-21T00:00:00-06:00,123.09861111111111 V
2017-05-22T00:00:00-06:00,123.10347222222222 V
2017-05-23T00:00:00-06:00,123.02708333333334 V
2017-05-24T00:00:00-06:00,123.0423611111111 V
2017-05-25T00:00:00-06:00,122.90902777777778 V
2017-05-26T00:00:00-06:00,123.04861111111111 V
2017-05-27T00:00:00-06:00,123.00763888888889 V
2017-05-28T00:00:00-06:00,122.98611111111111 V
2017-05-29T00:00:00-06:00,122.99375 V
2017-05-30T00:00:00-06:00,123 V
2017-05-31T00:00:00-06:00,123.01388888888889 V
2017-06-01T00:00:00-06:00,123.08958333333334 V
2017-06-02T00:00:00-06:00,122.95902777777778 V
2017-06-03T00:00:00-06:00,123.06944444444444 V
2017-06-04T00:00:00-06:00,122.98611111111111 V
2017-06-05T00:00:00-06:00,122.90277777777777 V
2017-06-06T00:00:00-06:00,123.02083333333333 V
2017-06-07T00:00:00-06:00,123.09027777777777 V
2017-06-08T00:00:00-06:00,123.09027777777777 V
2017-06-09T00:00:00-06:00,122.93055555555556 V
2017-06-10T00:00:00-06:00,122.92013888888889 V
2017-06-11T00:00:00-06:00,122.9986013986014 V
2017-06-12T00:00:00-06:00,123.05972222222222 V
2017-06-13T00:00:00-06:00,122.92361111111111 V
2017-06-14T00:00:00-06:00,122.89583333333333 V
2017-06-15T00:00:00-06:00,122.93263888888889 V
2017-06-16T00:00:00-06:00,122.93541666666667 V
2017-06-17T00:00:00-06:00,123.02777777777777 V
2017-06-18T00:00:00-06:00,123.08333333333333 V
2017-06-19T00:00:00-06:00,123.02083333333333 V
2017-06-20T00:00:00-06:00,122.97222222222223 V
2017-06-21T00:00:00-06:00,122.96527777777777 V
2017-06-22T00:00:00-06:00,123.05694444444444 V
2017-06-23T00:00:00-06:00,123.06111111111112 V
2017-06-24T00:00:00-06:00,123.0625 V
2017-06-25T00:00:00-06:00,123.15416666666667 V
2017-06-26T00:00:00-06:00,122.85614849187935 V
2017-06-27T00:00:00-06:00,123.13541666666667 V
2017-06-28T00:00:00-06:00,122.95833333333333 V
2017-06-29T00:00:00-06:00,123.09375 V
2017-06-30T00:00:00-06:00,123.02083333333333 V
2017-07-01T00:00:00-06:00,123.03125 V
2017-07-02T00:00:00-06:00,123.10416666666667 V
2017-07-03T00:00:00-06:00,123.0625 V
2017-07-04T00:00:00-06:00,123.13541666666667 V
2017-07-05T00:00:00-06:00,123.01041666666667 V
2017-07-06T00:00:00-06:00,123.01041666666667 V
2017-07-07T00:00:00-06:00,122.96875 V
2017-07-08T00:00:00-06:00,123.12631578947368 V
2017-07-09T00:00:00-06:00,123.11458333333333 V
2017-07-10T00:00:00-06:00,122.98958333333333 V
2017-07-11T00:00:00-06:00,122.90625 V
2017-07-12T00:00:00-06:00,122.90625 V
2017-07-13T00:00:00-06:00,123.01041666666667 V
2017-07-14T00:00:00-06:00,123.11458333333333 V
2017-07-15T00:00:00-06:00,123.01041666666667 V
2017-07-16T00:00:00-06:00,123.07291666666667 V
2017-07-17T00:00:00-06:00,123 V
2017-07-18T00:00:00-06:00,122.96875 V
2017-07-19T00:00:00-06:00,122.97894736842105 V
2017-07-20T00:00:00-06:00,123.07291666666667 V
2017-07-21T00:00:00-06:00,123.04166666666667 V
2017-07-22T00:00:00-06:00,123.0625 V
2017-07-23T00:00:00-06:00,123.20833333333333 V
2017-07-24T00:00:00-06:00,123.1875 V
2017-07-25T00:00:00-06:00,123.05208333333333 V
2017-07-26T00:00:00-06:00,123.0625 V
2017-07-27T00:00:00-06:00,123.14583333333333 V
2017-07-28T00:00:00-06:00,123.02083333333333 V
2017-07-29T00:00:00-06:00,123.01041666666667 V
2017-07-30T00:00:00-06:00,123.08333333333333 V
2017-07-31T00:00:00-06:00,123.13541666666667 V
2017-08-01T00:00:00-06:00,123.125 V
2017-08-02T00:00:00-06:00,123.08333333333333 V
2017-08-03T00:00:00-06:00,123.02083333333333 V
2017-08-04T00:00:00-06:00,123.08988764044943 V
2017-08-05T00:00:00-06:00,123.125 V
2017-08-06T00:00:00-06:00,123.16666666666667 V
2017-08-07T00:00:00-06:00,123.07291666666667 V
2017-08-08T00:00:00-06:00,123.17708333333333 V
2017-08-09T00:00:00-06:00,122.97826086956522 V
2017-08-10T00:00:00-06:00,123.02173913043478 V
2017-08-11T00:00:00-06:00,123.125 V
2017-08-12T00:00:00-06:00,123.02083333333333 V
2017-08-13T00:00:00-06:00,123.17708333333333 V
2017-08-14T00:00:00-06:00,123.11458333333333 V
2017-08-15T00:00:00-06:00,123.1875 V
2017-08-16T00:00:00-06:00,123.09375 V
2017-08-17T00:00:00-06:00,122.97916666666667 V
2017-08-18T00:00:00-06:00,122.98958333333333 V
2017-08-19T00:00:00-06:00,123.02083333333333 V
2017-08-20T00:00:00-06:00,123.05208333333333 V
2017-08-21T00:00:00-06:00,123.02083333333333 V
2017-08-22T00:00:00-06:00,122.92708333333333 V
2017-08-23T00:00:00-06:00,122.97916666666667 V
2017-08-24T00:00:00-06:00,122.90625 V
2017-08-25T00:00:00-06:00,122.94791666666667 V
2017-08-26T00:00:00-06:00,122.92708333333333 V
2017-08-27T00:00:00-06:00,122.96875 V
2017-08-28T00:00:00-06:00,123.04494382022472 V
2017-08-29T00:00:00-06:00,123.04444444444445 V
2017-08-30T00:00:00-06:00,123.08333333333333 V
2017-08-31T00:00:00-06:00,123.14583333333333 V
2017-09-01T00:00:00-06:00,123.10416666666667 V
2017-09-02T00:00:00-06:00,123.15625 V
2017-09-03T00:00:00-06:00,123.26041666666667 V
2017-09-04T00:00:00-06:00,123.02083333333333 V
2017-09-05T00:00:00-06:00,123.01041666666667 V
2017-09-06T00:00:00-06:00,123.01052631578948 V
2017-09-07T00:00:00-06:00,122.96842105263158 V
2017-09-08T00:00:00-06:00,123.1195652173913 V
2017-09-09T00:00:00-06:00,123.125 V
2017-09-10T00:00:00-06:00,123.15625 V
2017-09-11T00:00:00-06:00,122.96875 V
2017-09-12T00:00:00-06:00,123.15625 V
2017-09-13T00:00:00-06:00,122.98958333333333 V
2017-09-14T00:00:00-06:00,123.08333333333333 V
2017-09-15T00:00:00-06:00,123.07291666666667 V
2017-09-16T00:00:00-06:00,123.26041666666667 V
2017-09-17T00:00:00-06:00,123.10416666666667 V
2017-09-18T00:00:00-06:00,123.16666666666667 V
2017-09-19T00:00:00-06:00,122.94791666666667 V
2017-09-20T00:00:00-06:00,123.125 V
2017-09-21T00:00:00-06:00,123.20833333333333 V
2017-09-22T00:00:00-06:00,123.125 V
2017-09-23T00:00:00-06:00,123.09375 V
2017-09-24T00:00:00-06:00,123.09375 V
2017-09-25T00:00:00-06:00,123.22916666666667 V
2017-09-26T00:00:00-06:00,123.15625 V
2017-09-27T00:00:00-06:00,123.25 V
2017-09-28T00:00:00-06:00,123.0625 V
2017-09-29T00:00:00-06:00,123.13541666666667 V
2017-09-30T00:00:00-06:00,123.19791666666667 V
2017-10-01T00:00:00-06:00,123.13541666666667 V
2017-10-02T00:00:00-06:00,123.21875 V
2017-10-03T00:00:00-06:00,123.16666666666667 V
2017-10-04T00:00:00-06:00,123.10416666666667 V
2017-10-05T00:00:00-06:00,123.19791666666667 V
2017-10-06T00:00:00-06:00,123.22916666666667 V
2017-10-07T00:00:00-06:00,123.22916666666667 V
