Timestamp,['1cc406c2-6348e9ac 0008-EMERY BLDG Power Meter 300026 Volts CA']
2017-10-23T00:00:00-06:00,211.73177083333334 V
2017-10-24T00:00:00-06:00,211.62662760416666 V
2017-10-25T00:00:00-06:00,211.62174479166666 V
2017-10-26T00:00:00-06:00,211.87858072916666 V
2017-10-27T00:00:00-06:00,211.85123697916666 V
2017-10-28T00:00:00-06:00,211.67252604166666 V
2017-10-29T00:00:00-06:00,211.80338541666666 V
2017-10-30T00:00:00-06:00,211.87825520833334 V
2017-10-31T00:00:00-06:00,211.771484375 V
2017-11-01T00:00:00-06:00,211.62923177083334 V
2017-11-02T00:00:00-06:00,211.58365885416666 V
2017-11-03T00:00:00-06:00,211.58561197916666 V
2017-11-04T00:00:00-06:00,211.84928385416666 V
2017-11-05T00:00:00-06:00,211.6946875 V
2017-11-06T00:00:00-07:00,211.517578125 V
2017-11-07T00:00:00-07:00,211.47884114583334 V
2017-11-08T00:00:00-07:00,211.46712239583334 V
2017-11-09T00:00:00-07:00,211.60611979166666 V
2017-11-10T00:00:00-07:00,211.68131510416666 V
2017-11-11T00:00:00-07:00,211.4091796875 V
2017-11-12T00:00:00-07:00,211.505859375 V
2017-11-13T00:00:00-07:00,211.5302734375 V
2017-11-14T00:00:00-07:00,211.95052083333334 V
2017-11-15T00:00:00-07:00,211.576171875 V
2017-11-16T00:00:00-07:00,211.4638671875 V
2017-11-17T00:00:00-07:00,211.67220052083334 V
2017-11-18T00:00:00-07:00,211.97819010416666 V
2017-11-19T00:00:00-07:00,211.96809895833334 V
2017-11-20T00:00:00-07:00,211.7177734375 V
2017-11-21T00:00:00-07:00,211.59212239583334 V
2017-11-22T00:00:00-07:00,211.43684895833334 V
2017-11-23T00:00:00-07:00,211.89680989583334 V
2017-11-24T00:00:00-07:00,211.615234375 V
2017-11-25T00:00:00-07:00,211.65462239583334 V
2017-11-26T00:00:00-07:00,211.7890625 V
2017-11-27T00:00:00-07:00,211.5107421875 V
2017-11-28T00:00:00-07:00,211.66861979166666 V
2017-11-29T00:00:00-07:00,211.78971354166666 V
2017-11-30T00:00:00-07:00,211.892578125 V
2017-12-01T00:00:00-07:00,211.61002604166666 V
2017-12-02T00:00:00-07:00,211.72330729166666 V
2017-12-03T00:00:00-07:00,211.72591145833334 V
2017-12-04T00:00:00-07:00,211.81868489583334 V
2017-12-05T00:00:00-07:00,211.59602864583334 V
2017-12-06T00:00:00-07:00,211.3642578125 V
2017-12-07T00:00:00-07:00,211.34537760416666 V
2017-12-08T00:00:00-07:00,211.41731770833334 V
2017-12-09T00:00:00-07:00,211.90885416666666 V
2017-12-10T00:00:00-07:00,211.85123697916666 V
2017-12-11T00:00:00-07:00,211.80826822916666 V
2017-12-12T00:00:00-07:00,211.53938802083334 V
2017-12-13T00:00:00-07:00,211.94694010416666 V
2017-12-14T00:00:00-07:00,211.69075520833334 V
2017-12-15T00:00:00-07:00,211.69759114583334 V
2017-12-16T00:00:00-07:00,211.822265625 V
2017-12-17T00:00:00-07:00,211.85221354166666 V
2017-12-18T00:00:00-07:00,211.9959677419355 V
2017-12-19T00:00:00-07:00,211.79361979166666 V
2017-12-20T00:00:00-07:00,211.75748697916666 V
2017-12-21T00:00:00-07:00,211.82259114583334 V
2017-12-22T00:00:00-07:00,211.92154947916666 V
2017-12-23T00:00:00-07:00,211.55989583333334 V
2017-12-24T00:00:00-07:00,211.975 V
2017-12-25T00:00:00-07:00,211.77311197916666 V
2017-12-26T00:00:00-07:00,211.88736979166666 V
2017-12-27T00:00:00-07:00,211.85026041666666 V
2017-12-28T00:00:00-07:00,211.81998697916666 V
2017-12-29T00:00:00-07:00,211.70247395833334 V
2017-12-30T00:00:00-07:00,211.70182291666666 V
2017-12-31T00:00:00-07:00,211.74544270833334 V
