Timestamp,"['1cf8d6ae-b6decdd2 0064-MERRILL ENGINEERING BLDG Power Meter (300153, 064-801) KW Total']"
2017-04-25T00:00:00-06:00,6.363999366760254 kW
2017-04-26T00:00:00-06:00,6.58799934387207 kW
2017-04-27T00:00:00-06:00,6.503999710083008 kW
2017-04-28T00:00:00-06:00,6.24799919128418 kW
2017-04-29T00:00:00-06:00,5.59999942779541 kW
2017-04-30T00:00:00-06:00,5.947999954223633 kW
2017-05-01T00:00:00-06:00,7.1479997634887695 kW
2017-05-02T00:00:00-06:00,7.211999893188477 kW
2017-05-03T00:00:00-06:00,7.631999969482422 kW
2017-05-04T00:00:00-06:00,8.035999298095703 kW
2017-05-05T00:00:00-06:00,8.039999961853027 kW
2017-05-06T00:00:00-06:00,7.0839996337890625 kW
2017-05-07T00:00:00-06:00,6.571999549865723 kW
2017-05-08T00:00:00-06:00,7.359999656677246 kW
2017-05-09T00:00:00-06:00,7.207999229431152 kW
2017-05-10T00:00:00-06:00,7.339999198913574 kW
2017-05-11T00:00:00-06:00,7.895999908447266 kW
2017-05-12T00:00:00-06:00,7.915999412536621 kW
2017-05-13T00:00:00-06:00,5.427999496459961 kW
2017-05-14T00:00:00-06:00,6.2599992752075195 kW
2017-05-15T00:00:00-06:00,7.115999221801758 kW
2017-05-16T00:00:00-06:00,6.835999488830566 kW
2017-05-17T00:00:00-06:00,5.903999328613281 kW
2017-05-18T00:00:00-06:00,6.079999923706055 kW
2017-05-19T00:00:00-06:00,6.4079999923706055 kW
2017-05-20T00:00:00-06:00,6.163999557495117 kW
2017-05-21T00:00:00-06:00,5.835999488830566 kW
2017-05-22T00:00:00-06:00,7.4639997482299805 kW
2017-05-23T00:00:00-06:00,7.687999725341797 kW
2017-05-24T00:00:00-06:00,7.807999610900879 kW
2017-05-25T00:00:00-06:00,7.003999710083008 kW
2017-05-26T00:00:00-06:00,6.343999862670898 kW
2017-05-27T00:00:00-06:00,6.275999069213867 kW
2017-05-28T00:00:00-06:00,6.4079999923706055 kW
2017-05-29T00:00:00-06:00,7.051999092102051 kW
2017-05-30T00:00:00-06:00,7.995999336242676 kW
2017-05-31T00:00:00-06:00,8.155999183654785 kW
2017-06-01T00:00:00-06:00,8.091999053955078 kW
2017-06-02T00:00:00-06:00,7.827999114990234 kW
2017-06-03T00:00:00-06:00,7.503999710083008 kW
2017-06-04T00:00:00-06:00,7.531999588012695 kW
2017-06-05T00:00:00-06:00,8.083999633789062 kW
2017-06-06T00:00:00-06:00,8.887998580932617 kW
2017-06-07T00:00:00-06:00,8.615999221801758 kW
2017-06-08T00:00:00-06:00,8.38399887084961 kW
2017-06-09T00:00:00-06:00,8.179999351501465 kW
2017-06-10T00:00:00-06:00,6.435999870300293 kW
2017-06-11T00:00:00-06:00,7.187999725341797 kW
2017-06-12T00:00:00-06:00,6.667999267578125 kW
2017-06-13T00:00:00-06:00,6.97599983215332 kW
2017-06-14T00:00:00-06:00,7.62399959564209 kW
2017-06-15T00:00:00-06:00,8.259998321533203 kW
2017-06-16T00:00:00-06:00,8.275999069213867 kW
2017-06-17T00:00:00-06:00,6.903999328613281 kW
2017-06-18T00:00:00-06:00,7.275999069213867 kW
2017-06-19T00:00:00-06:00,8.45199966430664 kW
2017-06-20T00:00:00-06:00,8.899999618530273 kW
2017-06-21T00:00:00-06:00,8.315999984741211 kW
2017-06-22T00:00:00-06:00,7.62399959564209 kW
2017-06-23T00:00:00-06:00,7.215999603271484 kW
2017-06-24T00:00:00-06:00,7.003999710083008 kW
2017-06-25T00:00:00-06:00,7.12399959564209 kW
2017-06-26T00:00:00-06:00,9.039999008178711 kW
2017-06-27T00:00:00-06:00,8.103999137878418 kW
2017-06-28T00:00:00-06:00,7.875999450683594 kW
2017-06-29T00:00:00-06:00,7.775999069213867 kW
2017-06-30T00:00:00-06:00,7.171999931335449 kW
2017-07-01T00:00:00-06:00,7.311999320983887 kW
2017-07-02T00:00:00-06:00,7.215999603271484 kW
2017-07-03T00:00:00-06:00,8.639999389648438 kW
2017-07-04T00:00:00-06:00,7.927999496459961 kW
2017-07-05T00:00:00-06:00,8.943998336791992 kW
2017-07-06T00:00:00-06:00,9.243999481201172 kW
2017-07-07T00:00:00-06:00,9.387998580932617 kW
2017-07-08T00:00:00-06:00,8.403999328613281 kW
2017-07-09T00:00:00-06:00,7.507999420166016 kW
2017-07-10T00:00:00-06:00,8.63599967956543 kW
2017-07-11T00:00:00-06:00,8.187999725341797 kW
2017-07-12T00:00:00-06:00,9.155998229980469 kW
2017-07-13T00:00:00-06:00,8.687999725341797 kW
2017-07-14T00:00:00-06:00,8.103999137878418 kW
2017-07-15T00:00:00-06:00,7.311999320983887 kW
2017-07-16T00:00:00-06:00,6.903999328613281 kW
2017-07-17T00:00:00-06:00,8.15999984741211 kW
2017-07-18T00:00:00-06:00,8.107999801635742 kW
2017-07-19T00:00:00-06:00,7.935999870300293 kW
2017-07-20T00:00:00-06:00,7.755999565124512 kW
2017-07-21T00:00:00-06:00,7.815999984741211 kW
2017-07-22T00:00:00-06:00,6.699999809265137 kW
