Timestamp,['1cd3e122-5e3c9fde 0049-LANGUAGE & COMMUNICATION BLDG Power Meter Votls BC']
2017-10-20T00:00:00-06:00,485.5093819300334 V
2017-10-21T00:00:00-06:00,486.0937560399373 V
2017-10-22T00:00:00-06:00,485.67396545410156 V
2017-10-23T00:00:00-06:00,486.15313053131104 V
2017-10-24T00:00:00-06:00,485.72188091278076 V
2017-10-25T00:00:00-06:00,485.9589532149465 V
2017-10-26T00:00:00-06:00,485.6062545776367 V
2017-10-27T00:00:00-06:00,485.9729229609172 V
2017-10-28T00:00:00-06:00,485.79896450042725 V
2017-10-29T00:00:00-06:00,485.4020888010661 V
2017-10-30T00:00:00-06:00,486.0635477701823 V
2017-10-31T00:00:00-06:00,486.31563059488934 V
2017-11-01T00:00:00-06:00,485.16875489552814 V
2017-11-02T00:00:00-06:00,485.71563116709393 V
2017-11-03T00:00:00-06:00,486.14688142140704 V
2017-11-04T00:00:00-06:00,486.1125078201294 V
2017-11-05T00:00:00-06:00,486.32600769042966 V
2017-11-06T00:00:00-07:00,486.50000445048016 V
2017-11-07T00:00:00-07:00,486.59167226155597 V
2017-11-08T00:00:00-07:00,485.82396507263184 V
2017-11-09T00:00:00-07:00,485.4270896911621 V
2017-11-10T00:00:00-07:00,486.22084013621014 V
2017-11-11T00:00:00-07:00,486.2802149454753 V
2017-11-12T00:00:00-07:00,486.2958396275838 V
2017-11-13T00:00:00-07:00,485.7062568664551 V
2017-11-14T00:00:00-07:00,486.43958981831867 V
2017-11-15T00:00:00-07:00,485.82500680287677 V
2017-11-16T00:00:00-07:00,485.23646481831867 V
2017-11-17T00:00:00-07:00,485.09583886464435 V
2017-11-18T00:00:00-07:00,486.33646456400555 V
2017-11-19T00:00:00-07:00,486.54063097635907 V
2017-11-20T00:00:00-07:00,486.0989656448364 V
2017-11-21T00:00:00-07:00,486.37708950042725 V
2017-11-22T00:00:00-07:00,486.0052140553792 V
2017-11-23T00:00:00-07:00,486.20521481831867 V
2017-11-24T00:00:00-07:00,486.2927141189575 V
2017-11-25T00:00:00-07:00,486.00834051767987 V
2017-11-26T00:00:00-07:00,486.3666709264119 V
2017-11-27T00:00:00-07:00,486.29375616709393 V
2017-11-28T00:00:00-07:00,486.4375082651774 V
2017-11-29T00:00:00-07:00,486.0531307856242 V
2017-11-30T00:00:00-07:00,486.567715326945 V
2017-12-01T00:00:00-07:00,485.8552141189575 V
2017-12-02T00:00:00-07:00,485.9802131652832 V
2017-12-03T00:00:00-07:00,486.3885482152303 V
2017-12-04T00:00:00-07:00,485.99792289733887 V
2017-12-05T00:00:00-07:00,486.10521539052326 V
2017-12-06T00:00:00-07:00,486.09583886464435 V
2017-12-07T00:00:00-07:00,486.02396329243976 V
2017-12-08T00:00:00-07:00,485.71042315165204 V
2017-12-09T00:00:00-07:00,486.01250648498535 V
2017-12-10T00:00:00-07:00,486.20521450042725 V
2017-12-11T00:00:00-07:00,486.2583392461141 V
2017-12-12T00:00:00-07:00,485.5114663441976 V
2017-12-13T00:00:00-07:00,486.33958943684894 V
2017-12-14T00:00:00-07:00,486.46563053131104 V
2017-12-15T00:00:00-07:00,486.5479237238566 V
2017-12-16T00:00:00-07:00,486.01458803812665 V
2017-12-17T00:00:00-07:00,485.53854846954346 V
2017-12-18T00:00:00-07:00,485.39778510199653 V
2017-12-19T00:00:00-07:00,486.02188142140704 V
2017-12-20T00:00:00-07:00,486.1031316121419 V
2017-12-21T00:00:00-07:00,486.08438142140704 V
2017-12-22T00:00:00-07:00,486.5291732152303 V
2017-12-23T00:00:00-07:00,485.7510464986165 V
2017-12-24T00:00:00-07:00,486.5510492324829 V
2017-12-25T00:00:00-07:00,487.0708392461141 V
2017-12-26T00:00:00-07:00,487.1666736602783 V
2017-12-27T00:00:00-07:00,485.4947967529297 V
2017-12-28T00:00:00-07:00,487.0770896275838 V
2017-12-29T00:00:00-07:00,486.1812562942505 V
2017-12-30T00:00:00-07:00,486.5260483423869 V
2017-12-31T00:00:00-07:00,485.8802162806193 V
