Timestamp,['206e9ea7-a587cdf0 0046-LASSONDE STUDIOS Power Meter 316259 Current C']
2017-07-23T00:00:00-06:00,127.72825805346172 A
2017-07-24T00:00:00-06:00,122.95276204744975 A
2017-07-25T00:00:00-06:00,125.40218488375346 A
2017-07-26T00:00:00-06:00,126.68417922655742 A
2017-07-27T00:00:00-06:00,127.62134825053968 A
2017-07-28T00:00:00-06:00,132.37576961517334 A
2017-07-29T00:00:00-06:00,150.34889570871988 A
2017-07-30T00:00:00-06:00,154.2558053334554 A
2017-07-31T00:00:00-06:00,153.26322396596274 A
2017-08-01T00:00:00-06:00,150.11567544937134 A
2017-08-02T00:00:00-06:00,151.68666776021323 A
2017-08-03T00:00:00-06:00,152.62418286005655 A
2017-08-04T00:00:00-06:00,154.82548355270217 A
2017-08-05T00:00:00-06:00,145.5808974901835 A
2017-08-06T00:00:00-06:00,113.01608022054036 A
2017-08-07T00:00:00-06:00,107.69025262196858 A
2017-08-08T00:00:00-06:00,107.44595162073772 A
2017-08-09T00:00:00-06:00,104.06672795613606 A
2017-08-10T00:00:00-06:00,106.01233405255257 A
2017-08-11T00:00:00-06:00,109.56685455640157 A
2017-08-12T00:00:00-06:00,103.04791855812073 A
2017-08-13T00:00:00-06:00,107.29690885543823 A
2017-08-14T00:00:00-06:00,106.891374985377 A
2017-08-15T00:00:00-06:00,104.19793303807576 A
2017-08-16T00:00:00-06:00,107.2301315466563 A
2017-08-17T00:00:00-06:00,136.5517771244049 A
2017-08-18T00:00:00-06:00,158.27217435836792 A
2017-08-19T00:00:00-06:00,156.91389322280884 A
2017-08-20T00:00:00-06:00,160.86751413345337 A
2017-08-21T00:00:00-06:00,156.78255875905356 A
2017-08-22T00:00:00-06:00,157.56861639022827 A
2017-08-23T00:00:00-06:00,159.81356525421143 A
2017-08-24T00:00:00-06:00,149.648371219635 A
2017-08-25T00:00:00-06:00,155.20369482040405 A
2017-08-26T00:00:00-06:00,158.4716165860494 A
2017-08-27T00:00:00-06:00,161.46118688583374 A
2017-08-28T00:00:00-06:00,158.8359783006751 A
2017-08-29T00:00:00-06:00,158.93924179897513 A
2017-08-30T00:00:00-06:00,158.55327049891153 A
2017-08-31T00:00:00-06:00,161.40458234151205 A
2017-09-01T00:00:00-06:00,163.21053234736124 A
2017-09-02T00:00:00-06:00,158.1395411491394 A
2017-09-03T00:00:00-06:00,161.62912133399476 A
2017-09-04T00:00:00-06:00,157.26820945739746 A
2017-09-05T00:00:00-06:00,161.17261521021524 A
