Timestamp,['1cbacc75-b2894653 0036-FILM & MEDIA ARTS BLDG Power Meter (300084) KW']
2017-04-23T00:00:00-06:00,41.75319290161133 kW
2017-04-24T00:00:00-06:00,58.18195343017578 kW
2017-04-25T00:00:00-06:00,53.8265380859375 kW
2017-04-26T00:00:00-06:00,49.573062896728516 kW
2017-04-27T00:00:00-06:00,49.82070541381836 kW
2017-04-28T00:00:00-06:00,51.14188003540039 kW
2017-04-29T00:00:00-06:00,37.899627685546875 kW
2017-04-30T00:00:00-06:00,31.606056213378906 kW
2017-05-01T00:00:00-06:00,44.17338562011719 kW
2017-05-02T00:00:00-06:00,41.361534118652344 kW
2017-05-03T00:00:00-06:00,40.52322769165039 kW
2017-05-04T00:00:00-06:00,39.34751892089844 kW
2017-05-05T00:00:00-06:00,38.64927673339844 kW
2017-05-06T00:00:00-06:00,32.24708557128906 kW
2017-05-07T00:00:00-06:00,31.55756187438965 kW
2017-05-08T00:00:00-06:00,37.934844970703125 kW
2017-05-09T00:00:00-06:00,35.741233825683594 kW
2017-05-10T00:00:00-06:00,32.03660202026367 kW
2017-05-11T00:00:00-06:00,33.703094482421875 kW
2017-05-12T00:00:00-06:00,35.65142822265625 kW
2017-05-13T00:00:00-06:00,28.75608253479004 kW
2017-05-14T00:00:00-06:00,28.82248306274414 kW
2017-05-15T00:00:00-06:00,41.06291961669922 kW
2017-05-16T00:00:00-06:00,35.204193115234375 kW
2017-05-17T00:00:00-06:00,35.35991668701172 kW
2017-05-18T00:00:00-06:00,38.59848403930664 kW
2017-05-19T00:00:00-06:00,36.37100601196289 kW
2017-05-20T00:00:00-06:00,31.2653751373291 kW
2017-05-21T00:00:00-06:00,30.74393081665039 kW
2017-05-22T00:00:00-06:00,37.263336181640625 kW
2017-05-23T00:00:00-06:00,44.93831253051758 kW
2017-05-24T00:00:00-06:00,41.417579650878906 kW
2017-05-25T00:00:00-06:00,34.35062026977539 kW
2017-05-26T00:00:00-06:00,40.27196502685547 kW
2017-05-27T00:00:00-06:00,27.463638305664062 kW
2017-05-28T00:00:00-06:00,27.481847763061523 kW
2017-05-29T00:00:00-06:00,26.655532836914062 kW
2017-05-30T00:00:00-06:00,45.130428314208984 kW
2017-05-31T00:00:00-06:00,38.04847717285156 kW
2017-06-01T00:00:00-06:00,36.50310134887695 kW
2017-06-02T00:00:00-06:00,34.92652130126953 kW
2017-06-03T00:00:00-06:00,29.87447738647461 kW
2017-06-04T00:00:00-06:00,27.63360595703125 kW
2017-06-05T00:00:00-06:00,34.06357955932617 kW
2017-06-06T00:00:00-06:00,37.385414123535156 kW
2017-06-07T00:00:00-06:00,36.067283630371094 kW
2017-06-08T00:00:00-06:00,38.915924072265625 kW
2017-06-09T00:00:00-06:00,30.732511520385742 kW
2017-06-10T00:00:00-06:00,30.967939376831055 kW
2017-06-11T00:00:00-06:00,28.17822265625 kW
2017-06-12T00:00:00-06:00,33.58869552612305 kW
2017-06-13T00:00:00-06:00,44.986446380615234 kW
2017-06-14T00:00:00-06:00,45.739749908447266 kW
2017-06-15T00:00:00-06:00,41.6786994934082 kW
2017-06-16T00:00:00-06:00,36.722999572753906 kW
2017-06-17T00:00:00-06:00,29.517927169799805 kW
2017-06-18T00:00:00-06:00,26.883731842041016 kW
2017-06-19T00:00:00-06:00,59.74433135986328 kW
2017-06-20T00:00:00-06:00,46.508426666259766 kW
2017-06-21T00:00:00-06:00,40.347633361816406 kW
2017-06-22T00:00:00-06:00,42.304927825927734 kW
2017-06-23T00:00:00-06:00,34.90822982788086 kW
2017-06-24T00:00:00-06:00,28.401979446411133 kW
2017-06-25T00:00:00-06:00,26.74630355834961 kW
2017-06-26T00:00:00-06:00,34.961082458496094 kW
2017-06-27T00:00:00-06:00,44.66985321044922 kW
2017-06-28T00:00:00-06:00,41.956844329833984 kW
2017-06-29T00:00:00-06:00,54.77992248535156 kW
2017-06-30T00:00:00-06:00,28.64594078063965 kW
2017-07-01T00:00:00-06:00,27.906579971313477 kW
2017-07-02T00:00:00-06:00,28.57343292236328 kW
2017-07-03T00:00:00-06:00,35.321014404296875 kW
