Timestamp,"['1ee9afaf-55750c1d 0053-OLPIN UNION Power Meter (53-1) Watts, 3-Ph total']"
2017-04-26T00:00:00-06:00,54.95230484008789 kW
2017-04-27T00:00:00-06:00,51.912391662597656 kW
2017-04-28T00:00:00-06:00,52.7855224609375 kW
2017-04-29T00:00:00-06:00,46.72276306152344 kW
2017-04-30T00:00:00-06:00,48.490726470947266 kW
2017-05-01T00:00:00-06:00,53.948577880859375 kW
2017-05-02T00:00:00-06:00,56.3466796875 kW
2017-05-03T00:00:00-06:00,59.640132904052734 kW
2017-05-04T00:00:00-06:00,56.15094757080078 kW
2017-05-05T00:00:00-06:00,94.18801879882812 kW
2017-05-06T00:00:00-06:00,83.3551254272461 kW
2017-05-07T00:00:00-06:00,46.38839340209961 kW
2017-05-08T00:00:00-06:00,92.47762298583984 kW
2017-05-09T00:00:00-06:00,85.14735412597656 kW
2017-05-10T00:00:00-06:00,80.92259979248047 kW
2017-05-11T00:00:00-06:00,90.76593017578125 kW
2017-05-12T00:00:00-06:00,90.77251434326172 kW
2017-05-13T00:00:00-06:00,43.551509857177734 kW
2017-05-14T00:00:00-06:00,41.96321487426758 kW
2017-05-15T00:00:00-06:00,50.66672134399414 kW
2017-05-16T00:00:00-06:00,49.0489387512207 kW
2017-05-17T00:00:00-06:00,51.42473602294922 kW
2017-05-18T00:00:00-06:00,51.142581939697266 kW
2017-05-19T00:00:00-06:00,51.878841400146484 kW
2017-05-20T00:00:00-06:00,45.293968200683594 kW
2017-05-21T00:00:00-06:00,40.11412811279297 kW
2017-05-22T00:00:00-06:00,52.06787109375 kW
2017-05-23T00:00:00-06:00,99.21279907226562 kW
2017-05-24T00:00:00-06:00,94.38272857666016 kW
2017-05-25T00:00:00-06:00,87.4018783569336 kW
2017-05-26T00:00:00-06:00,86.37678527832031 kW
2017-05-27T00:00:00-06:00,41.89646911621094 kW
2017-05-28T00:00:00-06:00,42.74873733520508 kW
2017-05-29T00:00:00-06:00,43.86558532714844 kW
2017-05-30T00:00:00-06:00,93.33229064941406 kW
2017-05-31T00:00:00-06:00,97.67194366455078 kW
2017-06-01T00:00:00-06:00,93.31350708007812 kW
2017-06-02T00:00:00-06:00,92.0926284790039 kW
2017-06-03T00:00:00-06:00,90.52361297607422 kW
2017-06-04T00:00:00-06:00,86.20226287841797 kW
2017-06-05T00:00:00-06:00,95.76348876953125 kW
2017-06-06T00:00:00-06:00,98.91691589355469 kW
2017-06-07T00:00:00-06:00,101.03804016113281 kW
2017-06-08T00:00:00-06:00,99.45465850830078 kW
2017-06-09T00:00:00-06:00,95.0711669921875 kW
2017-06-10T00:00:00-06:00,86.72461700439453 kW
2017-06-11T00:00:00-06:00,85.88259887695312 kW
2017-06-12T00:00:00-06:00,90.76378631591797 kW
2017-06-13T00:00:00-06:00,54.51477813720703 kW
2017-06-14T00:00:00-06:00,95.28712463378906 kW
2017-06-15T00:00:00-06:00,94.56122589111328 kW
2017-06-16T00:00:00-06:00,97.18380737304688 kW
2017-06-17T00:00:00-06:00,86.5189208984375 kW
2017-06-18T00:00:00-06:00,81.5507583618164 kW
2017-06-19T00:00:00-06:00,108.90491485595703 kW
2017-06-20T00:00:00-06:00,99.63348388671875 kW
2017-06-21T00:00:00-06:00,101.6366958618164 kW
2017-06-22T00:00:00-06:00,101.70265197753906 kW
2017-06-23T00:00:00-06:00,96.69905090332031 kW
2017-06-24T00:00:00-06:00,91.43563842773438 kW
2017-06-25T00:00:00-06:00,84.04325103759766 kW
2017-06-26T00:00:00-06:00,99.86515045166016 kW
2017-06-27T00:00:00-06:00,102.1939926147461 kW
2017-06-28T00:00:00-06:00,99.37589263916016 kW
2017-06-29T00:00:00-06:00,96.04579162597656 kW
2017-06-30T00:00:00-06:00,97.9210433959961 kW
2017-07-01T00:00:00-06:00,90.61448669433594 kW
2017-07-02T00:00:00-06:00,87.84249877929688 kW
2017-07-03T00:00:00-06:00,97.62238311767578 kW
2017-07-04T00:00:00-06:00,89.32855224609375 kW
2017-07-05T00:00:00-06:00,98.72277069091797 kW
2017-07-06T00:00:00-06:00,102.82659149169922 kW
2017-07-07T00:00:00-06:00,99.39549255371094 kW
2017-07-08T00:00:00-06:00,98.02971649169922 kW
2017-07-09T00:00:00-06:00,91.7053451538086 kW
2017-07-10T00:00:00-06:00,101.61688232421875 kW
2017-07-11T00:00:00-06:00,104.40309143066406 kW
2017-07-12T00:00:00-06:00,103.38433074951172 kW
2017-07-13T00:00:00-06:00,103.86807250976562 kW
2017-07-14T00:00:00-06:00,103.6238021850586 kW
2017-07-15T00:00:00-06:00,97.13858032226562 kW
2017-07-16T00:00:00-06:00,94.81520080566406 kW
2017-07-17T00:00:00-06:00,106.67475891113281 kW
2017-07-18T00:00:00-06:00,108.01945495605469 kW
2017-07-19T00:00:00-06:00,108.7728271484375 kW
2017-07-20T00:00:00-06:00,105.79151153564453 kW
2017-07-21T00:00:00-06:00,104.39710235595703 kW
2017-07-22T00:00:00-06:00,94.3973388671875 kW
2017-07-23T00:00:00-06:00,89.45006561279297 kW
2017-07-24T00:00:00-06:00,88.93719482421875 kW
2017-07-25T00:00:00-06:00,100.83942413330078 kW
2017-07-26T00:00:00-06:00,102.01651763916016 kW
2017-07-27T00:00:00-06:00,102.20695495605469 kW
2017-07-28T00:00:00-06:00,100.58881378173828 kW
2017-07-29T00:00:00-06:00,97.97747802734375 kW
2017-07-30T00:00:00-06:00,90.8205337524414 kW
2017-07-31T00:00:00-06:00,103.54784393310547 kW
2017-08-01T00:00:00-06:00,102.63829803466797 kW
2017-08-02T00:00:00-06:00,102.57025909423828 kW
2017-08-03T00:00:00-06:00,104.64851379394531 kW
2017-08-04T00:00:00-06:00,104.1837158203125 kW
2017-08-05T00:00:00-06:00,94.39486694335938 kW
2017-08-06T00:00:00-06:00,87.36331939697266 kW
2017-08-07T00:00:00-06:00,103.13360595703125 kW
2017-08-08T00:00:00-06:00,96.37000274658203 kW
2017-08-09T00:00:00-06:00,101.45842742919922 kW
2017-08-10T00:00:00-06:00,103.42372131347656 kW
2017-08-11T00:00:00-06:00,101.05052947998047 kW
2017-08-12T00:00:00-06:00,93.4580307006836 kW
2017-08-13T00:00:00-06:00,87.16941833496094 kW
2017-08-14T00:00:00-06:00,98.47061920166016 kW
2017-08-15T00:00:00-06:00,97.6487045288086 kW
2017-08-16T00:00:00-06:00,93.29412078857422 kW
2017-08-17T00:00:00-06:00,102.16912078857422 kW
2017-08-18T00:00:00-06:00,102.1802749633789 kW
2017-08-19T00:00:00-06:00,94.8073959350586 kW
2017-08-20T00:00:00-06:00,91.49427032470703 kW
2017-08-21T00:00:00-06:00,104.12403869628906 kW
2017-08-22T00:00:00-06:00,106.26292419433594 kW
2017-08-23T00:00:00-06:00,106.50856018066406 kW
2017-08-24T00:00:00-06:00,108.77299499511719 kW
2017-08-25T00:00:00-06:00,106.77082824707031 kW
2017-08-26T00:00:00-06:00,97.20985412597656 kW
2017-08-27T00:00:00-06:00,96.62252807617188 kW
2017-08-28T00:00:00-06:00,108.66133117675781 kW
2017-08-29T00:00:00-06:00,106.79749298095703 kW
