Timestamp,['1cac6e72-635e4129 0011-BROWNING BLDG Power Meter 311945 Current A']
2017-04-27T00:00:00-06:00,123.01051264868842 A
2017-04-28T00:00:00-06:00,122.84181997511122 A
2017-04-29T00:00:00-06:00,123.02186067369249 A
2017-04-30T00:00:00-06:00,122.83929472499423 A
2017-05-01T00:00:00-06:00,122.78186523649427 A
2017-05-02T00:00:00-06:00,122.74948253724375 A
2017-05-03T00:00:00-06:00,122.81485013961792 A
2017-05-04T00:00:00-06:00,122.82662489149305 A
2017-05-05T00:00:00-06:00,122.84919121000502 A
2017-05-06T00:00:00-06:00,122.82524551815457 A
2017-05-07T00:00:00-06:00,122.79934785630968 A
2017-05-08T00:00:00-06:00,122.75999403601776 A
2017-05-09T00:00:00-06:00,122.79496664471097 A
2017-05-10T00:00:00-06:00,122.76595838864644 A
2017-05-11T00:00:00-06:00,122.55778556929694 A
2017-05-12T00:00:00-06:00,122.78157518174913 A
2017-05-13T00:00:00-06:00,122.94350683954028 A
2017-05-14T00:00:00-06:00,122.63648197386 A
2017-05-15T00:00:00-06:00,122.63116191228231 A
2017-05-16T00:00:00-06:00,122.76402508417765 A
2017-05-17T00:00:00-06:00,122.85420755280389 A
2017-05-18T00:00:00-06:00,122.69332521226671 A
2017-05-19T00:00:00-06:00,122.89023666911655 A
2017-05-20T00:00:00-06:00,122.77033539348179 A
2017-05-21T00:00:00-06:00,122.70661300023397 A
2017-05-22T00:00:00-06:00,122.72553474108378 A
2017-05-23T00:00:00-06:00,122.60604138904148 A
2017-05-24T00:00:00-06:00,122.7008835527632 A
2017-05-25T00:00:00-06:00,122.67293992042542 A
2017-05-26T00:00:00-06:00,122.71928630405002 A
2017-05-27T00:00:00-06:00,122.77173991203308 A
2017-05-28T00:00:00-06:00,122.80739105542501 A
2017-05-29T00:00:00-06:00,122.75833159022861 A
2017-05-30T00:00:00-06:00,122.7861133840349 A
2017-05-31T00:00:00-06:00,122.62132116851913 A
2017-06-01T00:00:00-06:00,122.77530251079135 A
2017-06-02T00:00:00-06:00,122.57657530572679 A
2017-06-03T00:00:00-06:00,122.76350392758474 A
2017-06-04T00:00:00-06:00,122.71369768248664 A
2017-06-05T00:00:00-06:00,122.68585727312566 A
2017-06-06T00:00:00-06:00,122.68762833277384 A
2017-06-07T00:00:00-06:00,122.63874797291226 A
2017-06-08T00:00:00-06:00,122.76690605481465 A
2017-06-09T00:00:00-06:00,122.67205523914761 A
2017-06-10T00:00:00-06:00,122.69400575955709 A
2017-06-11T00:00:00-06:00,122.68976832495795 A
2017-06-12T00:00:00-06:00,122.76569032139248 A
2017-06-13T00:00:00-06:00,122.69527975718181 A
2017-06-14T00:00:00-06:00,122.58220082918803 A
2017-06-15T00:00:00-06:00,122.56701777246263 A
2017-06-16T00:00:00-06:00,122.58932391272651 A
2017-06-17T00:00:00-06:00,122.68574520746867 A
2017-06-18T00:00:00-06:00,122.71273718939887 A
2017-06-19T00:00:00-06:00,122.61781414349873 A
2017-06-20T00:00:00-06:00,122.59032189581129 A
2017-06-21T00:00:00-06:00,122.61035138223633 A
2017-06-22T00:00:00-06:00,122.73623076671524 A
2017-06-23T00:00:00-06:00,122.58244331147935 A
2017-06-24T00:00:00-06:00,122.69926679929098 A
2017-06-25T00:00:00-06:00,122.80237254036797 A
2017-06-26T00:00:00-06:00,122.54795473416647 A
2017-06-27T00:00:00-06:00,122.64518010351392 A
2017-06-28T00:00:00-06:00,122.59874911838108 A
2017-06-29T00:00:00-06:00,122.68501745859781 A
2017-06-30T00:00:00-06:00,122.6857138103909 A
2017-07-01T00:00:00-06:00,122.75159277386136 A
2017-07-02T00:00:00-06:00,122.83514427079095 A
2017-07-03T00:00:00-06:00,122.70955888960097 A
2017-07-04T00:00:00-06:00,122.84398551517063 A
2017-07-05T00:00:00-06:00,122.74549243185255 A
2017-07-06T00:00:00-06:00,122.66851595772637 A
2017-07-07T00:00:00-06:00,122.68022773000929 A
2017-07-08T00:00:00-06:00,122.63409526613023 A
2017-07-09T00:00:00-06:00,122.65250746409099 A
2017-07-10T00:00:00-06:00,122.62768477863736 A
2017-07-11T00:00:00-06:00,122.69812231593662 A
2017-07-12T00:00:00-06:00,122.7513988494873 A
2017-07-13T00:00:00-06:00,122.87053151660496 A
2017-07-14T00:00:00-06:00,122.75567749871148 A
2017-07-15T00:00:00-06:00,122.80172335836622 A
2017-07-16T00:00:00-06:00,122.78516892327202 A
2017-07-17T00:00:00-06:00,122.7471632109748 A
2017-07-18T00:00:00-06:00,122.7515909406874 A
2017-07-19T00:00:00-06:00,122.74615989791022 A
2017-07-20T00:00:00-06:00,122.7490410539839 A
2017-07-21T00:00:00-06:00,122.67942420111763 A
2017-07-22T00:00:00-06:00,122.75628138648139 A
2017-07-23T00:00:00-06:00,122.84634806315104 A
2017-07-24T00:00:00-06:00,122.90645540555319 A
2017-07-25T00:00:00-06:00,122.72730451689826 A
2017-07-26T00:00:00-06:00,122.65260385937161 A
2017-07-27T00:00:00-06:00,122.71968857447307 A
2017-07-28T00:00:00-06:00,122.6553362634447 A
2017-07-29T00:00:00-06:00,122.67966792318556 A
2017-07-30T00:00:00-06:00,122.80355089505514 A
2017-07-31T00:00:00-06:00,122.80649592081706 A
2017-08-01T00:00:00-06:00,122.72357560793559 A
2017-08-02T00:00:00-06:00,122.55262466536628 A
2017-08-03T00:00:00-06:00,122.50538637373182 A
2017-08-04T00:00:00-06:00,122.57659508036102 A
2017-08-05T00:00:00-06:00,122.69466163847181 A
2017-08-06T00:00:00-06:00,122.71322543885972 A
2017-08-07T00:00:00-06:00,122.5625777191586 A
2017-08-08T00:00:00-06:00,122.57235241466098 A
2017-08-09T00:00:00-06:00,122.603210761812 A
2017-08-10T00:00:00-06:00,122.59182905372998 A
2017-08-11T00:00:00-06:00,122.6967548582289 A
2017-08-12T00:00:00-06:00,122.76245539983114 A
2017-08-13T00:00:00-06:00,122.88173661231994 A
2017-08-14T00:00:00-06:00,122.78870345751444 A
2017-08-15T00:00:00-06:00,122.78708637025622 A
2017-08-16T00:00:00-06:00,122.66853450669183 A
2017-08-17T00:00:00-06:00,122.7267187860277 A
2017-08-18T00:00:00-06:00,122.75593285560608 A
2017-08-19T00:00:00-06:00,122.83129306899177 A
2017-08-20T00:00:00-06:00,122.87436498536005 A
2017-08-21T00:00:00-06:00,122.8118635919359 A
2017-08-22T00:00:00-06:00,122.7065659628974 A
2017-08-23T00:00:00-06:00,122.74340076976353 A
2017-08-24T00:00:00-06:00,122.66945049497816 A
2017-08-25T00:00:00-06:00,122.63774078157213 A
2017-08-26T00:00:00-06:00,122.62360058890448 A
2017-08-27T00:00:00-06:00,122.67027126948038 A
2017-08-28T00:00:00-06:00,122.60970756320981 A
2017-08-29T00:00:00-06:00,122.64804174338177 A
2017-08-30T00:00:00-06:00,122.69797543949551 A
2017-08-31T00:00:00-06:00,122.74463780809393 A
2017-09-01T00:00:00-06:00,122.66837644577026 A
2017-09-02T00:00:00-06:00,122.69411278830634 A
2017-09-03T00:00:00-06:00,122.79438268873426 A
2017-09-04T00:00:00-06:00,122.6454290231069 A
