Timestamp,['1d0db265-7a034479 0025-SOCIAL & BEHAVIORAL SCIENCES Power Meter 300051 Current A']
2017-02-08T00:00:00-07:00,89.51188781376366 A
2017-02-09T00:00:00-07:00,92.129324860043 A
2017-02-10T00:00:00-07:00,94.3978891187244 A
2017-02-11T00:00:00-07:00,78.22359675566355 A
2017-02-12T00:00:00-07:00,79.35583542452918 A
2017-02-13T00:00:00-07:00,90.15076171768295 A
2017-02-14T00:00:00-07:00,86.64244726022659 A
2017-02-15T00:00:00-07:00,88.70647062195673 A
2017-02-16T00:00:00-07:00,90.22610021167331 A
2017-02-17T00:00:00-07:00,90.38610167503357 A
2017-02-18T00:00:00-07:00,78.7997332166125 A
2017-02-19T00:00:00-07:00,77.65778907669915 A
2017-02-20T00:00:00-07:00,89.8255209657881 A
2017-02-21T00:00:00-07:00,88.813211523162 A
2017-02-22T00:00:00-07:00,90.24765542348226 A
2017-02-23T00:00:00-07:00,91.67887649536132 A
2017-02-24T00:00:00-07:00,85.50464162280382 A
2017-02-25T00:00:00-07:00,78.81777440177069 A
2017-02-26T00:00:00-07:00,79.09990950425465 A
2017-02-27T00:00:00-07:00,90.00392014185587 A
2017-02-28T00:00:00-07:00,90.40736430486044 A
2017-03-01T00:00:00-07:00,89.41786210272048 A
2017-03-02T00:00:00-07:00,90.57419250276354 A
2017-03-03T00:00:00-07:00,90.99049128691355 A
2017-03-04T00:00:00-07:00,77.78433771133423 A
2017-03-05T00:00:00-07:00,79.22358344395955 A
2017-03-06T00:00:00-07:00,90.00177721447415 A
2017-03-07T00:00:00-07:00,89.13248032463922 A
2017-03-08T00:00:00-07:00,89.43096941312155 A
2017-03-09T00:00:00-07:00,92.12734989855025 A
2017-03-10T00:00:00-07:00,82.99505183299382 A
2017-03-11T00:00:00-07:00,59.90843297375573 A
2017-03-12T00:00:00-07:00,61.372049955008684 A
2017-03-13T00:00:00-06:00,80.86602179209392 A
2017-03-14T00:00:00-06:00,84.32986127005682 A
2017-03-15T00:00:00-06:00,88.6850261953142 A
2017-03-16T00:00:00-06:00,90.67792913648817 A
2017-03-17T00:00:00-06:00,89.06281022760604 A
2017-03-18T00:00:00-06:00,77.35604665809207 A
2017-03-19T00:00:00-06:00,78.48047439257304 A
2017-03-20T00:00:00-06:00,112.32862264845106 A
2017-03-21T00:00:00-06:00,109.76593106587728 A
2017-03-22T00:00:00-06:00,110.07022415796915 A
2017-03-23T00:00:00-06:00,108.3492672920227 A
2017-03-24T00:00:00-06:00,108.60499635802375 A
2017-03-25T00:00:00-06:00,106.442953798506 A
2017-03-26T00:00:00-06:00,105.82261271476746 A
2017-03-27T00:00:00-06:00,107.48855453067355 A
2017-03-28T00:00:00-06:00,107.85074196921454 A
2017-03-29T00:00:00-06:00,107.69465006301067 A
2017-03-30T00:00:00-06:00,107.8516210313921 A
2017-03-31T00:00:00-06:00,107.21716302235922 A
2017-04-01T00:00:00-06:00,105.29666273328993 A
2017-04-02T00:00:00-06:00,105.80192075075803 A
2017-04-03T00:00:00-06:00,106.60000620947943 A
2017-04-04T00:00:00-06:00,107.22962807549371 A
2017-04-05T00:00:00-06:00,108.33758029407925 A
2017-04-06T00:00:00-06:00,107.14161832067701 A
2017-04-07T00:00:00-06:00,106.1639679537879 A
2017-04-08T00:00:00-06:00,103.47470794253879 A
2017-04-09T00:00:00-06:00,102.87144360012478 A
2017-04-10T00:00:00-06:00,105.64428073035346 A
2017-04-11T00:00:00-06:00,106.35048938327365 A
2017-04-12T00:00:00-06:00,121.15128087997437 A
2017-04-13T00:00:00-06:00,164.5053481944286 A
2017-04-14T00:00:00-06:00,114.75634413168464 A
2017-04-15T00:00:00-06:00,79.72915660159688 A
2017-04-16T00:00:00-06:00,86.40633514079641 A
2017-04-17T00:00:00-06:00,122.07065153225683 A
2017-04-18T00:00:00-06:00,144.9395296580355 A
2017-04-19T00:00:00-06:00,119.48287256616746 A
2017-04-20T00:00:00-06:00,116.39251277566814 A
2017-04-21T00:00:00-06:00,115.76026036437129 A
2017-04-22T00:00:00-06:00,107.14364347669813 A
2017-04-23T00:00:00-06:00,114.59332287553428 A
2017-04-24T00:00:00-06:00,113.83086372759702 A
2017-04-25T00:00:00-06:00,105.59963254328375 A
2017-04-26T00:00:00-06:00,91.14287645884923 A
2017-04-27T00:00:00-06:00,87.20254676711392 A
2017-04-28T00:00:00-06:00,88.5134540134006 A
2017-04-29T00:00:00-06:00,83.84205728901757 A
2017-04-30T00:00:00-06:00,87.35243313741341 A
2017-05-01T00:00:00-06:00,103.64348877800836 A
2017-05-02T00:00:00-06:00,106.47930469918758 A
2017-05-03T00:00:00-06:00,102.47901788265148 A
2017-05-04T00:00:00-06:00,118.78857610602128 A
2017-05-05T00:00:00-06:00,186.76902884907193 A
2017-05-06T00:00:00-06:00,204.6129137410058 A
2017-05-07T00:00:00-06:00,175.86753594080608 A
2017-05-08T00:00:00-06:00,171.95713203540745 A
2017-05-09T00:00:00-06:00,212.25700242784288 A
2017-05-10T00:00:00-06:00,209.91270585933202 A
2017-05-11T00:00:00-06:00,182.92996439900432 A
2017-05-12T00:00:00-06:00,225.11752995844486 A
2017-05-13T00:00:00-06:00,82.25814172956679 A
2017-05-14T00:00:00-06:00,87.51434202715384 A
2017-05-15T00:00:00-06:00,97.58868347273932 A
2017-05-16T00:00:00-06:00,101.49035235068781 A
2017-05-17T00:00:00-06:00,87.40138833025377 A
2017-05-18T00:00:00-06:00,86.61749356858273 A
2017-05-19T00:00:00-06:00,129.2389079965276 A
2017-05-20T00:00:00-06:00,88.1653901553323 A
2017-05-21T00:00:00-06:00,93.28528807503837 A
2017-05-22T00:00:00-06:00,145.32274146216255 A
2017-05-23T00:00:00-06:00,215.48554436589632 A
2017-05-24T00:00:00-06:00,220.6499938484672 A
2017-05-25T00:00:00-06:00,189.61307259143237 A
2017-05-26T00:00:00-06:00,208.46483243577023 A
2017-05-27T00:00:00-06:00,125.53595584324428 A
2017-05-28T00:00:00-06:00,236.1993055290646 A
2017-05-29T00:00:00-06:00,222.91256773387286 A
2017-05-30T00:00:00-06:00,230.39030231369867 A
2017-05-31T00:00:00-06:00,236.06781323750815 A
2017-06-01T00:00:00-06:00,245.58855111182152 A
2017-06-02T00:00:00-06:00,222.3698179231657 A
2017-06-03T00:00:00-06:00,182.82411821392222 A
2017-06-04T00:00:00-06:00,194.78942598070418 A
2017-06-05T00:00:00-06:00,231.8327092329661 A
2017-06-06T00:00:00-06:00,220.66257768207126 A
2017-06-07T00:00:00-06:00,227.64458885192872 A
2017-06-08T00:00:00-06:00,226.1729953130086 A
2017-06-09T00:00:00-06:00,202.73461780317967 A
2017-06-10T00:00:00-06:00,178.94073351224264 A
2017-06-11T00:00:00-06:00,182.3356895658705 A
2017-06-12T00:00:00-06:00,183.63186357938326 A
2017-06-13T00:00:00-06:00,142.89514646000333 A
2017-06-14T00:00:00-06:00,208.31088077571843 A
2017-06-15T00:00:00-06:00,213.73878903918796 A
2017-06-16T00:00:00-06:00,223.1330723285675 A
2017-06-17T00:00:00-06:00,184.931639485889 A
2017-06-18T00:00:00-06:00,181.97104996694645 A
2017-06-19T00:00:00-06:00,231.41686176723903 A
2017-06-20T00:00:00-06:00,242.3655143631829 A
2017-06-21T00:00:00-06:00,242.21116683315222 A
2017-06-22T00:00:00-06:00,112.64455580375564 A
2017-06-23T00:00:00-06:00,129.2730751574879 A
2017-06-24T00:00:00-06:00,115.94494508849787 A
2017-06-25T00:00:00-06:00,91.36352154906366 A
2017-06-26T00:00:00-06:00,227.010966079724 A
2017-06-27T00:00:00-06:00,320.68687502543133 A
2017-06-28T00:00:00-06:00,325.5953284899394 A
2017-06-29T00:00:00-06:00,294.0941807428996 A
2017-06-30T00:00:00-06:00,280.71053759257 A
2017-07-01T00:00:00-06:00,276.1394046147664 A
2017-07-02T00:00:00-06:00,279.6783293088277 A
2017-07-03T00:00:00-06:00,289.59462451934814 A
2017-07-04T00:00:00-06:00,287.4565544128418 A
2017-07-05T00:00:00-06:00,298.29601860046387 A
2017-07-06T00:00:00-06:00,303.93591086069745 A
2017-07-07T00:00:00-06:00,310.95110098520917 A
2017-07-08T00:00:00-06:00,315.498877843221 A
2017-07-09T00:00:00-06:00,327.56658395131427 A
2017-07-10T00:00:00-06:00,321.49938170115155 A
2017-07-11T00:00:00-06:00,297.51900720596313 A
2017-07-12T00:00:00-06:00,304.45553255081177 A
2017-07-13T00:00:00-06:00,311.2958739598592 A
2017-07-14T00:00:00-06:00,302.3142957687378 A
2017-07-15T00:00:00-06:00,297.914218266805 A
2017-07-16T00:00:00-06:00,289.32160631815594 A
2017-07-17T00:00:00-06:00,302.8615598678589 A
2017-07-18T00:00:00-06:00,300.5368874867757 A
2017-07-19T00:00:00-06:00,286.28476428985596 A
2017-07-20T00:00:00-06:00,281.006794611613 A
2017-07-21T00:00:00-06:00,279.01687781016034 A
2017-07-22T00:00:00-06:00,272.13547166188556 A
2017-07-23T00:00:00-06:00,260.43509912490845 A
2017-07-24T00:00:00-06:00,258.444782892863 A
2017-07-25T00:00:00-06:00,280.98702239990234 A
2017-07-26T00:00:00-06:00,293.5841056505839 A
2017-07-27T00:00:00-06:00,296.95083141326904 A
2017-07-28T00:00:00-06:00,306.42982387542725 A
2017-07-29T00:00:00-06:00,287.7132930755615 A
2017-07-30T00:00:00-06:00,282.7058146794637 A
2017-07-31T00:00:00-06:00,287.56303612391156 A
2017-08-01T00:00:00-06:00,287.1813135147095 A
2017-08-02T00:00:00-06:00,289.6267657279968 A
2017-08-03T00:00:00-06:00,287.91437005996704 A
2017-08-04T00:00:00-06:00,286.14807420366265 A
2017-08-05T00:00:00-06:00,282.94355726242065 A
2017-08-06T00:00:00-06:00,298.4296023050944 A
2017-08-07T00:00:00-06:00,275.04476618766785 A
2017-08-08T00:00:00-06:00,244.63966875578228 A
2017-08-09T00:00:00-06:00,247.72635987934314 A
2017-08-10T00:00:00-06:00,249.09835603502063 A
2017-08-11T00:00:00-06:00,249.36771376927695 A
2017-08-12T00:00:00-06:00,226.14666980944182 A
2017-08-13T00:00:00-06:00,228.49072635048313 A
2017-08-14T00:00:00-06:00,248.2991004784902 A
2017-08-15T00:00:00-06:00,241.16585187410053 A
2017-08-16T00:00:00-06:00,239.48396754264832 A
2017-08-17T00:00:00-06:00,244.7891309261322 A
2017-08-18T00:00:00-06:00,249.45991837350945 A
2017-08-19T00:00:00-06:00,220.40853914301445 A
2017-08-20T00:00:00-06:00,219.8722351074219 A
2017-08-21T00:00:00-06:00,247.46304321289062 A
2017-08-22T00:00:00-06:00,247.8354091644287 A
2017-08-23T00:00:00-06:00,245.4329579671224 A
2017-08-24T00:00:00-06:00,251.2964423497518 A
2017-08-25T00:00:00-06:00,271.51171233806207 A
2017-08-26T00:00:00-06:00,226.47856083920126 A
