Timestamp,['1cc9728b-4a358825 0051-STERLING SILL CNTR Power Meter Volts AB']
2017-08-06T00:00:00-06:00,210.6614580154419 V
2017-08-07T00:00:00-06:00,210.39895868301392 V
2017-08-08T00:00:00-06:00,210.28229157129923 V
2017-08-09T00:00:00-06:00,210.39583237965903 V
2017-08-10T00:00:00-06:00,210.4712763035551 V
2017-08-11T00:00:00-06:00,210.43124930063883 V
2017-08-12T00:00:00-06:00,210.62499952316284 V
2017-08-13T00:00:00-06:00,210.5604166984558 V
2017-08-14T00:00:00-06:00,210.47083314259848 V
2017-08-15T00:00:00-06:00,210.39479112625122 V
2017-08-16T00:00:00-06:00,210.43229166666666 V
2017-08-17T00:00:00-06:00,210.4687501589457 V
2017-08-18T00:00:00-06:00,210.50729131698608 V
2017-08-19T00:00:00-06:00,210.44166660308838 V
2017-08-20T00:00:00-06:00,210.5395828882853 V
2017-08-21T00:00:00-06:00,210.49999952316284 V
2017-08-22T00:00:00-06:00,210.49166758855185 V
2017-08-23T00:00:00-06:00,210.46249993642172 V
2017-08-24T00:00:00-06:00,210.50312503178915 V
2017-08-25T00:00:00-06:00,210.38645871480307 V
2017-08-26T00:00:00-06:00,210.37187592188516 V
2017-08-27T00:00:00-06:00,210.30104192097983 V
2017-08-28T00:00:00-06:00,210.48369548631752 V
2017-08-29T00:00:00-06:00,210.41720449796287 V
2017-08-30T00:00:00-06:00,210.35833342870077 V
2017-08-31T00:00:00-06:00,210.38437525431314 V
2017-09-01T00:00:00-06:00,210.5052088101705 V
2017-09-02T00:00:00-06:00,210.39375066757202 V
2017-09-03T00:00:00-06:00,210.60729201634726 V
2017-09-04T00:00:00-06:00,210.27499945958456 V
2017-09-05T00:00:00-06:00,210.48229106267294 V
2017-09-06T00:00:00-06:00,210.40312576293945 V
2017-09-07T00:00:00-06:00,210.27083269755045 V
2017-09-08T00:00:00-06:00,210.49894746479237 V
2017-09-09T00:00:00-06:00,210.59999974568686 V
2017-09-10T00:00:00-06:00,210.56041606267294 V
2017-09-11T00:00:00-06:00,210.36250082651773 V
2017-09-12T00:00:00-06:00,210.4531251589457 V
2017-09-13T00:00:00-06:00,210.38125022252402 V
2017-09-14T00:00:00-06:00,210.67708365122476 V
2017-09-15T00:00:00-06:00,210.7239588101705 V
2017-09-16T00:00:00-06:00,210.8125 V
2017-09-17T00:00:00-06:00,210.58333285649618 V
2017-09-18T00:00:00-06:00,210.53645833333334 V
2017-09-19T00:00:00-06:00,210.38437493642172 V
2017-09-20T00:00:00-06:00,210.63749996821085 V
2017-09-21T00:00:00-06:00,210.66250054041544 V
2017-09-22T00:00:00-06:00,210.92812538146973 V
2017-09-23T00:00:00-06:00,210.4145828882853 V
2017-09-24T00:00:00-06:00,210.73541609446207 V
2017-09-25T00:00:00-06:00,210.68645858764648 V
2017-09-26T00:00:00-06:00,210.50416707992554 V
2017-09-27T00:00:00-06:00,210.65833314259848 V
2017-09-28T00:00:00-06:00,210.6385409037272 V
2017-09-29T00:00:00-06:00,210.61770804723105 V
2017-09-30T00:00:00-06:00,210.3562494913737 V
2017-10-01T00:00:00-06:00,210.32499996821085 V
2017-10-02T00:00:00-06:00,210.55312569936117 V
2017-10-03T00:00:00-06:00,210.21041695276895 V
2017-10-04T00:00:00-06:00,210.60208320617676 V
2017-10-05T00:00:00-06:00,210.54583326975504 V
2017-10-06T00:00:00-06:00,210.49583307902017 V
2017-10-07T00:00:00-06:00,210.73124996821085 V
2017-10-08T00:00:00-06:00,210.71666606267294 V
2017-10-09T00:00:00-06:00,210.6135417620341 V
2017-10-10T00:00:00-06:00,210.4124992688497 V
2017-10-11T00:00:00-06:00,210.40000009536743 V
2017-10-12T00:00:00-06:00,210.5718757311503 V
2017-10-13T00:00:00-06:00,210.5114582379659 V
