Timestamp,['1cdbb6ce-598bdcd0 0087-THATCHER BLDG Power Meter (301204) Current A']
2017-10-08T00:00:00-06:00,323.48238975123354 A
2017-10-09T00:00:00-06:00,370.91096589059543 A
2017-10-10T00:00:00-06:00,378.20371101997995 A
2017-10-11T00:00:00-06:00,380.4309434890747 A
2017-10-12T00:00:00-06:00,355.2725083033244 A
2017-10-13T00:00:00-06:00,352.92366204512746 A
2017-10-14T00:00:00-06:00,308.31643931070965 A
2017-10-15T00:00:00-06:00,302.2949171066284 A
2017-10-16T00:00:00-06:00,363.74307505289715 A
2017-10-17T00:00:00-06:00,361.3033170700073 A
2017-10-18T00:00:00-06:00,352.7468713124593 A
2017-10-19T00:00:00-06:00,339.26010545094806 A
2017-10-20T00:00:00-06:00,346.4589474995931 A
2017-10-21T00:00:00-06:00,310.3973035812378 A
2017-10-22T00:00:00-06:00,313.1529604593913 A
2017-10-23T00:00:00-06:00,362.86542383829754 A
2017-10-24T00:00:00-06:00,358.99513244628906 A
2017-10-25T00:00:00-06:00,358.1223316192627 A
2017-10-26T00:00:00-06:00,360.3020992279053 A
2017-10-27T00:00:00-06:00,351.5736306508382 A
2017-10-28T00:00:00-06:00,318.15386549631756 A
2017-10-29T00:00:00-06:00,315.06209595998126 A
2017-10-30T00:00:00-06:00,360.535977045695 A
2017-10-31T00:00:00-06:00,370.6260805130005 A
2017-11-01T00:00:00-06:00,376.83534145355225 A
2017-11-02T00:00:00-06:00,354.90899499257404 A
2017-11-03T00:00:00-06:00,350.7439854398687 A
2017-11-04T00:00:00-06:00,313.918514251709 A
2017-11-05T00:00:00-06:00,310.1014303588867 A
2017-11-06T00:00:00-07:00,367.2618713378906 A
2017-11-07T00:00:00-07:00,371.0828466415405 A
2017-11-08T00:00:00-07:00,358.229084332784 A
2017-11-09T00:00:00-07:00,360.7046060562134 A
2017-11-10T00:00:00-07:00,355.06601842244464 A
2017-11-11T00:00:00-07:00,309.4017391204834 A
2017-11-12T00:00:00-07:00,306.77361329396564 A
2017-11-13T00:00:00-07:00,350.4856751759847 A
2017-11-14T00:00:00-07:00,358.2025451660156 A
2017-11-15T00:00:00-07:00,357.03361288706463 A
2017-11-16T00:00:00-07:00,346.1402235031128 A
2017-11-17T00:00:00-07:00,334.9959789911906 A
2017-11-18T00:00:00-07:00,264.2301033337911 A
2017-11-19T00:00:00-07:00,239.82169405619302 A
2017-11-20T00:00:00-07:00,287.6008168856303 A
2017-11-21T00:00:00-07:00,286.8395643234253 A
2017-11-22T00:00:00-07:00,266.78801314036053 A
2017-11-23T00:00:00-07:00,250.46548875172934 A
2017-11-24T00:00:00-07:00,250.30607573191324 A
2017-11-25T00:00:00-07:00,249.3905839920044 A
2017-11-26T00:00:00-07:00,249.70458380381265 A
2017-11-27T00:00:00-07:00,312.7161005338033 A
2017-11-28T00:00:00-07:00,323.2626182238261 A
2017-11-29T00:00:00-07:00,332.147079149882 A
2017-11-30T00:00:00-07:00,331.2702678044637 A
2017-12-01T00:00:00-07:00,328.1712398529053 A
2017-12-02T00:00:00-07:00,288.72448984781903 A
2017-12-03T00:00:00-07:00,279.57744312286377 A
2017-12-04T00:00:00-07:00,330.54260444641113 A
2017-12-05T00:00:00-07:00,319.4198540051778 A
2017-12-06T00:00:00-07:00,317.58694918950397 A
2017-12-07T00:00:00-07:00,315.6882432301839 A
2017-12-08T00:00:00-07:00,319.61622444788617 A
2017-12-09T00:00:00-07:00,269.6389406522115 A
2017-12-10T00:00:00-07:00,264.74358828862506 A
2017-12-11T00:00:00-07:00,326.6113386154175 A
2017-12-12T00:00:00-07:00,324.6635643641154 A
2017-12-13T00:00:00-07:00,325.03896713256836 A
2017-12-14T00:00:00-07:00,323.02144018809 A
2017-12-15T00:00:00-07:00,320.7386296590169 A
2017-12-16T00:00:00-07:00,275.51814126968384 A
2017-12-17T00:00:00-07:00,267.7945297559102 A
2017-12-18T00:00:00-07:00,332.1905004480383 A
2017-12-19T00:00:00-07:00,306.17409165700275 A
2017-12-20T00:00:00-07:00,298.7771717707316 A
2017-12-21T00:00:00-07:00,310.3833260536194 A
2017-12-22T00:00:00-07:00,282.49045817057294 A
2017-12-23T00:00:00-07:00,250.23956950505575 A
2017-12-24T00:00:00-07:00,251.15688498814902 A
2017-12-25T00:00:00-07:00,244.26556650797525 A
2017-12-26T00:00:00-07:00,246.53210639953613 A
2017-12-27T00:00:00-07:00,254.8183134396871 A
2017-12-28T00:00:00-07:00,264.25005563100177 A
2017-12-29T00:00:00-07:00,251.7899864514669 A
2017-12-30T00:00:00-07:00,242.62552531560263 A
2017-12-31T00:00:00-07:00,254.66851011912027 A
