Timestamp,['1f7d6d19-0b278e9b 0372-KENNECOTT MECH ENG BLDG Power Meter 300345 Current C']
2017-05-03T00:00:00-06:00,172.06770833333334 A
2017-05-04T00:00:00-06:00,190.91666666666666 A
2017-05-05T00:00:00-06:00,218.08203125 A
2017-05-06T00:00:00-06:00,227.93098958333334 A
2017-05-07T00:00:00-06:00,217.21223958333334 A
2017-05-08T00:00:00-06:00,202.99869791666666 A
2017-05-09T00:00:00-06:00,193.65364583333334 A
2017-05-10T00:00:00-06:00,195.57421875 A
2017-05-11T00:00:00-06:00,219.91796875 A
2017-05-12T00:00:00-06:00,242.57942708333334 A
2017-05-13T00:00:00-06:00,143.80078125 A
2017-05-14T00:00:00-06:00,144.96744791666666 A
2017-05-15T00:00:00-06:00,170.35416666666666 A
2017-05-16T00:00:00-06:00,159.4921875 A
2017-05-17T00:00:00-06:00,173.34375 A
2017-05-18T00:00:00-06:00,169.67317708333334 A
2017-05-19T00:00:00-06:00,157.34114583333334 A
2017-05-20T00:00:00-06:00,165.54947916666666 A
2017-05-21T00:00:00-06:00,152.7890625 A
2017-05-22T00:00:00-06:00,188.57421875 A
2017-05-23T00:00:00-06:00,215.53125 A
2017-05-24T00:00:00-06:00,243.54947916666666 A
2017-05-25T00:00:00-06:00,190.95182291666666 A
2017-05-26T00:00:00-06:00,168.42057291666666 A
2017-05-27T00:00:00-06:00,167.02734375 A
2017-05-28T00:00:00-06:00,195.81447368421053 A
2017-05-29T00:00:00-06:00,220.71875 A
2017-05-30T00:00:00-06:00,262.3880208333333 A
2017-05-31T00:00:00-06:00,269.2981770833333 A
2017-06-01T00:00:00-06:00,257.5533854166667 A
2017-06-02T00:00:00-06:00,237.00390625 A
2017-06-03T00:00:00-06:00,242.20572916666666 A
2017-06-04T00:00:00-06:00,268.6731770833333 A
2017-06-05T00:00:00-06:00,269.3346354166667 A
2017-06-06T00:00:00-06:00,275.9153645833333 A
2017-06-07T00:00:00-06:00,298.5416666666667 A
2017-06-08T00:00:00-06:00,289.6236979166667 A
2017-06-09T00:00:00-06:00,252.9609375 A
2017-06-10T00:00:00-06:00,210.3359375 A
2017-06-11T00:00:00-06:00,234.98958333333334 A
2017-06-12T00:00:00-06:00,209.18098958333334 A
2017-06-13T00:00:00-06:00,180.58463541666666 A
2017-06-14T00:00:00-06:00,223.13411458333334 A
2017-06-15T00:00:00-06:00,266.0091145833333 A
2017-06-16T00:00:00-06:00,283.40625 A
2017-06-17T00:00:00-06:00,247.04296875 A
2017-06-18T00:00:00-06:00,242.6328125 A
2017-06-19T00:00:00-06:00,276.2356770833333 A
2017-06-20T00:00:00-06:00,293.0950520833333 A
2017-06-21T00:00:00-06:00,289.7903645833333 A
2017-06-22T00:00:00-06:00,268.5169270833333 A
2017-06-23T00:00:00-06:00,254.18619791666666 A
2017-06-24T00:00:00-06:00,247.79817708333334 A
2017-06-25T00:00:00-06:00,261.640625 A
2017-06-26T00:00:00-06:00,291.3658854166667 A
2017-06-27T00:00:00-06:00,278.765625 A
2017-06-28T00:00:00-06:00,246.8203125 A
2017-06-29T00:00:00-06:00,235.34114583333334 A
2017-06-30T00:00:00-06:00,258.5716145833333 A
2017-07-01T00:00:00-06:00,250.29817708333334 A
2017-07-02T00:00:00-06:00,262.4427083333333 A
2017-07-03T00:00:00-06:00,285.1276041666667 A
2017-07-04T00:00:00-06:00,284.7838541666667 A
2017-07-05T00:00:00-06:00,309.40625 A
2017-07-06T00:00:00-06:00,301.6861979166667 A
2017-07-07T00:00:00-06:00,306.5872395833333 A
2017-07-08T00:00:00-06:00,291.7591145833333 A
2017-07-09T00:00:00-06:00,288.6692708333333 A
2017-07-10T00:00:00-06:00,298.7161458333333 A
2017-07-11T00:00:00-06:00,294.67578125 A
2017-07-12T00:00:00-06:00,286.6627604166667 A
2017-07-13T00:00:00-06:00,290.2213541666667 A
2017-07-14T00:00:00-06:00,280.5651041666667 A
2017-07-15T00:00:00-06:00,274.7330729166667 A
2017-07-16T00:00:00-06:00,284.2734375 A
2017-07-17T00:00:00-06:00,293.0572916666667 A
2017-07-18T00:00:00-06:00,289.6549479166667 A
2017-07-19T00:00:00-06:00,298.6796875 A
2017-07-20T00:00:00-06:00,301.3333333333333 A
2017-07-21T00:00:00-06:00,291.6028645833333 A
2017-07-22T00:00:00-06:00,283.8763020833333 A
2017-07-23T00:00:00-06:00,275.21484375 A
2017-07-24T00:00:00-06:00,280.2447916666667 A
2017-07-25T00:00:00-06:00,275.26171875 A
2017-07-26T00:00:00-06:00,278.0638020833333 A
2017-07-27T00:00:00-06:00,275.9127604166667 A
2017-07-28T00:00:00-06:00,268.9427083333333 A
2017-07-29T00:00:00-06:00,258.0690104166667 A
2017-07-30T00:00:00-06:00,269.8229166666667 A
2017-07-31T00:00:00-06:00,299.8919270833333 A
2017-08-01T00:00:00-06:00,304.13671875 A
2017-08-02T00:00:00-06:00,298.9518229166667 A
2017-08-03T00:00:00-06:00,298.3190104166667 A
