Timestamp,['1cac61c5-3151b575 0009-WIDTSOE BLDG Power Meter 1(300028) Current B']
2017-04-27T00:00:00-06:00,44.76568720134852 A
2017-04-28T00:00:00-06:00,44.046124251050436 A
2017-04-29T00:00:00-06:00,40.63992683581134 A
2017-04-30T00:00:00-06:00,41.58521409078291 A
2017-05-01T00:00:00-06:00,48.294531943092885 A
2017-05-02T00:00:00-06:00,48.599736237173595 A
2017-05-03T00:00:00-06:00,66.8257129696244 A
2017-05-04T00:00:00-06:00,61.03694115872093 A
2017-05-05T00:00:00-06:00,115.90975291097266 A
2017-05-06T00:00:00-06:00,120.94696190321471 A
2017-05-07T00:00:00-06:00,103.48811617639635 A
2017-05-08T00:00:00-06:00,68.59923528272816 A
2017-05-09T00:00:00-06:00,78.24579872937618 A
2017-05-10T00:00:00-06:00,93.38862782682297 A
2017-05-11T00:00:00-06:00,102.9520148916934 A
2017-05-12T00:00:00-06:00,110.16903157617054 A
2017-05-13T00:00:00-06:00,31.304695158189872 A
2017-05-14T00:00:00-06:00,76.03658925337757 A
2017-05-15T00:00:00-06:00,54.88720354591796 A
2017-05-16T00:00:00-06:00,35.165592124390585 A
2017-05-17T00:00:00-06:00,34.58846756406778 A
2017-05-18T00:00:00-06:00,32.90866063844051 A
2017-05-19T00:00:00-06:00,33.838204410451894 A
2017-05-20T00:00:00-06:00,85.5873397718233 A
2017-05-21T00:00:00-06:00,68.13072852105483 A
2017-05-22T00:00:00-06:00,76.12715015758653 A
2017-05-23T00:00:00-06:00,95.7799979720821 A
2017-05-24T00:00:00-06:00,106.76657394822595 A
2017-05-25T00:00:00-06:00,78.69401483368455 A
2017-05-26T00:00:00-06:00,52.5868057566151 A
2017-05-27T00:00:00-06:00,83.80423576224749 A
2017-05-28T00:00:00-06:00,106.64328240635557 A
2017-05-29T00:00:00-06:00,121.31821850758885 A
2017-05-30T00:00:00-06:00,145.8162964623083 A
2017-05-31T00:00:00-06:00,155.89094781403494 A
2017-06-01T00:00:00-06:00,114.86762649240629 A
2017-06-02T00:00:00-06:00,104.03893538010426 A
2017-06-03T00:00:00-06:00,97.47717410241579 A
2017-06-04T00:00:00-06:00,99.6786566047641 A
2017-06-05T00:00:00-06:00,115.58382060628928 A
2017-06-06T00:00:00-06:00,113.15186023849378 A
2017-06-07T00:00:00-06:00,133.66629978564146 A
2017-06-08T00:00:00-06:00,120.70474673460838 A
2017-06-09T00:00:00-06:00,101.3064946471052 A
2017-06-10T00:00:00-06:00,113.23346953611494 A
2017-06-11T00:00:00-06:00,105.86298755296538 A
2017-06-12T00:00:00-06:00,86.93248222994838 A
2017-06-13T00:00:00-06:00,57.866341201952714 A
2017-06-14T00:00:00-06:00,102.24796427120953 A
2017-06-15T00:00:00-06:00,146.8189348525787 A
2017-06-16T00:00:00-06:00,114.43021412604158 A
2017-06-17T00:00:00-06:00,100.0254994795356 A
2017-06-18T00:00:00-06:00,96.9429582214892 A
2017-06-19T00:00:00-06:00,145.77474260898262 A
2017-06-20T00:00:00-06:00,177.28468471693193 A
2017-06-21T00:00:00-06:00,114.35181352390164 A
2017-06-22T00:00:00-06:00,122.45899218001765 A
2017-06-23T00:00:00-06:00,105.3248184770452 A
2017-06-24T00:00:00-06:00,96.19772048099435 A
2017-06-25T00:00:00-06:00,97.07806091608964 A
2017-06-26T00:00:00-06:00,94.24666707961151 A
2017-06-27T00:00:00-06:00,125.93325149866648 A
2017-06-28T00:00:00-06:00,122.17004464931243 A
2017-06-29T00:00:00-06:00,121.73549363032167 A
