Timestamp,['20d43261-352d1aa0 0043-NAVAL SCIENCE BLDG Power Meter 300093 Current Phase A']
2017-10-19T00:00:00-06:00,21.947916666666668 A
2017-10-20T00:00:00-06:00,21.90625 A
2017-10-21T00:00:00-06:00,13.645833333333334 A
2017-10-22T00:00:00-06:00,14.34375 A
2017-10-23T00:00:00-06:00,24.59375 A
2017-10-24T00:00:00-06:00,27.46875 A
2017-10-25T00:00:00-06:00,21.739583333333332 A
2017-10-26T00:00:00-06:00,27.21875 A
2017-10-27T00:00:00-06:00,19.489583333333332 A
2017-10-28T00:00:00-06:00,7.21875 A
2017-10-29T00:00:00-06:00,7.083333333333333 A
2017-10-30T00:00:00-06:00,21.40625 A
2017-10-31T00:00:00-06:00,17.65625 A
2017-11-01T00:00:00-06:00,22.03125 A
2017-11-02T00:00:00-06:00,25.041666666666668 A
2017-11-03T00:00:00-06:00,22.5 A
2017-11-04T00:00:00-06:00,16.072916666666668 A
2017-11-05T00:00:00-06:00,5.82 A
2017-11-06T00:00:00-07:00,32.177083333333336 A
2017-11-07T00:00:00-07:00,26.1875 A
2017-11-08T00:00:00-07:00,24.791666666666668 A
2017-11-09T00:00:00-07:00,25.40625 A
2017-11-10T00:00:00-07:00,18.916666666666668 A
2017-11-11T00:00:00-07:00,8.083333333333334 A
2017-11-12T00:00:00-07:00,8.59375 A
2017-11-13T00:00:00-07:00,22.84375 A
2017-11-14T00:00:00-07:00,24.739583333333332 A
2017-11-15T00:00:00-07:00,20.916666666666668 A
2017-11-16T00:00:00-07:00,22.3125 A
2017-11-17T00:00:00-07:00,21.947916666666668 A
2017-11-18T00:00:00-07:00,11.052083333333334 A
2017-11-19T00:00:00-07:00,11.020833333333334 A
2017-11-20T00:00:00-07:00,26.53125 A
2017-11-21T00:00:00-07:00,24.520833333333332 A
2017-11-22T00:00:00-07:00,24.770833333333332 A
2017-11-23T00:00:00-07:00,8.072916666666666 A
2017-11-24T00:00:00-07:00,7.791666666666667 A
2017-11-25T00:00:00-07:00,7.197916666666667 A
2017-11-26T00:00:00-07:00,8.375 A
2017-11-27T00:00:00-07:00,23.822916666666668 A
2017-11-28T00:00:00-07:00,25.927083333333332 A
2017-11-29T00:00:00-07:00,25.552083333333332 A
2017-11-30T00:00:00-07:00,23.833333333333332 A
2017-12-01T00:00:00-07:00,21.90625 A
2017-12-02T00:00:00-07:00,7.59375 A
2017-12-03T00:00:00-07:00,9.4375 A
2017-12-04T00:00:00-07:00,27.395833333333332 A
2017-12-05T00:00:00-07:00,31.46875 A
2017-12-06T00:00:00-07:00,27.0625 A
2017-12-07T00:00:00-07:00,26.46875 A
2017-12-08T00:00:00-07:00,25.729166666666668 A
2017-12-09T00:00:00-07:00,14.614583333333334 A
2017-12-10T00:00:00-07:00,12.333333333333334 A
2017-12-11T00:00:00-07:00,26.53125 A
2017-12-12T00:00:00-07:00,26.78125 A
2017-12-13T00:00:00-07:00,28.114583333333332 A
2017-12-14T00:00:00-07:00,26 A
2017-12-15T00:00:00-07:00,23.270833333333332 A
2017-12-16T00:00:00-07:00,13.270833333333334 A
2017-12-17T00:00:00-07:00,11.447916666666666 A
2017-12-18T00:00:00-07:00,22.70967741935484 A
2017-12-19T00:00:00-07:00,24.864583333333332 A
2017-12-20T00:00:00-07:00,21.447916666666668 A
2017-12-21T00:00:00-07:00,23.46875 A
2017-12-22T00:00:00-07:00,21.614583333333332 A
2017-12-23T00:00:00-07:00,12.6875 A
2017-12-24T00:00:00-07:00,12.770833333333334 A
2017-12-25T00:00:00-07:00,13.510416666666666 A
2017-12-26T00:00:00-07:00,12.885416666666666 A
2017-12-27T00:00:00-07:00,20.3125 A
2017-12-28T00:00:00-07:00,20.96875 A
2017-12-29T00:00:00-07:00,13.208333333333334 A
2017-12-30T00:00:00-07:00,14.197916666666666 A
2017-12-31T00:00:00-07:00,12.854166666666666 A
