Timestamp,['1cbacb50-8d72752b 0036-FILM & MEDIA ARTS BLDG Power Meter (300084) Current C']
2017-10-22T00:00:00-06:00,101.12925537427266 A
2017-10-23T00:00:00-06:00,124.52750380833943 A
2017-10-24T00:00:00-06:00,119.20456027984619 A
2017-10-25T00:00:00-06:00,127.49210246404012 A
2017-10-26T00:00:00-06:00,124.25057323773702 A
2017-10-27T00:00:00-06:00,124.78356488545735 A
2017-10-28T00:00:00-06:00,100.12248595555623 A
2017-10-29T00:00:00-06:00,97.932368516922 A
2017-10-30T00:00:00-06:00,127.346994638443 A
2017-10-31T00:00:00-06:00,104.37513208389282 A
2017-11-01T00:00:00-06:00,114.0484893321991 A
2017-11-02T00:00:00-06:00,114.19716842969258 A
2017-11-03T00:00:00-06:00,105.65431841214497 A
2017-11-04T00:00:00-06:00,96.1325147151947 A
2017-11-05T00:00:00-06:00,95.80303260803223 A
2017-11-06T00:00:00-07:00,122.62947432200114 A
2017-11-07T00:00:00-07:00,117.58074275652568 A
2017-11-08T00:00:00-07:00,125.00722670555115 A
2017-11-09T00:00:00-07:00,129.28171984354654 A
2017-11-10T00:00:00-07:00,109.49515668551128 A
2017-11-11T00:00:00-07:00,96.89547785123189 A
2017-11-12T00:00:00-07:00,94.97316900889079 A
2017-11-13T00:00:00-07:00,118.73573382695515 A
2017-11-14T00:00:00-07:00,118.88495675722758 A
2017-11-15T00:00:00-07:00,121.75663431485494 A
2017-11-16T00:00:00-07:00,124.83276955286662 A
2017-11-17T00:00:00-07:00,114.99329964319865 A
2017-11-18T00:00:00-07:00,95.89094106356303 A
2017-11-19T00:00:00-07:00,99.8462975025177 A
2017-11-20T00:00:00-07:00,124.88060394922893 A
2017-11-21T00:00:00-07:00,121.00286412239075 A
2017-11-22T00:00:00-07:00,112.9934488137563 A
2017-11-23T00:00:00-07:00,92.44904637336731 A
2017-11-24T00:00:00-07:00,89.70291455586751 A
2017-11-25T00:00:00-07:00,87.56557774543762 A
2017-11-26T00:00:00-07:00,90.13483540217082 A
2017-11-27T00:00:00-07:00,117.16620326042175 A
2017-11-28T00:00:00-07:00,116.16407601038615 A
2017-11-29T00:00:00-07:00,124.11901791890462 A
2017-11-30T00:00:00-07:00,127.24562342961629 A
2017-12-01T00:00:00-07:00,124.00694100062053 A
2017-12-02T00:00:00-07:00,109.94658875465393 A
2017-12-03T00:00:00-07:00,107.18441430727641 A
2017-12-04T00:00:00-07:00,133.96721975008646 A
2017-12-05T00:00:00-07:00,128.15662852923074 A
2017-12-06T00:00:00-07:00,119.7171983718872 A
2017-12-07T00:00:00-07:00,114.46930241584778 A
2017-12-08T00:00:00-07:00,103.4059697786967 A
2017-12-09T00:00:00-07:00,87.11238996187846 A
2017-12-10T00:00:00-07:00,89.84293588002522 A
2017-12-11T00:00:00-07:00,97.87423904736836 A
2017-12-12T00:00:00-07:00,100.17918467521667 A
2017-12-13T00:00:00-07:00,101.72617483139038 A
2017-12-14T00:00:00-07:00,98.42319528261821 A
2017-12-15T00:00:00-07:00,95.59131511052449 A
2017-12-16T00:00:00-07:00,82.90639853477478 A
2017-12-17T00:00:00-07:00,85.42774566014607 A
2017-12-18T00:00:00-07:00,96.37813888057586 A
2017-12-19T00:00:00-07:00,92.28878299395244 A
2017-12-20T00:00:00-07:00,95.37951691945393 A
2017-12-21T00:00:00-07:00,91.79999566078186 A
2017-12-22T00:00:00-07:00,85.14526708920796 A
2017-12-23T00:00:00-07:00,79.90271202723186 A
2017-12-24T00:00:00-07:00,77.56835953394572 A
2017-12-25T00:00:00-07:00,76.00976864496867 A
2017-12-26T00:00:00-07:00,77.96510549386342 A
2017-12-27T00:00:00-07:00,80.63442265987396 A
2017-12-28T00:00:00-07:00,82.7301836013794 A
2017-12-29T00:00:00-07:00,83.59509706497192 A
2017-12-30T00:00:00-07:00,82.87450631459554 A
2017-12-31T00:00:00-07:00,81.88382609685262 A
