Timestamp,['203f26ab-e9fc3a37 0097-DUMKE GYMNASTICS CNTR Power Meter Volts A-N']
2017-06-17T00:00:00-06:00,281.13345591227215 V
2017-06-18T00:00:00-06:00,280.94602394104004 V
2017-06-19T00:00:00-06:00,280.6503038406372 V
2017-06-20T00:00:00-06:00,280.35693232218426 V
2017-06-21T00:00:00-06:00,280.4097671508789 V
2017-06-22T00:00:00-06:00,280.74428335825604 V
2017-06-23T00:00:00-06:00,280.7332178751628 V
2017-06-24T00:00:00-06:00,281.0992794036865 V
2017-06-25T00:00:00-06:00,280.89138921101886 V
2017-06-26T00:00:00-06:00,279.8972743352254 V
2017-06-27T00:00:00-06:00,280.38610553741455 V
2017-06-28T00:00:00-06:00,280.6031789779663 V
2017-06-29T00:00:00-06:00,280.58328914642334 V
2017-06-30T00:00:00-06:00,280.6603193283081 V
2017-07-01T00:00:00-06:00,280.6152226130168 V
2017-07-02T00:00:00-06:00,280.68766562143963 V
2017-07-03T00:00:00-06:00,280.2971254984538 V
2017-07-04T00:00:00-06:00,280.41698932647705 V
2017-07-05T00:00:00-06:00,280.0588518778483 V
2017-07-06T00:00:00-06:00,280.2492281595866 V
2017-07-07T00:00:00-06:00,280.12349541982013 V
2017-07-08T00:00:00-06:00,280.91549555460614 V
2017-07-09T00:00:00-06:00,280.47538534800213 V
2017-07-10T00:00:00-06:00,279.85872745513916 V
2017-07-11T00:00:00-06:00,280.2674967447917 V
2017-07-12T00:00:00-06:00,280.1964632670085 V
2017-07-13T00:00:00-06:00,280.18735059102374 V
2017-07-14T00:00:00-06:00,280.3565031687419 V
2017-07-15T00:00:00-06:00,280.7137746810913 V
2017-07-16T00:00:00-06:00,280.85819784800213 V
2017-07-17T00:00:00-06:00,280.08463223775226 V
2017-07-18T00:00:00-06:00,280.4626948038737 V
2017-07-19T00:00:00-06:00,280.10261567433673 V
2017-07-20T00:00:00-06:00,280.37985197703046 V
2017-07-21T00:00:00-06:00,280.0461877187093 V
2017-07-22T00:00:00-06:00,280.94637298583984 V
2017-07-23T00:00:00-06:00,280.6541283925374 V
2017-07-24T00:00:00-06:00,280.4436311721802 V
2017-07-25T00:00:00-06:00,280.25860023498535 V
2017-07-26T00:00:00-06:00,280.24766031901044 V
2017-07-27T00:00:00-06:00,280.61395327250165 V
2017-07-28T00:00:00-06:00,280.21062564849854 V
2017-07-29T00:00:00-06:00,281.00220076243085 V
2017-07-30T00:00:00-06:00,280.66646989186603 V
2017-07-31T00:00:00-06:00,280.1726967493693 V
2017-08-01T00:00:00-06:00,280.34878730773926 V
2017-08-02T00:00:00-06:00,280.1199941635132 V
2017-08-03T00:00:00-06:00,280.5667193730672 V
2017-08-04T00:00:00-06:00,280.33479661207934 V
2017-08-05T00:00:00-06:00,280.9838339487712 V
2017-08-06T00:00:00-06:00,280.9137029647827 V
2017-08-07T00:00:00-06:00,280.4313513437907 V
2017-08-08T00:00:00-06:00,280.5924466451009 V
2017-08-09T00:00:00-06:00,280.3621349334717 V
2017-08-10T00:00:00-06:00,280.60357114101976 V
2017-08-11T00:00:00-06:00,280.38708368937176 V
2017-08-12T00:00:00-06:00,281.1466814676921 V
2017-08-13T00:00:00-06:00,281.0268606085526 V
2017-08-14T00:00:00-06:00,280.5806420644124 V
2017-08-15T00:00:00-06:00,280.8538859685262 V
2017-08-16T00:00:00-06:00,280.4555648167928 V
2017-08-17T00:00:00-06:00,280.8395007451375 V
2017-08-18T00:00:00-06:00,280.316712697347 V
2017-08-19T00:00:00-06:00,281.07802327473956 V
2017-08-20T00:00:00-06:00,281.0596446990967 V
2017-08-21T00:00:00-06:00,280.5687322616577 V
2017-08-22T00:00:00-06:00,280.6427761713664 V
2017-08-23T00:00:00-06:00,280.42761484781903 V
