Timestamp,['1cf8d7ee-522df3c7 0064-MERRILL ENGINEERING BLDG Power Meter (powerlogic) 316608 Current A']
2017-02-11T00:00:00-07:00,135.29166666666666 A
2017-02-12T00:00:00-07:00,137.70833333333334 A
2017-02-13T00:00:00-07:00,137.75 A
2017-02-14T00:00:00-07:00,138.0212765957447 A
2017-02-15T00:00:00-07:00,137.73958333333334 A
2017-02-16T00:00:00-07:00,136.41666666666666 A
2017-02-17T00:00:00-07:00,136.01041666666666 A
2017-02-18T00:00:00-07:00,140.01041666666666 A
2017-02-19T00:00:00-07:00,139.71875 A
2017-02-20T00:00:00-07:00,141.3125 A
2017-02-21T00:00:00-07:00,138.04166666666666 A
2017-02-22T00:00:00-07:00,137.78125 A
2017-02-23T00:00:00-07:00,135.83333333333334 A
2017-02-24T00:00:00-07:00,135.5 A
2017-02-25T00:00:00-07:00,135.75 A
2017-02-26T00:00:00-07:00,134.61458333333334 A
2017-02-27T00:00:00-07:00,136.04166666666666 A
2017-02-28T00:00:00-07:00,137.375 A
2017-03-01T00:00:00-07:00,134.85416666666666 A
2017-03-02T00:00:00-07:00,134.9375 A
2017-03-03T00:00:00-07:00,134.30208333333334 A
2017-03-04T00:00:00-07:00,136.875 A
2017-03-05T00:00:00-07:00,137.10416666666666 A
2017-03-06T00:00:00-07:00,138.17708333333334 A
2017-03-07T00:00:00-07:00,136.3125 A
2017-03-08T00:00:00-07:00,135.84375 A
2017-03-09T00:00:00-07:00,133.76041666666666 A
2017-03-10T00:00:00-07:00,134.70833333333334 A
2017-03-11T00:00:00-07:00,135.72916666666666 A
2017-03-12T00:00:00-07:00,137.17391304347825 A
2017-03-13T00:00:00-06:00,135.58333333333334 A
2017-03-14T00:00:00-06:00,135.02083333333334 A
2017-03-15T00:00:00-06:00,134.47916666666666 A
2017-03-16T00:00:00-06:00,133.26041666666666 A
2017-03-17T00:00:00-06:00,134.11458333333334 A
2017-03-18T00:00:00-06:00,133.33333333333334 A
2017-03-19T00:00:00-06:00,134.51041666666666 A
2017-03-20T00:00:00-06:00,134.25 A
2017-03-21T00:00:00-06:00,136.26041666666666 A
2017-03-22T00:00:00-06:00,136.39583333333334 A
2017-03-23T00:00:00-06:00,135.64583333333334 A
2017-03-24T00:00:00-06:00,135.32291666666666 A
2017-03-25T00:00:00-06:00,133.30208333333334 A
2017-03-26T00:00:00-06:00,134.4375 A
2017-03-27T00:00:00-06:00,136.72916666666666 A
2017-03-28T00:00:00-06:00,136.22916666666666 A
2017-03-29T00:00:00-06:00,136.93055555555554 A
2017-03-30T00:00:00-06:00,133.06976744186048 A
2017-03-31T00:00:00-06:00,134.6875 A
2017-04-01T00:00:00-06:00,134.41666666666666 A
2017-04-02T00:00:00-06:00,132.95833333333334 A
2017-04-03T00:00:00-06:00,132.8125 A
2017-04-04T00:00:00-06:00,133.03125 A
2017-04-05T00:00:00-06:00,133.53125 A
2017-04-06T00:00:00-06:00,134.61458333333334 A
2017-04-07T00:00:00-06:00,134.35416666666666 A
2017-04-08T00:00:00-06:00,136.39583333333334 A
2017-04-09T00:00:00-06:00,137.97916666666666 A
2017-04-10T00:00:00-06:00,133.9375 A
2017-04-11T00:00:00-06:00,132.22916666666666 A
2017-04-12T00:00:00-06:00,133 A
2017-04-13T00:00:00-06:00,132.51041666666666 A
2017-04-14T00:00:00-06:00,135.32291666666666 A
2017-04-15T00:00:00-06:00,135.77083333333334 A
2017-04-16T00:00:00-06:00,135.35416666666666 A
2017-04-17T00:00:00-06:00,134.98958333333334 A
2017-04-18T00:00:00-06:00,134.89583333333334 A
2017-04-19T00:00:00-06:00,134.58333333333334 A
2017-04-20T00:00:00-06:00,134.26041666666666 A
