Timestamp,['1ed629d8-e07a624d 0012-SUTTON BLDG POWER METER 480V (316601) Current B']
2017-05-05T00:00:00-06:00,314.75 A
2017-05-06T00:00:00-06:00,298.7083333333333 A
2017-05-07T00:00:00-06:00,294.4479166666667 A
2017-05-08T00:00:00-06:00,307.3854166666667 A
2017-05-09T00:00:00-06:00,305.1979166666667 A
2017-05-10T00:00:00-06:00,306.3125 A
2017-05-11T00:00:00-06:00,316.3854166666667 A
2017-05-12T00:00:00-06:00,313.0520833333333 A
2017-05-13T00:00:00-06:00,260.1875 A
2017-05-14T00:00:00-06:00,272.3020833333333 A
2017-05-15T00:00:00-06:00,290.5104166666667 A
2017-05-16T00:00:00-06:00,299.1145833333333 A
2017-05-17T00:00:00-06:00,234.1875 A
2017-05-18T00:00:00-06:00,220.85416666666666 A
2017-05-19T00:00:00-06:00,250.14583333333334 A
2017-05-20T00:00:00-06:00,278.1458333333333 A
2017-05-21T00:00:00-06:00,275.9375 A
2017-05-22T00:00:00-06:00,294.6979166666667 A
2017-05-23T00:00:00-06:00,314.71875 A
2017-05-24T00:00:00-06:00,313.7395833333333 A
2017-05-25T00:00:00-06:00,309.8958333333333 A
2017-05-26T00:00:00-06:00,300.1770833333333 A
2017-05-27T00:00:00-06:00,281.5208333333333 A
2017-05-28T00:00:00-06:00,293.9894736842105 A
2017-05-29T00:00:00-06:00,291.5416666666667 A
2017-05-30T00:00:00-06:00,315.6041666666667 A
2017-05-31T00:00:00-06:00,325.8125 A
2017-06-01T00:00:00-06:00,313.0104166666667 A
2017-06-02T00:00:00-06:00,308.7395833333333 A
2017-06-03T00:00:00-06:00,309.15625 A
2017-06-04T00:00:00-06:00,314.46875 A
2017-06-05T00:00:00-06:00,327.4791666666667 A
2017-06-06T00:00:00-06:00,327.53125 A
2017-06-07T00:00:00-06:00,338.2291666666667 A
2017-06-08T00:00:00-06:00,332.9166666666667 A
2017-06-09T00:00:00-06:00,320.1666666666667 A
2017-06-10T00:00:00-06:00,298.40625 A
2017-06-11T00:00:00-06:00,308.75 A
2017-06-12T00:00:00-06:00,307.96875 A
2017-06-13T00:00:00-06:00,302.71875 A
2017-06-14T00:00:00-06:00,312.0208333333333 A
2017-06-15T00:00:00-06:00,314.5729166666667 A
2017-06-16T00:00:00-06:00,327.6458333333333 A
2017-06-17T00:00:00-06:00,308.9791666666667 A
2017-06-18T00:00:00-06:00,296.4583333333333 A
2017-06-19T00:00:00-06:00,332.1354166666667 A
2017-06-20T00:00:00-06:00,341.59375 A
2017-06-21T00:00:00-06:00,351.8958333333333 A
2017-06-22T00:00:00-06:00,329.3854166666667 A
2017-06-23T00:00:00-06:00,312.03125 A
2017-06-24T00:00:00-06:00,303.0416666666667 A
2017-06-25T00:00:00-06:00,317.4166666666667 A
2017-06-26T00:00:00-06:00,344.375 A
2017-06-27T00:00:00-06:00,335.59375 A
2017-06-28T00:00:00-06:00,335.2604166666667 A
2017-06-29T00:00:00-06:00,315.7604166666667 A
2017-06-30T00:00:00-06:00,323 A
2017-07-01T00:00:00-06:00,308.625 A
2017-07-02T00:00:00-06:00,317.2083333333333 A
2017-07-03T00:00:00-06:00,343.46875 A
2017-07-04T00:00:00-06:00,340.25 A
2017-07-05T00:00:00-06:00,370.3333333333333 A
2017-07-06T00:00:00-06:00,366.4895833333333 A
2017-07-07T00:00:00-06:00,368.4791666666667 A
2017-07-08T00:00:00-06:00,354.875 A
2017-07-09T00:00:00-06:00,342.2395833333333 A
2017-07-10T00:00:00-06:00,368.1979166666667 A
2017-07-11T00:00:00-06:00,365.3958333333333 A
2017-07-12T00:00:00-06:00,347.75 A
2017-07-13T00:00:00-06:00,350.59375 A
2017-07-14T00:00:00-06:00,353.8020833333333 A
2017-07-15T00:00:00-06:00,338.5208333333333 A
2017-07-16T00:00:00-06:00,341.6145833333333 A
2017-07-17T00:00:00-06:00,365.6041666666667 A
2017-07-18T00:00:00-06:00,378.125 A
2017-07-19T00:00:00-06:00,386.4270833333333 A
2017-07-20T00:00:00-06:00,388.5 A
2017-07-21T00:00:00-06:00,372.4791666666667 A
2017-07-22T00:00:00-06:00,350.7083333333333 A
2017-07-23T00:00:00-06:00,338.1875 A
2017-07-24T00:00:00-06:00,344.8333333333333 A
2017-07-25T00:00:00-06:00,377.8854166666667 A
2017-07-26T00:00:00-06:00,383.15625 A
2017-07-27T00:00:00-06:00,359.2604166666667 A
2017-07-28T00:00:00-06:00,367.9583333333333 A
2017-07-29T00:00:00-06:00,341.28125 A
2017-07-30T00:00:00-06:00,339.3020833333333 A
2017-07-31T00:00:00-06:00,358.6770833333333 A
2017-08-01T00:00:00-06:00,360.34375 A
2017-08-02T00:00:00-06:00,362.3229166666667 A
2017-08-03T00:00:00-06:00,362.4166666666667 A
2017-08-04T00:00:00-06:00,353.74725274725273 A
2017-08-05T00:00:00-06:00,343.28125 A
2017-08-06T00:00:00-06:00,331.8020833333333 A
2017-08-07T00:00:00-06:00,345.6145833333333 A
2017-08-08T00:00:00-06:00,355.625 A
2017-08-09T00:00:00-06:00,357.5208333333333 A
2017-08-10T00:00:00-06:00,349.5744680851064 A
2017-08-11T00:00:00-06:00,350.11578947368423 A
2017-08-12T00:00:00-06:00,338.59375 A
2017-08-13T00:00:00-06:00,334.9789473684211 A
2017-08-14T00:00:00-06:00,347.1041666666667 A
2017-08-15T00:00:00-06:00,332 A
2017-08-16T00:00:00-06:00,327.53684210526313 A
2017-08-17T00:00:00-06:00,340.4895833333333 A
2017-08-18T00:00:00-06:00,336.4375 A
2017-08-19T00:00:00-06:00,329.7894736842105 A
