Timestamp,"['1ef4685c-bd33e7cc 0070-QUINNEY COLLEGE OF LAW Power Meter 316931 W-hours, Received']"
2017-05-05T00:00:00-06:00,447.25 kWh
2017-05-06T00:00:00-06:00,339 kWh
2017-05-07T00:00:00-06:00,226.3125 kWh
2017-05-08T00:00:00-06:00,455.5 kWh
2017-05-09T00:00:00-06:00,401.6875 kWh
2017-05-10T00:00:00-06:00,472.25 kWh
2017-05-11T00:00:00-06:00,410.8125 kWh
2017-05-12T00:00:00-06:00,381.625 kWh
2017-05-13T00:00:00-06:00,292.3125 kWh
2017-05-14T00:00:00-06:00,293.9375 kWh
2017-05-15T00:00:00-06:00,459.375 kWh
2017-05-16T00:00:00-06:00,523 kWh
2017-05-17T00:00:00-06:00,619.375 kWh
2017-05-18T00:00:00-06:00,610.8125 kWh
2017-05-19T00:00:00-06:00,465.875 kWh
2017-05-20T00:00:00-06:00,246.5 kWh
2017-05-21T00:00:00-06:00,223.9375 kWh
2017-05-22T00:00:00-06:00,411.5625 kWh
2017-05-23T00:00:00-06:00,401.125 kWh
2017-05-24T00:00:00-06:00,547.6875 kWh
2017-05-25T00:00:00-06:00,458.1875 kWh
2017-05-26T00:00:00-06:00,443.5 kWh
2017-05-27T00:00:00-06:00,256.8125 kWh
2017-05-28T00:00:00-06:00,206.0625 kWh
2017-05-29T00:00:00-06:00,314.3125 kWh
2017-05-30T00:00:00-06:00,401.5 kWh
2017-05-31T00:00:00-06:00,404.4375 kWh
2017-06-01T00:00:00-06:00,567.6875 kWh
2017-06-02T00:00:00-06:00,356.1875 kWh
2017-06-03T00:00:00-06:00,258.0625 kWh
2017-06-04T00:00:00-06:00,240.0625 kWh
2017-06-05T00:00:00-06:00,402.4375 kWh
2017-06-06T00:00:00-06:00,398.4375 kWh
2017-06-07T00:00:00-06:00,396.25 kWh
2017-06-08T00:00:00-06:00,427.125 kWh
2017-06-09T00:00:00-06:00,374 kWh
2017-06-10T00:00:00-06:00,260.3125 kWh
2017-06-11T00:00:00-06:00,207.6875 kWh
2017-06-12T00:00:00-06:00,521.625 kWh
2017-06-13T00:00:00-06:00,569.9375 kWh
2017-06-14T00:00:00-06:00,369.125 kWh
2017-06-15T00:00:00-06:00,386.5 kWh
2017-06-16T00:00:00-06:00,336.125 kWh
2017-06-17T00:00:00-06:00,257.4375 kWh
2017-06-18T00:00:00-06:00,212 kWh
2017-06-19T00:00:00-06:00,402.25 kWh
2017-06-20T00:00:00-06:00,448.625 kWh
2017-06-21T00:00:00-06:00,401.875 kWh
2017-06-22T00:00:00-06:00,378.5625 kWh
2017-06-23T00:00:00-06:00,376.5 kWh
2017-06-24T00:00:00-06:00,252.9375 kWh
2017-06-25T00:00:00-06:00,216.875 kWh
2017-06-26T00:00:00-06:00,453.125 kWh
2017-06-27T00:00:00-06:00,414.9375 kWh
2017-06-28T00:00:00-06:00,400.9375 kWh
2017-06-29T00:00:00-06:00,424.25 kWh
2017-06-30T00:00:00-06:00,375.3125 kWh
2017-07-01T00:00:00-06:00,259.5625 kWh
2017-07-02T00:00:00-06:00,229.1875 kWh
2017-07-03T00:00:00-06:00,401.0625 kWh
2017-07-04T00:00:00-06:00,365.5625 kWh
2017-07-05T00:00:00-06:00,460.25 kWh
2017-07-06T00:00:00-06:00,465.875 kWh
2017-07-07T00:00:00-06:00,402.0625 kWh
2017-07-08T00:00:00-06:00,291.1875 kWh
2017-07-09T00:00:00-06:00,241.125 kWh
2017-07-10T00:00:00-06:00,502.4375 kWh
2017-07-11T00:00:00-06:00,504.5625 kWh
2017-07-12T00:00:00-06:00,477.3125 kWh
2017-07-13T00:00:00-06:00,455.6875 kWh
2017-07-14T00:00:00-06:00,465.3125 kWh
2017-07-15T00:00:00-06:00,263.75 kWh
2017-07-16T00:00:00-06:00,227.3125 kWh
2017-07-17T00:00:00-06:00,540.875 kWh
2017-07-18T00:00:00-06:00,468.4375 kWh
2017-07-19T00:00:00-06:00,663.4375 kWh
2017-07-20T00:00:00-06:00,537.375 kWh
2017-07-21T00:00:00-06:00,401.625 kWh
2017-07-22T00:00:00-06:00,292.3125 kWh
2017-07-23T00:00:00-06:00,225.375 kWh
2017-07-24T00:00:00-06:00,385.625 kWh
2017-07-25T00:00:00-06:00,488.1875 kWh
2017-07-26T00:00:00-06:00,419.8125 kWh
2017-07-27T00:00:00-06:00,408.6875 kWh
2017-07-28T00:00:00-06:00,473 kWh
2017-07-29T00:00:00-06:00,280.25 kWh
2017-07-30T00:00:00-06:00,228.5625 kWh
2017-07-31T00:00:00-06:00,414.6875 kWh
2017-08-01T00:00:00-06:00,422.6875 kWh
2017-08-02T00:00:00-06:00,456.5625 kWh
2017-08-03T00:00:00-06:00,425.3125 kWh
2017-08-04T00:00:00-06:00,441.875 kWh
2017-08-05T00:00:00-06:00,271.0625 kWh
2017-08-06T00:00:00-06:00,234 kWh
2017-08-07T00:00:00-06:00,497.6875 kWh
