Timestamp,"['1cf8d726-384b2ce8 0064-MERRILL ENGINEERING BLDG Power Meter (300153, 064-801) Current C']"
2017-05-01T00:00:00-06:00,14.451009114583334 A
2017-05-02T00:00:00-06:00,14.45361328125 A
2017-05-03T00:00:00-06:00,14.650349934895834 A
2017-05-04T00:00:00-06:00,15.642293294270834 A
2017-05-05T00:00:00-06:00,16.386271158854168 A
2017-05-06T00:00:00-06:00,14.6541748046875 A
2017-05-07T00:00:00-06:00,14.523640950520834 A
2017-05-08T00:00:00-06:00,14.84300199468085 A
2017-05-09T00:00:00-06:00,15.367472330729166 A
2017-05-10T00:00:00-06:00,15.2183837890625 A
2017-05-11T00:00:00-06:00,15.893473307291666 A
2017-05-12T00:00:00-06:00,16.199666341145832 A
2017-05-13T00:00:00-06:00,12.647216796875 A
2017-05-14T00:00:00-06:00,13.294962565104166 A
2017-05-15T00:00:00-06:00,14.334635416666666 A
2017-05-16T00:00:00-06:00,13.8121337890625 A
2017-05-17T00:00:00-06:00,12.612833658854166 A
2017-05-18T00:00:00-06:00,12.531575520833334 A
2017-05-19T00:00:00-06:00,12.955851236979166 A
2017-05-20T00:00:00-06:00,13.116780598958334 A
2017-05-21T00:00:00-06:00,13.047526041666666 A
2017-05-22T00:00:00-06:00,14.765787760416666 A
2017-05-23T00:00:00-06:00,15.606526692708334 A
2017-05-24T00:00:00-06:00,15.990152994791666 A
2017-05-25T00:00:00-06:00,14.954508463541666 A
2017-05-26T00:00:00-06:00,13.790323893229166 A
2017-05-27T00:00:00-06:00,13.286295572916666 A
2017-05-28T00:00:00-06:00,14.055094401041666 A
2017-05-29T00:00:00-06:00,14.776692708333334 A
2017-05-30T00:00:00-06:00,16.218221028645832 A
2017-05-31T00:00:00-06:00,16.826416015625 A
2017-06-01T00:00:00-06:00,16.268351236979168 A
2017-06-02T00:00:00-06:00,16.382039388020832 A
2017-06-03T00:00:00-06:00,16.502115885416668 A
2017-06-04T00:00:00-06:00,16.710245768229168 A
2017-06-05T00:00:00-06:00,16.931803385416668 A
2017-06-06T00:00:00-06:00,17.522867838541668 A
2017-06-07T00:00:00-06:00,18.120035807291668 A
2017-06-08T00:00:00-06:00,17.7757568359375 A
2017-06-09T00:00:00-06:00,16.967325846354168 A
2017-06-10T00:00:00-06:00,14.697428385416666 A
2017-06-11T00:00:00-06:00,16.042928059895832 A
2017-06-12T00:00:00-06:00,14.7763671875 A
2017-06-13T00:00:00-06:00,14.529256184895834 A
2017-06-14T00:00:00-06:00,15.704793294270834 A
2017-06-15T00:00:00-06:00,16.8197021484375 A
2017-06-16T00:00:00-06:00,17.073323567708332 A
2017-06-17T00:00:00-06:00,15.177937825520834 A
2017-06-18T00:00:00-06:00,15.4481201171875 A
2017-06-19T00:00:00-06:00,17.149617513020832 A
2017-06-20T00:00:00-06:00,17.631632486979168 A
2017-06-21T00:00:00-06:00,16.167724609375 A
2017-06-22T00:00:00-06:00,15.4315185546875 A
2017-06-23T00:00:00-06:00,15.3050537109375 A
2017-06-24T00:00:00-06:00,14.6234130859375 A
2017-06-25T00:00:00-06:00,15.0604248046875 A
2017-06-26T00:00:00-06:00,17.088907877604168 A
2017-06-27T00:00:00-06:00,16.493326822916668 A
2017-06-28T00:00:00-06:00,15.747395833333334 A
2017-06-29T00:00:00-06:00,15.265869140625 A
2017-06-30T00:00:00-06:00,14.855753580729166 A
2017-07-01T00:00:00-06:00,14.800537109375 A
2017-07-02T00:00:00-06:00,15.175577799479166 A
2017-07-03T00:00:00-06:00,16.620646158854168 A
2017-07-04T00:00:00-06:00,16.5970458984375 A
2017-07-05T00:00:00-06:00,17.339111328125 A
2017-07-06T00:00:00-06:00,18.254597981770832 A
2017-07-07T00:00:00-06:00,18.384562174479168 A
2017-07-08T00:00:00-06:00,16.728352864583332 A
2017-07-09T00:00:00-06:00,15.821940104166666 A
2017-07-10T00:00:00-06:00,17.201009114583332 A
2017-07-11T00:00:00-06:00,16.540812174479168 A
2017-07-12T00:00:00-06:00,17.014607747395832 A
2017-07-13T00:00:00-06:00,16.716959635416668 A
2017-07-14T00:00:00-06:00,15.506632486979166 A
2017-07-15T00:00:00-06:00,15.235188802083334 A
2017-07-16T00:00:00-06:00,15.107625325520834 A
2017-07-17T00:00:00-06:00,15.757080078125 A
2017-07-18T00:00:00-06:00,16.228352864583332 A
2017-07-19T00:00:00-06:00,16.141357421875 A
2017-07-20T00:00:00-06:00,15.863240559895834 A
2017-07-21T00:00:00-06:00,15.668701171875 A
2017-07-22T00:00:00-06:00,14.515299479166666 A
2017-07-23T00:00:00-06:00,14.025838216145834 A
2017-07-24T00:00:00-06:00,14.561767578125 A
2017-07-25T00:00:00-06:00,14.287109375 A
2017-07-26T00:00:00-06:00,15.012980143229166 A
2017-07-27T00:00:00-06:00,14.782063802083334 A
2017-07-28T00:00:00-06:00,14.779988606770834 A
2017-07-29T00:00:00-06:00,14.1414794921875 A
2017-07-30T00:00:00-06:00,14.1080322265625 A
2017-07-31T00:00:00-06:00,15.6822509765625 A
2017-08-01T00:00:00-06:00,16.170979817708332 A
2017-08-02T00:00:00-06:00,15.811442057291666 A
2017-08-03T00:00:00-06:00,16.860270182291668 A
2017-08-04T00:00:00-06:00,15.507549157303371 A
2017-08-05T00:00:00-06:00,14.764851888020834 A
2017-08-06T00:00:00-06:00,13.895833333333334 A
2017-08-07T00:00:00-06:00,14.203816731770834 A
2017-08-08T00:00:00-06:00,14.0643310546875 A
2017-08-09T00:00:00-06:00,14.438313802083334 A
2017-08-10T00:00:00-06:00,14.250294018817204 A
2017-08-11T00:00:00-06:00,15.070475260416666 A
2017-08-12T00:00:00-06:00,14.690958658854166 A
2017-08-13T00:00:00-06:00,14.0318603515625 A
2017-08-14T00:00:00-06:00,13.637491861979166 A
2017-08-15T00:00:00-06:00,13.0242919921875 A
2017-08-16T00:00:00-06:00,13.923055013020834 A
2017-08-17T00:00:00-06:00,14.379231770833334 A
2017-08-18T00:00:00-06:00,14.624430338541666 A
2017-08-19T00:00:00-06:00,14.085164388020834 A
2017-08-20T00:00:00-06:00,13.937784830729166 A
2017-08-21T00:00:00-06:00,14.783732096354166 A
2017-08-22T00:00:00-06:00,14.599650065104166 A
2017-08-23T00:00:00-06:00,14.761271158854166 A
2017-08-24T00:00:00-06:00,14.940266927083334 A
2017-08-25T00:00:00-06:00,15.255411783854166 A
2017-08-26T00:00:00-06:00,14.498372395833334 A
2017-08-27T00:00:00-06:00,13.708048502604166 A
2017-08-28T00:00:00-06:00,15.555512152777778 A
2017-08-29T00:00:00-06:00,16.202864583333334 A
2017-08-30T00:00:00-06:00,15.558837890625 A
2017-08-31T00:00:00-06:00,14.4676513671875 A
2017-09-01T00:00:00-06:00,14.752888997395834 A
2017-09-02T00:00:00-06:00,14.123697916666666 A
2017-09-03T00:00:00-06:00,14.259602864583334 A
2017-09-04T00:00:00-06:00,14.700724283854166 A
2017-09-05T00:00:00-06:00,15.826578776041666 A
2017-09-06T00:00:00-06:00,16.266682942708332 A
2017-09-07T00:00:00-06:00,16.0223388671875 A
2017-09-08T00:00:00-06:00,15.649167239010989 A
2017-09-09T00:00:00-06:00,13.786946614583334 A
2017-09-10T00:00:00-06:00,14.041951497395834 A
2017-09-11T00:00:00-06:00,15.548258463541666 A
2017-09-12T00:00:00-06:00,15.583984375 A
2017-09-13T00:00:00-06:00,16.0660400390625 A
2017-09-14T00:00:00-06:00,14.888264973958334 A
2017-09-15T00:00:00-06:00,13.706461588541666 A
2017-09-16T00:00:00-06:00,12.524658203125 A
2017-09-17T00:00:00-06:00,13.115071614583334 A
2017-09-18T00:00:00-06:00,15.427042643229166 A
2017-09-19T00:00:00-06:00,13.968465169270834 A
2017-09-20T00:00:00-06:00,13.679890950520834 A
2017-09-21T00:00:00-06:00,12.751708984375 A
2017-09-22T00:00:00-06:00,12.338216145833334 A
2017-09-23T00:00:00-06:00,11.418050130208334 A
2017-09-24T00:00:00-06:00,11.515584309895834 A
2017-09-25T00:00:00-06:00,13.4718017578125 A
2017-09-26T00:00:00-06:00,14.268758138020834 A
2017-09-27T00:00:00-06:00,14.934163411458334 A
2017-09-28T00:00:00-06:00,14.8546142578125 A
2017-09-29T00:00:00-06:00,15.1114501953125 A
2017-09-30T00:00:00-06:00,13.695760091145834 A
2017-10-01T00:00:00-06:00,12.571492513020834 A
2017-10-02T00:00:00-06:00,13.136759440104166 A
2017-10-03T00:00:00-06:00,13.525309244791666 A
2017-10-04T00:00:00-06:00,14.1593017578125 A
2017-10-05T00:00:00-06:00,13.708211263020834 A
2017-10-06T00:00:00-06:00,13.2630615234375 A
2017-10-07T00:00:00-06:00,13.017252604166666 A
2017-10-08T00:00:00-06:00,11.838948567708334 A
2017-10-09T00:00:00-06:00,12.559651692708334 A
2017-10-10T00:00:00-06:00,13.032063802083334 A
2017-10-11T00:00:00-06:00,13.959065755208334 A
2017-10-12T00:00:00-06:00,13.129435221354166 A
2017-10-13T00:00:00-06:00,13.155232747395834 A
2017-10-14T00:00:00-06:00,11.709920247395834 A
2017-10-15T00:00:00-06:00,11.794230143229166 A
2017-10-16T00:00:00-06:00,13.4498291015625 A
2017-10-17T00:00:00-06:00,14.132120768229166 A
2017-10-18T00:00:00-06:00,13.9305419921875 A
2017-10-19T00:00:00-06:00,14.322672526041666 A
2017-10-20T00:00:00-06:00,13.587605794270834 A
2017-10-21T00:00:00-06:00,11.536580403645834 A
2017-10-22T00:00:00-06:00,12.4671630859375 A
2017-10-23T00:00:00-06:00,13.437947591145834 A
2017-10-24T00:00:00-06:00,13.308634440104166 A
2017-10-25T00:00:00-06:00,13.533406575520834 A
2017-10-26T00:00:00-06:00,13.480712890625 A
2017-10-27T00:00:00-06:00,13.158121744791666 A
2017-10-28T00:00:00-06:00,12.302652994791666 A
2017-10-29T00:00:00-06:00,12.048746744791666 A
2017-10-30T00:00:00-06:00,12.340535481770834 A
2017-10-31T00:00:00-06:00,12.965779622395834 A
2017-11-01T00:00:00-06:00,14.090738932291666 A
2017-11-02T00:00:00-06:00,14.23291015625 A
2017-11-03T00:00:00-06:00,13.9715576171875 A
2017-11-04T00:00:00-06:00,12.1939697265625 A
2017-11-05T00:00:00-06:00,11.6612890625 A
2017-11-06T00:00:00-07:00,13.238077799479166 A
2017-11-07T00:00:00-07:00,13.096394856770834 A
2017-11-08T00:00:00-07:00,13.397908528645834 A
2017-11-09T00:00:00-07:00,13.806437174479166 A
2017-11-10T00:00:00-07:00,13.441975911458334 A
2017-11-11T00:00:00-07:00,12.367146809895834 A
2017-11-12T00:00:00-07:00,12.312418619791666 A
2017-11-13T00:00:00-07:00,13.627115885416666 A
2017-11-14T00:00:00-07:00,13.8223876953125 A
2017-11-15T00:00:00-07:00,13.771077473958334 A
2017-11-16T00:00:00-07:00,14.9976806640625 A
2017-11-17T00:00:00-07:00,13.343953450520834 A
2017-11-18T00:00:00-07:00,12.281575520833334 A
2017-11-19T00:00:00-07:00,12.242228190104166 A
2017-11-20T00:00:00-07:00,13.397867838541666 A
2017-11-21T00:00:00-07:00,13.960489908854166 A
2017-11-22T00:00:00-07:00,14.06103515625 A
2017-11-23T00:00:00-07:00,13.130167643229166 A
2017-11-24T00:00:00-07:00,13.009480794270834 A
2017-11-25T00:00:00-07:00,12.383219401041666 A
2017-11-26T00:00:00-07:00,12.834757486979166 A
2017-11-27T00:00:00-07:00,13.917236328125 A
2017-11-28T00:00:00-07:00,13.050699869791666 A
2017-11-29T00:00:00-07:00,13.337239583333334 A
2017-11-30T00:00:00-07:00,13.132283528645834 A
2017-12-01T00:00:00-07:00,13.073811848958334 A
2017-12-02T00:00:00-07:00,12.107584635416666 A
2017-12-03T00:00:00-07:00,12.378499348958334 A
2017-12-04T00:00:00-07:00,13.006144205729166 A
2017-12-05T00:00:00-07:00,13.307861328125 A
2017-12-06T00:00:00-07:00,13.331217447916666 A
