Timestamp,['20d43261-53123845 0043-NAVAL SCIENCE BLDG Power Meter 300093 Current Phase C']
2017-10-17T00:00:00-06:00,18.510416666666668 A
2017-10-18T00:00:00-06:00,20.614583333333332 A
2017-10-19T00:00:00-06:00,17.583333333333332 A
2017-10-20T00:00:00-06:00,21.166666666666668 A
2017-10-21T00:00:00-06:00,9.645833333333334 A
2017-10-22T00:00:00-06:00,9.520833333333334 A
2017-10-23T00:00:00-06:00,21.854166666666668 A
2017-10-24T00:00:00-06:00,24.583333333333332 A
2017-10-25T00:00:00-06:00,21.020833333333332 A
2017-10-26T00:00:00-06:00,22.125 A
2017-10-27T00:00:00-06:00,17.90625 A
2017-10-28T00:00:00-06:00,7.864583333333333 A
2017-10-29T00:00:00-06:00,7.84375 A
2017-10-30T00:00:00-06:00,20.489583333333332 A
2017-10-31T00:00:00-06:00,16.96875 A
2017-11-01T00:00:00-06:00,21.354166666666668 A
2017-11-02T00:00:00-06:00,23.75 A
2017-11-03T00:00:00-06:00,23.489583333333332 A
2017-11-04T00:00:00-06:00,20.229166666666668 A
2017-11-05T00:00:00-06:00,14.76 A
2017-11-06T00:00:00-07:00,27.177083333333332 A
2017-11-07T00:00:00-07:00,25.489583333333332 A
2017-11-08T00:00:00-07:00,23.729166666666668 A
2017-11-09T00:00:00-07:00,21.979166666666668 A
2017-11-10T00:00:00-07:00,20.322916666666668 A
2017-11-11T00:00:00-07:00,9.75 A
2017-11-12T00:00:00-07:00,10.21875 A
2017-11-13T00:00:00-07:00,21.770833333333332 A
2017-11-14T00:00:00-07:00,24.84375 A
2017-11-15T00:00:00-07:00,21.84375 A
2017-11-16T00:00:00-07:00,18.104166666666668 A
2017-11-17T00:00:00-07:00,21.604166666666668 A
2017-11-18T00:00:00-07:00,10.46875 A
2017-11-19T00:00:00-07:00,10.489583333333334 A
2017-11-20T00:00:00-07:00,22.21875 A
2017-11-21T00:00:00-07:00,22.302083333333332 A
2017-11-22T00:00:00-07:00,21.71875 A
2017-11-23T00:00:00-07:00,9.8125 A
2017-11-24T00:00:00-07:00,10.03125 A
2017-11-25T00:00:00-07:00,10.166666666666666 A
2017-11-26T00:00:00-07:00,10 A
2017-11-27T00:00:00-07:00,21.697916666666668 A
2017-11-28T00:00:00-07:00,23.458333333333332 A
2017-11-29T00:00:00-07:00,24.65625 A
2017-11-30T00:00:00-07:00,22.177083333333332 A
2017-12-01T00:00:00-07:00,19.854166666666668 A
2017-12-02T00:00:00-07:00,10.270833333333334 A
2017-12-03T00:00:00-07:00,11.4375 A
2017-12-04T00:00:00-07:00,23.604166666666668 A
2017-12-05T00:00:00-07:00,24.84375 A
2017-12-06T00:00:00-07:00,31.020833333333332 A
2017-12-07T00:00:00-07:00,32.15625 A
2017-12-08T00:00:00-07:00,27.333333333333332 A
2017-12-09T00:00:00-07:00,11.947916666666666 A
2017-12-10T00:00:00-07:00,9.270833333333334 A
2017-12-11T00:00:00-07:00,18.916666666666668 A
2017-12-12T00:00:00-07:00,22.291666666666668 A
2017-12-13T00:00:00-07:00,22.15625 A
2017-12-14T00:00:00-07:00,16.697916666666668 A
2017-12-15T00:00:00-07:00,19 A
2017-12-16T00:00:00-07:00,10.041666666666666 A
2017-12-17T00:00:00-07:00,10.21875 A
2017-12-18T00:00:00-07:00,17.086021505376344 A
2017-12-19T00:00:00-07:00,18.385416666666668 A
2017-12-20T00:00:00-07:00,18.90625 A
2017-12-21T00:00:00-07:00,13.84375 A
2017-12-22T00:00:00-07:00,16.71875 A
2017-12-23T00:00:00-07:00,9.552083333333334 A
2017-12-24T00:00:00-07:00,9.666666666666666 A
2017-12-25T00:00:00-07:00,9.833333333333334 A
2017-12-26T00:00:00-07:00,9.645833333333334 A
2017-12-27T00:00:00-07:00,17.875 A
2017-12-28T00:00:00-07:00,18.135416666666668 A
2017-12-29T00:00:00-07:00,10.489583333333334 A
2017-12-30T00:00:00-07:00,10.21875 A
2017-12-31T00:00:00-07:00,9.427083333333334 A
