Timestamp,['1ce63db3-310113d3 0028-MARRIOTT CENTER FOR DANCE Power Meter Volts CA']
2017-03-10T00:00:00-07:00,212.00103823343912 V
2017-03-11T00:00:00-07:00,212.2640970547994 V
2017-03-12T00:00:00-07:00,212.10387271383533 V
2017-03-13T00:00:00-06:00,212.1801234881083 V
2017-03-14T00:00:00-06:00,211.99929793675742 V
2017-03-15T00:00:00-06:00,211.65211788813272 V
2017-03-16T00:00:00-06:00,212.08008686701456 V
2017-03-17T00:00:00-06:00,211.84332116444907 V
2017-03-18T00:00:00-06:00,212.27482064565024 V
2017-03-19T00:00:00-06:00,212.03043540318808 V
2017-03-20T00:00:00-06:00,211.60728470651728 V
2017-03-21T00:00:00-06:00,211.4037675857544 V
2017-03-22T00:00:00-06:00,211.5006783803304 V
2017-03-23T00:00:00-06:00,211.79025538762411 V
2017-03-24T00:00:00-06:00,212.0757656097412 V
2017-03-25T00:00:00-06:00,212.17027457555136 V
2017-03-26T00:00:00-06:00,211.91737286249796 V
2017-03-27T00:00:00-06:00,211.73892625172934 V
2017-03-28T00:00:00-06:00,212.04686991373697 V
2017-03-29T00:00:00-06:00,211.9106879764133 V
2017-03-30T00:00:00-06:00,211.69209821834121 V
2017-03-31T00:00:00-06:00,211.914115746816 V
2017-04-01T00:00:00-06:00,212.16474072138467 V
2017-04-02T00:00:00-06:00,212.3557043778269 V
2017-04-03T00:00:00-06:00,211.9872169494629 V
2017-04-04T00:00:00-06:00,212.02098639806113 V
2017-04-05T00:00:00-06:00,211.95775922139487 V
2017-04-06T00:00:00-06:00,211.48276360829672 V
2017-04-07T00:00:00-06:00,211.77420695622763 V
2017-04-08T00:00:00-06:00,212.1561778386434 V
2017-04-09T00:00:00-06:00,212.2516794204712 V
2017-04-10T00:00:00-06:00,211.98530117670694 V
2017-04-11T00:00:00-06:00,212.10491514205933 V
2017-04-12T00:00:00-06:00,211.7895533243815 V
2017-04-13T00:00:00-06:00,211.7169984181722 V
2017-04-14T00:00:00-06:00,211.82924302419028 V
2017-04-15T00:00:00-06:00,211.69374084472656 V
2017-04-16T00:00:00-06:00,212.42382144927979 V
2017-04-17T00:00:00-06:00,211.87867212295532 V
2017-04-18T00:00:00-06:00,211.79345226287842 V
2017-04-19T00:00:00-06:00,211.76394367218018 V
2017-04-20T00:00:00-06:00,211.88871335983276 V
2017-04-21T00:00:00-06:00,211.5210919380188 V
2017-04-22T00:00:00-06:00,211.95536851882935 V
2017-04-23T00:00:00-06:00,211.9842470486959 V
2017-04-24T00:00:00-06:00,212.05672438939413 V
2017-04-25T00:00:00-06:00,211.83793306350708 V
2017-04-26T00:00:00-06:00,211.8079400062561 V
2017-04-27T00:00:00-06:00,212.14576498667398 V
2017-04-28T00:00:00-06:00,211.9985295931498 V
2017-04-29T00:00:00-06:00,212.23226420084634 V
2017-04-30T00:00:00-06:00,212.0421617825826 V
2017-05-01T00:00:00-06:00,212.07026624679565 V
2017-05-02T00:00:00-06:00,211.997416973114 V
2017-05-03T00:00:00-06:00,212.1149943669637 V
2017-05-04T00:00:00-06:00,212.16572507222494 V
2017-05-05T00:00:00-06:00,212.2163166999817 V
2017-05-06T00:00:00-06:00,211.9855000178019 V
2017-05-07T00:00:00-06:00,212.17973613739014 V
2017-05-08T00:00:00-06:00,212.20213382118627 V
2017-05-09T00:00:00-06:00,212.3243521054586 V
2017-05-10T00:00:00-06:00,212.10009972254434 V
2017-05-11T00:00:00-06:00,211.9293007850647 V
2017-05-12T00:00:00-06:00,212.21422370274863 V
2017-05-13T00:00:00-06:00,212.37842655181885 V
2017-05-14T00:00:00-06:00,211.8615239461263 V
2017-05-15T00:00:00-06:00,212.14634688695273 V
2017-05-16T00:00:00-06:00,212.34951225916544 V
2017-05-17T00:00:00-06:00,212.35425647099814 V
2017-05-18T00:00:00-06:00,212.03244098027548 V
2017-05-19T00:00:00-06:00,212.44108724594116 V
2017-05-20T00:00:00-06:00,212.2476175626119 V
2017-05-21T00:00:00-06:00,212.25166527430216 V
2017-05-22T00:00:00-06:00,212.34573284784952 V
2017-05-23T00:00:00-06:00,212.05157359441122 V
2017-05-24T00:00:00-06:00,212.1879596710205 V
2017-05-25T00:00:00-06:00,212.24812682469687 V
2017-05-26T00:00:00-06:00,212.37564023335776 V
2017-05-27T00:00:00-06:00,212.3476880391439 V
2017-05-28T00:00:00-06:00,212.41738573710123 V
2017-05-29T00:00:00-06:00,212.4063803354899 V
2017-05-30T00:00:00-06:00,212.4433331489563 V
2017-05-31T00:00:00-06:00,212.11314074198404 V
2017-06-01T00:00:00-06:00,212.3625586827596 V
2017-06-02T00:00:00-06:00,212.19949785868326 V
2017-06-03T00:00:00-06:00,212.24088621139526 V
2017-06-04T00:00:00-06:00,212.2275644938151 V
2017-06-05T00:00:00-06:00,212.14047972361246 V
2017-06-06T00:00:00-06:00,212.2131725947062 V
2017-06-07T00:00:00-06:00,212.27161280314127 V
2017-06-08T00:00:00-06:00,212.34321324030557 V
2017-06-09T00:00:00-06:00,212.18889872233072 V
2017-06-10T00:00:00-06:00,212.05065457026163 V
2017-06-11T00:00:00-06:00,212.31436030069986 V
2017-06-12T00:00:00-06:00,212.31337070465088 V
2017-06-13T00:00:00-06:00,212.212749004364 V
2017-06-14T00:00:00-06:00,212.08046913146973 V
2017-06-15T00:00:00-06:00,212.08410914738974 V
2017-06-16T00:00:00-06:00,212.15642515818277 V
2017-06-17T00:00:00-06:00,212.26209767659506 V
2017-06-18T00:00:00-06:00,212.36990642547607 V
2017-06-19T00:00:00-06:00,212.15026251475015 V
2017-06-20T00:00:00-06:00,211.84163777033487 V
2017-06-21T00:00:00-06:00,211.84861977895102 V
2017-06-22T00:00:00-06:00,212.07099215189615 V
2017-06-23T00:00:00-06:00,212.084579149882 V
2017-06-24T00:00:00-06:00,212.2331083615621 V
2017-06-25T00:00:00-06:00,212.34820127487183 V
2017-06-26T00:00:00-06:00,211.8876026471456 V
2017-06-27T00:00:00-06:00,212.04785839716592 V
2017-06-28T00:00:00-06:00,212.0444860458374 V
2017-06-29T00:00:00-06:00,212.144522190094 V
2017-06-30T00:00:00-06:00,212.04676040013632 V
2017-07-01T00:00:00-06:00,212.09932041168213 V
2017-07-02T00:00:00-06:00,212.30284722646078 V
2017-07-03T00:00:00-06:00,211.9824431737264 V
2017-07-04T00:00:00-06:00,212.30009698867798 V
2017-07-05T00:00:00-06:00,212.0381736755371 V
2017-07-06T00:00:00-06:00,212.06958150863647 V
2017-07-07T00:00:00-06:00,211.93982728322348 V
2017-07-08T00:00:00-06:00,212.0217784245809 V
2017-07-09T00:00:00-06:00,212.11624018351236 V
2017-07-10T00:00:00-06:00,211.92179091771445 V
2017-07-11T00:00:00-06:00,212.04730415344238 V
2017-07-12T00:00:00-06:00,212.02326774597168 V
