Timestamp,['1cd3e173-890e80fa 0049-LANGUAGE & COMMUNICATION BLDG Power Meter Current A']
2017-10-20T00:00:00-06:00,141.8572939236959 A
2017-10-21T00:00:00-06:00,115.62083474795024 A
2017-10-22T00:00:00-06:00,116.19479338328044 A
2017-10-23T00:00:00-06:00,146.79062716166177 A
2017-10-24T00:00:00-06:00,146.79896132151285 A
2017-10-25T00:00:00-06:00,149.9789505807977 A
2017-10-26T00:00:00-06:00,144.7166690826416 A
2017-10-27T00:00:00-06:00,137.08125233650208 A
2017-10-28T00:00:00-06:00,113.89270981152852 A
2017-10-29T00:00:00-06:00,116.41145984331767 A
2017-10-30T00:00:00-06:00,140.22187717755637 A
2017-10-31T00:00:00-06:00,126.83437768618266 A
2017-11-01T00:00:00-06:00,143.70312770207724 A
2017-11-02T00:00:00-06:00,153.04792022705078 A
2017-11-03T00:00:00-06:00,138.1270854473114 A
2017-11-04T00:00:00-06:00,113.53854322433472 A
2017-11-05T00:00:00-06:00,111.82500167846679 A
2017-11-06T00:00:00-07:00,139.3250022729238 A
2017-11-07T00:00:00-07:00,140.7718772093455 A
2017-11-08T00:00:00-07:00,142.09062774976096 A
2017-11-09T00:00:00-07:00,147.7656273841858 A
2017-11-10T00:00:00-07:00,136.79166905085245 A
2017-11-11T00:00:00-07:00,118.60416825612386 A
2017-11-12T00:00:00-07:00,118.9489598274231 A
2017-11-13T00:00:00-07:00,146.17500265439352 A
2017-11-14T00:00:00-07:00,150.70000330607095 A
2017-11-15T00:00:00-07:00,147.76562762260437 A
2017-11-16T00:00:00-07:00,153.28021160761514 A
2017-11-17T00:00:00-07:00,137.52812735239664 A
2017-11-18T00:00:00-07:00,120.52708506584167 A
2017-11-19T00:00:00-07:00,117.96979300181071 A
2017-11-20T00:00:00-07:00,147.84896071751913 A
2017-11-21T00:00:00-07:00,148.04375290870667 A
2017-11-22T00:00:00-07:00,140.17291871706644 A
2017-11-23T00:00:00-07:00,120.416668176651 A
2017-11-24T00:00:00-07:00,121.25312685966492 A
2017-11-25T00:00:00-07:00,117.06250150998433 A
2017-11-26T00:00:00-07:00,118.20521012941997 A
2017-11-27T00:00:00-07:00,150.97708582878113 A
2017-11-28T00:00:00-07:00,146.3500030040741 A
2017-11-29T00:00:00-07:00,146.7739610671997 A
2017-11-30T00:00:00-07:00,146.5208355585734 A
2017-12-01T00:00:00-07:00,137.39166935284933 A
2017-12-02T00:00:00-07:00,117.00208481152852 A
2017-12-03T00:00:00-07:00,116.48437643051147 A
2017-12-04T00:00:00-07:00,143.0604192415873 A
2017-12-05T00:00:00-07:00,148.5927115281423 A
2017-12-06T00:00:00-07:00,144.23854319254556 A
2017-12-07T00:00:00-07:00,146.41458622614542 A
2017-12-08T00:00:00-07:00,139.75312773386636 A
2017-12-09T00:00:00-07:00,118.02916773160298 A
2017-12-10T00:00:00-07:00,117.01979319254558 A
2017-12-11T00:00:00-07:00,133.84896024068198 A
2017-12-12T00:00:00-07:00,143.18021066983542 A
2017-12-13T00:00:00-07:00,142.6541692415873 A
2017-12-14T00:00:00-07:00,135.21458657582602 A
2017-12-15T00:00:00-07:00,136.38958613077799 A
2017-12-16T00:00:00-07:00,119.79166825612386 A
2017-12-17T00:00:00-07:00,120.53021009763081 A
2017-12-18T00:00:00-07:00,132.66555769178603 A
2017-12-19T00:00:00-07:00,129.82708613077799 A
2017-12-20T00:00:00-07:00,125.93125208218892 A
2017-12-21T00:00:00-07:00,125.81354403495789 A
2017-12-22T00:00:00-07:00,123.74166862169902 A
2017-12-23T00:00:00-07:00,117.80833514531453 A
2017-12-24T00:00:00-07:00,118.20729335149129 A
2017-12-25T00:00:00-07:00,118.16666841506958 A
2017-12-26T00:00:00-07:00,118.49791852633159 A
2017-12-27T00:00:00-07:00,123.30520963668823 A
2017-12-28T00:00:00-07:00,122.50937708218892 A
2017-12-29T00:00:00-07:00,119.55208444595337 A
2017-12-30T00:00:00-07:00,116.01875146230061 A
2017-12-31T00:00:00-07:00,114.66041827201843 A
