Timestamp,"['1ef46878-774ad126 0070-QUINNEY COLLEGE OF LAW Power Meter 313199 W-hours, Received']"
2017-07-11T00:00:00-06:00,2873.0625 kWh
2017-07-12T00:00:00-06:00,2778.875 kWh
2017-07-13T00:00:00-06:00,2701.6875 kWh
2017-07-14T00:00:00-06:00,2731.875 kWh
2017-07-15T00:00:00-06:00,1846.8125 kWh
2017-07-16T00:00:00-06:00,1198.4375 kWh
2017-07-17T00:00:00-06:00,2924.625 kWh
2017-07-18T00:00:00-06:00,2765.125 kWh
2017-07-19T00:00:00-06:00,3172.375 kWh
2017-07-20T00:00:00-06:00,2739.84375 kWh
2017-07-21T00:00:00-06:00,2005.15625 kWh
2017-07-22T00:00:00-06:00,1382.5625 kWh
2017-07-23T00:00:00-06:00,882.71875 kWh
2017-07-24T00:00:00-06:00,1813.65625 kWh
2017-07-25T00:00:00-06:00,2012.28125 kWh
2017-07-26T00:00:00-06:00,1862.84375 kWh
2017-07-27T00:00:00-06:00,1814.34375 kWh
2017-07-28T00:00:00-06:00,1887.34375 kWh
2017-07-29T00:00:00-06:00,1164.1875 kWh
2017-07-30T00:00:00-06:00,760.78125 kWh
2017-07-31T00:00:00-06:00,1797.65625 kWh
2017-08-01T00:00:00-06:00,1805 kWh
2017-08-02T00:00:00-06:00,1851.71875 kWh
2017-08-03T00:00:00-06:00,1774.875 kWh
2017-08-04T00:00:00-06:00,1814.03125 kWh
2017-08-05T00:00:00-06:00,1289.40625 kWh
2017-08-06T00:00:00-06:00,865.15625 kWh
2017-08-07T00:00:00-06:00,1944.03125 kWh
2017-08-08T00:00:00-06:00,1878.59375 kWh
2017-08-09T00:00:00-06:00,1913.28125 kWh
2017-08-10T00:00:00-06:00,1799.5625 kWh
2017-08-11T00:00:00-06:00,1811.1875 kWh
2017-08-12T00:00:00-06:00,1292.28125 kWh
2017-08-13T00:00:00-06:00,890.34375 kWh
2017-08-14T00:00:00-06:00,2054.84375 kWh
2017-08-15T00:00:00-06:00,1736.9375 kWh
2017-08-16T00:00:00-06:00,1885.0625 kWh
2017-08-17T00:00:00-06:00,1761.9375 kWh
2017-08-18T00:00:00-06:00,1734.875 kWh
2017-08-19T00:00:00-06:00,1209.46875 kWh
2017-08-20T00:00:00-06:00,820.6875 kWh
2017-08-21T00:00:00-06:00,1928.625 kWh
2017-08-22T00:00:00-06:00,2075.6875 kWh
2017-08-23T00:00:00-06:00,2049.34375 kWh
2017-08-24T00:00:00-06:00,1905.3125 kWh
2017-08-25T00:00:00-06:00,1903.96875 kWh
2017-08-26T00:00:00-06:00,1291.71875 kWh
2017-08-27T00:00:00-06:00,811.3125 kWh
2017-08-28T00:00:00-06:00,2646.0625 kWh
2017-08-29T00:00:00-06:00,1994.8125 kWh
2017-08-30T00:00:00-06:00,2026.75 kWh
2017-08-31T00:00:00-06:00,2061.625 kWh
2017-09-01T00:00:00-06:00,1865.4375 kWh
2017-09-02T00:00:00-06:00,1308.0625 kWh
2017-09-03T00:00:00-06:00,885.53125 kWh
2017-09-04T00:00:00-06:00,1716.5 kWh
2017-09-05T00:00:00-06:00,2045.40625 kWh
2017-09-06T00:00:00-06:00,2078.71875 kWh
2017-09-07T00:00:00-06:00,2110.75 kWh
2017-09-08T00:00:00-06:00,2085.0625 kWh
2017-09-09T00:00:00-06:00,1622.875 kWh
2017-09-10T00:00:00-06:00,932.875 kWh
2017-09-11T00:00:00-06:00,2025 kWh
2017-09-12T00:00:00-06:00,2060.6875 kWh
2017-09-13T00:00:00-06:00,2151.875 kWh
2017-09-14T00:00:00-06:00,2323.5625 kWh
2017-09-15T00:00:00-06:00,2135.34375 kWh
2017-09-16T00:00:00-06:00,1278.25 kWh
2017-09-17T00:00:00-06:00,929.15625 kWh
2017-09-18T00:00:00-06:00,2039.15625 kWh
2017-09-19T00:00:00-06:00,2139.5625 kWh
