Timestamp,['1cca745e-dec3256d 0062-WARNOCK ENGR BLDG Power Meter 316606 Current B']
2017-05-01T00:00:00-06:00,96.89444444444445 A
2017-05-02T00:00:00-06:00,102.14583333333333 A
2017-05-03T00:00:00-06:00,99.39722222222223 A
2017-05-04T00:00:00-06:00,87.55972222222222 A
2017-05-05T00:00:00-06:00,85.33472222222223 A
2017-05-06T00:00:00-06:00,73.07222222222222 A
2017-05-07T00:00:00-06:00,73.95625 A
2017-05-08T00:00:00-06:00,85.04295774647888 A
2017-05-09T00:00:00-06:00,88.71527777777777 A
2017-05-10T00:00:00-06:00,91.15972222222223 A
2017-05-11T00:00:00-06:00,87.80208333333333 A
2017-05-12T00:00:00-06:00,86.0625 A
2017-05-13T00:00:00-06:00,71.16111111111111 A
2017-05-14T00:00:00-06:00,70.96111111111111 A
2017-05-15T00:00:00-06:00,93.87638888888888 A
2017-05-16T00:00:00-06:00,95.10419580419581 A
2017-05-17T00:00:00-06:00,94.65347222222222 A
2017-05-18T00:00:00-06:00,105.05416666666666 A
2017-05-19T00:00:00-06:00,100.31388888888888 A
2017-05-20T00:00:00-06:00,73.61111111111111 A
2017-05-21T00:00:00-06:00,71.2125 A
2017-05-22T00:00:00-06:00,90.78611111111111 A
2017-05-23T00:00:00-06:00,90.25972222222222 A
2017-05-24T00:00:00-06:00,93.87847222222223 A
2017-05-25T00:00:00-06:00,97.60069444444444 A
2017-05-26T00:00:00-06:00,93.15138888888889 A
2017-05-27T00:00:00-06:00,69.8125 A
2017-05-28T00:00:00-06:00,69.45138888888889 A
2017-05-29T00:00:00-06:00,69.72708333333334 A
2017-05-30T00:00:00-06:00,91.27638888888889 A
2017-05-31T00:00:00-06:00,89.30208333333333 A
2017-06-01T00:00:00-06:00,93.73194444444445 A
2017-06-02T00:00:00-06:00,85.22638888888889 A
2017-06-03T00:00:00-06:00,70.52361111111111 A
2017-06-04T00:00:00-06:00,68.58958333333334 A
2017-06-05T00:00:00-06:00,87.70972222222223 A
2017-06-06T00:00:00-06:00,89.89652777777778 A
2017-06-07T00:00:00-06:00,91.20138888888889 A
2017-06-08T00:00:00-06:00,95.71666666666667 A
2017-06-09T00:00:00-06:00,94.05555555555556 A
2017-06-10T00:00:00-06:00,76.73402777777778 A
