Timestamp,['1cbaea37-0dca4aba 0038-ART BLDG Power Meter 300086 Power Factor']
2017-10-12T00:00:00-06:00,5.320645868778229E-5 _unknown
2017-10-13T00:00:00-06:00,1.795260856548945E-4 _unknown
2017-10-14T00:00:00-06:00,-5.381212880214056E-4 _unknown
2017-10-15T00:00:00-06:00,1.3956551750500998E-4 _unknown
2017-10-16T00:00:00-06:00,2.901218831539154E-4 _unknown
2017-10-17T00:00:00-06:00,-2.3699738085269928E-4 _unknown
2017-10-18T00:00:00-06:00,5.0080319245656334E-5 _unknown
2017-10-19T00:00:00-06:00,-1.7927524944146475E-4 _unknown
2017-10-20T00:00:00-06:00,1.2172696491082509E-4 _unknown
2017-10-21T00:00:00-06:00,-8.23655476172765E-5 _unknown
2017-10-22T00:00:00-06:00,-1.3606250286102295E-4 _unknown
2017-10-23T00:00:00-06:00,1.2641772627830505E-4 _unknown
2017-10-24T00:00:00-06:00,-1.7494956652323404E-4 _unknown
2017-10-25T00:00:00-06:00,2.3795353869597116E-4 _unknown
2017-10-26T00:00:00-06:00,4.354740182558695E-5 _unknown
2017-10-27T00:00:00-06:00,-2.0155496895313263E-4 _unknown
2017-10-28T00:00:00-06:00,2.972222864627838E-5 _unknown
2017-10-29T00:00:00-06:00,-1.7187309761842093E-4 _unknown
2017-10-30T00:00:00-06:00,1.2027596433957417E-4 _unknown
2017-10-31T00:00:00-06:00,-2.0575771729151407E-4 _unknown
2017-11-01T00:00:00-06:00,3.313968578974406E-4 _unknown
2017-11-02T00:00:00-06:00,-4.437007009983063E-5 _unknown
2017-11-03T00:00:00-06:00,-1.9201512138048807E-4 _unknown
2017-11-04T00:00:00-06:00,-9.506133695443471E-5 _unknown
2017-11-05T00:00:00-06:00,5.368316173553467E-4 _unknown
2017-11-06T00:00:00-07:00,-3.73297060529391E-4 _unknown
2017-11-07T00:00:00-07:00,5.221199244260788E-4 _unknown
2017-11-08T00:00:00-07:00,-4.545934498310089E-4 _unknown
2017-11-09T00:00:00-07:00,2.1797356506188711E-4 _unknown
2017-11-10T00:00:00-07:00,-2.9993181427319843E-4 _unknown
2017-11-11T00:00:00-07:00,2.070702612400055E-4 _unknown
2017-11-12T00:00:00-07:00,-5.487042168776194E-5 _unknown
2017-11-13T00:00:00-07:00,-1.2602781256039938E-4 _unknown
2017-11-14T00:00:00-07:00,1.0721820096174876E-4 _unknown
2017-11-15T00:00:00-07:00,-4.219574232896169E-5 _unknown
2017-11-16T00:00:00-07:00,4.635130365689596E-5 _unknown
2017-11-17T00:00:00-07:00,7.1949635942777E-5 _unknown
2017-11-18T00:00:00-07:00,-3.091314186652501E-4 _unknown
2017-11-19T00:00:00-07:00,2.2520249088605246E-4 _unknown
2017-11-20T00:00:00-07:00,1.044956346352895E-4 _unknown
2017-11-21T00:00:00-07:00,3.6188711722691856E-5 _unknown
2017-11-22T00:00:00-07:00,-3.2436102628707886E-5 _unknown
2017-11-23T00:00:00-07:00,8.188498516877492E-5 _unknown
2017-11-24T00:00:00-07:00,-2.3347201446692148E-4 _unknown
2017-11-25T00:00:00-07:00,1.7757775882879892E-4 _unknown
2017-11-26T00:00:00-07:00,2.3864271740118662E-4 _unknown
2017-11-27T00:00:00-07:00,-5.550098915894827E-4 _unknown
2017-11-28T00:00:00-07:00,2.5475894411404926E-4 _unknown
2017-11-29T00:00:00-07:00,-7.23109891017278E-5 _unknown
2017-11-30T00:00:00-07:00,3.2535257438818615E-4 _unknown
2017-12-01T00:00:00-07:00,-2.3841609557469687E-4 _unknown
2017-12-02T00:00:00-07:00,-1.9888579845428467E-4 _unknown
2017-12-03T00:00:00-07:00,5.087827642758688E-4 _unknown
2017-12-04T00:00:00-07:00,-2.562875548998515E-5 _unknown
2017-12-05T00:00:00-07:00,1.9038965304692587E-4 _unknown
2017-12-06T00:00:00-07:00,-6.750201185544332E-4 _unknown
2017-12-07T00:00:00-07:00,1.1654011905193329E-4 _unknown
2017-12-08T00:00:00-07:00,-1.4768602947394052E-4 _unknown
2017-12-09T00:00:00-07:00,-1.5334909160931906E-4 _unknown
2017-12-10T00:00:00-07:00,-1.0439505179723103E-4 _unknown
2017-12-11T00:00:00-07:00,3.5032443702220917E-4 _unknown
2017-12-12T00:00:00-07:00,-4.0217551092306775E-4 _unknown
2017-12-13T00:00:00-07:00,7.987034817536672E-4 _unknown
2017-12-14T00:00:00-07:00,-4.412407676378886E-4 _unknown
2017-12-15T00:00:00-07:00,-1.5372037887573242E-4 _unknown
2017-12-16T00:00:00-07:00,-2.5208232303460437E-4 _unknown
2017-12-17T00:00:00-07:00,7.528811693191528E-5 _unknown
2017-12-18T00:00:00-07:00,4.2377428341937323E-4 _unknown
2017-12-19T00:00:00-07:00,-1.3703107833862305E-4 _unknown
2017-12-20T00:00:00-07:00,-1.6369173924128214E-4 _unknown
2017-12-21T00:00:00-07:00,4.869922995567322E-4 _unknown
2017-12-22T00:00:00-07:00,-3.7735576430956524E-4 _unknown
2017-12-23T00:00:00-07:00,-1.6613242526849112E-4 _unknown
2017-12-24T00:00:00-07:00,1.1385045945644379E-4 _unknown
2017-12-25T00:00:00-07:00,-8.127962549527487E-6 _unknown
2017-12-26T00:00:00-07:00,-2.2671309610207876E-4 _unknown
2017-12-27T00:00:00-07:00,-1.3709006210168204E-4 _unknown
2017-12-28T00:00:00-07:00,1.7167814075946808E-4 _unknown
2017-12-29T00:00:00-07:00,-1.84801717599233E-4 _unknown
2017-12-30T00:00:00-07:00,-4.2282044887542725E-6 _unknown
2017-12-31T00:00:00-07:00,-1.2160589297612508E-4 _unknown
