Timestamp,['1e843250-c24ef82c 0110-ECCLES STUDENT LIFE CNTR Power Meter (HL11) 316565 Energy delivered']
2017-05-02T00:00:00-06:00,91.6640625 kWh
2017-05-03T00:00:00-06:00,87.77734375 kWh
2017-05-04T00:00:00-06:00,87.953125 kWh
2017-05-05T00:00:00-06:00,83.453125 kWh
2017-05-06T00:00:00-06:00,53.22265625 kWh
2017-05-07T00:00:00-06:00,54.890625 kWh
2017-05-08T00:00:00-06:00,80.15625 kWh
2017-05-09T00:00:00-06:00,83.0859375 kWh
2017-05-10T00:00:00-06:00,79.5546875 kWh
2017-05-11T00:00:00-06:00,78.0703125 kWh
2017-05-12T00:00:00-06:00,79.890625 kWh
2017-05-13T00:00:00-06:00,54.015625 kWh
2017-05-14T00:00:00-06:00,54.09375 kWh
2017-05-15T00:00:00-06:00,83.890625 kWh
2017-05-16T00:00:00-06:00,86.0703125 kWh
2017-05-17T00:00:00-06:00,84.1484375 kWh
2017-05-18T00:00:00-06:00,81.515625 kWh
2017-05-19T00:00:00-06:00,78.765625 kWh
2017-05-20T00:00:00-06:00,54.3046875 kWh
2017-05-21T00:00:00-06:00,53.2734375 kWh
2017-05-22T00:00:00-06:00,80.46875 kWh
2017-05-23T00:00:00-06:00,81.4609375 kWh
2017-05-24T00:00:00-06:00,80.546875 kWh
2017-05-25T00:00:00-06:00,79.953125 kWh
2017-05-26T00:00:00-06:00,78.71875 kWh
2017-05-27T00:00:00-06:00,52.9765625 kWh
2017-05-28T00:00:00-06:00,49.7109375 kWh
2017-05-29T00:00:00-06:00,21.5859375 kWh
2017-05-30T00:00:00-06:00,83.7109375 kWh
2017-05-31T00:00:00-06:00,82.6796875 kWh
2017-06-01T00:00:00-06:00,92.484375 kWh
2017-06-02T00:00:00-06:00,81.5078125 kWh
2017-06-03T00:00:00-06:00,54.5859375 kWh
2017-06-04T00:00:00-06:00,54.2890625 kWh
2017-06-05T00:00:00-06:00,81.7578125 kWh
2017-06-06T00:00:00-06:00,89.390625 kWh
2017-06-07T00:00:00-06:00,85.9375 kWh
2017-06-08T00:00:00-06:00,92.328125 kWh
2017-06-09T00:00:00-06:00,83.4453125 kWh
2017-06-10T00:00:00-06:00,56.9296875 kWh
2017-06-11T00:00:00-06:00,51.2421875 kWh
2017-06-12T00:00:00-06:00,93.5859375 kWh
2017-06-13T00:00:00-06:00,90.15625 kWh
2017-06-14T00:00:00-06:00,85.390625 kWh
2017-06-15T00:00:00-06:00,88.796875 kWh
2017-06-16T00:00:00-06:00,83.390625 kWh
2017-06-17T00:00:00-06:00,52.671875 kWh
2017-06-18T00:00:00-06:00,51.6796875 kWh
2017-06-19T00:00:00-06:00,83.953125 kWh
2017-06-20T00:00:00-06:00,90.6328125 kWh
2017-06-21T00:00:00-06:00,88.5625 kWh
2017-06-22T00:00:00-06:00,89.953125 kWh
2017-06-23T00:00:00-06:00,83.578125 kWh
2017-06-24T00:00:00-06:00,56.5234375 kWh
2017-06-25T00:00:00-06:00,53.578125 kWh
2017-06-26T00:00:00-06:00,91.453125 kWh
2017-06-27T00:00:00-06:00,85.0625 kWh
2017-06-28T00:00:00-06:00,88.5078125 kWh
2017-06-29T00:00:00-06:00,88.796875 kWh
2017-06-30T00:00:00-06:00,79.578125 kWh
2017-07-01T00:00:00-06:00,51.9375 kWh
2017-07-02T00:00:00-06:00,56.1484375 kWh
2017-07-03T00:00:00-06:00,83.65625 kWh
2017-07-04T00:00:00-06:00,23.359375 kWh
2017-07-05T00:00:00-06:00,87.7890625 kWh
2017-07-06T00:00:00-06:00,86.078125 kWh
2017-07-07T00:00:00-06:00,82.7421875 kWh
2017-07-08T00:00:00-06:00,55.1796875 kWh
2017-07-09T00:00:00-06:00,52.9921875 kWh
2017-07-10T00:00:00-06:00,90.0546875 kWh
2017-07-11T00:00:00-06:00,86.1875 kWh
2017-07-12T00:00:00-06:00,82.0234375 kWh
2017-07-13T00:00:00-06:00,88.9765625 kWh
2017-07-14T00:00:00-06:00,86 kWh
2017-07-15T00:00:00-06:00,55.859375 kWh
2017-07-16T00:00:00-06:00,56.4765625 kWh
2017-07-17T00:00:00-06:00,82.6953125 kWh
2017-07-18T00:00:00-06:00,84.046875 kWh
2017-07-19T00:00:00-06:00,86.03125 kWh
2017-07-20T00:00:00-06:00,87.0625 kWh
2017-07-21T00:00:00-06:00,79.2890625 kWh
2017-07-22T00:00:00-06:00,53.9140625 kWh
2017-07-23T00:00:00-06:00,49.7578125 kWh
2017-07-24T00:00:00-06:00,24.7578125 kWh
2017-07-25T00:00:00-06:00,82.9375 kWh
2017-07-26T00:00:00-06:00,86.1875 kWh
2017-07-27T00:00:00-06:00,83.6171875 kWh
2017-07-28T00:00:00-06:00,81.6484375 kWh
2017-07-29T00:00:00-06:00,54.484375 kWh
2017-07-30T00:00:00-06:00,53.015625 kWh
2017-07-31T00:00:00-06:00,87.65625 kWh
2017-08-01T00:00:00-06:00,82.4609375 kWh
2017-08-02T00:00:00-06:00,84.7578125 kWh
2017-08-03T00:00:00-06:00,82.65625 kWh
2017-08-04T00:00:00-06:00,80.921875 kWh
2017-08-05T00:00:00-06:00,56.765625 kWh
2017-08-06T00:00:00-06:00,52.09375 kWh
2017-08-07T00:00:00-06:00,85.40625 kWh
2017-08-08T00:00:00-06:00,84.734375 kWh
2017-08-09T00:00:00-06:00,85.4921875 kWh
2017-08-10T00:00:00-06:00,80.609375 kWh
2017-08-11T00:00:00-06:00,79.8671875 kWh
2017-08-12T00:00:00-06:00,53.4453125 kWh
2017-08-13T00:00:00-06:00,54.3046875 kWh
2017-08-14T00:00:00-06:00,84.75 kWh
2017-08-15T00:00:00-06:00,83.3203125 kWh
2017-08-16T00:00:00-06:00,84.4140625 kWh
2017-08-17T00:00:00-06:00,74.7265625 kWh
2017-08-18T00:00:00-06:00,87.390625 kWh
2017-08-19T00:00:00-06:00,56.3125 kWh
2017-08-20T00:00:00-06:00,54.1796875 kWh
2017-08-21T00:00:00-06:00,93.25 kWh
2017-08-22T00:00:00-06:00,92.421875 kWh
2017-08-23T00:00:00-06:00,91.2109375 kWh
2017-08-24T00:00:00-06:00,94.515625 kWh
2017-08-25T00:00:00-06:00,88.0390625 kWh
2017-08-26T00:00:00-06:00,66.53125 kWh
2017-08-27T00:00:00-06:00,58.734375 kWh
2017-08-28T00:00:00-06:00,93.96875 kWh
2017-08-29T00:00:00-06:00,93.96875 kWh
2017-08-30T00:00:00-06:00,92.4609375 kWh
2017-08-31T00:00:00-06:00,91.1171875 kWh
2017-09-01T00:00:00-06:00,86.1640625 kWh
2017-09-02T00:00:00-06:00,54.7109375 kWh
2017-09-03T00:00:00-06:00,51.3515625 kWh
2017-09-04T00:00:00-06:00,62.6953125 kWh
2017-09-05T00:00:00-06:00,91.984375 kWh
2017-09-06T00:00:00-06:00,93.578125 kWh
2017-09-07T00:00:00-06:00,92.234375 kWh
2017-09-08T00:00:00-06:00,88.1015625 kWh
2017-09-09T00:00:00-06:00,66.1171875 kWh
2017-09-10T00:00:00-06:00,58.1640625 kWh
2017-09-11T00:00:00-06:00,92.1171875 kWh
2017-09-12T00:00:00-06:00,93.34375 kWh
2017-09-13T00:00:00-06:00,90.109375 kWh
2017-09-14T00:00:00-06:00,90.921875 kWh
2017-09-15T00:00:00-06:00,91.40625 kWh
2017-09-16T00:00:00-06:00,65.0859375 kWh
2017-09-17T00:00:00-06:00,58.1875 kWh
2017-09-18T00:00:00-06:00,90.5859375 kWh
2017-09-19T00:00:00-06:00,91.84375 kWh
2017-09-20T00:00:00-06:00,91.109375 kWh
2017-09-21T00:00:00-06:00,92.6640625 kWh
2017-09-22T00:00:00-06:00,88.7265625 kWh
2017-09-23T00:00:00-06:00,68.375 kWh
2017-09-24T00:00:00-06:00,60.3671875 kWh
2017-09-25T00:00:00-06:00,93.0234375 kWh
2017-09-26T00:00:00-06:00,92.1015625 kWh
2017-09-27T00:00:00-06:00,89.5 kWh
2017-09-28T00:00:00-06:00,91.734375 kWh
2017-09-29T00:00:00-06:00,88.3671875 kWh
2017-09-30T00:00:00-06:00,69.0234375 kWh
2017-10-01T00:00:00-06:00,58.84375 kWh
2017-10-02T00:00:00-06:00,89.4609375 kWh
2017-10-03T00:00:00-06:00,94.6875 kWh
2017-10-04T00:00:00-06:00,94.03125 kWh
2017-10-05T00:00:00-06:00,91.34375 kWh
2017-10-06T00:00:00-06:00,93.7890625 kWh
2017-10-07T00:00:00-06:00,68.5 kWh
2017-10-08T00:00:00-06:00,58.6953125 kWh
2017-10-09T00:00:00-06:00,87.78125 kWh
2017-10-10T00:00:00-06:00,92.8515625 kWh
2017-10-11T00:00:00-06:00,86.140625 kWh
2017-10-12T00:00:00-06:00,88.40625 kWh
2017-10-13T00:00:00-06:00,80.4140625 kWh
2017-10-14T00:00:00-06:00,62.625 kWh
2017-10-15T00:00:00-06:00,57.6953125 kWh
2017-10-16T00:00:00-06:00,92.203125 kWh
2017-10-17T00:00:00-06:00,92.8984375 kWh
2017-10-18T00:00:00-06:00,92.171875 kWh
2017-10-19T00:00:00-06:00,92.15625 kWh
2017-10-20T00:00:00-06:00,89.75 kWh
2017-10-21T00:00:00-06:00,64.109375 kWh
2017-10-22T00:00:00-06:00,58.171875 kWh
2017-10-23T00:00:00-06:00,91.140625 kWh
2017-10-24T00:00:00-06:00,94.640625 kWh
2017-10-25T00:00:00-06:00,94.953125 kWh
2017-10-26T00:00:00-06:00,94.4375 kWh
2017-10-27T00:00:00-06:00,89.8203125 kWh
2017-10-28T00:00:00-06:00,67.1875 kWh
2017-10-29T00:00:00-06:00,61.296875 kWh
2017-10-30T00:00:00-06:00,94.5546875 kWh
2017-10-31T00:00:00-06:00,88.484375 kWh
2017-11-01T00:00:00-06:00,91.8828125 kWh
2017-11-02T00:00:00-06:00,92.1171875 kWh
2017-11-03T00:00:00-06:00,94.765625 kWh
2017-11-04T00:00:00-06:00,71.4453125 kWh
2017-11-05T00:00:00-06:00,65.8203125 kWh
2017-11-06T00:00:00-07:00,98.0625 kWh
2017-11-07T00:00:00-07:00,139.6015625 kWh
2017-11-08T00:00:00-07:00,126.25 kWh
2017-11-09T00:00:00-07:00,90.7578125 kWh
2017-11-10T00:00:00-07:00,90.078125 kWh
2017-11-11T00:00:00-07:00,65.734375 kWh
2017-11-12T00:00:00-07:00,59.2578125 kWh
2017-11-13T00:00:00-07:00,94.03125 kWh
2017-11-14T00:00:00-07:00,93.4609375 kWh
2017-11-15T00:00:00-07:00,92.703125 kWh
2017-11-16T00:00:00-07:00,95.171875 kWh
2017-11-17T00:00:00-07:00,91.140625 kWh
2017-11-18T00:00:00-07:00,67.28125 kWh
2017-11-19T00:00:00-07:00,61.2265625 kWh
2017-11-20T00:00:00-07:00,94.1640625 kWh
2017-11-21T00:00:00-07:00,92.0078125 kWh
2017-11-22T00:00:00-07:00,84.6015625 kWh
2017-11-23T00:00:00-07:00,19.4921875 kWh
2017-11-24T00:00:00-07:00,19.7109375 kWh
2017-11-25T00:00:00-07:00,59.3125 kWh
2017-11-26T00:00:00-07:00,55.125 kWh
2017-11-27T00:00:00-07:00,96.625 kWh
2017-11-28T00:00:00-07:00,93.0703125 kWh
2017-11-29T00:00:00-07:00,93.2265625 kWh
2017-11-30T00:00:00-07:00,91.2734375 kWh
2017-12-01T00:00:00-07:00,88.7734375 kWh
2017-12-02T00:00:00-07:00,71.5859375 kWh
2017-12-03T00:00:00-07:00,64.125 kWh
2017-12-04T00:00:00-07:00,94.6171875 kWh
2017-12-05T00:00:00-07:00,94.390625 kWh
2017-12-06T00:00:00-07:00,94.609375 kWh
2017-12-07T00:00:00-07:00,94.171875 kWh
2017-12-08T00:00:00-07:00,94.71875 kWh
2017-12-09T00:00:00-07:00,68.8359375 kWh
2017-12-10T00:00:00-07:00,60.484375 kWh
2017-12-11T00:00:00-07:00,91.8515625 kWh
2017-12-12T00:00:00-07:00,91.59375 kWh
2017-12-13T00:00:00-07:00,92.7890625 kWh
2017-12-14T00:00:00-07:00,90.9609375 kWh
2017-12-15T00:00:00-07:00,86.7890625 kWh
2017-12-16T00:00:00-07:00,57.0703125 kWh
2017-12-17T00:00:00-07:00,57.9375 kWh
2017-12-18T00:00:00-07:00,86.109375 kWh
2017-12-19T00:00:00-07:00,85.3671875 kWh
2017-12-20T00:00:00-07:00,79.59375 kWh
2017-12-21T00:00:00-07:00,84.1328125 kWh
2017-12-22T00:00:00-07:00,82.484375 kWh
2017-12-23T00:00:00-07:00,43.8203125 kWh
2017-12-24T00:00:00-07:00,20.1484375 kWh
2017-12-25T00:00:00-07:00,20.484375 kWh
2017-12-26T00:00:00-07:00,25.09375 kWh
2017-12-27T00:00:00-07:00,82.984375 kWh
2017-12-28T00:00:00-07:00,74.1875 kWh
2017-12-29T00:00:00-07:00,25.203125 kWh
2017-12-30T00:00:00-07:00,22.2109375 kWh
2017-12-31T00:00:00-07:00,21.6484375 kWh
