Timestamp,['1cac27e6-8238e2f0 0077-CHRISTENSEN CNTR Power Meter (300172) KW Total']
2017-04-23T00:00:00-06:00,66.81093558024476 kW
2017-04-24T00:00:00-06:00,81.0673216427255 kW
2017-04-25T00:00:00-06:00,77.51978913589758 kW
2017-04-26T00:00:00-06:00,76.06384386371671 kW
2017-04-27T00:00:00-06:00,77.90156513474612 kW
2017-04-28T00:00:00-06:00,69.71470526196339 kW
2017-04-29T00:00:00-06:00,61.00402637980604 kW
2017-04-30T00:00:00-06:00,58.36953427199968 kW
2017-05-01T00:00:00-06:00,74.29510417576185 kW
2017-05-02T00:00:00-06:00,71.27453320772568 kW
2017-05-03T00:00:00-06:00,74.27631842803088 kW
2017-05-04T00:00:00-06:00,72.67647544913818 kW
2017-05-05T00:00:00-06:00,70.32677203725889 kW
2017-05-06T00:00:00-06:00,68.0770820524074 kW
2017-05-07T00:00:00-06:00,68.48385228576494 kW
2017-05-08T00:00:00-06:00,70.97182252671988 kW
2017-05-09T00:00:00-06:00,68.37280928951733 kW
2017-05-10T00:00:00-06:00,67.09718486476834 kW
2017-05-11T00:00:00-06:00,73.03812617288685 kW
2017-05-12T00:00:00-06:00,76.2257320730776 kW
2017-05-13T00:00:00-06:00,75.81815778374659 kW
2017-05-14T00:00:00-06:00,75.31427547953756 kW
2017-05-15T00:00:00-06:00,73.02721350237171 kW
2017-05-16T00:00:00-06:00,75.75567957273242 kW
2017-05-17T00:00:00-06:00,71.26761325527119 kW
2017-05-18T00:00:00-06:00,73.36692356970579 kW
2017-05-19T00:00:00-06:00,65.98897152710852 kW
2017-05-20T00:00:00-06:00,60.04903728246695 kW
2017-05-21T00:00:00-06:00,61.69753762143635 kW
2017-05-22T00:00:00-06:00,79.63555591543522 kW
2017-05-23T00:00:00-06:00,81.70134802504822 kW
2017-05-24T00:00:00-06:00,79.0411452875313 kW
2017-05-25T00:00:00-06:00,76.06743538918323 kW
2017-05-26T00:00:00-06:00,75.38987085373313 kW
2017-05-27T00:00:00-06:00,71.75222081793679 kW
2017-05-28T00:00:00-06:00,63.43890654047325 kW
2017-05-29T00:00:00-06:00,64.6086894211063 kW
2017-05-30T00:00:00-06:00,80.14120292928469 kW
2017-05-31T00:00:00-06:00,77.72033060502115 kW
2017-06-01T00:00:00-06:00,77.08709250710622 kW
2017-06-02T00:00:00-06:00,69.45456933401246 kW
2017-06-03T00:00:00-06:00,64.35426076297404 kW
2017-06-04T00:00:00-06:00,64.80631432356668 kW
2017-06-05T00:00:00-06:00,77.61791559281191 kW
2017-06-06T00:00:00-06:00,81.03621988468706 kW
2017-06-07T00:00:00-06:00,80.05184680797436 kW
2017-06-08T00:00:00-06:00,80.34037230685904 kW
2017-06-09T00:00:00-06:00,82.59591228290832 kW
2017-06-10T00:00:00-06:00,78.18543061658174 kW
2017-06-11T00:00:00-06:00,68.69025659177042 kW
2017-06-12T00:00:00-06:00,80.81076736582652 kW
2017-06-13T00:00:00-06:00,81.7410425469611 kW
2017-06-14T00:00:00-06:00,81.27326139330867 kW
2017-06-15T00:00:00-06:00,83.48851889279155 kW
2017-06-16T00:00:00-06:00,78.54613454655366 kW
2017-06-17T00:00:00-06:00,75.6160905099798 kW
2017-06-18T00:00:00-06:00,73.92304715099165 kW
2017-06-19T00:00:00-06:00,82.44229158745883 kW
2017-06-20T00:00:00-06:00,84.05726751671891 kW
2017-06-21T00:00:00-06:00,84.48484591400187 kW
2017-06-22T00:00:00-06:00,83.49478413122664 kW
2017-06-23T00:00:00-06:00,79.42888137389099 kW
2017-06-24T00:00:00-06:00,67.94039205197929 kW
2017-06-25T00:00:00-06:00,64.34721565811721 kW
2017-06-26T00:00:00-06:00,81.7574118540021 kW
2017-06-27T00:00:00-06:00,83.3270729385482 kW
2017-06-28T00:00:00-06:00,81.34149221777932 kW
2017-06-29T00:00:00-06:00,83.63340184635578 kW
2017-06-30T00:00:00-06:00,75.93932300616207 kW
2017-07-01T00:00:00-06:00,73.70804795141581 kW
2017-07-02T00:00:00-06:00,75.2446274114977 kW
2017-07-03T00:00:00-06:00,79.02701554148288 kW
2017-07-04T00:00:00-06:00,70.79631823641286 kW
2017-07-05T00:00:00-06:00,79.88156822853631 kW
2017-07-06T00:00:00-06:00,82.40486881445955 kW
2017-07-07T00:00:00-06:00,77.56125049736774 kW
2017-07-08T00:00:00-06:00,77.54220034784738 kW
2017-07-09T00:00:00-06:00,70.5607582392075 kW
2017-07-10T00:00:00-06:00,76.54684867911875 kW
2017-07-11T00:00:00-06:00,84.27223460868554 kW
2017-07-12T00:00:00-06:00,80.86032304988959 kW
2017-07-13T00:00:00-06:00,84.06916218369089 kW
2017-07-14T00:00:00-06:00,76.30033191857518 kW
2017-07-15T00:00:00-06:00,74.17591380604983 kW
2017-07-16T00:00:00-06:00,74.02661250189499 kW
2017-07-17T00:00:00-06:00,82.61047026241248 kW
2017-07-18T00:00:00-06:00,87.47572520251629 kW
2017-07-19T00:00:00-06:00,86.49308149982369 kW
2017-07-20T00:00:00-06:00,86.49334338934345 kW
2017-07-21T00:00:00-06:00,77.56193134652246 kW
2017-07-22T00:00:00-06:00,70.97805667237006 kW
2017-07-23T00:00:00-06:00,71.16121578251885 kW
2017-07-24T00:00:00-06:00,72.51795210674965 kW
2017-07-25T00:00:00-06:00,83.41771486737123 kW
2017-07-26T00:00:00-06:00,86.59586027737018 kW
2017-07-27T00:00:00-06:00,83.86111721714326 kW
2017-07-28T00:00:00-06:00,73.19653662153969 kW
2017-07-29T00:00:00-06:00,62.162698219860054 kW
2017-07-30T00:00:00-06:00,62.84368998562853 kW
2017-07-31T00:00:00-06:00,79.40173852097098 kW
2017-08-01T00:00:00-06:00,86.65115931201856 kW
2017-08-02T00:00:00-06:00,83.96175474643707 kW
2017-08-03T00:00:00-06:00,80.34000486811009 kW
2017-08-04T00:00:00-06:00,83.61130755552546 kW
2017-08-05T00:00:00-06:00,75.12128146374664 kW
2017-08-06T00:00:00-06:00,70.89929312878175 kW
2017-08-07T00:00:00-06:00,81.5786960608429 kW
2017-08-08T00:00:00-06:00,82.85903180228335 kW
2017-08-09T00:00:00-06:00,79.91680422142697 kW
2017-08-10T00:00:00-06:00,76.71546730624301 kW
2017-08-11T00:00:00-06:00,79.58618035705018 kW
2017-08-12T00:00:00-06:00,76.49863879168471 kW
2017-08-13T00:00:00-06:00,76.66553844977285 kW
2017-08-14T00:00:00-06:00,80.08326712935059 kW
2017-08-15T00:00:00-06:00,77.1659033405781 kW
2017-08-16T00:00:00-06:00,85.72546026830315 kW
2017-08-17T00:00:00-06:00,79.89492539794357 kW
2017-08-18T00:00:00-06:00,84.309057099996 kW
2017-08-19T00:00:00-06:00,83.78064071125459 kW
2017-08-20T00:00:00-06:00,81.45867368353728 kW
2017-08-21T00:00:00-06:00,87.36886492168473 kW
2017-08-22T00:00:00-06:00,100.07945600182921 kW
2017-08-23T00:00:00-06:00,101.02773438564066 kW
2017-08-24T00:00:00-06:00,89.05708089294227 kW
2017-08-25T00:00:00-06:00,80.69666374387565 kW
2017-08-26T00:00:00-06:00,75.28523597284605 kW
2017-08-27T00:00:00-06:00,72.95345686382711 kW
2017-08-28T00:00:00-06:00,84.45038699216316 kW
2017-08-29T00:00:00-06:00,89.61188000396454 kW
2017-08-30T00:00:00-06:00,92.32460071550467 kW
2017-08-31T00:00:00-06:00,89.85151190996152 kW
2017-09-01T00:00:00-06:00,86.233694533816 kW
2017-09-02T00:00:00-06:00,84.14760663602081 kW
2017-09-03T00:00:00-06:00,77.98043509721745 kW
2017-09-04T00:00:00-06:00,76.03399819762616 kW
2017-09-05T00:00:00-06:00,92.30207476779277 kW
2017-09-06T00:00:00-06:00,88.23885826327194 kW
2017-09-07T00:00:00-06:00,90.41999546289448 kW
2017-09-08T00:00:00-06:00,80.84644857177038 kW
2017-09-09T00:00:00-06:00,72.85195549655852 kW
2017-09-10T00:00:00-06:00,70.1108583622509 kW
2017-09-11T00:00:00-06:00,91.31524310089912 kW
2017-09-12T00:00:00-06:00,89.63087871330752 kW
2017-09-13T00:00:00-06:00,88.76705952079213 kW
2017-09-14T00:00:00-06:00,85.12990676235272 kW
2017-09-15T00:00:00-06:00,81.53112943781738 kW
2017-09-16T00:00:00-06:00,73.54044653669557 kW
