Timestamp,['1cd3e160-b67cf7ec 0049-LANGUAGE & COMMUNICATION BLDG Power Meter KWH Received']
2017-04-04T00:00:00-06:00,2313 kWh
2017-04-05T00:00:00-06:00,2302 kWh
2017-04-06T00:00:00-06:00,2381 kWh
2017-04-07T00:00:00-06:00,2281 kWh
2017-04-08T00:00:00-06:00,1728 kWh
2017-04-09T00:00:00-06:00,1220 kWh
2017-04-10T00:00:00-06:00,2334 kWh
2017-04-11T00:00:00-06:00,2397 kWh
2017-04-12T00:00:00-06:00,2333 kWh
2017-04-13T00:00:00-06:00,2335 kWh
2017-04-14T00:00:00-06:00,2077 kWh
2017-04-15T00:00:00-06:00,1714 kWh
2017-04-16T00:00:00-06:00,1399 kWh
2017-04-17T00:00:00-06:00,2432 kWh
2017-04-18T00:00:00-06:00,2365 kWh
2017-04-19T00:00:00-06:00,2272 kWh
2017-04-20T00:00:00-06:00,2179 kWh
2017-04-21T00:00:00-06:00,2036 kWh
2017-04-22T00:00:00-06:00,1671 kWh
2017-04-23T00:00:00-06:00,1288 kWh
2017-04-24T00:00:00-06:00,2131 kWh
2017-04-25T00:00:00-06:00,2186 kWh
2017-04-26T00:00:00-06:00,2038 kWh
2017-04-27T00:00:00-06:00,1976 kWh
2017-04-28T00:00:00-06:00,1887 kWh
2017-04-29T00:00:00-06:00,1614 kWh
2017-04-30T00:00:00-06:00,1232 kWh
2017-05-01T00:00:00-06:00,2102 kWh
2017-05-02T00:00:00-06:00,2118 kWh
2017-05-03T00:00:00-06:00,2103 kWh
2017-05-04T00:00:00-06:00,2053 kWh
2017-05-05T00:00:00-06:00,2036 kWh
2017-05-06T00:00:00-06:00,1795 kWh
2017-05-07T00:00:00-06:00,1361 kWh
2017-05-08T00:00:00-06:00,2205 kWh
2017-05-09T00:00:00-06:00,2139 kWh
2017-05-10T00:00:00-06:00,2114 kWh
2017-05-11T00:00:00-06:00,2113 kWh
2017-05-12T00:00:00-06:00,2176 kWh
2017-05-13T00:00:00-06:00,1643 kWh
2017-05-14T00:00:00-06:00,1317 kWh
2017-05-15T00:00:00-06:00,2139 kWh
2017-05-16T00:00:00-06:00,2072 kWh
2017-05-17T00:00:00-06:00,2046 kWh
2017-05-18T00:00:00-06:00,1979 kWh
2017-05-19T00:00:00-06:00,1881 kWh
2017-05-20T00:00:00-06:00,1658 kWh
2017-05-21T00:00:00-06:00,1234 kWh
2017-05-22T00:00:00-06:00,2130 kWh
2017-05-23T00:00:00-06:00,2139 kWh
2017-05-24T00:00:00-06:00,2214 kWh
2017-05-25T00:00:00-06:00,2142 kWh
2017-05-26T00:00:00-06:00,1925 kWh
2017-05-27T00:00:00-06:00,1591 kWh
2017-05-28T00:00:00-06:00,1279 kWh
2017-05-29T00:00:00-06:00,1934 kWh
2017-05-30T00:00:00-06:00,2191 kWh
2017-05-31T00:00:00-06:00,2214 kWh
2017-06-01T00:00:00-06:00,2235 kWh
2017-06-02T00:00:00-06:00,2115 kWh
2017-06-03T00:00:00-06:00,1757 kWh
