Timestamp,['1cf8d817-b30bb309 0064-MERRILL ENGINEERING BLDG Power Meter (powerlogic) 316608 Current C']
2017-03-08T00:00:00-07:00,143.67708333333334 A
2017-03-09T00:00:00-07:00,141.47916666666666 A
2017-03-10T00:00:00-07:00,142.45833333333334 A
2017-03-11T00:00:00-07:00,142.35416666666666 A
2017-03-12T00:00:00-07:00,144.5326086956522 A
2017-03-13T00:00:00-06:00,143 A
2017-03-14T00:00:00-06:00,142 A
2017-03-15T00:00:00-06:00,140.95833333333334 A
2017-03-16T00:00:00-06:00,139.98958333333334 A
2017-03-17T00:00:00-06:00,142.125 A
2017-03-18T00:00:00-06:00,141.02083333333334 A
2017-03-19T00:00:00-06:00,142.05208333333334 A
2017-03-20T00:00:00-06:00,141.98958333333334 A
2017-03-21T00:00:00-06:00,143.28125 A
2017-03-22T00:00:00-06:00,143.23958333333334 A
2017-03-23T00:00:00-06:00,142.58333333333334 A
2017-03-24T00:00:00-06:00,142.66666666666666 A
2017-03-25T00:00:00-06:00,141.20833333333334 A
2017-03-26T00:00:00-06:00,142.1875 A
2017-03-27T00:00:00-06:00,144.96875 A
2017-03-28T00:00:00-06:00,144.23958333333334 A
2017-03-29T00:00:00-06:00,144.33333333333334 A
2017-03-30T00:00:00-06:00,140.62790697674419 A
2017-03-31T00:00:00-06:00,141.82291666666666 A
2017-04-01T00:00:00-06:00,142.30208333333334 A
2017-04-02T00:00:00-06:00,140.65625 A
2017-04-03T00:00:00-06:00,140.66666666666666 A
2017-04-04T00:00:00-06:00,141.67708333333334 A
2017-04-05T00:00:00-06:00,141.79166666666666 A
2017-04-06T00:00:00-06:00,142.94791666666666 A
2017-04-07T00:00:00-06:00,142.9375 A
2017-04-08T00:00:00-06:00,145.73958333333334 A
2017-04-09T00:00:00-06:00,147.27083333333334 A
2017-04-10T00:00:00-06:00,142.76041666666666 A
2017-04-11T00:00:00-06:00,139.70833333333334 A
2017-04-12T00:00:00-06:00,140.29166666666666 A
2017-04-13T00:00:00-06:00,140.52083333333334 A
2017-04-14T00:00:00-06:00,142.90625 A
2017-04-15T00:00:00-06:00,143.35416666666666 A
2017-04-16T00:00:00-06:00,143.42708333333334 A
2017-04-17T00:00:00-06:00,144.19791666666666 A
2017-04-18T00:00:00-06:00,143.59375 A
2017-04-19T00:00:00-06:00,143.41666666666666 A
2017-04-20T00:00:00-06:00,142.63541666666666 A
2017-04-21T00:00:00-06:00,144 A
2017-04-22T00:00:00-06:00,145.3125 A
2017-04-23T00:00:00-06:00,142.84375 A
2017-04-24T00:00:00-06:00,140.36458333333334 A
2017-04-25T00:00:00-06:00,140.55208333333334 A
2017-04-26T00:00:00-06:00,142.30208333333334 A
2017-04-27T00:00:00-06:00,142.01041666666666 A
2017-04-28T00:00:00-06:00,144.16666666666666 A
2017-04-29T00:00:00-06:00,144.6875 A
2017-04-30T00:00:00-06:00,147.44791666666666 A
2017-05-01T00:00:00-06:00,146.91666666666666 A
2017-05-02T00:00:00-06:00,144.08333333333334 A
2017-05-03T00:00:00-06:00,145.89583333333334 A
2017-05-04T00:00:00-06:00,145.07291666666666 A
2017-05-05T00:00:00-06:00,145.625 A
2017-05-06T00:00:00-06:00,146.30208333333334 A
2017-05-07T00:00:00-06:00,145.57291666666666 A
2017-05-08T00:00:00-06:00,144.7127659574468 A
2017-05-09T00:00:00-06:00,144.46875 A
2017-05-10T00:00:00-06:00,142.05208333333334 A
2017-05-11T00:00:00-06:00,142.46875 A
2017-05-12T00:00:00-06:00,140.76041666666666 A
2017-05-13T00:00:00-06:00,143.13541666666666 A
2017-05-14T00:00:00-06:00,145.51041666666666 A
2017-05-15T00:00:00-06:00,146.29166666666666 A
2017-05-16T00:00:00-06:00,145.04166666666666 A
2017-05-17T00:00:00-06:00,144 A
2017-05-18T00:00:00-06:00,146.25 A
2017-05-19T00:00:00-06:00,149.03125 A
2017-05-20T00:00:00-06:00,149.91666666666666 A
2017-05-21T00:00:00-06:00,149.72916666666666 A
2017-05-22T00:00:00-06:00,149.44791666666666 A
2017-05-23T00:00:00-06:00,148.60416666666666 A
2017-05-24T00:00:00-06:00,147.77083333333334 A
2017-05-25T00:00:00-06:00,147.28125 A
2017-05-26T00:00:00-06:00,146.29166666666666 A
2017-05-27T00:00:00-06:00,144.625 A
2017-05-28T00:00:00-06:00,145.75 A
2017-05-29T00:00:00-06:00,146.48958333333334 A
2017-05-30T00:00:00-06:00,146 A
2017-05-31T00:00:00-06:00,146.10416666666666 A
2017-06-01T00:00:00-06:00,146.01041666666666 A
2017-06-02T00:00:00-06:00,145.86458333333334 A
2017-06-03T00:00:00-06:00,146.20833333333334 A
2017-06-04T00:00:00-06:00,146.21875 A
2017-06-05T00:00:00-06:00,145.85416666666666 A
2017-06-06T00:00:00-06:00,152.23958333333334 A
2017-06-07T00:00:00-06:00,148.11458333333334 A
2017-06-08T00:00:00-06:00,142.71875 A
2017-06-09T00:00:00-06:00,142.91666666666666 A
2017-06-10T00:00:00-06:00,143.29166666666666 A
2017-06-11T00:00:00-06:00,144.65263157894736 A
2017-06-12T00:00:00-06:00,144.36458333333334 A
2017-06-13T00:00:00-06:00,143.57291666666666 A
2017-06-14T00:00:00-06:00,142.70833333333334 A
2017-06-15T00:00:00-06:00,144.04166666666666 A
2017-06-16T00:00:00-06:00,142.54166666666666 A
2017-06-17T00:00:00-06:00,145.40625 A
