Timestamp,['1cd68420-946f7cc6 Power Meter (HV) (316610) Current C']
2017-06-09T00:00:00-06:00,134.41975308641975 A
2017-06-10T00:00:00-06:00,127.29069767441861 A
2017-06-11T00:00:00-06:00,134.19402985074626 A
2017-06-12T00:00:00-06:00,126.41791044776119 A
2017-06-13T00:00:00-06:00,113.63636363636364 A
2017-06-14T00:00:00-06:00,139.05633802816902 A
2017-06-15T00:00:00-06:00,137.984375 A
2017-06-16T00:00:00-06:00,139.32835820895522 A
2017-06-17T00:00:00-06:00,150.6865671641791 A
2017-06-18T00:00:00-06:00,100.76666666666667 A
2017-06-19T00:00:00-06:00,137.16666666666666 A
2017-06-20T00:00:00-06:00,173.42666666666668 A
2017-06-21T00:00:00-06:00,165.27631578947367 A
2017-06-22T00:00:00-06:00,155.55844155844156 A
2017-06-23T00:00:00-06:00,155.63736263736263 A
2017-06-24T00:00:00-06:00,154.1860465116279 A
2017-06-25T00:00:00-06:00,159.94444444444446 A
2017-06-26T00:00:00-06:00,169.60493827160494 A
2017-06-27T00:00:00-06:00,169.1123595505618 A
2017-06-28T00:00:00-06:00,159.5875 A
2017-06-29T00:00:00-06:00,151.83132530120483 A
2017-06-30T00:00:00-06:00,151.54945054945054 A
2017-07-01T00:00:00-06:00,156.85555555555555 A
2017-07-02T00:00:00-06:00,165 A
2017-07-03T00:00:00-06:00,170.97802197802199 A
2017-07-04T00:00:00-06:00,169.23333333333332 A
2017-07-05T00:00:00-06:00,174.7906976744186 A
2017-07-06T00:00:00-06:00,162.0625 A
2017-07-07T00:00:00-06:00,179.2941176470588 A
2017-07-08T00:00:00-06:00,170.5 A
2017-07-09T00:00:00-06:00,177.5 A
2017-07-10T00:00:00-06:00,165 A
2017-07-11T00:00:00-06:00,165.6 A
2017-07-12T00:00:00-06:00,162 A
2017-07-14T00:00:00-06:00,175.06666666666666 A
2017-07-15T00:00:00-06:00,168.1875 A
2017-07-16T00:00:00-06:00,176.88888888888889 A
2017-07-17T00:00:00-06:00,180.66666666666666 A
2017-07-18T00:00:00-06:00,179.75 A
2017-07-19T00:00:00-06:00,180.14285714285714 A
2017-07-20T00:00:00-06:00,183.63636363636363 A
2017-07-21T00:00:00-06:00,177.4375 A
2017-07-22T00:00:00-06:00,177.47368421052633 A
2017-07-23T00:00:00-06:00,180.83333333333334 A
2017-07-24T00:00:00-06:00,180.25 A
2017-07-25T00:00:00-06:00,178 A
2017-07-26T00:00:00-06:00,179.2 A
2017-07-27T00:00:00-06:00,172.71428571428572 A
2017-07-28T00:00:00-06:00,175 A
2017-07-29T00:00:00-06:00,172.77777777777777 A
2017-07-30T00:00:00-06:00,165.4 A
2017-07-31T00:00:00-06:00,176.25 A
2017-08-01T00:00:00-06:00,179.46153846153845 A
2017-08-02T00:00:00-06:00,170.28571428571428 A
2017-08-03T00:00:00-06:00,180.5 A
2017-08-04T00:00:00-06:00,175.88888888888889 A
2017-08-05T00:00:00-06:00,172.25 A
2017-08-06T00:00:00-06:00,176 A
2017-08-07T00:00:00-06:00,163.8 A
2017-08-08T00:00:00-06:00,173.5 A
2017-08-09T00:00:00-06:00,161.1818181818182 A
2017-08-10T00:00:00-06:00,173.5 A
2017-08-11T00:00:00-06:00,166 A
2017-08-12T00:00:00-06:00,168.875 A
2017-08-13T00:00:00-06:00,158.66666666666666 A
2017-08-14T00:00:00-06:00,169 A
2017-08-15T00:00:00-06:00,159.83333333333334 A
2017-08-16T00:00:00-06:00,162.33333333333334 A
2017-08-17T00:00:00-06:00,172.66666666666666 A
2017-08-18T00:00:00-06:00,161.25 A
2017-08-19T00:00:00-06:00,165 A
2017-08-20T00:00:00-06:00,166.05555555555554 A
2017-08-21T00:00:00-06:00,167.53846153846155 A
2017-08-22T00:00:00-06:00,170.8 A
2017-08-23T00:00:00-06:00,162.28571428571428 A
2017-08-24T00:00:00-06:00,165.33333333333334 A
2017-08-25T00:00:00-06:00,175.71428571428572 A
2017-08-26T00:00:00-06:00,175 A
2017-08-27T00:00:00-06:00,171.8 A
2017-08-28T00:00:00-06:00,170.57142857142858 A
2017-08-29T00:00:00-06:00,171.5 A
2017-08-30T00:00:00-06:00,172.5 A
2017-08-31T00:00:00-06:00,149.28571428571428 A
2017-09-01T00:00:00-06:00,126.44444444444444 A
2017-09-02T00:00:00-06:00,116.85714285714286 A
2017-09-03T00:00:00-06:00,128.33333333333334 A
2017-09-04T00:00:00-06:00,133.625 A
2017-09-05T00:00:00-06:00,134.05 A
2017-09-06T00:00:00-06:00,126.55555555555556 A
2017-09-07T00:00:00-06:00,122.14285714285714 A
2017-09-08T00:00:00-06:00,139.33333333333334 A
2017-09-09T00:00:00-06:00,124 A
2017-09-10T00:00:00-06:00,109.66666666666667 A
2017-09-11T00:00:00-06:00,129.33333333333334 A
2017-09-12T00:00:00-06:00,134.5 A
2017-09-13T00:00:00-06:00,145.9375 A
2017-09-14T00:00:00-06:00,141.9 A
2017-09-15T00:00:00-06:00,121.83333333333333 A
2017-09-16T00:00:00-06:00,128.5 A
2017-09-17T00:00:00-06:00,131.72727272727272 A
2017-09-18T00:00:00-06:00,138 A
2017-09-19T00:00:00-06:00,118 A
2017-09-20T00:00:00-06:00,118.42857142857143 A
2017-09-21T00:00:00-06:00,110.33333333333333 A
2017-09-22T00:00:00-06:00,89.77777777777777 A
2017-09-23T00:00:00-06:00,94.875 A
2017-09-24T00:00:00-06:00,104.18181818181819 A
2017-09-25T00:00:00-06:00,110.16666666666667 A
2017-09-26T00:00:00-06:00,128.5 A
2017-09-27T00:00:00-06:00,156 A
2017-09-28T00:00:00-06:00,128 A
2017-09-29T00:00:00-06:00,133.5 A
2017-09-30T00:00:00-06:00,132.83333333333334 A
2017-10-01T00:00:00-06:00,118.33333333333333 A
2017-10-02T00:00:00-06:00,91.33333333333333 A
2017-10-03T00:00:00-06:00,115.55555555555556 A
2017-10-04T00:00:00-06:00,119.14285714285714 A
2017-10-05T00:00:00-06:00,106.375 A
2017-10-06T00:00:00-06:00,112.05882352941177 A
2017-10-07T00:00:00-06:00,110.71428571428571 A
2017-10-08T00:00:00-06:00,105.33333333333333 A
2017-10-09T00:00:00-06:00,94.16666666666667 A
2017-10-10T00:00:00-06:00,122.78378378378379 A
2017-10-11T00:00:00-06:00,119.3731343283582 A
2017-10-12T00:00:00-06:00,114.34146341463415 A
2017-10-13T00:00:00-06:00,117.10752688172043 A
2017-10-14T00:00:00-06:00,105.04166666666667 A
2017-10-15T00:00:00-06:00,95.82291666666667 A
2017-10-16T00:00:00-06:00,110.03125 A
2017-10-17T00:00:00-06:00,124.84375 A
2017-10-18T00:00:00-06:00,127.23958333333333 A
2017-10-19T00:00:00-06:00,125.38541666666667 A
2017-10-20T00:00:00-06:00,125.53191489361703 A
2017-10-21T00:00:00-06:00,100.60416666666667 A
2017-10-22T00:00:00-06:00,107.82291666666667 A
2017-10-23T00:00:00-06:00,123.57291666666667 A
2017-10-24T00:00:00-06:00,123.40625 A
2017-10-25T00:00:00-06:00,116.55208333333333 A
2017-10-26T00:00:00-06:00,123.13684210526316 A
2017-10-27T00:00:00-06:00,123.60416666666667 A
2017-10-28T00:00:00-06:00,121.28421052631579 A
2017-10-29T00:00:00-06:00,122.79166666666667 A
2017-10-30T00:00:00-06:00,98.98958333333333 A
2017-10-31T00:00:00-06:00,95.37894736842105 A
2017-11-01T00:00:00-06:00,109.28421052631579 A
2017-11-02T00:00:00-06:00,120.5 A
2017-11-03T00:00:00-06:00,125.35483870967742 A
2017-11-04T00:00:00-06:00,106.93684210526315 A
2017-11-05T00:00:00-06:00,94.52 A
2017-11-06T00:00:00-07:00,89.3578947368421 A
2017-11-07T00:00:00-07:00,90.82978723404256 A
2017-11-08T00:00:00-07:00,90.52127659574468 A
2017-11-09T00:00:00-07:00,99.61458333333333 A
