Timestamp,['1cc406c2-6f1c1600 0008-EMERY BLDG Power Meter 300026 Volts BC']
2017-10-23T00:00:00-06:00,211.86458333333334 V
2017-10-24T00:00:00-06:00,211.8564453125 V
2017-10-25T00:00:00-06:00,211.80826822916666 V
2017-10-26T00:00:00-06:00,212.04361979166666 V
2017-10-27T00:00:00-06:00,212.05989583333334 V
2017-10-28T00:00:00-06:00,211.90625 V
2017-10-29T00:00:00-06:00,212.0439453125 V
2017-10-30T00:00:00-06:00,212.13151041666666 V
2017-10-31T00:00:00-06:00,212.0458984375 V
2017-11-01T00:00:00-06:00,211.88346354166666 V
2017-11-02T00:00:00-06:00,211.8349609375 V
2017-11-03T00:00:00-06:00,211.83854166666666 V
2017-11-04T00:00:00-06:00,212.134765625 V
2017-11-05T00:00:00-06:00,211.910625 V
2017-11-06T00:00:00-07:00,211.80729166666666 V
2017-11-07T00:00:00-07:00,211.751953125 V
2017-11-08T00:00:00-07:00,211.7373046875 V
2017-11-09T00:00:00-07:00,211.85709635416666 V
2017-11-10T00:00:00-07:00,211.87890625 V
2017-11-11T00:00:00-07:00,211.69205729166666 V
2017-11-12T00:00:00-07:00,211.82454427083334 V
2017-11-13T00:00:00-07:00,211.79915364583334 V
2017-11-14T00:00:00-07:00,212.2060546875 V
2017-11-15T00:00:00-07:00,211.80859375 V
2017-11-16T00:00:00-07:00,211.68001302083334 V
2017-11-17T00:00:00-07:00,211.86588541666666 V
2017-11-18T00:00:00-07:00,212.2041015625 V
2017-11-19T00:00:00-07:00,212.255859375 V
2017-11-20T00:00:00-07:00,211.92740885416666 V
2017-11-21T00:00:00-07:00,211.83138020833334 V
2017-11-22T00:00:00-07:00,211.6171875 V
2017-11-23T00:00:00-07:00,212.13671875 V
2017-11-24T00:00:00-07:00,211.79654947916666 V
2017-11-25T00:00:00-07:00,211.83756510416666 V
2017-11-26T00:00:00-07:00,212.00162760416666 V
2017-11-27T00:00:00-07:00,211.74381510416666 V
2017-11-28T00:00:00-07:00,211.94205729166666 V
2017-11-29T00:00:00-07:00,212.04720052083334 V
2017-11-30T00:00:00-07:00,212.14192708333334 V
2017-12-01T00:00:00-07:00,211.82486979166666 V
2017-12-02T00:00:00-07:00,211.92805989583334 V
2017-12-03T00:00:00-07:00,211.94401041666666 V
2017-12-04T00:00:00-07:00,212.03971354166666 V
2017-12-05T00:00:00-07:00,211.82421875 V
2017-12-06T00:00:00-07:00,211.623046875 V
2017-12-07T00:00:00-07:00,211.62141927083334 V
2017-12-08T00:00:00-07:00,211.65787760416666 V
2017-12-09T00:00:00-07:00,212.126953125 V
2017-12-10T00:00:00-07:00,212.02701822916666 V
2017-12-11T00:00:00-07:00,212.005859375 V
2017-12-12T00:00:00-07:00,211.716796875 V
2017-12-13T00:00:00-07:00,212.12076822916666 V
2017-12-14T00:00:00-07:00,211.95052083333334 V
2017-12-15T00:00:00-07:00,211.91145833333334 V
2017-12-16T00:00:00-07:00,211.99446614583334 V
2017-12-17T00:00:00-07:00,211.99446614583334 V
2017-12-18T00:00:00-07:00,212.11458333333334 V
2017-12-19T00:00:00-07:00,211.97526041666666 V
2017-12-20T00:00:00-07:00,211.96744791666666 V
2017-12-21T00:00:00-07:00,212.03092447916666 V
2017-12-22T00:00:00-07:00,212.16796875 V
2017-12-23T00:00:00-07:00,211.84733072916666 V
2017-12-24T00:00:00-07:00,212.25394736842105 V
2017-12-25T00:00:00-07:00,212.04361979166666 V
2017-12-26T00:00:00-07:00,212.12727864583334 V
2017-12-27T00:00:00-07:00,212.11067708333334 V
2017-12-28T00:00:00-07:00,212.099609375 V
2017-12-29T00:00:00-07:00,211.94498697916666 V
2017-12-30T00:00:00-07:00,211.85481770833334 V
2017-12-31T00:00:00-07:00,211.8662109375 V
