Timestamp,['1d0b1c11-c0db75c7 0084-BIOLOGY BLDG Power Meter 316501 Current A']
2017-06-03T00:00:00-06:00,864.024658203125 A
2017-06-07T00:00:00-06:00,841.0892783717105 A
2017-06-08T00:00:00-06:00,758.7125828793174 A
2017-06-09T00:00:00-06:00,744.1615244547526 A
2017-06-10T00:00:00-06:00,705.6372521718343 A
2017-06-11T00:00:00-06:00,719.8349482218424 A
2017-06-12T00:00:00-06:00,729.1954231262207 A
2017-06-13T00:00:00-06:00,718.5606950124105 A
2017-06-14T00:00:00-06:00,720.9070256551107 A
2017-06-15T00:00:00-06:00,714.4044818878174 A
2017-06-16T00:00:00-06:00,723.1541379292806 A
2017-06-17T00:00:00-06:00,675.0313701629639 A
2017-06-18T00:00:00-06:00,694.8103529612223 A
2017-06-19T00:00:00-06:00,735.633716583252 A
2017-06-20T00:00:00-06:00,740.5770244397615 A
2017-06-21T00:00:00-06:00,751.5731945037842 A
2017-06-22T00:00:00-06:00,738.9243882497152 A
2017-06-23T00:00:00-06:00,727.4016723632812 A
2017-06-24T00:00:00-06:00,705.6297334035238 A
2017-06-25T00:00:00-06:00,715.4819838205973 A
2017-06-26T00:00:00-06:00,766.9064559936523 A
2017-06-27T00:00:00-06:00,755.5271275838217 A
2017-06-28T00:00:00-06:00,740.1096782684326 A
2017-06-29T00:00:00-06:00,746.3910764058431 A
2017-06-30T00:00:00-06:00,724.7260100046793 A
2017-07-01T00:00:00-06:00,706.1283423105875 A
2017-07-02T00:00:00-06:00,712.1169751485189 A
2017-07-03T00:00:00-06:00,753.3518193562826 A
2017-07-04T00:00:00-06:00,750.4227917989095 A
2017-07-05T00:00:00-06:00,786.5481484731039 A
2017-07-06T00:00:00-06:00,776.9880282084147 A
2017-07-07T00:00:00-06:00,770.6404527028402 A
2017-07-08T00:00:00-06:00,749.6627470652262 A
2017-07-09T00:00:00-06:00,736.0718173980713 A
2017-07-10T00:00:00-06:00,772.5720812479655 A
2017-07-11T00:00:00-06:00,766.776356379191 A
2017-07-12T00:00:00-06:00,773.9010753631592 A
2017-07-13T00:00:00-06:00,785.5807507832845 A
2017-07-14T00:00:00-06:00,784.6127726236979 A
2017-07-15T00:00:00-06:00,768.3857256571451 A
2017-07-16T00:00:00-06:00,755.733050664266 A
2017-07-17T00:00:00-06:00,763.9452283357319 A
2017-07-18T00:00:00-06:00,773.9110387166342 A
2017-07-19T00:00:00-06:00,770.9410711924235 A
2017-07-20T00:00:00-06:00,769.1061401367188 A
2017-07-21T00:00:00-06:00,773.5149084726969 A
2017-07-22T00:00:00-06:00,759.3992366790771 A
2017-07-23T00:00:00-06:00,744.3750069936117 A
2017-07-24T00:00:00-06:00,744.4799556732178 A
2017-07-25T00:00:00-06:00,723.5638084411621 A
2017-07-26T00:00:00-06:00,725.6675103505453 A
2017-07-27T00:00:00-06:00,741.3896872202555 A
2017-07-28T00:00:00-06:00,727.990291595459 A
2017-07-29T00:00:00-06:00,728.2051239013672 A
2017-07-30T00:00:00-06:00,733.7310988108317 A
2017-07-31T00:00:00-06:00,761.6922480265299 A
2017-08-01T00:00:00-06:00,773.0183073679606 A
2017-08-02T00:00:00-06:00,773.8685410817465 A
2017-08-03T00:00:00-06:00,782.6559034983317 A
2017-08-04T00:00:00-06:00,757.5454264322917 A
2017-08-05T00:00:00-06:00,746.1359329223633 A
2017-08-06T00:00:00-06:00,729.9779720306396 A
2017-08-07T00:00:00-06:00,744.3559392293295 A
2017-08-08T00:00:00-06:00,757.5219739412007 A
2017-08-09T00:00:00-06:00,752.3391908009847 A
2017-08-10T00:00:00-06:00,761.4149952764096 A
2017-08-11T00:00:00-06:00,779.022133509318 A
2017-08-12T00:00:00-06:00,762.333786646525 A
2017-08-13T00:00:00-06:00,721.3161678314209 A
2017-08-14T00:00:00-06:00,705.7202866872152 A
2017-08-15T00:00:00-06:00,715.3299344380697 A
2017-08-16T00:00:00-06:00,682.4595373402472 A
2017-08-17T00:00:00-06:00,672.9588610331217 A
2017-08-18T00:00:00-06:00,718.3847138086954 A
2017-08-19T00:00:00-06:00,736.5093015034994 A
2017-08-20T00:00:00-06:00,742.8298358917236 A
2017-08-21T00:00:00-06:00,746.7246208190918 A
2017-08-22T00:00:00-06:00,689.413298924764 A
2017-08-23T00:00:00-06:00,702.2862354914347 A
2017-08-24T00:00:00-06:00,761.3471819559733 A
2017-08-25T00:00:00-06:00,703.1098575592041 A
2017-08-26T00:00:00-06:00,718.1534070101651 A
2017-08-27T00:00:00-06:00,720.2690598821066 A
2017-08-28T00:00:00-06:00,761.3677465045263 A
2017-08-29T00:00:00-06:00,752.1676645914714 A
2017-08-30T00:00:00-06:00,706.3726864518791 A
2017-08-31T00:00:00-06:00,634.2457110595703 A
2017-09-01T00:00:00-06:00,679.9162853610131 A
2017-09-02T00:00:00-06:00,705.3783009847006 A
2017-09-03T00:00:00-06:00,731.4627532958984 A
2017-09-04T00:00:00-06:00,702.557814654182 A
2017-09-05T00:00:00-06:00,725.1089782714844 A
2017-09-06T00:00:00-06:00,741.7984572190505 A
2017-09-07T00:00:00-06:00,732.63463810512 A
2017-09-08T00:00:00-06:00,723.417980691661 A
2017-09-09T00:00:00-06:00,700.3730370657785 A
2017-09-10T00:00:00-06:00,691.5983192180765 A
