Timestamp,['1cc3fb92-cd30c790 0008-EMERY BLDG Power Meter 300026 Current A']
2017-10-23T00:00:00-06:00,103.154296875 A
2017-10-24T00:00:00-06:00,104.10579427083333 A
2017-10-25T00:00:00-06:00,100.50358072916667 A
2017-10-26T00:00:00-06:00,95.494140625 A
2017-10-27T00:00:00-06:00,96.75455729166667 A
2017-10-28T00:00:00-06:00,74.849609375 A
2017-10-29T00:00:00-06:00,75.7783203125 A
2017-10-30T00:00:00-06:00,108.17610677083333 A
2017-10-31T00:00:00-06:00,98.2470703125 A
2017-11-01T00:00:00-06:00,101.81380208333333 A
2017-11-02T00:00:00-06:00,104.34505208333333 A
2017-11-03T00:00:00-06:00,108.185546875 A
2017-11-04T00:00:00-06:00,75.572265625 A
2017-11-05T00:00:00-06:00,69.5190625 A
2017-11-06T00:00:00-07:00,92.7138671875 A
2017-11-07T00:00:00-07:00,93.35611979166667 A
2017-11-08T00:00:00-07:00,97.57845052083333 A
2017-11-09T00:00:00-07:00,105.70670572916667 A
2017-11-10T00:00:00-07:00,101.30143229166667 A
2017-11-11T00:00:00-07:00,87.4658203125 A
2017-11-12T00:00:00-07:00,86.13541666666667 A
2017-11-13T00:00:00-07:00,108.4892578125 A
2017-11-14T00:00:00-07:00,102.65299479166667 A
2017-11-15T00:00:00-07:00,104.52734375 A
2017-11-16T00:00:00-07:00,106.259765625 A
2017-11-17T00:00:00-07:00,95.0380859375 A
2017-11-18T00:00:00-07:00,62.974283854166664 A
2017-11-19T00:00:00-07:00,67.70345052083333 A
2017-11-20T00:00:00-07:00,93.86751302083333 A
2017-11-21T00:00:00-07:00,98.5634765625 A
2017-11-22T00:00:00-07:00,93.83268229166667 A
2017-11-23T00:00:00-07:00,67.5146484375 A
2017-11-24T00:00:00-07:00,69.83138020833333 A
2017-11-25T00:00:00-07:00,64.07975260416667 A
2017-11-26T00:00:00-07:00,67.63671875 A
2017-11-27T00:00:00-07:00,105.3876953125 A
2017-11-28T00:00:00-07:00,98.23990885416667 A
2017-11-29T00:00:00-07:00,93.97981770833333 A
2017-11-30T00:00:00-07:00,92.94791666666667 A
2017-12-01T00:00:00-07:00,88.18815104166667 A
2017-12-02T00:00:00-07:00,63.701171875 A
2017-12-03T00:00:00-07:00,65.73697916666667 A
2017-12-04T00:00:00-07:00,92.95052083333333 A
2017-12-05T00:00:00-07:00,96.07877604166667 A
2017-12-06T00:00:00-07:00,95.09342447916667 A
