Timestamp,['1cdbb5f1-fd40ba18 0087-THATCHER BLDG Power Meter (301205) Current B']
2017-09-05T00:00:00-06:00,285.2201331456502 A
2017-09-06T00:00:00-06:00,279.7768400304458 A
2017-09-07T00:00:00-06:00,293.12300826092155 A
2017-09-08T00:00:00-06:00,316.8717905680339 A
2017-09-09T00:00:00-06:00,306.0517997741699 A
2017-09-10T00:00:00-06:00,304.90893766615125 A
2017-09-11T00:00:00-06:00,316.06410507008997 A
2017-09-12T00:00:00-06:00,311.2755283779568 A
2017-09-13T00:00:00-06:00,314.02654255611793 A
2017-09-14T00:00:00-06:00,308.82178051440746 A
2017-09-15T00:00:00-06:00,309.0643361409505 A
2017-09-16T00:00:00-06:00,296.0876703262329 A
2017-09-17T00:00:00-06:00,296.70393498738605 A
2017-09-18T00:00:00-06:00,309.3261772791545 A
2017-09-19T00:00:00-06:00,307.39000758120886 A
2017-09-20T00:00:00-06:00,305.58993434906006 A
2017-09-21T00:00:00-06:00,306.6620512008667 A
2017-09-22T00:00:00-06:00,304.8691511154175 A
2017-09-23T00:00:00-06:00,301.9733476638794 A
2017-09-24T00:00:00-06:00,297.40929826100665 A
2017-09-25T00:00:00-06:00,309.6117108662923 A
2017-09-26T00:00:00-06:00,308.41264184316 A
2017-09-27T00:00:00-06:00,310.34517733256024 A
2017-09-28T00:00:00-06:00,307.54330190022785 A
2017-09-29T00:00:00-06:00,307.1873941421509 A
2017-09-30T00:00:00-06:00,300.6404724121094 A
2017-10-01T00:00:00-06:00,318.93845240275067 A
2017-10-02T00:00:00-06:00,334.30896759033203 A
2017-10-03T00:00:00-06:00,337.36156209309894 A
2017-10-04T00:00:00-06:00,335.17051728566486 A
2017-10-05T00:00:00-06:00,339.2404594421387 A
2017-10-06T00:00:00-06:00,335.0620810190837 A
2017-10-07T00:00:00-06:00,328.11333560943604 A
2017-10-08T00:00:00-06:00,325.41869831085205 A
2017-10-09T00:00:00-06:00,333.8597876230876 A
2017-10-10T00:00:00-06:00,336.0670512517293 A
2017-10-11T00:00:00-06:00,318.7255840990917 A
2017-10-12T00:00:00-06:00,305.241407327091 A
2017-10-13T00:00:00-06:00,310.7928466796875 A
2017-10-14T00:00:00-06:00,268.456787109375 A
2017-10-15T00:00:00-06:00,265.2226905822754 A
2017-10-16T00:00:00-06:00,277.7602758407593 A
2017-10-17T00:00:00-06:00,292.5199276606242 A
2017-10-18T00:00:00-06:00,328.6504309972127 A
2017-10-19T00:00:00-06:00,336.3987401326497 A
2017-10-20T00:00:00-06:00,334.7325954437256 A
2017-10-21T00:00:00-06:00,327.2411610285441 A
2017-10-22T00:00:00-06:00,326.91940784454346 A
2017-10-23T00:00:00-06:00,340.5605894724528 A
2017-10-24T00:00:00-06:00,334.1476122538249 A
2017-10-25T00:00:00-06:00,334.5830176671346 A
2017-10-26T00:00:00-06:00,333.5081065495809 A
2017-10-27T00:00:00-06:00,329.8544696172078 A
2017-10-28T00:00:00-06:00,320.2846390406291 A
2017-10-29T00:00:00-06:00,318.06525135040283 A
2017-10-30T00:00:00-06:00,331.14486567179364 A
2017-10-31T00:00:00-06:00,330.99184544881183 A
2017-11-01T00:00:00-06:00,335.8259210586548 A
2017-11-02T00:00:00-06:00,334.81456661224365 A
2017-11-03T00:00:00-06:00,328.3853000072723 A
2017-11-04T00:00:00-06:00,322.2309236225329 A
2017-11-05T00:00:00-06:00,323.50390197753904 A
2017-11-06T00:00:00-07:00,333.11962127685547 A
2017-11-07T00:00:00-07:00,335.44285074869794 A
2017-11-08T00:00:00-07:00,336.5575288813165 A
2017-11-09T00:00:00-07:00,336.1144479115804 A
2017-11-10T00:00:00-07:00,340.0008211135864 A
2017-11-11T00:00:00-07:00,336.12503210703534 A
2017-11-12T00:00:00-07:00,333.6149169921875 A
2017-11-13T00:00:00-07:00,344.39084752400714 A
2017-11-14T00:00:00-07:00,343.35635407765704 A
2017-11-15T00:00:00-07:00,337.98492940266925 A
2017-11-16T00:00:00-07:00,341.8316078186035 A
2017-11-17T00:00:00-07:00,346.0159025192261 A
2017-11-18T00:00:00-07:00,334.2905448277791 A
2017-11-19T00:00:00-07:00,327.5803044637044 A
2017-11-20T00:00:00-07:00,331.2509927749634 A
2017-11-21T00:00:00-07:00,335.49660873413086 A
2017-11-22T00:00:00-07:00,334.9729423522949 A
2017-11-23T00:00:00-07:00,334.35831864674884 A
2017-11-24T00:00:00-07:00,336.71856625874835 A
2017-11-25T00:00:00-07:00,333.64593442281085 A
2017-11-26T00:00:00-07:00,335.6182581583659 A
2017-11-27T00:00:00-07:00,341.07833512624103 A
2017-11-28T00:00:00-07:00,347.5305821100871 A
2017-11-29T00:00:00-07:00,345.1579942703247 A
2017-11-30T00:00:00-07:00,345.91131528218585 A
2017-12-01T00:00:00-07:00,344.2298692067464 A
2017-12-02T00:00:00-07:00,333.5499738057454 A
2017-12-03T00:00:00-07:00,334.55350971221924 A
2017-12-04T00:00:00-07:00,349.16938241322833 A
2017-12-05T00:00:00-07:00,352.1413170496623 A
2017-12-06T00:00:00-07:00,346.97636381785077 A
2017-12-07T00:00:00-07:00,350.2619260152181 A
2017-12-08T00:00:00-07:00,346.3096106847127 A
2017-12-09T00:00:00-07:00,340.1696030298869 A
2017-12-10T00:00:00-07:00,339.15861225128174 A
2017-12-11T00:00:00-07:00,352.466534614563 A
2017-12-12T00:00:00-07:00,352.6873839696248 A
2017-12-13T00:00:00-07:00,350.14255809783936 A
2017-12-14T00:00:00-07:00,348.3891119706003 A
2017-12-15T00:00:00-07:00,344.1692590713501 A
2017-12-16T00:00:00-07:00,338.2490234375 A
2017-12-17T00:00:00-07:00,339.0789674123128 A
2017-12-18T00:00:00-07:00,347.00040209424367 A
2017-12-19T00:00:00-07:00,344.60548814137775 A
2017-12-20T00:00:00-07:00,344.04185009002686 A
2017-12-21T00:00:00-07:00,348.30243460337323 A
2017-12-22T00:00:00-07:00,346.3308324813843 A
2017-12-23T00:00:00-07:00,336.8183889389038 A
2017-12-24T00:00:00-07:00,338.26827907562256 A
2017-12-25T00:00:00-07:00,339.00390434265137 A
2017-12-26T00:00:00-07:00,342.3562186559041 A
2017-12-27T00:00:00-07:00,342.28558349609375 A
2017-12-28T00:00:00-07:00,342.2017933527629 A
2017-12-29T00:00:00-07:00,341.44280465443927 A
2017-12-30T00:00:00-07:00,337.53912448883057 A
2017-12-31T00:00:00-07:00,336.28634548187256 A
