Timestamp,['1cac28f5-9755cae4 0077-CHRISTENSEN CNTR Power Meter (300172) PM VOLT B-N']
2017-04-18T00:00:00-06:00,274.12046801249187 V
2017-04-19T00:00:00-06:00,273.9843417485555 V
2017-04-20T00:00:00-06:00,273.80951239267984 V
2017-04-21T00:00:00-06:00,274.5080437130398 V
2017-04-22T00:00:00-06:00,274.0039561300165 V
2017-04-23T00:00:00-06:00,274.1789256625705 V
2017-04-24T00:00:00-06:00,274.4522160212199 V
2017-04-25T00:00:00-06:00,274.4635988491289 V
2017-04-26T00:00:00-06:00,274.22855211893716 V
2017-04-27T00:00:00-06:00,274.36402306026883 V
2017-04-28T00:00:00-06:00,274.29190294638204 V
2017-04-29T00:00:00-06:00,274.56132414076063 V
2017-04-30T00:00:00-06:00,274.35684899224174 V
2017-05-01T00:00:00-06:00,274.5480568355984 V
2017-05-02T00:00:00-06:00,274.28111618889704 V
2017-05-03T00:00:00-06:00,274.5034936481052 V
2017-05-04T00:00:00-06:00,274.382366349962 V
2017-05-05T00:00:00-06:00,274.2760218302409 V
2017-05-06T00:00:00-06:00,274.33677747514514 V
2017-05-07T00:00:00-06:00,274.2191794077555 V
2017-05-08T00:00:00-06:00,274.48975651595237 V
2017-05-09T00:00:00-06:00,274.6149076461792 V
2017-05-10T00:00:00-06:00,274.7476197136773 V
2017-05-11T00:00:00-06:00,274.57279964023166 V
2017-05-12T00:00:00-06:00,274.43458505170554 V
2017-05-13T00:00:00-06:00,274.36165595584447 V
2017-05-14T00:00:00-06:00,273.84523476494684 V
2017-05-15T00:00:00-06:00,274.58649306827124 V
2017-05-16T00:00:00-06:00,274.39690011342367 V
2017-05-17T00:00:00-06:00,274.52757540808784 V
2017-05-18T00:00:00-06:00,274.5191854265001 V
2017-05-19T00:00:00-06:00,275.0220456865099 V
2017-05-20T00:00:00-06:00,274.37047131016817 V
2017-05-21T00:00:00-06:00,274.34233464135065 V
2017-05-22T00:00:00-06:00,274.5152096006605 V
2017-05-23T00:00:00-06:00,274.7298777474297 V
2017-05-24T00:00:00-06:00,274.3537645128038 V
2017-05-25T00:00:00-06:00,274.1572727839152 V
2017-05-26T00:00:00-06:00,274.4090943230523 V
2017-05-27T00:00:00-06:00,274.4126839283194 V
2017-05-28T00:00:00-06:00,274.506201171875 V
2017-05-29T00:00:00-06:00,274.2383185280694 V
2017-05-30T00:00:00-06:00,274.2706713358561 V
2017-05-31T00:00:00-06:00,274.3561620288425 V
2017-06-01T00:00:00-06:00,274.3711903678046 V
2017-06-02T00:00:00-06:00,274.21063253614636 V
