Timestamp,['20c99206-5fef69a6 0012-SUTTON BLDG POWER METER 480V (316601) Real Energy In']
2017-10-15T00:00:00-06:00,4307 kWh
2017-10-16T00:00:00-06:00,5121 kWh
2017-10-17T00:00:00-06:00,5549 kWh
2017-10-18T00:00:00-06:00,5830 kWh
2017-10-19T00:00:00-06:00,5896 kWh
2017-10-20T00:00:00-06:00,5214 kWh
2017-10-21T00:00:00-06:00,4482 kWh
2017-10-22T00:00:00-06:00,5347 kWh
2017-10-23T00:00:00-06:00,5657 kWh
2017-10-24T00:00:00-06:00,5362 kWh
2017-10-25T00:00:00-06:00,5576 kWh
2017-10-26T00:00:00-06:00,5692 kWh
2017-10-27T00:00:00-06:00,5274 kWh
2017-10-28T00:00:00-06:00,5077 kWh
2017-10-29T00:00:00-06:00,5425 kWh
2017-10-30T00:00:00-06:00,5579 kWh
2017-10-31T00:00:00-06:00,4942 kWh
2017-11-01T00:00:00-06:00,5728 kWh
2017-11-02T00:00:00-06:00,6006 kWh
2017-11-03T00:00:00-06:00,5734 kWh
2017-11-04T00:00:00-06:00,5176 kWh
2017-11-05T00:00:00-06:00,4838 kWh
2017-11-06T00:00:00-07:00,4433 kWh
2017-11-07T00:00:00-07:00,4256 kWh
2017-11-08T00:00:00-07:00,4328 kWh
2017-11-09T00:00:00-07:00,4915 kWh
2017-11-10T00:00:00-07:00,4789 kWh
2017-11-11T00:00:00-07:00,4402 kWh
2017-11-12T00:00:00-07:00,4417 kWh
2017-11-13T00:00:00-07:00,5086 kWh
2017-11-14T00:00:00-07:00,5198 kWh
2017-11-15T00:00:00-07:00,5104 kWh
2017-11-16T00:00:00-07:00,6123 kWh
2017-11-17T00:00:00-07:00,4543 kWh
2017-11-18T00:00:00-07:00,3890 kWh
2017-11-19T00:00:00-07:00,3918 kWh
2017-11-20T00:00:00-07:00,4289 kWh
2017-11-21T00:00:00-07:00,5382 kWh
2017-11-22T00:00:00-07:00,5749 kWh
2017-11-23T00:00:00-07:00,5493 kWh
2017-11-24T00:00:00-07:00,5455 kWh
2017-11-25T00:00:00-07:00,5142 kWh
2017-11-26T00:00:00-07:00,5600 kWh
2017-11-27T00:00:00-07:00,5381 kWh
2017-11-28T00:00:00-07:00,4389 kWh
2017-11-29T00:00:00-07:00,4359 kWh
2017-11-30T00:00:00-07:00,4327 kWh
2017-12-01T00:00:00-07:00,4243 kWh
2017-12-02T00:00:00-07:00,4391 kWh
2017-12-03T00:00:00-07:00,4879 kWh
2017-12-04T00:00:00-07:00,4351 kWh
2017-12-05T00:00:00-07:00,4342 kWh
2017-12-06T00:00:00-07:00,4328 kWh
2017-12-07T00:00:00-07:00,4329 kWh
2017-12-08T00:00:00-07:00,4254 kWh
2017-12-09T00:00:00-07:00,3939 kWh
2017-12-10T00:00:00-07:00,3958 kWh
2017-12-11T00:00:00-07:00,4271 kWh
2017-12-12T00:00:00-07:00,4233 kWh
2017-12-13T00:00:00-07:00,4234 kWh
2017-12-14T00:00:00-07:00,4183 kWh
2017-12-15T00:00:00-07:00,4070 kWh
2017-12-16T00:00:00-07:00,3858 kWh
2017-12-17T00:00:00-07:00,3869 kWh
2017-12-18T00:00:00-07:00,4077 kWh
2017-12-19T00:00:00-07:00,4169 kWh
2017-12-20T00:00:00-07:00,4772 kWh
2017-12-21T00:00:00-07:00,4271 kWh
2017-12-22T00:00:00-07:00,4320 kWh
2017-12-23T00:00:00-07:00,3983 kWh
2017-12-24T00:00:00-07:00,3997 kWh
2017-12-25T00:00:00-07:00,3977 kWh
2017-12-26T00:00:00-07:00,3956 kWh
2017-12-27T00:00:00-07:00,4119 kWh
2017-12-28T00:00:00-07:00,4321 kWh
2017-12-29T00:00:00-07:00,4478 kWh
2017-12-30T00:00:00-07:00,4717 kWh
2017-12-31T00:00:00-07:00,3967 kWh
