Timestamp,['1cc97275-8926e35c 0051-STERLING SILL CNTR Power Meter Volts CN']
2017-04-27T00:00:00-06:00,121.54062509536743 V
2017-04-28T00:00:00-06:00,121.48645806312561 V
2017-04-29T00:00:00-06:00,121.57500076293945 V
2017-04-30T00:00:00-06:00,121.5187505086263 V
2017-05-01T00:00:00-06:00,121.60312485694885 V
2017-05-02T00:00:00-06:00,121.46666661898296 V
2017-05-03T00:00:00-06:00,121.54270799954732 V
2017-05-04T00:00:00-06:00,121.5291661421458 V
2017-05-05T00:00:00-06:00,121.43958314259847 V
2017-05-06T00:00:00-06:00,121.50833376248677 V
2017-05-07T00:00:00-06:00,121.44062487284343 V
2017-05-08T00:00:00-06:00,121.59375 V
2017-05-09T00:00:00-06:00,121.65937495231628 V
2017-05-10T00:00:00-06:00,121.69791674613953 V
2017-05-11T00:00:00-06:00,121.64270853996277 V
2017-05-12T00:00:00-06:00,121.60416642824809 V
2017-05-13T00:00:00-06:00,121.58750009536743 V
2017-05-14T00:00:00-06:00,121.39791695276897 V
2017-05-15T00:00:00-06:00,121.65729117393494 V
2017-05-16T00:00:00-06:00,121.5520830154419 V
2017-05-17T00:00:00-06:00,121.62187512715657 V
2017-05-18T00:00:00-06:00,121.60520839691162 V
2017-05-19T00:00:00-06:00,121.83020830154419 V
2017-05-20T00:00:00-06:00,121.49687504768372 V
2017-05-21T00:00:00-06:00,121.50833368301392 V
2017-05-22T00:00:00-06:00,121.65208339691162 V
2017-05-23T00:00:00-06:00,121.67812482515971 V
2017-05-24T00:00:00-06:00,121.47916682561238 V
2017-05-25T00:00:00-06:00,121.384374777476 V
2017-05-26T00:00:00-06:00,121.52604190508525 V
2017-05-27T00:00:00-06:00,121.56354196866353 V
2017-05-28T00:00:00-06:00,121.54270799954732 V
2017-05-29T00:00:00-06:00,121.44374990463257 V
2017-05-30T00:00:00-06:00,121.47916666666667 V
2017-05-31T00:00:00-06:00,121.48229169845581 V
2017-06-01T00:00:00-06:00,121.46562504768372 V
2017-06-02T00:00:00-06:00,121.38333376248677 V
2017-06-03T00:00:00-06:00,121.46354182561238 V
2017-06-04T00:00:00-06:00,121.49583315849304 V
2017-06-05T00:00:00-06:00,121.459375222524 V
2017-06-06T00:00:00-06:00,121.59999974568684 V
2017-06-07T00:00:00-06:00,121.515625 V
2017-06-08T00:00:00-06:00,121.50416644414265 V
2017-06-09T00:00:00-06:00,121.50416660308838 V
2017-06-10T00:00:00-06:00,121.38958358764648 V
2017-06-11T00:00:00-06:00,121.41875012715657 V
2017-06-12T00:00:00-06:00,121.55416647593181 V
2017-06-13T00:00:00-06:00,121.60624988873799 V
2017-06-14T00:00:00-06:00,121.70000012715657 V
2017-06-15T00:00:00-06:00,121.58125011126201 V
2017-06-16T00:00:00-06:00,121.58541615804036 V
2017-06-17T00:00:00-06:00,121.55312498410542 V
2017-06-18T00:00:00-06:00,121.6010418732961 V
2017-06-19T00:00:00-06:00,121.63750012715657 V
2017-06-20T00:00:00-06:00,121.57083360354106 V
2017-06-21T00:00:00-06:00,121.54479193687439 V
2017-06-22T00:00:00-06:00,121.4895834128062 V
2017-06-23T00:00:00-06:00,121.67499987284343 V
2017-06-24T00:00:00-06:00,121.69375006357829 V
2017-06-25T00:00:00-06:00,121.59062504768372 V
2017-06-26T00:00:00-06:00,121.52291647593181 V
2017-06-27T00:00:00-06:00,121.5895836353302 V
2017-06-28T00:00:00-06:00,121.46770842870076 V
2017-06-29T00:00:00-06:00,121.61250027020772 V
2017-06-30T00:00:00-06:00,121.75937485694885 V
2017-07-01T00:00:00-06:00,121.5895836353302 V
2017-07-02T00:00:00-06:00,121.6510419845581 V
2017-07-03T00:00:00-06:00,121.53645881017049 V
2017-07-04T00:00:00-06:00,121.54687492052715 V
2017-07-05T00:00:00-06:00,121.56041677792867 V
2017-07-06T00:00:00-06:00,121.52708339691162 V
2017-07-07T00:00:00-06:00,121.64062555631001 V
2017-07-08T00:00:00-06:00,121.67291657129924 V
2017-07-09T00:00:00-06:00,121.50520849227905 V
2017-07-10T00:00:00-06:00,121.52291599909465 V
2017-07-11T00:00:00-06:00,121.53854179382324 V
2017-07-12T00:00:00-06:00,121.56249992052715 V
2017-07-13T00:00:00-06:00,121.53437511126201 V
2017-07-14T00:00:00-06:00,121.48541688919067 V
2017-07-15T00:00:00-06:00,121.5031247138977 V
2017-07-16T00:00:00-06:00,121.48645822207133 V
2017-07-17T00:00:00-06:00,121.5364580154419 V
2017-07-18T00:00:00-06:00,121.64791703224182 V
2017-07-19T00:00:00-06:00,121.50208353996277 V
2017-07-20T00:00:00-06:00,121.50104188919067 V
2017-07-21T00:00:00-06:00,121.58645820617676 V
2017-07-22T00:00:00-06:00,121.56354173024495 V
2017-07-23T00:00:00-06:00,121.603124777476 V
2017-07-24T00:00:00-06:00,121.57604161898296 V
2017-07-25T00:00:00-06:00,121.56666692097981 V
2017-07-26T00:00:00-06:00,121.51354185740153 V
2017-07-27T00:00:00-06:00,121.59791652361552 V
2017-07-28T00:00:00-06:00,121.56354180971782 V
2017-07-29T00:00:00-06:00,121.53958288828532 V
2017-07-30T00:00:00-06:00,121.57916641235352 V
2017-07-31T00:00:00-06:00,121.54687492052715 V
2017-08-01T00:00:00-06:00,121.55416679382324 V
2017-08-02T00:00:00-06:00,121.50208322207133 V
2017-08-03T00:00:00-06:00,121.68333347638448 V
2017-08-04T00:00:00-06:00,121.59010994041358 V
2017-08-05T00:00:00-06:00,121.63124990463257 V
2017-08-06T00:00:00-06:00,121.67916647593181 V
2017-08-07T00:00:00-06:00,121.6062502861023 V
2017-08-08T00:00:00-06:00,121.54166682561238 V
2017-08-09T00:00:00-06:00,121.58437474568684 V
2017-08-10T00:00:00-06:00,121.6457448107131 V
2017-08-11T00:00:00-06:00,121.6458334128062 V
2017-08-12T00:00:00-06:00,121.68020844459534 V
2017-08-13T00:00:00-06:00,121.62708338101704 V
2017-08-14T00:00:00-06:00,121.60104163487752 V
2017-08-15T00:00:00-06:00,121.60208336512248 V
2017-08-16T00:00:00-06:00,121.61666631698608 V
2017-08-17T00:00:00-06:00,121.63124990463257 V
2017-08-18T00:00:00-06:00,121.64375042915344 V
2017-08-19T00:00:00-06:00,121.59166701634724 V
2017-08-20T00:00:00-06:00,121.64270846048991 V
2017-08-21T00:00:00-06:00,121.62187512715657 V
2017-08-22T00:00:00-06:00,121.63229163487752 V
2017-08-23T00:00:00-06:00,121.61979214350383 V
2017-08-24T00:00:00-06:00,121.6302084128062 V
2017-08-25T00:00:00-06:00,121.55520860354106 V
2017-08-26T00:00:00-06:00,121.56666707992554 V
2017-08-27T00:00:00-06:00,121.53854171435039 V
2017-08-28T00:00:00-06:00,121.67826105200726 V
2017-08-29T00:00:00-06:00,121.6483872936618 V
2017-08-30T00:00:00-06:00,121.56562495231628 V
2017-08-31T00:00:00-06:00,121.56145826975505 V
2017-09-01T00:00:00-06:00,121.65312504768372 V
2017-09-02T00:00:00-06:00,121.60104203224182 V
2017-09-03T00:00:00-06:00,121.6875 V
2017-09-04T00:00:00-06:00,121.4895834128062 V
2017-09-05T00:00:00-06:00,121.61666647593181 V
2017-09-06T00:00:00-06:00,121.55729166666667 V
2017-09-07T00:00:00-06:00,121.48645853996277 V
2017-09-08T00:00:00-06:00,121.62021304191427 V
2017-09-09T00:00:00-06:00,121.63541642824809 V
2017-09-10T00:00:00-06:00,121.62708322207133 V
2017-09-11T00:00:00-06:00,121.52083349227905 V
2017-09-12T00:00:00-06:00,121.57812476158142 V
2017-09-13T00:00:00-06:00,121.5125002861023 V
2017-09-14T00:00:00-06:00,121.63541634877522 V
2017-09-15T00:00:00-06:00,121.6833332379659 V
2017-09-16T00:00:00-06:00,121.75520793596904 V
2017-09-17T00:00:00-06:00,121.60729185740153 V
2017-09-18T00:00:00-06:00,121.57916688919067 V
2017-09-19T00:00:00-06:00,121.50000031789143 V
2017-09-20T00:00:00-06:00,121.69270833333333 V
2017-09-21T00:00:00-06:00,121.72708360354106 V
2017-09-22T00:00:00-06:00,121.8583329518636 V
2017-09-23T00:00:00-06:00,121.52708307902019 V
2017-09-24T00:00:00-06:00,121.68645858764648 V
2017-09-25T00:00:00-06:00,121.71145820617676 V
2017-09-26T00:00:00-06:00,121.6666665871938 V
2017-09-27T00:00:00-06:00,121.77499914169312 V
2017-09-28T00:00:00-06:00,121.72395817438762 V
2017-09-29T00:00:00-06:00,121.70208319028218 V
2017-09-30T00:00:00-06:00,121.48125004768372 V
2017-10-01T00:00:00-06:00,121.478124777476 V
2017-10-02T00:00:00-06:00,121.68333347638448 V
2017-10-03T00:00:00-06:00,121.49375001589458 V
2017-10-04T00:00:00-06:00,121.72395849227905 V
2017-10-05T00:00:00-06:00,121.66979122161865 V
2017-10-06T00:00:00-06:00,121.6197915871938 V
2017-10-07T00:00:00-06:00,121.7552084128062 V
2017-10-08T00:00:00-06:00,121.72395793596904 V
2017-10-09T00:00:00-06:00,121.72083401679993 V
2017-10-10T00:00:00-06:00,121.59479149182637 V
2017-10-11T00:00:00-06:00,121.63229123751323 V
2017-10-12T00:00:00-06:00,121.75104220708211 V
2017-10-13T00:00:00-06:00,121.67708333333333 V
2017-10-14T00:00:00-06:00,121.66145849227905 V
2017-10-15T00:00:00-06:00,121.62500079472859 V
2017-10-16T00:00:00-06:00,121.69583336512248 V
2017-10-17T00:00:00-06:00,121.56666668256123 V
2017-10-18T00:00:00-06:00,121.77916590372722 V
2017-10-19T00:00:00-06:00,121.78749974568684 V
2017-10-20T00:00:00-06:00,121.56979171435039 V
2017-10-21T00:00:00-06:00,121.72812485694885 V
2017-10-22T00:00:00-06:00,121.61354144414265 V
2017-10-23T00:00:00-06:00,121.77187506357829 V
2017-10-24T00:00:00-06:00,121.66145833333333 V
2017-10-25T00:00:00-06:00,121.71041647593181 V
2017-10-26T00:00:00-06:00,121.5937503973643 V
2017-10-27T00:00:00-06:00,121.696874777476 V
2017-10-28T00:00:00-06:00,121.64375034968059 V
2017-10-29T00:00:00-06:00,121.56250015894572 V
2017-10-30T00:00:00-06:00,121.72916626930237 V
2017-10-31T00:00:00-06:00,121.7937502861023 V
2017-11-01T00:00:00-06:00,121.53437503178914 V
2017-11-02T00:00:00-06:00,121.6822915871938 V
2017-11-03T00:00:00-06:00,121.74895819028218 V
2017-11-04T00:00:00-06:00,121.76874995231628 V
2017-11-05T00:00:00-06:00,121.82599967956543 V
2017-11-06T00:00:00-07:00,121.86145838101704 V
2017-11-07T00:00:00-07:00,121.9104167620341 V
2017-11-08T00:00:00-07:00,121.77916685740153 V
2017-11-09T00:00:00-07:00,121.69479131698608 V
2017-11-10T00:00:00-07:00,121.88124942779541 V
2017-11-11T00:00:00-07:00,121.9166665871938 V
2017-11-12T00:00:00-07:00,121.91979146003723 V
2017-11-13T00:00:00-07:00,121.765625 V
2017-11-14T00:00:00-07:00,121.95416657129924 V
2017-11-15T00:00:00-07:00,121.77812472979228 V
2017-11-16T00:00:00-07:00,121.61770900090535 V
2017-11-17T00:00:00-07:00,121.60312525431316 V
2017-11-18T00:00:00-07:00,121.9208333492279 V
2017-11-19T00:00:00-07:00,121.95520877838135 V
2017-11-20T00:00:00-07:00,121.84375007947285 V
2017-11-21T00:00:00-07:00,121.90416653951009 V
2017-11-22T00:00:00-07:00,121.8229165871938 V
2017-11-23T00:00:00-07:00,121.88437453905742 V
2017-11-24T00:00:00-07:00,121.89374979337056 V
2017-11-25T00:00:00-07:00,121.85312493642171 V
2017-11-26T00:00:00-07:00,121.93333339691162 V
2017-11-27T00:00:00-07:00,121.87812503178914 V
2017-11-28T00:00:00-07:00,121.93020884195964 V
2017-11-29T00:00:00-07:00,121.84999982515971 V
2017-11-30T00:00:00-07:00,121.98854152361552 V
2017-12-01T00:00:00-07:00,121.77812488873799 V
2017-12-02T00:00:00-07:00,121.84166685740153 V
2017-12-03T00:00:00-07:00,121.9416667620341 V
2017-12-04T00:00:00-07:00,121.80000019073486 V
2017-12-05T00:00:00-07:00,121.8791667620341 V
2017-12-06T00:00:00-07:00,121.85104163487752 V
2017-12-07T00:00:00-07:00,121.834375222524 V
2017-12-08T00:00:00-07:00,121.73541625340779 V
2017-12-09T00:00:00-07:00,121.84062465031941 V
2017-12-10T00:00:00-07:00,121.86979206403096 V
2017-12-11T00:00:00-07:00,121.86562442779541 V
2017-12-12T00:00:00-07:00,121.6520832379659 V
2017-12-13T00:00:00-07:00,121.8697915871938 V
